Gene stable ID,95f48cc8-2b49-4b48-a366-02215e703c66
ENSG00000000003,1185
ENSG00000000005,4
ENSG00000000419,2016
ENSG00000000457,1122
ENSG00000000460,469
ENSG00000000938,227
ENSG00000000971,2195
ENSG00000001036,2496
ENSG00000001084,4115
ENSG00000001167,3000
ENSG00000001460,496
ENSG00000001461,1475
ENSG00000001497,2952
ENSG00000001561,322
ENSG00000001617,6025
ENSG00000001626,22
ENSG00000001629,5422
ENSG00000001630,495
ENSG00000001631,1884
ENSG00000002016,485
ENSG00000002079,21
ENSG00000002330,2998
ENSG00000002549,8777
ENSG00000002586,15964
ENSG00000002587,184
ENSG00000002726,26
ENSG00000002745,4
ENSG00000002746,46
ENSG00000002822,1738
ENSG00000002834,17643
ENSG00000002919,8675
ENSG00000002933,1306
ENSG00000003056,4554
ENSG00000003096,182
ENSG00000003137,88
ENSG00000003147,3050
ENSG00000003249,3758
ENSG00000003393,1956
ENSG00000003400,390
ENSG00000003402,3745
ENSG00000003436,498
ENSG00000003509,489
ENSG00000003756,4245
ENSG00000003987,314
ENSG00000003989,12600
ENSG00000004059,9337
ENSG00000004139,308
ENSG00000004142,4329
ENSG00000004399,8150
ENSG00000004455,6300
ENSG00000004468,263
ENSG00000004478,23646
ENSG00000004487,7975
ENSG00000004534,3145
ENSG00000004660,352
ENSG00000004700,2180
ENSG00000004766,1286
ENSG00000004776,117
ENSG00000004777,2975
ENSG00000004779,3411
ENSG00000004799,530
ENSG00000004809,10
ENSG00000004838,448
ENSG00000004846,3
ENSG00000004848,3
ENSG00000004864,1305
ENSG00000004866,1470
ENSG00000004897,2509
ENSG00000004939,0
ENSG00000004948,9
ENSG00000004961,1751
ENSG00000004975,1575
ENSG00000005001,1884
ENSG00000005007,7869
ENSG00000005020,1081
ENSG00000005022,18830
ENSG00000005059,1221
ENSG00000005073,28
ENSG00000005075,1785
ENSG00000005100,1248
ENSG00000005102,25
ENSG00000005108,127
ENSG00000005156,2413
ENSG00000005175,1542
ENSG00000005187,199
ENSG00000005189,586
ENSG00000005194,2454
ENSG00000005206,2264
ENSG00000005238,1480
ENSG00000005243,1490
ENSG00000005249,4593
ENSG00000005302,1557
ENSG00000005339,8086
ENSG00000005379,708
ENSG00000005381,5
ENSG00000005421,8
ENSG00000005436,1484
ENSG00000005448,1109
ENSG00000005469,4258
ENSG00000005471,104
ENSG00000005483,6324
ENSG00000005486,7708
ENSG00000005513,31
ENSG00000005700,3472
ENSG00000005801,1244
ENSG00000005810,5412
ENSG00000005812,3089
ENSG00000005844,511
ENSG00000005882,5249
ENSG00000005884,20765
ENSG00000005889,3011
ENSG00000005893,11534
ENSG00000005961,55
ENSG00000005981,4
ENSG00000006007,5316
ENSG00000006015,1323
ENSG00000006016,315
ENSG00000006025,6128
ENSG00000006042,1569
ENSG00000006047,579
ENSG00000006059,0
ENSG00000006062,698
ENSG00000006071,54
ENSG00000006116,1
ENSG00000006118,16749
ENSG00000006125,30165
ENSG00000006128,13
ENSG00000006194,3180
ENSG00000006210,1352
ENSG00000006282,27429
ENSG00000006283,44
ENSG00000006327,6392
ENSG00000006377,0
ENSG00000006432,1043
ENSG00000006451,4791
ENSG00000006453,1828
ENSG00000006459,1493
ENSG00000006468,1057
ENSG00000006530,1532
ENSG00000006534,782
ENSG00000006555,224
ENSG00000006576,2770
ENSG00000006606,33
ENSG00000006607,1695
ENSG00000006611,1
ENSG00000006625,3465
ENSG00000006634,755
ENSG00000006638,150
ENSG00000006652,1236
ENSG00000006659,4
ENSG00000006695,589
ENSG00000006704,2448
ENSG00000006712,2837
ENSG00000006715,3341
ENSG00000006740,166
ENSG00000006744,3218
ENSG00000006747,5381
ENSG00000006756,10524
ENSG00000006757,2439
ENSG00000006788,48
ENSG00000006831,5786
ENSG00000006837,80
ENSG00000007001,1
ENSG00000007038,6
ENSG00000007047,8597
ENSG00000007062,373
ENSG00000007080,2476
ENSG00000007129,31
ENSG00000007168,6865
ENSG00000007171,25
ENSG00000007174,11
ENSG00000007202,9153
ENSG00000007216,0
ENSG00000007237,2564
ENSG00000007255,7480
ENSG00000007264,194
ENSG00000007306,22
ENSG00000007312,119
ENSG00000007314,28
ENSG00000007341,729
ENSG00000007350,1
ENSG00000007372,76
ENSG00000007376,1738
ENSG00000007384,3839
ENSG00000007392,1817
ENSG00000007402,508
ENSG00000007516,282
ENSG00000007520,2757
ENSG00000007541,6452
ENSG00000007545,1403
ENSG00000007866,2650
ENSG00000007908,112
ENSG00000007923,2259
ENSG00000007933,206
ENSG00000007944,2776
ENSG00000007952,76
ENSG00000007968,588
ENSG00000008018,12006
ENSG00000008056,31
ENSG00000008083,3545
ENSG00000008086,2585
ENSG00000008118,9
ENSG00000008128,337
ENSG00000008130,4455
ENSG00000008196,3085
ENSG00000008197,0
ENSG00000008226,32
ENSG00000008256,3589
ENSG00000008277,300
ENSG00000008282,9314
ENSG00000008283,12968
ENSG00000008294,4000
ENSG00000008300,585
ENSG00000008311,143
ENSG00000008323,2362
ENSG00000008324,984
ENSG00000008382,1053
ENSG00000008394,16865
ENSG00000008405,1510
ENSG00000008438,0
ENSG00000008441,2609
ENSG00000008513,4494
ENSG00000008516,344
ENSG00000008517,1134
ENSG00000008710,2922
ENSG00000008735,162
ENSG00000008838,28837
ENSG00000008853,2145
ENSG00000008869,3076
ENSG00000008952,8834
ENSG00000008988,20587
ENSG00000009307,60023
ENSG00000009335,6711
ENSG00000009413,9984
ENSG00000009694,51
ENSG00000009709,3
ENSG00000009724,37
ENSG00000009765,15
ENSG00000009780,661
ENSG00000009790,234
ENSG00000009830,2227
ENSG00000009844,2039
ENSG00000009950,126
ENSG00000009954,10620
ENSG00000010017,4570
ENSG00000010030,379
ENSG00000010072,867
ENSG00000010165,3426
ENSG00000010219,1022
ENSG00000010244,6750
ENSG00000010256,8838
ENSG00000010270,1938
ENSG00000010278,87488
ENSG00000010282,6
ENSG00000010292,5501
ENSG00000010295,559
ENSG00000010310,462
ENSG00000010318,297
ENSG00000010319,422
ENSG00000010322,4617
ENSG00000010327,2243
ENSG00000010361,1077
ENSG00000010379,19
ENSG00000010404,8856
ENSG00000010438,18
ENSG00000010539,788
ENSG00000010610,2194
ENSG00000010626,853
ENSG00000010671,400
ENSG00000010704,1126
ENSG00000010803,2765
ENSG00000010810,1353
ENSG00000010818,2070
ENSG00000010932,399
ENSG00000011007,3344
ENSG00000011009,4388
ENSG00000011021,924
ENSG00000011028,15760
ENSG00000011052,38
ENSG00000011083,13
ENSG00000011105,8108
ENSG00000011114,3363
ENSG00000011132,691
ENSG00000011143,728
ENSG00000011198,1418
ENSG00000011201,1543
ENSG00000011243,1991
ENSG00000011258,1576
ENSG00000011260,1457
ENSG00000011275,3418
ENSG00000011295,1738
ENSG00000011304,14635
ENSG00000011332,79
ENSG00000011347,1203
ENSG00000011376,3199
ENSG00000011405,4567
ENSG00000011422,3134
ENSG00000011426,2040
ENSG00000011451,3941
ENSG00000011454,6567
ENSG00000011465,50794
ENSG00000011478,3046
ENSG00000011485,2940
ENSG00000011523,2260
ENSG00000011566,3446
ENSG00000011590,38
ENSG00000011600,2076
ENSG00000011638,2068
ENSG00000011677,0
ENSG00000012048,1088
ENSG00000012061,6227
ENSG00000012124,417
ENSG00000012171,1224
ENSG00000012174,1908
ENSG00000012211,639
ENSG00000012223,4109
ENSG00000012232,2976
ENSG00000012504,1
ENSG00000012660,30963
ENSG00000012779,2795
ENSG00000012817,4
ENSG00000012822,3652
ENSG00000012963,4392
ENSG00000012983,3611
ENSG00000013016,779
ENSG00000013275,6115
ENSG00000013288,7710
ENSG00000013293,1
ENSG00000013297,185
ENSG00000013306,4859
ENSG00000013364,17636
ENSG00000013374,4891
ENSG00000013375,1275
ENSG00000013392,210
ENSG00000013441,2287
ENSG00000013503,1023
ENSG00000013523,2448
ENSG00000013561,4514
ENSG00000013563,2140
ENSG00000013573,1294
ENSG00000013583,2958
ENSG00000013588,16462
ENSG00000013619,373
ENSG00000013725,200
ENSG00000013810,2684
ENSG00000014123,1993
ENSG00000014138,1793
ENSG00000014164,2158
ENSG00000014216,19587
ENSG00000014257,35
ENSG00000014641,8176
ENSG00000014824,5647
ENSG00000014914,681
ENSG00000014919,2433
ENSG00000015133,6623
ENSG00000015153,792
ENSG00000015171,6974
ENSG00000015285,349
ENSG00000015413,45
ENSG00000015475,878
ENSG00000015479,433
ENSG00000015520,46
ENSG00000015532,12181
ENSG00000015568,0
ENSG00000015592,1
ENSG00000015676,9256
ENSG00000016082,2
ENSG00000016391,1772
ENSG00000016402,142
ENSG00000016490,0
ENSG00000016602,5
ENSG00000016864,3721
ENSG00000017260,8321
ENSG00000017427,41
ENSG00000017483,670
ENSG00000017797,9447
ENSG00000018189,1775
ENSG00000018236,1070
ENSG00000018280,620
ENSG00000018408,3454
ENSG00000018510,4063
ENSG00000018607,1
ENSG00000018610,1558
ENSG00000018625,15
ENSG00000018699,1633
ENSG00000018869,330
ENSG00000019102,310
ENSG00000019144,6178
ENSG00000019169,35
ENSG00000019186,7
ENSG00000019485,505
ENSG00000019505,77
ENSG00000019549,1604
ENSG00000019582,60185
ENSG00000019991,238
ENSG00000019995,1344
ENSG00000020129,3139
ENSG00000020181,2421
ENSG00000020219,0
ENSG00000020256,1262
ENSG00000020426,1112
ENSG00000020577,860
ENSG00000020633,329
ENSG00000020922,1997
ENSG00000021300,656
ENSG00000021355,4047
ENSG00000021461,10
ENSG00000021488,90
ENSG00000021574,1390
ENSG00000021645,138
ENSG00000021762,1561
ENSG00000021776,4534
ENSG00000021826,163
ENSG00000021852,15
ENSG00000022267,1112
ENSG00000022277,5272
ENSG00000022355,1
ENSG00000022556,38
ENSG00000022567,815
ENSG00000022840,10627
ENSG00000022976,885
ENSG00000023041,1944
ENSG00000023171,102
ENSG00000023191,10451
ENSG00000023228,4572
ENSG00000023287,4590
ENSG00000023318,2641
ENSG00000023330,2356
ENSG00000023445,968
ENSG00000023516,3526
ENSG00000023572,420
ENSG00000023608,364
ENSG00000023697,1579
ENSG00000023734,7869
ENSG00000023839,131
ENSG00000023892,480
ENSG00000023902,1914
ENSG00000023909,2308
ENSG00000024048,4340
ENSG00000024422,6029
ENSG00000024526,914
ENSG00000024862,866
ENSG00000025039,355
ENSG00000025156,564
ENSG00000025293,4983
ENSG00000025423,648
ENSG00000025434,555
ENSG00000025708,7599
ENSG00000025770,1606
ENSG00000025772,2646
ENSG00000025796,29420
ENSG00000025800,6158
ENSG00000026025,64797
ENSG00000026036,167
ENSG00000026103,587
ENSG00000026297,1317
ENSG00000026508,6507
ENSG00000026559,20
ENSG00000026652,354
ENSG00000026751,852
ENSG00000026950,1841
ENSG00000027001,1227
ENSG00000027075,1066
ENSG00000027644,21
ENSG00000027697,2714
ENSG00000027847,2226
ENSG00000027869,72
ENSG00000028116,833
ENSG00000028137,1211
ENSG00000028203,5886
ENSG00000028277,213
ENSG00000028310,1845
ENSG00000028528,9175
ENSG00000028839,374
ENSG00000029153,1108
ENSG00000029363,8521
ENSG00000029364,7770
ENSG00000029534,196
ENSG00000029559,193
ENSG00000029639,308
ENSG00000029725,10192
ENSG00000029993,3344
ENSG00000030066,3849
ENSG00000030110,1495
ENSG00000030304,1
ENSG00000030419,771
ENSG00000030582,17110
ENSG00000031003,3091
ENSG00000031081,1745
ENSG00000031691,337
ENSG00000031698,8802
ENSG00000031823,2681
ENSG00000032219,1608
ENSG00000032389,1664
ENSG00000032444,2438
ENSG00000032742,600
ENSG00000033011,1257
ENSG00000033030,1178
ENSG00000033050,4035
ENSG00000033100,6273
ENSG00000033122,16
ENSG00000033170,5482
ENSG00000033178,4077
ENSG00000033327,3343
ENSG00000033627,3783
ENSG00000033800,2393
ENSG00000033867,1453
ENSG00000034053,496
ENSG00000034152,1975
ENSG00000034239,13
ENSG00000034510,60459
ENSG00000034533,569
ENSG00000034677,3658
ENSG00000034693,604
ENSG00000034713,3315
ENSG00000034971,0
ENSG00000035115,1765
ENSG00000035141,2668
ENSG00000035403,14585
ENSG00000035499,157
ENSG00000035664,325
ENSG00000035681,1444
ENSG00000035687,5310
ENSG00000035720,60
ENSG00000035862,38081
ENSG00000035928,3881
ENSG00000036054,2533
ENSG00000036257,5010
ENSG00000036448,476
ENSG00000036473,2
ENSG00000036530,43
ENSG00000036549,3055
ENSG00000036565,0
ENSG00000036672,92
ENSG00000036828,0
ENSG00000037042,639
ENSG00000037241,2173
ENSG00000037280,985
ENSG00000037474,5239
ENSG00000037637,2365
ENSG00000037749,1743
ENSG00000037757,1201
ENSG00000037897,1073
ENSG00000037965,207
ENSG00000038002,1350
ENSG00000038210,1243
ENSG00000038219,4895
ENSG00000038274,4749
ENSG00000038295,171
ENSG00000038358,2495
ENSG00000038382,9121
ENSG00000038427,33918
ENSG00000038532,2097
ENSG00000038945,2657
ENSG00000039068,36584
ENSG00000039123,2768
ENSG00000039139,822
ENSG00000039319,2142
ENSG00000039523,3712
ENSG00000039537,7
ENSG00000039560,6113
ENSG00000039600,192
ENSG00000039650,1611
ENSG00000039987,0
ENSG00000040199,1125
ENSG00000040275,1033
ENSG00000040341,3500
ENSG00000040487,1210
ENSG00000040531,733
ENSG00000040608,424
ENSG00000040633,2208
ENSG00000040731,0
ENSG00000040933,1513
ENSG00000041353,6247
ENSG00000041357,9003
ENSG00000041515,2
ENSG00000041802,3030
ENSG00000041880,1639
ENSG00000041982,47349
ENSG00000041988,746
ENSG00000042062,213
ENSG00000042088,2146
ENSG00000042286,1805
ENSG00000042304,0
ENSG00000042317,491
ENSG00000042429,2282
ENSG00000042445,6836
ENSG00000042493,10515
ENSG00000042753,4044
ENSG00000042781,4
ENSG00000042813,0
ENSG00000042832,68
ENSG00000042980,260
ENSG00000043039,906
ENSG00000043093,2627
ENSG00000043143,2597
ENSG00000043355,2
ENSG00000043462,1123
ENSG00000043514,1206
ENSG00000043591,112
ENSG00000044012,0
ENSG00000044090,5746
ENSG00000044115,54749
ENSG00000044446,1626
ENSG00000044459,329
ENSG00000044524,46
ENSG00000044574,25822
ENSG00000046604,19874
ENSG00000046647,863
ENSG00000046651,2408
ENSG00000046653,512
ENSG00000046774,0
ENSG00000046889,272
ENSG00000047056,1411
