Gene stable ID,d4935d78-9cac-47be-9b79-ed6b506ad79a
ENSG00000000003,10654
ENSG00000000005,1470
ENSG00000000419,4043
ENSG00000000457,4020
ENSG00000000460,1185
ENSG00000000938,609
ENSG00000000971,16394
ENSG00000001036,4334
ENSG00000001084,5489
ENSG00000001167,8038
ENSG00000001460,1052
ENSG00000001461,6802
ENSG00000001497,4181
ENSG00000001561,7895
ENSG00000001617,5638
ENSG00000001626,30
ENSG00000001629,11095
ENSG00000001630,468
ENSG00000001631,5381
ENSG00000002016,1193
ENSG00000002079,33
ENSG00000002330,1209
ENSG00000002549,16357
ENSG00000002586,9588
ENSG00000002587,450
ENSG00000002726,32
ENSG00000002745,3
ENSG00000002746,79
ENSG00000002822,749
ENSG00000002834,41795
ENSG00000002919,2655
ENSG00000002933,3470
ENSG00000003056,8372
ENSG00000003096,3404
ENSG00000003137,539
ENSG00000003147,6863
ENSG00000003249,1688
ENSG00000003393,5000
ENSG00000003400,1698
ENSG00000003402,16462
ENSG00000003436,6443
ENSG00000003509,1409
ENSG00000003756,11246
ENSG00000003987,712
ENSG00000003989,20314
ENSG00000004059,6216
ENSG00000004139,968
ENSG00000004142,9207
ENSG00000004399,8080
ENSG00000004455,12493
ENSG00000004468,909
ENSG00000004478,40777
ENSG00000004487,10468
ENSG00000004534,9095
ENSG00000004660,1146
ENSG00000004700,3201
ENSG00000004766,5121
ENSG00000004776,4551
ENSG00000004777,1203
ENSG00000004779,3607
ENSG00000004799,11570
ENSG00000004809,13
ENSG00000004838,559
ENSG00000004846,126
ENSG00000004848,82
ENSG00000004864,2478
ENSG00000004866,2198
ENSG00000004897,11521
ENSG00000004939,7
ENSG00000004948,65
ENSG00000004961,2318
ENSG00000004975,3352
ENSG00000005001,890
ENSG00000005007,10440
ENSG00000005020,4052
ENSG00000005022,16221
ENSG00000005059,1443
ENSG00000005073,20
ENSG00000005075,1195
ENSG00000005100,5268
ENSG00000005102,1921
ENSG00000005108,1103
ENSG00000005156,5220
ENSG00000005175,6162
ENSG00000005187,495
ENSG00000005189,816
ENSG00000005194,2975
ENSG00000005206,2779
ENSG00000005238,2269
ENSG00000005243,1318
ENSG00000005249,13480
ENSG00000005302,3409
ENSG00000005339,16316
ENSG00000005379,4346
ENSG00000005381,50
ENSG00000005421,587
ENSG00000005436,3896
ENSG00000005448,891
ENSG00000005469,3809
ENSG00000005471,147
ENSG00000005483,15513
ENSG00000005486,5863
ENSG00000005513,445
ENSG00000005700,13092
ENSG00000005801,3191
ENSG00000005810,18988
ENSG00000005812,10786
ENSG00000005844,2455
ENSG00000005882,2305
ENSG00000005884,9760
ENSG00000005889,10476
ENSG00000005893,27968
ENSG00000005961,77
ENSG00000005981,131
ENSG00000006007,13776
ENSG00000006015,762
ENSG00000006016,388
ENSG00000006025,1169
ENSG00000006042,6343
ENSG00000006047,789
ENSG00000006059,14
ENSG00000006062,2429
ENSG00000006071,495
ENSG00000006116,0
ENSG00000006118,3214
ENSG00000006125,52066
ENSG00000006128,436
ENSG00000006194,4710
ENSG00000006210,17553
ENSG00000006282,3912
ENSG00000006283,184
ENSG00000006327,2132
ENSG00000006377,9
ENSG00000006432,2292
ENSG00000006451,6523
ENSG00000006453,2400
ENSG00000006459,7969
ENSG00000006468,4069
ENSG00000006530,3230
ENSG00000006534,629
ENSG00000006555,483
ENSG00000006576,4179
ENSG00000006606,19
ENSG00000006607,5481
ENSG00000006611,77
ENSG00000006625,4708
ENSG00000006634,1260
ENSG00000006638,68
ENSG00000006652,5374
ENSG00000006659,5
ENSG00000006695,1687
ENSG00000006704,2372
ENSG00000006712,5889
ENSG00000006715,9906
ENSG00000006740,1142
ENSG00000006744,6780
ENSG00000006747,458
ENSG00000006756,16277
ENSG00000006757,4070
ENSG00000006788,34
ENSG00000006831,13592
ENSG00000006837,143
ENSG00000007001,56
ENSG00000007038,59
ENSG00000007047,2836
ENSG00000007062,10927
ENSG00000007080,1011
ENSG00000007129,84
ENSG00000007168,25995
ENSG00000007171,68
ENSG00000007174,147
ENSG00000007202,27857
ENSG00000007216,1180
ENSG00000007237,6395
ENSG00000007255,1105
ENSG00000007264,195
ENSG00000007306,25
ENSG00000007312,201
ENSG00000007314,577
ENSG00000007341,1374
ENSG00000007350,12
ENSG00000007372,317
ENSG00000007376,930
ENSG00000007384,3705
ENSG00000007392,4160
ENSG00000007402,1470
ENSG00000007516,3234
ENSG00000007520,1219
ENSG00000007541,2539
ENSG00000007545,3088
ENSG00000007866,3435
ENSG00000007908,3322
ENSG00000007923,3454
ENSG00000007933,883
ENSG00000007944,5737
ENSG00000007952,80
ENSG00000007968,312
ENSG00000008018,11082
ENSG00000008056,162
ENSG00000008083,4083
ENSG00000008086,3668
ENSG00000008118,7
ENSG00000008128,390
ENSG00000008130,4762
ENSG00000008196,8812
ENSG00000008197,0
ENSG00000008226,140
ENSG00000008256,5334
ENSG00000008277,2092
ENSG00000008282,16971
ENSG00000008283,11401
ENSG00000008294,17223
ENSG00000008300,356
ENSG00000008311,1898
ENSG00000008323,1156
ENSG00000008324,1186
ENSG00000008382,730
ENSG00000008394,16548
ENSG00000008405,3081
ENSG00000008438,3
ENSG00000008441,17391
ENSG00000008513,12267
ENSG00000008516,1189
ENSG00000008517,1484
ENSG00000008710,5979
ENSG00000008735,736
ENSG00000008838,8707
ENSG00000008853,2089
ENSG00000008869,8831
ENSG00000008952,31361
ENSG00000008988,62437
ENSG00000009307,86896
ENSG00000009335,13392
ENSG00000009413,8909
ENSG00000009694,518
ENSG00000009709,3
ENSG00000009724,441
ENSG00000009765,69
ENSG00000009780,2444
ENSG00000009790,623
ENSG00000009830,3202
ENSG00000009844,6274
ENSG00000009950,591
ENSG00000009954,15504
ENSG00000010017,9162
ENSG00000010030,209
ENSG00000010072,2550
ENSG00000010165,3866
ENSG00000010219,1652
ENSG00000010244,19490
ENSG00000010256,6298
ENSG00000010270,3126
ENSG00000010278,22184
ENSG00000010282,15
ENSG00000010292,5794
ENSG00000010295,770
ENSG00000010310,443
ENSG00000010318,689
ENSG00000010319,5895
ENSG00000010322,11043
ENSG00000010327,6359
ENSG00000010361,1449
ENSG00000010379,5
ENSG00000010404,19381
ENSG00000010438,4
ENSG00000010539,1698
ENSG00000010610,3191
ENSG00000010626,985
ENSG00000010671,665
ENSG00000010704,1839
ENSG00000010803,5562
ENSG00000010810,3872
ENSG00000010818,6952
ENSG00000010932,2079
ENSG00000011007,7430
ENSG00000011009,3833
ENSG00000011021,3355
ENSG00000011028,5876
ENSG00000011052,14
ENSG00000011083,2
ENSG00000011105,6277
ENSG00000011114,7097
ENSG00000011132,726
ENSG00000011143,2126
ENSG00000011198,2516
ENSG00000011201,3850
ENSG00000011243,4150
ENSG00000011258,7255
ENSG00000011260,4414
ENSG00000011275,6258
ENSG00000011295,9940
ENSG00000011304,19123
ENSG00000011332,40
ENSG00000011347,9841
ENSG00000011376,2196
ENSG00000011405,17252
ENSG00000011422,1234
ENSG00000011426,1274
ENSG00000011451,4329
ENSG00000011454,10795
ENSG00000011465,213275
ENSG00000011478,1060
ENSG00000011485,3884
ENSG00000011523,7000
ENSG00000011566,8641
ENSG00000011590,28
ENSG00000011600,1360
ENSG00000011638,4442
ENSG00000011677,19
ENSG00000012048,2128
ENSG00000012061,4435
ENSG00000012124,753
ENSG00000012171,2150
ENSG00000012174,4568
ENSG00000012211,583
ENSG00000012223,18922
ENSG00000012232,4681
ENSG00000012504,2
ENSG00000012660,33737
ENSG00000012779,1079
ENSG00000012817,0
ENSG00000012822,11901
ENSG00000012963,5883
ENSG00000012983,8215
ENSG00000013016,2202
ENSG00000013275,4807
ENSG00000013288,7590
ENSG00000013293,41
ENSG00000013297,2273
ENSG00000013306,5883
ENSG00000013364,6053
ENSG00000013374,8195
ENSG00000013375,6315
ENSG00000013392,1309
ENSG00000013441,19856
ENSG00000013503,1406
ENSG00000013523,3803
ENSG00000013561,10274
ENSG00000013563,1639
ENSG00000013573,1599
ENSG00000013583,4728
ENSG00000013588,15116
ENSG00000013619,759
ENSG00000013725,583
ENSG00000013810,1086
ENSG00000014123,5709
ENSG00000014138,1187
ENSG00000014164,1482
ENSG00000014216,9430
ENSG00000014257,93
ENSG00000014641,12980
ENSG00000014824,13265
ENSG00000014914,1928
ENSG00000014919,5344
ENSG00000015133,10117
ENSG00000015153,2085
ENSG00000015171,18127
ENSG00000015285,511
ENSG00000015413,8
ENSG00000015475,2063
ENSG00000015479,1515
ENSG00000015520,347
ENSG00000015532,4409
ENSG00000015568,0
ENSG00000015592,22
ENSG00000015676,10843
ENSG00000016082,54
ENSG00000016391,4661
ENSG00000016402,5253
ENSG00000016490,0
ENSG00000016602,182
ENSG00000016864,5733
ENSG00000017260,12323
ENSG00000017427,798
ENSG00000017483,165
ENSG00000017797,10221
ENSG00000018189,6309
ENSG00000018236,3077
ENSG00000018280,160
ENSG00000018408,12529
ENSG00000018510,9068
ENSG00000018607,0
ENSG00000018610,3410
ENSG00000018625,1248
ENSG00000018699,2761
ENSG00000018869,780
ENSG00000019102,382
ENSG00000019144,10517
ENSG00000019169,239
ENSG00000019186,134
ENSG00000019485,2263
ENSG00000019505,907
ENSG00000019549,2309
ENSG00000019582,69392
ENSG00000019991,2174
ENSG00000019995,4296
ENSG00000020129,2849
ENSG00000020181,4805
ENSG00000020219,1
ENSG00000020256,1850
ENSG00000020426,1865
ENSG00000020577,6618
ENSG00000020633,1528
ENSG00000020922,5488
ENSG00000021300,1674
ENSG00000021355,6821
ENSG00000021461,27
ENSG00000021488,99
ENSG00000021574,3930
ENSG00000021645,758
ENSG00000021762,2107
ENSG00000021776,10736
ENSG00000021826,738
ENSG00000021852,2
ENSG00000022267,46352
ENSG00000022277,8147
ENSG00000022355,1
ENSG00000022556,4587
ENSG00000022567,1653
ENSG00000022840,11800
ENSG00000022976,1097
ENSG00000023041,5114
ENSG00000023171,319
ENSG00000023191,6660
ENSG00000023228,14898
ENSG00000023287,14790
ENSG00000023318,6500
ENSG00000023330,4663
ENSG00000023445,3284
ENSG00000023516,11827
ENSG00000023572,649
ENSG00000023608,1182
ENSG00000023697,2352
ENSG00000023734,14164
ENSG00000023839,278
ENSG00000023892,1441
ENSG00000023902,2378
ENSG00000023909,4991
ENSG00000024048,11478
ENSG00000024422,10828
ENSG00000024526,520
ENSG00000024862,2326
ENSG00000025039,2277
ENSG00000025156,3001
ENSG00000025293,9560
ENSG00000025423,134
ENSG00000025434,1918
ENSG00000025708,2792
ENSG00000025770,1808
ENSG00000025772,2727
ENSG00000025796,20631
ENSG00000025800,13448
