Gene stable ID,d0f33491-a607-419d-9696-7a627fa9e7b8
ENSG00000000003,2736
ENSG00000000005,34
ENSG00000000419,2158
ENSG00000000457,1754
ENSG00000000460,526
ENSG00000000938,555
ENSG00000000971,3077
ENSG00000001036,2519
ENSG00000001084,1236
ENSG00000001167,2070
ENSG00000001460,589
ENSG00000001461,1148
ENSG00000001497,2679
ENSG00000001561,738
ENSG00000001617,4909
ENSG00000001626,7
ENSG00000001629,2715
ENSG00000001630,161
ENSG00000001631,1563
ENSG00000002016,398
ENSG00000002079,20
ENSG00000002330,2182
ENSG00000002549,9512
ENSG00000002586,15379
ENSG00000002587,331
ENSG00000002726,92
ENSG00000002745,5
ENSG00000002746,49
ENSG00000002822,1648
ENSG00000002834,18229
ENSG00000002919,1557
ENSG00000002933,2706
ENSG00000003056,3161
ENSG00000003096,589
ENSG00000003137,113
ENSG00000003147,4354
ENSG00000003249,1564
ENSG00000003393,1426
ENSG00000003400,679
ENSG00000003402,5192
ENSG00000003436,863
ENSG00000003509,555
ENSG00000003756,4845
ENSG00000003987,323
ENSG00000003989,13004
ENSG00000004059,4757
ENSG00000004139,661
ENSG00000004142,6038
ENSG00000004399,5752
ENSG00000004455,6566
ENSG00000004468,593
ENSG00000004478,19414
ENSG00000004487,6534
ENSG00000004534,3024
ENSG00000004660,462
ENSG00000004700,1506
ENSG00000004766,1264
ENSG00000004776,452
ENSG00000004777,596
ENSG00000004779,4594
ENSG00000004799,1087
ENSG00000004809,5
ENSG00000004838,4250
ENSG00000004846,12
ENSG00000004848,6
ENSG00000004864,833
ENSG00000004866,1455
ENSG00000004897,3259
ENSG00000004939,2
ENSG00000004948,6
ENSG00000004961,1238
ENSG00000004975,1218
ENSG00000005001,1213
ENSG00000005007,6741
ENSG00000005020,1356
ENSG00000005022,13292
ENSG00000005059,1624
ENSG00000005073,54
ENSG00000005075,1177
ENSG00000005100,859
ENSG00000005102,336
ENSG00000005108,199
ENSG00000005156,1172
ENSG00000005175,2015
ENSG00000005187,197
ENSG00000005189,787
ENSG00000005194,1635
ENSG00000005206,2979
ENSG00000005238,1330
ENSG00000005243,1390
ENSG00000005249,562
ENSG00000005302,1556
ENSG00000005339,6596
ENSG00000005379,870
ENSG00000005381,14
ENSG00000005421,2
ENSG00000005436,1249
ENSG00000005448,2190
ENSG00000005469,2727
ENSG00000005471,120
ENSG00000005483,2568
ENSG00000005486,7736
ENSG00000005513,47
ENSG00000005700,2722
ENSG00000005801,1312
ENSG00000005810,3937
ENSG00000005812,3841
ENSG00000005844,2987
ENSG00000005882,1045
ENSG00000005884,4549
ENSG00000005889,2313
ENSG00000005893,9515
ENSG00000005961,43
ENSG00000005981,2
ENSG00000006007,8702
ENSG00000006015,453
ENSG00000006016,349
ENSG00000006025,745
ENSG00000006042,1980
ENSG00000006047,417
ENSG00000006059,1
ENSG00000006062,1288
ENSG00000006071,170
ENSG00000006116,0
ENSG00000006118,6005
ENSG00000006125,19353
ENSG00000006128,14
ENSG00000006194,3249
ENSG00000006210,1358
ENSG00000006282,3865
ENSG00000006283,37
ENSG00000006327,4104
ENSG00000006377,3
ENSG00000006432,782
ENSG00000006451,5526
ENSG00000006453,681
ENSG00000006459,1664
ENSG00000006468,918
ENSG00000006530,896
ENSG00000006534,1211
ENSG00000006555,313
ENSG00000006576,1727
ENSG00000006606,20
ENSG00000006607,2211
ENSG00000006611,6
ENSG00000006625,4983
ENSG00000006634,1185
ENSG00000006638,78
ENSG00000006652,786
ENSG00000006659,2
ENSG00000006695,958
ENSG00000006704,2302
ENSG00000006712,4290
ENSG00000006715,2929
ENSG00000006740,364
ENSG00000006744,3601
ENSG00000006747,1490
ENSG00000006756,5359
ENSG00000006757,2085
ENSG00000006788,50
ENSG00000006831,5609
ENSG00000006837,69
ENSG00000007001,5
ENSG00000007038,14
ENSG00000007047,2477
ENSG00000007062,1289
ENSG00000007080,1964
ENSG00000007129,460
ENSG00000007168,6412
ENSG00000007171,31
ENSG00000007174,531
ENSG00000007202,8104
ENSG00000007216,130
ENSG00000007237,3952
ENSG00000007255,1603
ENSG00000007264,564
ENSG00000007306,26
ENSG00000007312,569
ENSG00000007314,67
ENSG00000007341,676
ENSG00000007350,3
ENSG00000007372,174
ENSG00000007376,1536
ENSG00000007384,3354
ENSG00000007392,2323
ENSG00000007402,1459
ENSG00000007516,2967
ENSG00000007520,2447
ENSG00000007541,5225
ENSG00000007545,1531
ENSG00000007866,2713
ENSG00000007908,471
ENSG00000007923,1245
ENSG00000007933,61
ENSG00000007944,1801
ENSG00000007952,43
ENSG00000007968,431
ENSG00000008018,12359
ENSG00000008056,141
ENSG00000008083,1728
ENSG00000008086,1355
ENSG00000008118,8
ENSG00000008128,164
ENSG00000008130,2554
ENSG00000008196,125
ENSG00000008197,0
ENSG00000008226,20
ENSG00000008256,4735
ENSG00000008277,1262
ENSG00000008282,4403
ENSG00000008283,12534
ENSG00000008294,3648
ENSG00000008300,925
ENSG00000008311,176
ENSG00000008323,327
ENSG00000008324,1009
ENSG00000008382,1125
ENSG00000008394,4819
ENSG00000008405,1279
ENSG00000008438,0
ENSG00000008441,3308
ENSG00000008513,4712
ENSG00000008516,374
ENSG00000008517,3804
ENSG00000008710,4239
ENSG00000008735,319
ENSG00000008838,4755
ENSG00000008853,1418
ENSG00000008869,2014
ENSG00000008952,9401
ENSG00000008988,50004
ENSG00000009307,33886
ENSG00000009335,7693
ENSG00000009413,1259
ENSG00000009694,24
ENSG00000009709,2
ENSG00000009724,43
ENSG00000009765,18
ENSG00000009780,811
ENSG00000009790,828
ENSG00000009830,1792
ENSG00000009844,2820
ENSG00000009950,217
ENSG00000009954,7062
ENSG00000010017,7328
ENSG00000010030,748
ENSG00000010072,769
ENSG00000010165,2246
ENSG00000010219,1662
ENSG00000010244,6562
ENSG00000010256,8527
ENSG00000010270,1761
ENSG00000010278,30059
ENSG00000010282,12
ENSG00000010292,4228
ENSG00000010295,611
ENSG00000010310,187
ENSG00000010318,315
ENSG00000010319,960
ENSG00000010322,4274
ENSG00000010327,2232
ENSG00000010361,1556
ENSG00000010379,1
ENSG00000010404,7654
ENSG00000010438,6
ENSG00000010539,1467
ENSG00000010610,6205
ENSG00000010626,2375
ENSG00000010671,839
ENSG00000010704,701
ENSG00000010803,2211
ENSG00000010810,2434
ENSG00000010818,1679
ENSG00000010932,517
ENSG00000011007,2555
ENSG00000011009,4602
ENSG00000011021,1130
ENSG00000011028,8171
ENSG00000011052,10
ENSG00000011083,8
ENSG00000011105,5848
ENSG00000011114,2745
ENSG00000011132,822
ENSG00000011143,1329
ENSG00000011198,733
ENSG00000011201,859
ENSG00000011243,2640
ENSG00000011258,1152
ENSG00000011260,2428
ENSG00000011275,2808
ENSG00000011295,6746
ENSG00000011304,19129
ENSG00000011332,113
ENSG00000011347,1222
ENSG00000011376,1105
ENSG00000011405,2489
ENSG00000011422,3778
