Gene stable ID,dc39c2b2-4fd8-496d-bc2a-b25927aefaa1
ENSG00000000003,2519
ENSG00000000005,373
ENSG00000000419,2502
ENSG00000000457,1293
ENSG00000000460,966
ENSG00000000938,4159
ENSG00000000971,16701
ENSG00000001036,6835
ENSG00000001084,4149
ENSG00000001167,6631
ENSG00000001460,447
ENSG00000001461,3523
ENSG00000001497,4875
ENSG00000001561,2628
ENSG00000001617,1980
ENSG00000001626,3
ENSG00000001629,9200
ENSG00000001630,375
ENSG00000001631,3287
ENSG00000002016,473
ENSG00000002079,14
ENSG00000002330,1158
ENSG00000002549,32812
ENSG00000002586,18154
ENSG00000002587,751
ENSG00000002726,417
ENSG00000002745,33
ENSG00000002746,38
ENSG00000002822,1733
ENSG00000002834,26262
ENSG00000002919,3353
ENSG00000002933,10301
ENSG00000003056,13702
ENSG00000003096,226
ENSG00000003137,2006
ENSG00000003147,1021
ENSG00000003249,780
ENSG00000003393,2049
ENSG00000003400,2871
ENSG00000003402,16518
ENSG00000003436,3115
ENSG00000003509,1013
ENSG00000003756,6062
ENSG00000003987,86
ENSG00000003989,1697
ENSG00000004059,7827
ENSG00000004139,671
ENSG00000004142,6578
ENSG00000004399,23035
ENSG00000004455,10962
ENSG00000004468,3796
ENSG00000004478,18274
ENSG00000004487,5735
ENSG00000004534,5164
ENSG00000004660,609
ENSG00000004700,6386
ENSG00000004766,3354
ENSG00000004776,3444
ENSG00000004777,823
ENSG00000004779,3296
ENSG00000004799,16486
ENSG00000004809,38
ENSG00000004838,50
ENSG00000004846,11
ENSG00000004848,2
ENSG00000004864,3990
ENSG00000004866,2404
ENSG00000004897,9765
ENSG00000004939,8
ENSG00000004948,61
ENSG00000004961,2040
ENSG00000004975,1876
ENSG00000005001,78
ENSG00000005007,11412
ENSG00000005020,7921
ENSG00000005022,28422
ENSG00000005059,3628
ENSG00000005073,683
ENSG00000005075,1607
ENSG00000005100,2498
ENSG00000005102,1156
ENSG00000005108,1236
ENSG00000005156,3408
ENSG00000005175,3780
ENSG00000005187,395
ENSG00000005189,403
ENSG00000005194,3664
ENSG00000005206,1261
ENSG00000005238,1558
ENSG00000005243,1735
ENSG00000005249,4655
ENSG00000005302,4757
ENSG00000005339,11306
ENSG00000005379,360
ENSG00000005381,49
ENSG00000005421,4
ENSG00000005436,2016
ENSG00000005448,580
ENSG00000005469,1203
ENSG00000005471,309
ENSG00000005483,10645
ENSG00000005486,3488
ENSG00000005513,159
ENSG00000005700,7695
ENSG00000005801,1466
ENSG00000005810,21520
ENSG00000005812,7355
ENSG00000005844,17209
ENSG00000005882,1196
ENSG00000005884,2225
ENSG00000005889,6086
ENSG00000005893,32172
ENSG00000005961,44
ENSG00000005981,59
ENSG00000006007,6225
ENSG00000006015,850
ENSG00000006016,285
ENSG00000006025,656
ENSG00000006042,1814
ENSG00000006047,136
ENSG00000006059,0
ENSG00000006062,3556
ENSG00000006071,2
ENSG00000006116,9
ENSG00000006118,1009
ENSG00000006125,26800
ENSG00000006128,2
ENSG00000006194,2303
ENSG00000006210,2663
ENSG00000006282,2415
ENSG00000006283,84
ENSG00000006327,1509
ENSG00000006377,98
ENSG00000006432,905
ENSG00000006451,7450
ENSG00000006453,2832
ENSG00000006459,8037
ENSG00000006468,1134
ENSG00000006530,2798
ENSG00000006534,2207
ENSG00000006555,671
ENSG00000006576,5116
ENSG00000006606,62
ENSG00000006607,3587
ENSG00000006611,7
ENSG00000006625,2472
ENSG00000006634,3018
ENSG00000006638,267
ENSG00000006652,5466
ENSG00000006659,3
ENSG00000006695,1592
ENSG00000006704,924
ENSG00000006712,5550
ENSG00000006715,6267
ENSG00000006740,520
ENSG00000006744,6484
ENSG00000006747,221
ENSG00000006756,3933
ENSG00000006757,795
ENSG00000006788,14
ENSG00000006831,13233
ENSG00000006837,27
ENSG00000007001,9
ENSG00000007038,24
ENSG00000007047,2269
ENSG00000007062,5485
ENSG00000007080,2290
ENSG00000007129,455
ENSG00000007168,15819
ENSG00000007171,67
ENSG00000007174,21
ENSG00000007202,18905
ENSG00000007216,0
ENSG00000007237,9284
ENSG00000007255,1028
ENSG00000007264,795
ENSG00000007306,1
ENSG00000007312,2051
ENSG00000007314,277
ENSG00000007341,688
ENSG00000007350,40
ENSG00000007372,143
ENSG00000007376,1258
ENSG00000007384,962
ENSG00000007392,1602
ENSG00000007402,147
ENSG00000007516,109
ENSG00000007520,1649
ENSG00000007541,1320
ENSG00000007545,1410
ENSG00000007866,1869
ENSG00000007908,1356
ENSG00000007923,2685
ENSG00000007933,292
ENSG00000007944,3300
ENSG00000007952,44
ENSG00000007968,1474
ENSG00000008018,12312
ENSG00000008056,115
ENSG00000008083,3399
ENSG00000008086,1416
ENSG00000008118,85
ENSG00000008128,293
ENSG00000008130,6932
ENSG00000008196,7
ENSG00000008197,0
ENSG00000008226,33
ENSG00000008256,3657
ENSG00000008277,647
ENSG00000008282,11844
ENSG00000008283,5235
ENSG00000008294,13628
ENSG00000008300,1216
ENSG00000008311,454
ENSG00000008323,1457
ENSG00000008324,1436
ENSG00000008382,1217
ENSG00000008394,9112
ENSG00000008405,2620
ENSG00000008438,0
ENSG00000008441,7447
ENSG00000008513,9594
ENSG00000008516,1267
ENSG00000008517,12619
ENSG00000008710,3272
ENSG00000008735,1216
ENSG00000008838,5154
ENSG00000008853,1737
ENSG00000008869,4448
ENSG00000008952,15085
ENSG00000008988,82845
ENSG00000009307,72408
ENSG00000009335,10865
ENSG00000009413,5155
ENSG00000009694,277
ENSG00000009709,0
ENSG00000009724,74
ENSG00000009765,3
ENSG00000009780,1345
ENSG00000009790,4507
ENSG00000009830,1360
ENSG00000009844,4803
ENSG00000009950,135
ENSG00000009954,19233
ENSG00000010017,5282
ENSG00000010030,1517
ENSG00000010072,1343
ENSG00000010165,3169
ENSG00000010219,1550
ENSG00000010244,14868
ENSG00000010256,9850
ENSG00000010270,3023
ENSG00000010278,19644
ENSG00000010282,0
ENSG00000010292,15143
ENSG00000010295,1542
ENSG00000010310,30
ENSG00000010318,324
ENSG00000010319,5396
ENSG00000010322,5816
ENSG00000010327,10818
ENSG00000010361,805
ENSG00000010379,3
ENSG00000010404,14901
ENSG00000010438,22
ENSG00000010539,1560
ENSG00000010610,35385
ENSG00000010626,308
ENSG00000010671,4084
ENSG00000010704,1215
ENSG00000010803,2630
ENSG00000010810,9300
ENSG00000010818,7893
ENSG00000010932,2634
ENSG00000011007,5974
ENSG00000011009,3107
ENSG00000011021,1511
ENSG00000011028,10761
ENSG00000011052,17
ENSG00000011083,16
ENSG00000011105,2407
ENSG00000011114,4360
ENSG00000011132,941
ENSG00000011143,699
ENSG00000011198,2139
ENSG00000011201,2189
ENSG00000011243,2139
ENSG00000011258,2234
ENSG00000011260,4683
ENSG00000011275,5756
ENSG00000011295,3810
ENSG00000011304,21259
ENSG00000011332,43
ENSG00000011347,1257
ENSG00000011376,3062
ENSG00000011405,7978
ENSG00000011422,5792
ENSG00000011426,10787
ENSG00000011451,3347
ENSG00000011454,6041
ENSG00000011465,126125
ENSG00000011478,579
ENSG00000011485,4365
ENSG00000011523,3563
ENSG00000011566,2731
ENSG00000011590,197
ENSG00000011600,11336
ENSG00000011638,1598
ENSG00000011677,7
ENSG00000012048,2315
ENSG00000012061,4283
ENSG00000012124,2169
ENSG00000012171,112
ENSG00000012174,3510
ENSG00000012211,605
ENSG00000012223,1801
ENSG00000012232,3906
ENSG00000012504,0
ENSG00000012660,18052
ENSG00000012779,6299
ENSG00000012817,0
ENSG00000012822,4633
ENSG00000012963,4489
ENSG00000012983,2934
ENSG00000013016,1956
ENSG00000013275,10365
ENSG00000013288,6844
ENSG00000013293,4
ENSG00000013297,655
ENSG00000013306,6863
ENSG00000013364,14739
ENSG00000013374,16113
ENSG00000013375,4921
ENSG00000013392,567
ENSG00000013441,4599
ENSG00000013503,1518
ENSG00000013523,3251
ENSG00000013561,5789
ENSG00000013563,1307
ENSG00000013573,2127
ENSG00000013583,3702
ENSG00000013588,2196
ENSG00000013619,504
ENSG00000013725,6915
ENSG00000013810,5458
ENSG00000014123,5533
ENSG00000014138,2363
ENSG00000014164,1735
ENSG00000014216,10719
ENSG00000014257,135
ENSG00000014641,12654
ENSG00000014824,5917
ENSG00000014914,408
ENSG00000014919,3791
ENSG00000015133,5621
ENSG00000015153,1604
ENSG00000015171,7912
ENSG00000015285,3960
ENSG00000015413,140
ENSG00000015475,2445
ENSG00000015479,591
ENSG00000015520,4
ENSG00000015532,1904
ENSG00000015568,1
ENSG00000015592,2
ENSG00000015676,7064
ENSG00000016082,2
ENSG00000016391,1481
ENSG00000016402,112
ENSG00000016490,0
ENSG00000016602,0
ENSG00000016864,4281
ENSG00000017260,14041
ENSG00000017427,1816
ENSG00000017483,1554
ENSG00000017797,11034
ENSG00000018189,2717
ENSG00000018236,1766
ENSG00000018280,561
ENSG00000018408,9203
ENSG00000018510,9825
ENSG00000018607,3
ENSG00000018610,2180
ENSG00000018625,326
ENSG00000018699,2060
ENSG00000018869,223
ENSG00000019102,25
ENSG00000019144,6569
ENSG00000019169,3947
ENSG00000019186,5
ENSG00000019485,895
ENSG00000019505,426
ENSG00000019549,2206
ENSG00000019582,544957
ENSG00000019991,793
ENSG00000019995,1797
ENSG00000020129,3298
ENSG00000020181,3720
ENSG00000020219,0
ENSG00000020256,1586
ENSG00000020426,952
ENSG00000020577,3060
ENSG00000020633,5974
ENSG00000020922,3571
ENSG00000021300,710
ENSG00000021355,8546
ENSG00000021461,3
ENSG00000021488,14
ENSG00000021574,3480
ENSG00000021645,139
ENSG00000021762,1373
ENSG00000021776,7366
ENSG00000021826,301
ENSG00000021852,0
ENSG00000022267,16191
ENSG00000022277,7315
ENSG00000022355,0
ENSG00000022556,530
ENSG00000022567,1704
ENSG00000022840,12026
ENSG00000022976,420
ENSG00000023041,3544
ENSG00000023171,1519
ENSG00000023191,10288
ENSG00000023228,7969
ENSG00000023287,13734
ENSG00000023318,9102
ENSG00000023330,11124
ENSG00000023445,20707
ENSG00000023516,9165
ENSG00000023572,562
ENSG00000023608,773
ENSG00000023697,2463
ENSG00000023734,18094
ENSG00000023839,81
ENSG00000023892,3830
ENSG00000023902,9270
ENSG00000023909,4114
ENSG00000024048,10002
ENSG00000024422,9682
ENSG00000024526,3540
ENSG00000024862,2353
ENSG00000025039,2198
ENSG00000025156,1490
ENSG00000025293,6478
ENSG00000025423,282
ENSG00000025434,7438
ENSG00000025708,13129
ENSG00000025770,2293
ENSG00000025772,3160
ENSG00000025796,13545
ENSG00000025800,10462
ENSG00000026025,144713
ENSG00000026036,65
ENSG00000026103,4162
ENSG00000026297,5098
ENSG00000026508,82306
ENSG00000026559,212
ENSG00000026652,865
ENSG00000026751,19008
ENSG00000026950,7598
ENSG00000027001,1067
ENSG00000027075,7794
ENSG00000027644,33
ENSG00000027697,15706
ENSG00000027847,1419
ENSG00000027869,1350
ENSG00000028116,3591
ENSG00000028137,18198
ENSG00000028203,4365
ENSG00000028277,2644
ENSG00000028310,2120
ENSG00000028528,10039
ENSG00000028839,1501
ENSG00000029153,3471
ENSG00000029363,14280
ENSG00000029364,7799
ENSG00000029534,508
ENSG00000029559,132
ENSG00000029639,711
ENSG00000029725,8473
ENSG00000029993,5560
ENSG00000030066,9591
ENSG00000030110,3369
ENSG00000030304,19
ENSG00000030419,2645
ENSG00000030582,55514
ENSG00000031003,4213
ENSG00000031081,10793
ENSG00000031691,650
ENSG00000031698,11626
ENSG00000031823,4063
ENSG00000032219,3426
ENSG00000032389,1540
ENSG00000032444,4685
ENSG00000032742,633
ENSG00000033011,1501
ENSG00000033030,1991
ENSG00000033050,7070
ENSG00000033100,6043
ENSG00000033122,36
ENSG00000033170,4350
ENSG00000033178,5950
ENSG00000033327,3974
ENSG00000033627,5885
ENSG00000033800,5726
ENSG00000033867,5536
ENSG00000034053,1436
ENSG00000034152,4234
ENSG00000034239,3
ENSG00000034510,96719
ENSG00000034533,957
ENSG00000034677,9094
ENSG00000034693,1386
ENSG00000034713,6903
ENSG00000034971,13
ENSG00000035115,2270
ENSG00000035141,5519
ENSG00000035403,22328
ENSG00000035499,1036
ENSG00000035664,729
ENSG00000035681,6260
ENSG00000035687,6849
ENSG00000035720,438
ENSG00000035862,50755
ENSG00000035928,6920
ENSG00000036054,5019
ENSG00000036257,6963
ENSG00000036448,154
ENSG00000036473,18
ENSG00000036530,67
ENSG00000036549,5618
ENSG00000036565,26
ENSG00000036672,185
ENSG00000036828,3
ENSG00000037042,550
ENSG00000037241,1156
ENSG00000037280,1092
ENSG00000037474,6399
ENSG00000037637,2821
ENSG00000037749,3528
ENSG00000037757,734
ENSG00000037897,1336
ENSG00000037965,610
ENSG00000038002,1235
ENSG00000038210,2345
ENSG00000038219,8542
ENSG00000038274,12312
ENSG00000038295,1138
ENSG00000038358,3741
ENSG00000038382,8068
ENSG00000038427,76291
ENSG00000038532,2940
ENSG00000038945,11046
ENSG00000039068,11982
ENSG00000039123,7262
ENSG00000039139,54
ENSG00000039319,5480
ENSG00000039523,6461
ENSG00000039537,1300
ENSG00000039560,6436
ENSG00000039600,46
ENSG00000039650,1382
ENSG00000039987,1
ENSG00000040199,2056
ENSG00000040275,2245
ENSG00000040341,4436
ENSG00000040487,904
ENSG00000040531,2184
ENSG00000040608,301
ENSG00000040633,2922
ENSG00000040731,1
ENSG00000040933,6023
ENSG00000041353,456
ENSG00000041357,11910
ENSG00000041515,74
ENSG00000041802,3843
ENSG00000041880,1400
ENSG00000041982,21530
ENSG00000041988,610
ENSG00000042062,444
ENSG00000042088,2783
ENSG00000042286,2213
ENSG00000042304,1
ENSG00000042317,547
ENSG00000042429,2785
ENSG00000042445,6877
ENSG00000042493,28893
ENSG00000042753,7686
ENSG00000042781,6
ENSG00000042813,0
ENSG00000042832,124
ENSG00000042980,4342
ENSG00000043039,122
ENSG00000043093,5424
ENSG00000043143,6556
ENSG00000043355,98
ENSG00000043462,13758
ENSG00000043514,1719
ENSG00000043591,90
ENSG00000044012,0
ENSG00000044090,3566
ENSG00000044115,26192
ENSG00000044446,2620
ENSG00000044459,1302
ENSG00000044524,934
ENSG00000044574,71748
ENSG00000046604,45031
ENSG00000046647,965
ENSG00000046651,3075
ENSG00000046653,637
ENSG00000046774,0
ENSG00000046889,2131
ENSG00000047056,2909
ENSG00000047188,4281
ENSG00000047230,1822
ENSG00000047249,5557
ENSG00000047315,12609
ENSG00000047346,3427
ENSG00000047365,6075
ENSG00000047410,20032
ENSG00000047457,12867
ENSG00000047578,1565
ENSG00000047579,1887
ENSG00000047597,542
ENSG00000047617,94
ENSG00000047621,3273
ENSG00000047634,626
