Gene stable ID,bd827b89-eb98-4f9d-ba9d-33e0d016ccea
ENSG00000000003,3877
ENSG00000000005,235
ENSG00000000419,1898
ENSG00000000457,1961
ENSG00000000460,681
ENSG00000000938,1179
ENSG00000000971,2972
ENSG00000001036,5407
ENSG00000001084,2136
ENSG00000001167,3555
ENSG00000001460,425
ENSG00000001461,1834
ENSG00000001497,2977
ENSG00000001561,1546
ENSG00000001617,11438
ENSG00000001626,17
ENSG00000001629,5182
ENSG00000001630,616
ENSG00000001631,1917
ENSG00000002016,507
ENSG00000002079,9
ENSG00000002330,2347
ENSG00000002549,11087
ENSG00000002586,13594
ENSG00000002587,713
ENSG00000002726,76
ENSG00000002745,8
ENSG00000002746,27
ENSG00000002822,1855
ENSG00000002834,22721
ENSG00000002919,1865
ENSG00000002933,5534
ENSG00000003056,5477
ENSG00000003096,209
ENSG00000003137,516
ENSG00000003147,2899
ENSG00000003249,1584
ENSG00000003393,2039
ENSG00000003400,817
ENSG00000003402,7748
ENSG00000003436,954
ENSG00000003509,682
ENSG00000003756,6191
ENSG00000003987,89
ENSG00000003989,1967
ENSG00000004059,10589
ENSG00000004139,395
ENSG00000004142,7823
ENSG00000004399,17751
ENSG00000004455,5700
ENSG00000004468,461
ENSG00000004478,19692
ENSG00000004487,3816
ENSG00000004534,4519
ENSG00000004660,825
ENSG00000004700,1900
ENSG00000004766,1912
ENSG00000004776,1495
ENSG00000004777,724
ENSG00000004779,2880
ENSG00000004799,6273
ENSG00000004809,2
ENSG00000004838,1674
ENSG00000004846,58
ENSG00000004848,144
ENSG00000004864,1976
ENSG00000004866,1930
ENSG00000004897,4476
ENSG00000004939,2
ENSG00000004948,23
ENSG00000004961,1647
ENSG00000004975,2438
ENSG00000005001,924
ENSG00000005007,9356
ENSG00000005020,2277
ENSG00000005022,13623
ENSG00000005059,1591
ENSG00000005073,48
ENSG00000005075,1988
ENSG00000005100,2054
ENSG00000005102,1222
ENSG00000005108,421
ENSG00000005156,2267
ENSG00000005175,2238
ENSG00000005187,218
ENSG00000005189,284
ENSG00000005194,2000
ENSG00000005206,3501
ENSG00000005238,2179
ENSG00000005243,1282
ENSG00000005249,5403
ENSG00000005302,2237
ENSG00000005339,7740
ENSG00000005379,1477
ENSG00000005381,10
ENSG00000005421,53
ENSG00000005436,1474
ENSG00000005448,896
ENSG00000005469,2619
ENSG00000005471,163
ENSG00000005483,5837
ENSG00000005486,8269
ENSG00000005513,105
ENSG00000005700,4394
ENSG00000005801,1131
ENSG00000005810,6650
ENSG00000005812,6149
ENSG00000005844,5102
ENSG00000005882,1590
ENSG00000005884,4518
ENSG00000005889,3682
ENSG00000005893,13648
ENSG00000005961,31
ENSG00000005981,5
ENSG00000006007,7533
ENSG00000006015,1448
ENSG00000006016,267
ENSG00000006025,886
ENSG00000006042,4804
ENSG00000006047,1642
ENSG00000006059,2
ENSG00000006062,2105
ENSG00000006071,1858
ENSG00000006116,0
ENSG00000006118,6749
ENSG00000006125,31319
ENSG00000006128,25
ENSG00000006194,2379
ENSG00000006210,2942
ENSG00000006282,8307
ENSG00000006283,667
ENSG00000006327,3824
ENSG00000006377,6
ENSG00000006432,1055
ENSG00000006451,5441
ENSG00000006453,2506
ENSG00000006459,1761
ENSG00000006468,545
ENSG00000006530,1928
ENSG00000006534,1725
ENSG00000006555,385
ENSG00000006576,2210
ENSG00000006606,13
ENSG00000006607,2321
ENSG00000006611,3
ENSG00000006625,4216
ENSG00000006634,531
ENSG00000006638,263
ENSG00000006652,1200
ENSG00000006659,3
ENSG00000006695,1084
ENSG00000006704,2656
ENSG00000006712,5462
ENSG00000006715,3575
ENSG00000006740,1144
ENSG00000006744,5616
ENSG00000006747,609
ENSG00000006756,10698
ENSG00000006757,2497
ENSG00000006788,42
ENSG00000006831,8404
ENSG00000006837,75
ENSG00000007001,5
ENSG00000007038,77
ENSG00000007047,3410
ENSG00000007062,782
ENSG00000007080,3559
ENSG00000007129,142
ENSG00000007168,10267
ENSG00000007171,18
ENSG00000007174,31
ENSG00000007202,16334
ENSG00000007216,814
ENSG00000007237,6911
ENSG00000007255,2002
ENSG00000007264,545
ENSG00000007306,15
ENSG00000007312,410
ENSG00000007314,546
ENSG00000007341,1003
ENSG00000007350,21
ENSG00000007372,116
ENSG00000007376,1811
ENSG00000007384,2673
ENSG00000007392,3942
ENSG00000007402,708
ENSG00000007516,223
ENSG00000007520,3009
ENSG00000007541,6155
ENSG00000007545,1483
ENSG00000007866,3111
ENSG00000007908,3158
ENSG00000007923,1523
ENSG00000007933,112
ENSG00000007944,3525
ENSG00000007952,49
ENSG00000007968,228
ENSG00000008018,8944
ENSG00000008056,45
ENSG00000008083,4201
ENSG00000008086,750
ENSG00000008118,9
ENSG00000008128,315
ENSG00000008130,3822
ENSG00000008196,16029
ENSG00000008197,0
ENSG00000008226,56
ENSG00000008256,2548
ENSG00000008277,925
ENSG00000008282,7981
ENSG00000008283,11053
ENSG00000008294,5405
ENSG00000008300,3394
ENSG00000008311,295
ENSG00000008323,1349
ENSG00000008324,1016
ENSG00000008382,1502
ENSG00000008394,21727
ENSG00000008405,2068
ENSG00000008438,5
ENSG00000008441,7201
ENSG00000008513,12602
ENSG00000008516,191
ENSG00000008517,4343
ENSG00000008710,6052
ENSG00000008735,1924
ENSG00000008838,5899
ENSG00000008853,2555
ENSG00000008869,3249
ENSG00000008952,11810
ENSG00000008988,43263
ENSG00000009307,57086
ENSG00000009335,6585
ENSG00000009413,1915
ENSG00000009694,36
ENSG00000009709,7
ENSG00000009724,51
ENSG00000009765,140
ENSG00000009780,740
ENSG00000009790,1261
ENSG00000009830,2447
ENSG00000009844,3013
ENSG00000009950,128
ENSG00000009954,7982
ENSG00000010017,3814
ENSG00000010030,379
ENSG00000010072,1024
ENSG00000010165,3708
ENSG00000010219,1347
ENSG00000010244,9722
ENSG00000010256,9505
ENSG00000010270,2389
ENSG00000010278,23825
ENSG00000010282,10
ENSG00000010292,4529
ENSG00000010295,1171
ENSG00000010310,212
ENSG00000010318,310
ENSG00000010319,2660
ENSG00000010322,7231
ENSG00000010327,6487
ENSG00000010361,2065
ENSG00000010379,4
ENSG00000010404,9949
ENSG00000010438,12
ENSG00000010539,801
ENSG00000010610,8130
ENSG00000010626,619
ENSG00000010671,817
ENSG00000010704,1493
ENSG00000010803,2262
ENSG00000010810,3519
ENSG00000010818,2060
ENSG00000010932,197
ENSG00000011007,2768
ENSG00000011009,3830
ENSG00000011021,988
ENSG00000011028,15202
ENSG00000011052,249
ENSG00000011083,4
ENSG00000011105,7406
ENSG00000011114,2693
ENSG00000011132,1322
ENSG00000011143,1317
ENSG00000011198,1534
ENSG00000011201,949
ENSG00000011243,3012
ENSG00000011258,1688
ENSG00000011260,2706
ENSG00000011275,4736
ENSG00000011295,4806
ENSG00000011304,21925
ENSG00000011332,38
ENSG00000011347,10531
ENSG00000011376,2125
ENSG00000011405,4499
ENSG00000011422,2649
ENSG00000011426,1158
ENSG00000011451,6000
ENSG00000011454,4959
ENSG00000011465,39417
ENSG00000011478,625
ENSG00000011485,3806
ENSG00000011523,2340
ENSG00000011566,2897
ENSG00000011590,51
ENSG00000011600,6482
ENSG00000011638,2273
ENSG00000011677,1
ENSG00000012048,959
ENSG00000012061,4358
ENSG00000012124,611
ENSG00000012171,5300
ENSG00000012174,1970
ENSG00000012211,610
ENSG00000012223,3599
ENSG00000012232,4593
ENSG00000012504,0
ENSG00000012660,23133
ENSG00000012779,3633
ENSG00000012817,1
ENSG00000012822,6573
ENSG00000012963,3402
ENSG00000012983,3001
ENSG00000013016,1317
ENSG00000013275,5486
ENSG00000013288,7315
ENSG00000013293,2
ENSG00000013297,1648
ENSG00000013306,10859
ENSG00000013364,13447
ENSG00000013374,6166
ENSG00000013375,3012
ENSG00000013392,694
ENSG00000013441,5862
ENSG00000013503,693
ENSG00000013523,2824
ENSG00000013561,5448
ENSG00000013563,1576
ENSG00000013573,1044
ENSG00000013583,3733
ENSG00000013588,16168
ENSG00000013619,251
ENSG00000013725,2917
ENSG00000013810,2259
ENSG00000014123,4024
ENSG00000014138,779
ENSG00000014164,2264
ENSG00000014216,9884
ENSG00000014257,79
ENSG00000014641,6602
ENSG00000014824,5664
ENSG00000014914,1450
ENSG00000014919,2583
ENSG00000015133,8578
ENSG00000015153,1099
ENSG00000015171,9713
ENSG00000015285,1507
ENSG00000015413,75
ENSG00000015475,2713
ENSG00000015479,381
ENSG00000015520,26
ENSG00000015532,3825
ENSG00000015568,0
