Gene stable ID,c6262602-f423-4edf-989f-902b4bd21d97
ENSG00000000003,9157
ENSG00000000005,11
ENSG00000000419,3136
ENSG00000000457,1807
ENSG00000000460,2111
ENSG00000000938,399
ENSG00000000971,645
ENSG00000001036,4576
ENSG00000001084,2056
ENSG00000001167,10281
ENSG00000001460,919
ENSG00000001461,2669
ENSG00000001497,12521
ENSG00000001561,523
ENSG00000001617,3005
ENSG00000001626,34
ENSG00000001629,4964
ENSG00000001630,150
ENSG00000001631,2745
ENSG00000002016,883
ENSG00000002079,35
ENSG00000002330,1918
ENSG00000002549,4706
ENSG00000002586,3356
ENSG00000002587,330
ENSG00000002726,96
ENSG00000002745,6
ENSG00000002746,66
ENSG00000002822,1765
ENSG00000002834,12685
ENSG00000002919,1326
ENSG00000002933,925
ENSG00000003056,3155
ENSG00000003096,8085
ENSG00000003137,249
ENSG00000003147,1459
ENSG00000003249,2128
ENSG00000003393,2722
ENSG00000003400,1830
ENSG00000003402,9162
ENSG00000003436,376
ENSG00000003509,1088
ENSG00000003756,5330
ENSG00000003987,63
ENSG00000003989,151
ENSG00000004059,22978
ENSG00000004139,323
ENSG00000004142,7911
ENSG00000004399,13679
ENSG00000004455,12125
ENSG00000004468,451
ENSG00000004478,15076
ENSG00000004487,26358
ENSG00000004534,6799
ENSG00000004660,561
ENSG00000004700,1034
ENSG00000004766,1824
ENSG00000004776,140
ENSG00000004777,2707
ENSG00000004779,5703
ENSG00000004799,612
ENSG00000004809,14
ENSG00000004838,122
ENSG00000004846,4
ENSG00000004848,2
ENSG00000004864,2188
ENSG00000004866,2096
ENSG00000004897,4334
ENSG00000004939,4
ENSG00000004948,10
ENSG00000004961,1839
ENSG00000004975,5123
ENSG00000005001,44
ENSG00000005007,15958
ENSG00000005020,369
ENSG00000005022,36337
ENSG00000005059,583
ENSG00000005073,2
ENSG00000005075,4010
ENSG00000005100,3973
ENSG00000005102,615
ENSG00000005108,453
ENSG00000005156,4210
ENSG00000005175,1930
ENSG00000005187,2354
ENSG00000005189,996
ENSG00000005194,4087
ENSG00000005206,3283
ENSG00000005238,1815
ENSG00000005243,164
ENSG00000005249,1460
ENSG00000005302,3963
ENSG00000005339,1035
ENSG00000005379,1067
ENSG00000005381,1
ENSG00000005421,61
ENSG00000005436,2315
ENSG00000005448,820
ENSG00000005469,748
ENSG00000005471,21
ENSG00000005483,6886
ENSG00000005486,6070
ENSG00000005513,182
ENSG00000005700,3444
ENSG00000005801,4225
ENSG00000005810,2253
ENSG00000005812,2021
ENSG00000005844,1294
ENSG00000005882,805
ENSG00000005884,1571
ENSG00000005889,3247
ENSG00000005893,19262
ENSG00000005961,44
ENSG00000005981,25
ENSG00000006007,3578
ENSG00000006015,1758
ENSG00000006016,514
ENSG00000006025,926
ENSG00000006042,6561
ENSG00000006047,141
ENSG00000006059,1
ENSG00000006062,1639
ENSG00000006071,14
ENSG00000006116,1
ENSG00000006118,11177
ENSG00000006125,14137
ENSG00000006128,2
ENSG00000006194,187
ENSG00000006210,8395
ENSG00000006282,1784
ENSG00000006283,93
ENSG00000006327,1197
ENSG00000006377,2
ENSG00000006432,1186
ENSG00000006451,6554
ENSG00000006453,5374
ENSG00000006459,5015
ENSG00000006468,726
ENSG00000006530,7491
ENSG00000006534,564
ENSG00000006555,1750
ENSG00000006576,2461
ENSG00000006606,39
ENSG00000006607,5113
ENSG00000006611,122
ENSG00000006625,6306
ENSG00000006634,2447
ENSG00000006638,93
ENSG00000006652,4461
ENSG00000006659,1
ENSG00000006695,1420
ENSG00000006704,4410
ENSG00000006712,6417
ENSG00000006715,3875
ENSG00000006740,647
ENSG00000006744,5793
ENSG00000006747,861
ENSG00000006756,4841
ENSG00000006757,792
