Gene stable ID,deee94db-7260-459d-91fe-3e151e94b24b
ENSG00000000003,631
ENSG00000000005,6
ENSG00000000419,3196
ENSG00000000457,1020
ENSG00000000460,513
ENSG00000000938,407
ENSG00000000971,1018
ENSG00000001036,3601
ENSG00000001084,996
ENSG00000001167,1417
ENSG00000001460,565
ENSG00000001461,1416
ENSG00000001497,4832
ENSG00000001561,281
ENSG00000001617,11963
ENSG00000001626,4
ENSG00000001629,1532
ENSG00000001630,177
ENSG00000001631,1509
ENSG00000002016,294
ENSG00000002079,22
ENSG00000002330,5275
ENSG00000002549,4501
ENSG00000002586,12739
ENSG00000002587,205
ENSG00000002726,1271
ENSG00000002745,4
ENSG00000002746,22
ENSG00000002822,1494
ENSG00000002834,14641
ENSG00000002919,1436
ENSG00000002933,3706
ENSG00000003056,2397
ENSG00000003096,24
ENSG00000003137,98
ENSG00000003147,928
ENSG00000003249,4311
ENSG00000003393,1180
ENSG00000003400,195
ENSG00000003402,3310
ENSG00000003436,369
ENSG00000003509,363
ENSG00000003756,2347
ENSG00000003987,147
ENSG00000003989,15944
ENSG00000004059,13055
ENSG00000004139,232
ENSG00000004142,5817
ENSG00000004399,14145
ENSG00000004455,4609
ENSG00000004468,45
ENSG00000004478,62231
ENSG00000004487,5005
ENSG00000004534,2461
ENSG00000004660,732
ENSG00000004700,703
ENSG00000004766,796
ENSG00000004776,109
ENSG00000004777,1218
ENSG00000004779,8415
ENSG00000004799,411
ENSG00000004809,1
ENSG00000004838,1798
ENSG00000004846,4
ENSG00000004848,0
ENSG00000004864,1807
ENSG00000004866,1705
ENSG00000004897,2242
ENSG00000004939,1
ENSG00000004948,7
ENSG00000004961,1286
ENSG00000004975,2197
ENSG00000005001,1295
ENSG00000005007,8111
ENSG00000005020,382
ENSG00000005022,22248
ENSG00000005059,873
ENSG00000005073,32
ENSG00000005075,5144
ENSG00000005100,693
ENSG00000005102,90
ENSG00000005108,29
ENSG00000005156,1399
ENSG00000005175,1958
ENSG00000005187,54
ENSG00000005189,1014
ENSG00000005194,2277
ENSG00000005206,2701
ENSG00000005238,1302
ENSG00000005243,1495
ENSG00000005249,2447
ENSG00000005302,948
ENSG00000005339,5522
ENSG00000005379,884
ENSG00000005381,9
ENSG00000005421,0
ENSG00000005436,339
ENSG00000005448,792
ENSG00000005469,1093
ENSG00000005471,51
ENSG00000005483,1722
ENSG00000005486,13116
ENSG00000005513,20
ENSG00000005700,1291
ENSG00000005801,401
ENSG00000005810,2232
ENSG00000005812,2430
ENSG00000005844,1637
ENSG00000005882,1398
ENSG00000005884,3063
ENSG00000005889,2249
ENSG00000005893,10427
ENSG00000005961,309
ENSG00000005981,25
ENSG00000006007,7364
ENSG00000006015,3627
ENSG00000006016,97
ENSG00000006025,903
ENSG00000006042,2593
ENSG00000006047,1843
ENSG00000006059,16
ENSG00000006062,909
ENSG00000006071,125
ENSG00000006116,0
ENSG00000006118,7408
ENSG00000006125,8483
ENSG00000006128,2
ENSG00000006194,3508
ENSG00000006210,1088
ENSG00000006282,6136
ENSG00000006283,33
ENSG00000006327,18050
ENSG00000006377,2
ENSG00000006432,845
ENSG00000006451,3632
ENSG00000006453,3712
ENSG00000006459,509
ENSG00000006468,198
ENSG00000006530,1054
ENSG00000006534,1936
ENSG00000006555,557
ENSG00000006576,1071
ENSG00000006606,12
ENSG00000006607,2190
ENSG00000006611,23
ENSG00000006625,4370
ENSG00000006634,518
ENSG00000006638,163
ENSG00000006652,779
ENSG00000006659,0
ENSG00000006695,385
ENSG00000006704,2632
ENSG00000006712,3998
ENSG00000006715,3374
ENSG00000006740,64
ENSG00000006744,2214
ENSG00000006747,34
ENSG00000006756,3794
ENSG00000006757,2607
ENSG00000006788,22
ENSG00000006831,18994
ENSG00000006837,87
ENSG00000007001,11
ENSG00000007038,6
ENSG00000007047,3027
ENSG00000007062,336
ENSG00000007080,4645
ENSG00000007129,56
ENSG00000007168,5505
ENSG00000007171,29
ENSG00000007174,7
ENSG00000007202,6622
ENSG00000007216,24
ENSG00000007237,986
ENSG00000007255,3417
ENSG00000007264,152
ENSG00000007306,1
ENSG00000007312,147
ENSG00000007314,35
ENSG00000007341,436
ENSG00000007350,0
ENSG00000007372,48
ENSG00000007376,9284
ENSG00000007384,7781
ENSG00000007392,4458
ENSG00000007402,750
ENSG00000007516,4647
ENSG00000007520,7769
ENSG00000007541,12327
ENSG00000007545,2683
ENSG00000007866,3424
ENSG00000007908,107
ENSG00000007923,945
ENSG00000007933,62
ENSG00000007944,1281
ENSG00000007952,74
ENSG00000007968,589
ENSG00000008018,12971
ENSG00000008056,94
ENSG00000008083,1078
ENSG00000008086,388
ENSG00000008118,8
ENSG00000008128,158
ENSG00000008130,3539
ENSG00000008196,4
ENSG00000008197,0
ENSG00000008226,24
ENSG00000008256,1067
ENSG00000008277,34
ENSG00000008282,6501
ENSG00000008283,24799
ENSG00000008294,2281
ENSG00000008300,205
ENSG00000008311,20
ENSG00000008323,1698
ENSG00000008324,888
ENSG00000008382,938
ENSG00000008394,21930
ENSG00000008405,615
ENSG00000008438,0
ENSG00000008441,3240
ENSG00000008513,3256
ENSG00000008516,386
ENSG00000008517,2425
ENSG00000008710,7619
ENSG00000008735,844
ENSG00000008838,8322
ENSG00000008853,1771
ENSG00000008869,751
ENSG00000008952,4769
ENSG00000008988,60252
ENSG00000009307,12752
ENSG00000009335,2849
ENSG00000009413,209
ENSG00000009694,7
ENSG00000009709,2
ENSG00000009724,12
ENSG00000009765,386
ENSG00000009780,401
ENSG00000009790,242
ENSG00000009830,1792
ENSG00000009844,2833
ENSG00000009950,186
ENSG00000009954,4613
ENSG00000010017,2255
ENSG00000010030,269
ENSG00000010072,507
ENSG00000010165,3132
ENSG00000010219,1212
ENSG00000010244,4491
ENSG00000010256,10305
ENSG00000010270,1506
ENSG00000010278,35936
ENSG00000010282,3
ENSG00000010292,6856
ENSG00000010295,575
ENSG00000010310,263
ENSG00000010318,134
ENSG00000010319,709
ENSG00000010322,3188
ENSG00000010327,2590
ENSG00000010361,2606
ENSG00000010379,3
ENSG00000010404,4598
ENSG00000010438,6
ENSG00000010539,466
ENSG00000010610,2541
ENSG00000010626,1429
ENSG00000010671,313
ENSG00000010704,241
ENSG00000010803,1894
ENSG00000010810,916
ENSG00000010818,607
ENSG00000010932,339
ENSG00000011007,2245
ENSG00000011009,3893
ENSG00000011021,442
ENSG00000011028,7616
ENSG00000011052,38
ENSG00000011083,4
ENSG00000011105,6053
ENSG00000011114,1087
ENSG00000011132,578
ENSG00000011143,986
ENSG00000011198,549
ENSG00000011201,1066
ENSG00000011243,1724
ENSG00000011258,595
ENSG00000011260,2270
ENSG00000011275,2544
ENSG00000011295,1186
ENSG00000011304,15584
ENSG00000011332,63
ENSG00000011347,9129
ENSG00000011376,1585
ENSG00000011405,713
ENSG00000011422,2761
ENSG00000011426,1009
ENSG00000011451,1887
ENSG00000011454,2063
ENSG00000011465,19544
ENSG00000011478,1073
ENSG00000011485,3184
ENSG00000011523,1205
ENSG00000011566,815
ENSG00000011590,26
ENSG00000011600,3421
ENSG00000011638,3063
ENSG00000011677,3
ENSG00000012048,971
ENSG00000012061,2547
ENSG00000012124,450
ENSG00000012171,5085
ENSG00000012174,1265
ENSG00000012211,954
ENSG00000012223,214
ENSG00000012232,2549
ENSG00000012504,1
ENSG00000012660,8489
ENSG00000012779,982
ENSG00000012817,0
ENSG00000012822,2758
ENSG00000012963,3161
ENSG00000012983,1397
ENSG00000013016,744
ENSG00000013275,5059
ENSG00000013288,1787
ENSG00000013293,0
ENSG00000013297,54
ENSG00000013306,14010
ENSG00000013364,10890
ENSG00000013374,2272
ENSG00000013375,872
ENSG00000013392,271
ENSG00000013441,2201
ENSG00000013503,339
ENSG00000013523,1698
ENSG00000013561,2719
ENSG00000013563,1729
ENSG00000013573,1528
ENSG00000013583,7631
ENSG00000013588,23739
ENSG00000013619,96
ENSG00000013725,390
ENSG00000013810,5112
ENSG00000014123,488
ENSG00000014138,1482
ENSG00000014164,2441
ENSG00000014216,16475
ENSG00000014257,22
ENSG00000014641,3911
ENSG00000014824,3631
ENSG00000014914,442
ENSG00000014919,2854
ENSG00000015133,3736
ENSG00000015153,691
ENSG00000015171,2878
ENSG00000015285,449
ENSG00000015413,95
ENSG00000015475,1230
ENSG00000015479,57
ENSG00000015520,319
ENSG00000015532,4444
ENSG00000015568,1
ENSG00000015592,9
ENSG00000015676,5489
ENSG00000016082,1
ENSG00000016391,1339
ENSG00000016402,997
ENSG00000016490,0
ENSG00000016602,0
ENSG00000016864,3029
ENSG00000017260,3316
ENSG00000017427,26
ENSG00000017483,742
ENSG00000017797,2881
ENSG00000018189,651
ENSG00000018236,71
ENSG00000018280,664
ENSG00000018408,1163
ENSG00000018510,3322
ENSG00000018607,2
ENSG00000018610,1717
ENSG00000018625,41
ENSG00000018699,854
ENSG00000018869,87
ENSG00000019102,306
ENSG00000019144,2262
ENSG00000019169,100
ENSG00000019186,9
ENSG00000019485,248
ENSG00000019505,2176
ENSG00000019549,538
ENSG00000019582,87770
ENSG00000019991,57
ENSG00000019995,667
ENSG00000020129,2043
ENSG00000020181,1074
ENSG00000020219,0
ENSG00000020256,1868
ENSG00000020426,1897
ENSG00000020577,866
ENSG00000020633,493
ENSG00000020922,856
ENSG00000021300,1402
ENSG00000021355,2699
ENSG00000021461,2
ENSG00000021488,6
ENSG00000021574,522
ENSG00000021645,5
ENSG00000021762,1320
ENSG00000021776,1655
ENSG00000021826,37
ENSG00000021852,1
ENSG00000022267,568
ENSG00000022277,11210
ENSG00000022355,0
ENSG00000022556,72
ENSG00000022567,684
ENSG00000022840,7349
ENSG00000022976,702
ENSG00000023041,1641
ENSG00000023171,55
ENSG00000023191,6310
ENSG00000023228,4765
ENSG00000023287,2001
ENSG00000023318,2577
ENSG00000023330,1266
ENSG00000023445,352
ENSG00000023516,677
ENSG00000023572,952
ENSG00000023608,364
ENSG00000023697,1841
ENSG00000023734,10033
ENSG00000023839,11
ENSG00000023892,2560
ENSG00000023902,2674
ENSG00000023909,965
ENSG00000024048,1501
ENSG00000024422,4321
ENSG00000024526,269
ENSG00000024862,827
ENSG00000025039,231
ENSG00000025156,552
ENSG00000025293,3068
ENSG00000025423,344
ENSG00000025434,1181
ENSG00000025708,7200
ENSG00000025770,2935
ENSG00000025772,5598
ENSG00000025796,2678
ENSG00000025800,3505
ENSG00000026025,38055
ENSG00000026036,141
ENSG00000026103,241
ENSG00000026297,5195
ENSG00000026508,4313
ENSG00000026559,8
ENSG00000026652,310
ENSG00000026751,284
ENSG00000026950,526
ENSG00000027001,1248
ENSG00000027075,896
ENSG00000027644,6
ENSG00000027697,3973
ENSG00000027847,2650
ENSG00000027869,153
ENSG00000028116,418
ENSG00000028137,1579
ENSG00000028203,1477
ENSG00000028277,251
