Gene stable ID,9d2de465-a059-4a82-a861-911e45dc27a2
ENSG00000000003,2387
ENSG00000000005,471
ENSG00000000419,1845
ENSG00000000457,1769
ENSG00000000460,677
ENSG00000000938,1263
ENSG00000000971,5145
ENSG00000001036,2030
ENSG00000001084,1882
ENSG00000001167,1776
ENSG00000001460,748
ENSG00000001461,1894
ENSG00000001497,3033
ENSG00000001561,1250
ENSG00000001617,8741
ENSG00000001626,15
ENSG00000001629,4339
ENSG00000001630,281
ENSG00000001631,2582
ENSG00000002016,570
ENSG00000002079,45
ENSG00000002330,3040
ENSG00000002549,7731
ENSG00000002586,17369
ENSG00000002587,343
ENSG00000002726,43
ENSG00000002745,10
ENSG00000002746,18
ENSG00000002822,1899
ENSG00000002834,22769
ENSG00000002919,1584
ENSG00000002933,2827
ENSG00000003056,3620
ENSG00000003096,302
ENSG00000003137,667
ENSG00000003147,5821
ENSG00000003249,1589
ENSG00000003393,1739
ENSG00000003400,926
ENSG00000003402,7040
ENSG00000003436,1436
ENSG00000003509,813
ENSG00000003756,9347
ENSG00000003987,66
ENSG00000003989,5701
ENSG00000004059,11220
ENSG00000004139,462
ENSG00000004142,6870
ENSG00000004399,16092
ENSG00000004455,8196
ENSG00000004468,235
ENSG00000004478,24867
ENSG00000004487,5625
ENSG00000004534,5409
ENSG00000004660,945
ENSG00000004700,1415
ENSG00000004766,2122
ENSG00000004776,4130
ENSG00000004777,2131
ENSG00000004779,2914
ENSG00000004799,25099
ENSG00000004809,4
ENSG00000004838,1974
ENSG00000004846,6
ENSG00000004848,2
ENSG00000004864,1524
ENSG00000004866,1494
ENSG00000004897,3401
ENSG00000004939,1
ENSG00000004948,26
ENSG00000004961,1102
ENSG00000004975,2559
ENSG00000005001,1684
ENSG00000005007,8062
ENSG00000005020,1916
ENSG00000005022,11799
ENSG00000005059,1299
ENSG00000005073,49
ENSG00000005075,3003
ENSG00000005100,1705
ENSG00000005102,474
ENSG00000005108,681
ENSG00000005156,1873
ENSG00000005175,1846
ENSG00000005187,224
ENSG00000005189,359
ENSG00000005194,1834
ENSG00000005206,5178
ENSG00000005238,1960
ENSG00000005243,2650
ENSG00000005249,4071
ENSG00000005302,1962
ENSG00000005339,8479
ENSG00000005379,2456
ENSG00000005381,15
ENSG00000005421,114
ENSG00000005436,1162
ENSG00000005448,992
ENSG00000005469,2213
ENSG00000005471,195
ENSG00000005483,5386
ENSG00000005486,9575
ENSG00000005513,94
ENSG00000005700,2377
ENSG00000005801,1375
ENSG00000005810,4467
ENSG00000005812,4340
ENSG00000005844,2282
ENSG00000005882,1713
ENSG00000005884,6801
ENSG00000005889,1869
ENSG00000005893,9403
ENSG00000005961,72
ENSG00000005981,37
ENSG00000006007,7086
ENSG00000006015,1650
ENSG00000006016,237
ENSG00000006025,1674
ENSG00000006042,3274
ENSG00000006047,672
ENSG00000006059,2
ENSG00000006062,2035
ENSG00000006071,3756
ENSG00000006116,0
ENSG00000006118,4209
ENSG00000006125,17009
ENSG00000006128,13
ENSG00000006194,3484
ENSG00000006210,14892
ENSG00000006282,5270
ENSG00000006283,190
ENSG00000006327,4771
ENSG00000006377,11
ENSG00000006432,751
ENSG00000006451,5165
ENSG00000006453,3390
ENSG00000006459,2112
ENSG00000006468,743
ENSG00000006530,2404
ENSG00000006534,1314
ENSG00000006555,1054
ENSG00000006576,2084
ENSG00000006606,34
ENSG00000006607,1790
ENSG00000006611,3
ENSG00000006625,3794
ENSG00000006634,645
ENSG00000006638,395
ENSG00000006652,2413
ENSG00000006659,11
ENSG00000006695,892
ENSG00000006704,3652
ENSG00000006712,5172
ENSG00000006715,3778
ENSG00000006740,830
ENSG00000006744,4661
ENSG00000006747,3512
ENSG00000006756,3682
ENSG00000006757,1004
ENSG00000006788,40
ENSG00000006831,6570
ENSG00000006837,103
ENSG00000007001,11
ENSG00000007038,324
ENSG00000007047,3466
ENSG00000007062,8666
ENSG00000007080,3592
ENSG00000007129,135
ENSG00000007168,7471
ENSG00000007171,157
ENSG00000007174,256
ENSG00000007202,8255
ENSG00000007216,234
ENSG00000007237,6768
ENSG00000007255,2794
ENSG00000007264,646
ENSG00000007306,22
ENSG00000007312,398
ENSG00000007314,614
ENSG00000007341,633
ENSG00000007350,9
ENSG00000007372,105
ENSG00000007376,2367
ENSG00000007384,5413
ENSG00000007392,5964
ENSG00000007402,907
ENSG00000007516,1295
ENSG00000007520,3882
ENSG00000007541,8787
ENSG00000007545,2384
ENSG00000007866,3975
ENSG00000007908,371
ENSG00000007923,1869
ENSG00000007933,255
ENSG00000007944,2191
ENSG00000007952,36
ENSG00000007968,260
ENSG00000008018,5699
ENSG00000008056,95
ENSG00000008083,2719
ENSG00000008086,873
ENSG00000008118,20
ENSG00000008128,523
ENSG00000008130,4457
ENSG00000008196,9255
ENSG00000008197,0
ENSG00000008226,136
ENSG00000008256,3523
ENSG00000008277,743
ENSG00000008282,7939
ENSG00000008283,6960
ENSG00000008294,3969
ENSG00000008300,830
ENSG00000008311,577
ENSG00000008323,988
ENSG00000008324,1290
ENSG00000008382,1404
ENSG00000008394,9921
ENSG00000008405,1180
ENSG00000008438,6
ENSG00000008441,11137
ENSG00000008513,2531
ENSG00000008516,420
ENSG00000008517,3851
ENSG00000008710,6197
ENSG00000008735,446
ENSG00000008838,7644
ENSG00000008853,2295
ENSG00000008869,2740
ENSG00000008952,7631
ENSG00000008988,56513
ENSG00000009307,34288
ENSG00000009335,5007
ENSG00000009413,1198
ENSG00000009694,112
ENSG00000009709,0
ENSG00000009724,73
ENSG00000009765,5
ENSG00000009780,940
ENSG00000009790,569
ENSG00000009830,1952
