Gene stable ID,5ebea417-c5a4-45d4-9223-d62aba478345
ENSG00000000003,10149
ENSG00000000005,86
ENSG00000000419,1231
ENSG00000000457,1920
ENSG00000000460,562
ENSG00000000938,152
ENSG00000000971,3243
ENSG00000001036,2739
ENSG00000001084,3231
ENSG00000001167,1246
ENSG00000001460,607
ENSG00000001461,2196
ENSG00000001497,2258
ENSG00000001561,1154
ENSG00000001617,6855
ENSG00000001626,4
ENSG00000001629,2418
ENSG00000001630,163
ENSG00000001631,1506
ENSG00000002016,185
ENSG00000002079,4
ENSG00000002330,2021
ENSG00000002549,4373
ENSG00000002586,5393
ENSG00000002587,797
ENSG00000002726,5
ENSG00000002745,5
ENSG00000002746,9
ENSG00000002822,770
ENSG00000002834,10815
ENSG00000002919,730
ENSG00000002933,774
ENSG00000003056,3846
ENSG00000003096,513
ENSG00000003137,189
ENSG00000003147,1995
ENSG00000003249,272
ENSG00000003393,902
ENSG00000003400,546
ENSG00000003402,4170
ENSG00000003436,1780
ENSG00000003509,422
ENSG00000003756,2927
ENSG00000003987,29
ENSG00000003989,774
ENSG00000004059,4578
ENSG00000004139,268
ENSG00000004142,3970
ENSG00000004399,4840
ENSG00000004455,5541
ENSG00000004468,246
ENSG00000004478,19717
ENSG00000004487,4242
ENSG00000004534,2897
ENSG00000004660,470
ENSG00000004700,877
ENSG00000004766,1255
ENSG00000004776,2682
ENSG00000004777,395
ENSG00000004779,1875
ENSG00000004799,6113
ENSG00000004809,0
ENSG00000004838,158
ENSG00000004846,35
ENSG00000004848,8
ENSG00000004864,863
ENSG00000004866,1167
ENSG00000004897,3083
ENSG00000004939,6
ENSG00000004948,6
ENSG00000004961,1142
ENSG00000004975,940
ENSG00000005001,515
ENSG00000005007,4198
ENSG00000005020,1205
ENSG00000005022,20928
ENSG00000005059,1054
ENSG00000005073,10
ENSG00000005075,1008
ENSG00000005100,697
ENSG00000005102,923
ENSG00000005108,440
ENSG00000005156,1821
ENSG00000005175,1246
ENSG00000005187,123
ENSG00000005189,289
ENSG00000005194,1146
ENSG00000005206,998
ENSG00000005238,504
ENSG00000005243,422
ENSG00000005249,2308
ENSG00000005302,732
ENSG00000005339,5841
ENSG00000005379,778
ENSG00000005381,3
ENSG00000005421,0
ENSG00000005436,1159
ENSG00000005448,444
ENSG00000005469,2519
ENSG00000005471,73
ENSG00000005483,6192
ENSG00000005486,5445
ENSG00000005513,10
ENSG00000005700,2863
ENSG00000005801,765
ENSG00000005810,2067
ENSG00000005812,2259
ENSG00000005844,420
ENSG00000005882,832
ENSG00000005884,2362
ENSG00000005889,2881
ENSG00000005893,14667
ENSG00000005961,19
ENSG00000005981,3
