Gene stable ID,0077ddf1-c0ed-485e-87b2-a7f3a7133a86
ENSG00000000003,16108
ENSG00000000005,2
ENSG00000000419,2282
ENSG00000000457,1541
ENSG00000000460,733
ENSG00000000938,145
ENSG00000000971,2372
ENSG00000001036,6841
ENSG00000001084,6245
ENSG00000001167,4609
ENSG00000001460,1294
ENSG00000001461,12881
ENSG00000001497,5012
ENSG00000001561,5593
ENSG00000001617,28783
ENSG00000001626,5
ENSG00000001629,10451
ENSG00000001630,664
ENSG00000001631,2822
ENSG00000002016,337
ENSG00000002079,19
ENSG00000002330,3317
ENSG00000002549,3777
ENSG00000002586,16519
ENSG00000002587,77
ENSG00000002726,1142
ENSG00000002745,2
ENSG00000002746,33
ENSG00000002822,3183
ENSG00000002834,37716
ENSG00000002919,3999
ENSG00000002933,1246
ENSG00000003056,4577
ENSG00000003096,259
ENSG00000003137,245
ENSG00000003147,3796
ENSG00000003249,2313
ENSG00000003393,3643
ENSG00000003400,383
ENSG00000003402,7085
ENSG00000003436,1025
ENSG00000003509,900
ENSG00000003756,7505
ENSG00000003987,68
ENSG00000003989,234
ENSG00000004059,10648
ENSG00000004139,1156
ENSG00000004142,9803
ENSG00000004399,15525
ENSG00000004455,10803
ENSG00000004468,18
ENSG00000004478,13437
ENSG00000004487,10330
ENSG00000004534,6168
ENSG00000004660,474
ENSG00000004700,2926
ENSG00000004766,3043
ENSG00000004776,220
ENSG00000004777,1719
ENSG00000004779,7036
ENSG00000004799,1015
ENSG00000004809,1
ENSG00000004838,336
ENSG00000004846,2
ENSG00000004848,0
ENSG00000004864,2425
ENSG00000004866,2218
ENSG00000004897,10094
ENSG00000004939,2
ENSG00000004948,7
ENSG00000004961,2388
ENSG00000004975,1752
ENSG00000005001,1131
ENSG00000005007,27942
ENSG00000005020,1567
ENSG00000005022,74516
ENSG00000005059,2414
ENSG00000005073,109
ENSG00000005075,3903
ENSG00000005100,2505
ENSG00000005102,14
ENSG00000005108,267
ENSG00000005156,4229
ENSG00000005175,3077
ENSG00000005187,250
ENSG00000005189,841
ENSG00000005194,5304
ENSG00000005206,2457
ENSG00000005238,4574
ENSG00000005243,1333
ENSG00000005249,3058
ENSG00000005302,2016
ENSG00000005339,18506
ENSG00000005379,4964
ENSG00000005381,0
ENSG00000005421,6
ENSG00000005436,1312
ENSG00000005448,1466
ENSG00000005469,13526
ENSG00000005471,201
ENSG00000005483,15959
ENSG00000005486,9988
ENSG00000005513,53
ENSG00000005700,8304
ENSG00000005801,1672
ENSG00000005810,2118
ENSG00000005812,3702
ENSG00000005844,471
ENSG00000005882,4375
ENSG00000005884,8139
ENSG00000005889,3188
ENSG00000005893,32175
ENSG00000005961,81
ENSG00000005981,6
ENSG00000006007,8776
ENSG00000006015,3378
ENSG00000006016,501
ENSG00000006025,2948
ENSG00000006042,1063
ENSG00000006047,2234
ENSG00000006059,3
ENSG00000006062,823
ENSG00000006071,34
ENSG00000006116,0
ENSG00000006118,10136
ENSG00000006125,86644
ENSG00000006128,2
ENSG00000006194,5128
ENSG00000006210,1358
ENSG00000006282,10031
ENSG00000006283,17
ENSG00000006327,1965
ENSG00000006377,1
ENSG00000006432,1712
ENSG00000006451,6199
ENSG00000006453,8466
ENSG00000006459,1176
ENSG00000006468,1179
ENSG00000006530,3209
ENSG00000006534,522
ENSG00000006555,121
ENSG00000006576,3380
ENSG00000006606,17
ENSG00000006607,5067
ENSG00000006611,5
ENSG00000006625,4829
ENSG00000006634,1000
ENSG00000006638,372
ENSG00000006652,1297
ENSG00000006659,0
ENSG00000006695,1005
ENSG00000006704,5651
ENSG00000006712,7691
ENSG00000006715,6239
ENSG00000006740,298
ENSG00000006744,4933
ENSG00000006747,465
ENSG00000006756,8243
ENSG00000006757,2221
ENSG00000006788,12
ENSG00000006831,12664
ENSG00000006837,107
ENSG00000007001,17
ENSG00000007038,5
ENSG00000007047,4136
ENSG00000007062,16
ENSG00000007080,14267
ENSG00000007129,64
ENSG00000007168,10406
ENSG00000007171,275
ENSG00000007174,14
ENSG00000007202,36879
ENSG00000007216,2
ENSG00000007237,2739
ENSG00000007255,3090
ENSG00000007264,47
ENSG00000007306,11
ENSG00000007312,44
ENSG00000007314,41
ENSG00000007341,930
ENSG00000007350,1
ENSG00000007372,378
ENSG00000007376,4046
ENSG00000007384,3241
ENSG00000007392,3750
ENSG00000007402,1887
ENSG00000007516,203
ENSG00000007520,5738
ENSG00000007541,11289
ENSG00000007545,4753
ENSG00000007866,2643
ENSG00000007908,30
ENSG00000007923,3322
ENSG00000007933,82
ENSG00000007944,5245
ENSG00000007952,184
ENSG00000007968,2061
ENSG00000008018,10681
ENSG00000008056,65
ENSG00000008083,7137
ENSG00000008086,1657
ENSG00000008118,12
ENSG00000008128,400
ENSG00000008130,5858
ENSG00000008196,1
ENSG00000008197,0
ENSG00000008226,56
ENSG00000008256,4596
ENSG00000008277,1823
ENSG00000008282,9683
ENSG00000008283,28229
ENSG00000008294,11519
ENSG00000008300,4741
ENSG00000008311,199
ENSG00000008323,439
ENSG00000008324,1405
ENSG00000008382,1620
ENSG00000008394,17969
ENSG00000008405,2103
ENSG00000008438,7
ENSG00000008441,32979
ENSG00000008513,11225
ENSG00000008516,67
ENSG00000008517,896
ENSG00000008710,8339
ENSG00000008735,6041
ENSG00000008838,9460
ENSG00000008853,1652
ENSG00000008869,6194
ENSG00000008952,16235
ENSG00000008988,37486
ENSG00000009307,46125
ENSG00000009335,12957
ENSG00000009413,1319
ENSG00000009694,25
ENSG00000009709,1
ENSG00000009724,137
ENSG00000009765,9
ENSG00000009780,1449
ENSG00000009790,126
ENSG00000009830,1490
ENSG00000009844,5056
ENSG00000009950,5
ENSG00000009954,16041
ENSG00000010017,5879
ENSG00000010030,52
ENSG00000010072,1765
ENSG00000010165,4816
ENSG00000010219,624
ENSG00000010244,14212
ENSG00000010256,14918
ENSG00000010270,2727
ENSG00000010278,16499
ENSG00000010282,0
ENSG00000010292,4922
ENSG00000010295,585
ENSG00000010310,37
ENSG00000010318,670
ENSG00000010319,1478
ENSG00000010322,13969
ENSG00000010327,3773
ENSG00000010361,990
ENSG00000010379,0
ENSG00000010404,15128
ENSG00000010438,6
ENSG00000010539,1359
ENSG00000010610,1432
ENSG00000010626,466
ENSG00000010671,199
ENSG00000010704,1196
ENSG00000010803,4044
ENSG00000010810,2152
ENSG00000010818,4126
ENSG00000010932,84
ENSG00000011007,7062
ENSG00000011009,7733
ENSG00000011021,1316
ENSG00000011028,12194
ENSG00000011052,301
ENSG00000011083,5
ENSG00000011105,5849
ENSG00000011114,4661
ENSG00000011132,593
ENSG00000011143,3126
ENSG00000011198,2626
ENSG00000011201,19631
ENSG00000011243,5863
ENSG00000011258,4387
ENSG00000011260,5650
ENSG00000011275,5919
ENSG00000011295,3208
ENSG00000011304,40848
ENSG00000011332,78
ENSG00000011347,8801
ENSG00000011376,3451
ENSG00000011405,7905
ENSG00000011422,1852
ENSG00000011426,3717
ENSG00000011451,15155
ENSG00000011454,8298
ENSG00000011465,31766
ENSG00000011478,1873
ENSG00000011485,5816
ENSG00000011523,9037
ENSG00000011566,10540
ENSG00000011590,31
ENSG00000011600,1300
ENSG00000011638,4025
ENSG00000011677,5
ENSG00000012048,4143
ENSG00000012061,5898
ENSG00000012124,264
ENSG00000012171,1417
ENSG00000012174,3689
ENSG00000012211,1397
ENSG00000012223,31
ENSG00000012232,2794
ENSG00000012504,0
ENSG00000012660,205807
ENSG00000012779,2697
ENSG00000012817,7373
ENSG00000012822,7710
ENSG00000012963,6743
ENSG00000012983,5009
ENSG00000013016,2932
ENSG00000013275,10595
ENSG00000013288,6625
ENSG00000013293,3
ENSG00000013297,177
ENSG00000013306,24254
ENSG00000013364,26369
ENSG00000013374,6909
ENSG00000013375,3944
ENSG00000013392,802
ENSG00000013441,4955
ENSG00000013503,1260
ENSG00000013523,1212
ENSG00000013561,7175
ENSG00000013563,2132
ENSG00000013573,4951
ENSG00000013583,28158
ENSG00000013588,39994
ENSG00000013619,307
ENSG00000013725,90
ENSG00000013810,2092
ENSG00000014123,4144
ENSG00000014138,2627
ENSG00000014164,3007
ENSG00000014216,30460
ENSG00000014257,137
ENSG00000014641,10899
ENSG00000014824,10687
ENSG00000014914,913
ENSG00000014919,4663
ENSG00000015133,11626
ENSG00000015153,1433
ENSG00000015171,9536
ENSG00000015285,155
ENSG00000015413,158
ENSG00000015475,3589
ENSG00000015479,716
ENSG00000015520,57
ENSG00000015532,4834
ENSG00000015568,0
ENSG00000015592,4
ENSG00000015676,8497
ENSG00000016082,5
ENSG00000016391,5317
ENSG00000016402,132
ENSG00000016490,0
ENSG00000016602,0
ENSG00000016864,4584
ENSG00000017260,13913
ENSG00000017427,27
ENSG00000017483,493
ENSG00000017797,12460
ENSG00000018189,4380
ENSG00000018236,707
ENSG00000018280,357
ENSG00000018408,4435
ENSG00000018510,1040
ENSG00000018607,0
ENSG00000018610,4639
ENSG00000018625,1625
ENSG00000018699,2566
ENSG00000018869,60
ENSG00000019102,365
ENSG00000019144,6585
ENSG00000019169,9
ENSG00000019186,0
ENSG00000019485,807
ENSG00000019505,5619
ENSG00000019549,2102
ENSG00000019582,31068
ENSG00000019991,125
ENSG00000019995,2159
ENSG00000020129,4738
ENSG00000020181,4703
ENSG00000020219,0
ENSG00000020256,2556
ENSG00000020426,1718
ENSG00000020577,1413
ENSG00000020633,324
ENSG00000020922,2412
ENSG00000021300,283
ENSG00000021355,6037
ENSG00000021461,6
ENSG00000021488,19
ENSG00000021574,2913
ENSG00000021645,930
ENSG00000021762,1801
ENSG00000021776,6616
ENSG00000021826,4596
ENSG00000021852,0
ENSG00000022267,1628
ENSG00000022277,11476
ENSG00000022355,2
ENSG00000022556,6
ENSG00000022567,2277
ENSG00000022840,13901
ENSG00000022976,911
ENSG00000023041,4400
ENSG00000023171,166
ENSG00000023191,9349
ENSG00000023228,12115
ENSG00000023287,9730
ENSG00000023318,3833
ENSG00000023330,6799
ENSG00000023445,76
ENSG00000023516,4004
ENSG00000023572,533
ENSG00000023608,448
ENSG00000023697,1759
ENSG00000023734,11725
ENSG00000023839,57
ENSG00000023892,1872
ENSG00000023902,1362
ENSG00000023909,3350
ENSG00000024048,7170
ENSG00000024422,10341
ENSG00000024526,999
ENSG00000024862,1951
ENSG00000025039,364
ENSG00000025156,832
ENSG00000025293,6613
ENSG00000025423,483
ENSG00000025434,1480
ENSG00000025708,2175
ENSG00000025770,3078
ENSG00000025772,2634
ENSG00000025796,6925
ENSG00000025800,11714
ENSG00000026025,52492
ENSG00000026036,220
ENSG00000026103,275
ENSG00000026297,1863
ENSG00000026508,106714
ENSG00000026559,5
ENSG00000026652,572
ENSG00000026751,106
ENSG00000026950,1347
ENSG00000027001,830
ENSG00000027075,11346
ENSG00000027644,2
ENSG00000027697,3687
ENSG00000027847,2267
ENSG00000027869,45
ENSG00000028116,1314
ENSG00000028137,912
ENSG00000028203,3377
ENSG00000028277,158
ENSG00000028310,3732
ENSG00000028528,8048
ENSG00000028839,886
ENSG00000029153,240
ENSG00000029363,13336
ENSG00000029364,9052
ENSG00000029534,80
ENSG00000029559,979
ENSG00000029639,900
ENSG00000029725,13869
ENSG00000029993,3629
ENSG00000030066,5020
ENSG00000030110,1989
ENSG00000030304,5
ENSG00000030419,106
ENSG00000030582,37348
ENSG00000031003,3542
ENSG00000031081,3028
ENSG00000031691,941
ENSG00000031698,16027
ENSG00000031823,8105
ENSG00000032219,2334
ENSG00000032389,3466
ENSG00000032444,14801
ENSG00000032742,433
ENSG00000033011,3544
ENSG00000033030,2864
ENSG00000033050,7055
ENSG00000033100,6634
ENSG00000033122,41
ENSG00000033170,6037
ENSG00000033178,5750
ENSG00000033327,2172
ENSG00000033627,11593
ENSG00000033800,4002
ENSG00000033867,2770
ENSG00000034053,210
ENSG00000034152,1501
ENSG00000034239,10
ENSG00000034510,56642
ENSG00000034533,890
ENSG00000034677,1272
ENSG00000034693,1097
ENSG00000034713,10342
ENSG00000034971,0
ENSG00000035115,2193
ENSG00000035141,3643
ENSG00000035403,18177
ENSG00000035499,334
ENSG00000035664,538
ENSG00000035681,1975
ENSG00000035687,7310
ENSG00000035720,24
ENSG00000035862,30284
ENSG00000035928,5285
ENSG00000036054,3114
ENSG00000036257,8473
ENSG00000036448,78
ENSG00000036473,2
ENSG00000036530,49
ENSG00000036549,6038
ENSG00000036565,0
ENSG00000036672,69
ENSG00000036828,0
ENSG00000037042,1317
ENSG00000037241,1791
ENSG00000037280,2995
ENSG00000037474,7270
ENSG00000037637,3447
ENSG00000037749,2816
ENSG00000037757,2696
ENSG00000037897,2107
ENSG00000037965,169
ENSG00000038002,3348
ENSG00000038210,634
ENSG00000038219,4911
ENSG00000038274,4859
ENSG00000038295,132
ENSG00000038358,6090
ENSG00000038382,15049
ENSG00000038427,47061
ENSG00000038532,5904
ENSG00000038945,1537
ENSG00000039068,118117
