Gene stable ID,fe8b973d-6588-4436-8869-9b3656757d00
ENSG00000000003,7012
ENSG00000000005,1278
ENSG00000000419,2058
ENSG00000000457,1813
ENSG00000000460,361
ENSG00000000938,762
ENSG00000000971,5772
ENSG00000001036,4014
ENSG00000001084,5178
ENSG00000001167,2684
ENSG00000001460,729
ENSG00000001461,3483
ENSG00000001497,2266
ENSG00000001561,3612
ENSG00000001617,2896
ENSG00000001626,133
ENSG00000001629,4925
ENSG00000001630,124
ENSG00000001631,2778
ENSG00000002016,508
ENSG00000002079,6
ENSG00000002330,1215
ENSG00000002549,7673
ENSG00000002586,12429
ENSG00000002587,275
ENSG00000002726,30
ENSG00000002745,1
ENSG00000002746,31
ENSG00000002822,761
ENSG00000002834,15670
ENSG00000002919,1616
ENSG00000002933,2639
ENSG00000003056,4348
ENSG00000003096,1893
ENSG00000003137,1795
ENSG00000003147,3387
ENSG00000003249,403
ENSG00000003393,2462
ENSG00000003400,1582
ENSG00000003402,15659
ENSG00000003436,5161
ENSG00000003509,839
ENSG00000003756,6019
ENSG00000003987,227
ENSG00000003989,7413
ENSG00000004059,4955
ENSG00000004139,442
ENSG00000004142,6447
ENSG00000004399,14313
ENSG00000004455,7359
ENSG00000004468,574
ENSG00000004478,5066
ENSG00000004487,5186
ENSG00000004534,5657
ENSG00000004660,606
ENSG00000004700,2134
ENSG00000004766,2714
ENSG00000004776,31907
ENSG00000004777,388
ENSG00000004779,2806
ENSG00000004799,53118
ENSG00000004809,29
ENSG00000004838,111
ENSG00000004846,698
ENSG00000004848,2
ENSG00000004864,1643
ENSG00000004866,2292
ENSG00000004897,6021
ENSG00000004939,6
ENSG00000004948,30
ENSG00000004961,1298
ENSG00000004975,1716
ENSG00000005001,231
ENSG00000005007,5092
ENSG00000005020,5837
ENSG00000005022,11155
ENSG00000005059,952
ENSG00000005073,35
ENSG00000005075,1423
ENSG00000005100,1733
ENSG00000005102,2349
ENSG00000005108,1143
ENSG00000005156,1397
ENSG00000005175,2078
ENSG00000005187,500
ENSG00000005189,399
ENSG00000005194,2071
ENSG00000005206,1517
ENSG00000005238,1892
ENSG00000005243,3641
ENSG00000005249,43343
ENSG00000005302,2002
ENSG00000005339,8219
ENSG00000005379,1060
ENSG00000005381,17
ENSG00000005421,40
ENSG00000005436,2054
ENSG00000005448,418
ENSG00000005469,1836
ENSG00000005471,119
ENSG00000005483,7465
ENSG00000005486,4555
ENSG00000005513,134
ENSG00000005700,5726
ENSG00000005801,1696
ENSG00000005810,15040
ENSG00000005812,10059
ENSG00000005844,696
ENSG00000005882,4071
ENSG00000005884,5814
ENSG00000005889,4885
ENSG00000005893,13739
ENSG00000005961,22
ENSG00000005981,28
ENSG00000006007,7186
ENSG00000006015,399
ENSG00000006016,406
ENSG00000006025,597
ENSG00000006042,3530
ENSG00000006047,510
ENSG00000006059,1
ENSG00000006062,1102
ENSG00000006071,235
ENSG00000006116,0
ENSG00000006118,690
ENSG00000006125,21563
ENSG00000006128,62
ENSG00000006194,2192
ENSG00000006210,16015
ENSG00000006282,2198
ENSG00000006283,72
ENSG00000006327,522
ENSG00000006377,8
ENSG00000006432,628
ENSG00000006451,5138
ENSG00000006453,1139
ENSG00000006459,3182
ENSG00000006468,1083
ENSG00000006530,1961
ENSG00000006534,790
ENSG00000006555,506
ENSG00000006576,1501
ENSG00000006606,14
ENSG00000006607,1834
ENSG00000006611,5
ENSG00000006625,1983
ENSG00000006634,472
ENSG00000006638,165
ENSG00000006652,3888
ENSG00000006659,0
ENSG00000006695,1255
ENSG00000006704,1302
ENSG00000006712,3051
ENSG00000006715,4952
ENSG00000006740,825
ENSG00000006744,4169
ENSG00000006747,1224
ENSG00000006756,7972
ENSG00000006757,2355
ENSG00000006788,28
ENSG00000006831,13874
ENSG00000006837,51
ENSG00000007001,14
ENSG00000007038,27
ENSG00000007047,1427
ENSG00000007062,5863
ENSG00000007080,927
ENSG00000007129,41
ENSG00000007168,13674
ENSG00000007171,63
ENSG00000007174,198
ENSG00000007202,14448
ENSG00000007216,306
ENSG00000007237,2723
ENSG00000007255,606
ENSG00000007264,66
ENSG00000007306,12
ENSG00000007312,245
ENSG00000007314,1790
ENSG00000007341,862
ENSG00000007350,25
ENSG00000007372,320
ENSG00000007376,618
ENSG00000007384,1780
ENSG00000007392,1604
ENSG00000007402,376
ENSG00000007516,375
ENSG00000007520,1098
ENSG00000007541,1682
ENSG00000007545,1554
ENSG00000007866,2096
ENSG00000007908,867
ENSG00000007923,1929
ENSG00000007933,451
ENSG00000007944,4300
ENSG00000007952,56
ENSG00000007968,26
ENSG00000008018,9225
ENSG00000008056,40
ENSG00000008083,1755
ENSG00000008086,1731
ENSG00000008118,22
ENSG00000008128,177
ENSG00000008130,4615
ENSG00000008196,4381
ENSG00000008197,0
ENSG00000008226,160
ENSG00000008256,5190
ENSG00000008277,1089
ENSG00000008282,13049
ENSG00000008283,3495
ENSG00000008294,8575
ENSG00000008300,115
ENSG00000008311,1312
ENSG00000008323,1749
ENSG00000008324,834
ENSG00000008382,487
ENSG00000008394,52991
ENSG00000008405,1305
ENSG00000008438,0
ENSG00000008441,13920
ENSG00000008513,5726
ENSG00000008516,114
ENSG00000008517,680
ENSG00000008710,3874
ENSG00000008735,280
ENSG00000008838,3846
ENSG00000008853,1386
ENSG00000008869,4201
ENSG00000008952,16391
ENSG00000008988,78122
ENSG00000009307,82140
ENSG00000009335,6941
ENSG00000009413,4460
ENSG00000009694,114
ENSG00000009709,0
ENSG00000009724,233
ENSG00000009765,12
ENSG00000009780,1997
ENSG00000009790,177
ENSG00000009830,1463
ENSG00000009844,3654
ENSG00000009950,3574
ENSG00000009954,7783
ENSG00000010017,4495
ENSG00000010030,74
ENSG00000010072,827
ENSG00000010165,2409
ENSG00000010219,942
ENSG00000010244,9423
ENSG00000010256,6821
ENSG00000010270,2345
ENSG00000010278,12273
ENSG00000010282,357
ENSG00000010292,3125
ENSG00000010295,641
ENSG00000010310,72
ENSG00000010318,585
ENSG00000010319,8611
ENSG00000010322,7646
ENSG00000010327,5430
ENSG00000010361,806
ENSG00000010379,2
ENSG00000010404,10140
ENSG00000010438,9
ENSG00000010539,730
ENSG00000010610,3116
ENSG00000010626,415
ENSG00000010671,443
ENSG00000010704,1659
ENSG00000010803,4234
ENSG00000010810,3903
ENSG00000010818,3284
ENSG00000010932,927
ENSG00000011007,5038
ENSG00000011009,1932
ENSG00000011021,2100
ENSG00000011028,2095
