Gene stable ID,92a30a9e-ce5f-4a64-8d23-a1e9ed9030a1
ENSG00000000003,1880
ENSG00000000005,1
ENSG00000000419,3210
ENSG00000000457,2642
ENSG00000000460,1372
ENSG00000000938,760
ENSG00000000971,6209
ENSG00000001036,5046
ENSG00000001084,4460
ENSG00000001167,4387
ENSG00000001460,878
ENSG00000001461,4695
ENSG00000001497,5917
ENSG00000001561,1990
ENSG00000001617,7027
ENSG00000001626,1
ENSG00000001629,10376
ENSG00000001630,1082
ENSG00000001631,3145
ENSG00000002016,505
ENSG00000002079,9
ENSG00000002330,2003
ENSG00000002549,12852
ENSG00000002586,12240
ENSG00000002587,398
ENSG00000002726,17
ENSG00000002745,1
ENSG00000002746,139
ENSG00000002822,1048
ENSG00000002834,29588
ENSG00000002919,2779
ENSG00000002933,1813
ENSG00000003056,8728
ENSG00000003096,180
ENSG00000003137,124
ENSG00000003147,2537
ENSG00000003249,2630
ENSG00000003393,3618
ENSG00000003400,602
ENSG00000003402,6954
ENSG00000003436,483
ENSG00000003509,643
ENSG00000003756,4961
ENSG00000003987,618
ENSG00000003989,23674
ENSG00000004059,9223
ENSG00000004139,312
ENSG00000004142,9834
ENSG00000004399,26885
ENSG00000004455,7738
ENSG00000004468,207
ENSG00000004478,38519
ENSG00000004487,9636
ENSG00000004534,4514
ENSG00000004660,353
ENSG00000004700,3520
ENSG00000004766,2575
ENSG00000004776,122
ENSG00000004777,1127
ENSG00000004779,5051
ENSG00000004799,1058
ENSG00000004809,3
ENSG00000004838,875
ENSG00000004846,7
ENSG00000004848,2
ENSG00000004864,1946
ENSG00000004866,3198
ENSG00000004897,8527
ENSG00000004939,0
ENSG00000004948,40
ENSG00000004961,1657
ENSG00000004975,2504
ENSG00000005001,422
ENSG00000005007,14859
ENSG00000005020,3269
ENSG00000005022,16253
ENSG00000005059,1979
ENSG00000005073,76
ENSG00000005075,1864
ENSG00000005100,2068
ENSG00000005102,35
ENSG00000005108,321
ENSG00000005156,6389
ENSG00000005175,3239
ENSG00000005187,146
ENSG00000005189,793
ENSG00000005194,3873
ENSG00000005206,2116
ENSG00000005238,1660
ENSG00000005243,1488
ENSG00000005249,2173
ENSG00000005302,2126
ENSG00000005339,15180
ENSG00000005379,1280
ENSG00000005381,0
ENSG00000005421,0
ENSG00000005436,1647
ENSG00000005448,739
ENSG00000005469,2734
ENSG00000005471,215
ENSG00000005483,8901
