Gene stable ID,aad765b7-ce4e-4c72-8518-3aff0dced551
ENSG00000000003,1379
ENSG00000000005,6
ENSG00000000419,1660
ENSG00000000457,1744
ENSG00000000460,615
ENSG00000000938,201
ENSG00000000971,1373
ENSG00000001036,2778
ENSG00000001084,2691
ENSG00000001167,2307
ENSG00000001460,521
ENSG00000001461,1361
ENSG00000001497,3185
ENSG00000001561,947
ENSG00000001617,9007
ENSG00000001626,22
ENSG00000001629,3802
ENSG00000001630,275
ENSG00000001631,1565
ENSG00000002016,711
ENSG00000002079,40
ENSG00000002330,1507
ENSG00000002549,4414
ENSG00000002586,6999
ENSG00000002587,112
ENSG00000002726,9
ENSG00000002745,3
ENSG00000002746,9
ENSG00000002822,1387
ENSG00000002834,25332
ENSG00000002919,877
ENSG00000002933,1748
ENSG00000003056,5058
ENSG00000003096,527
ENSG00000003137,63
ENSG00000003147,3630
ENSG00000003249,5737
ENSG00000003393,1542
ENSG00000003400,238
ENSG00000003402,3435
ENSG00000003436,454
ENSG00000003509,675
ENSG00000003756,6469
ENSG00000003987,68
ENSG00000003989,36823
ENSG00000004059,6540
ENSG00000004139,520
ENSG00000004142,4793
ENSG00000004399,5041
ENSG00000004455,4736
ENSG00000004468,62
ENSG00000004478,47933
ENSG00000004487,4124
ENSG00000004534,6303
ENSG00000004660,603
ENSG00000004700,1455
ENSG00000004766,1438
ENSG00000004776,120
ENSG00000004777,478
ENSG00000004779,2695
ENSG00000004799,1676
ENSG00000004809,1
ENSG00000004838,581
ENSG00000004846,14
ENSG00000004848,1
ENSG00000004864,1395
ENSG00000004866,1396
ENSG00000004897,2387
ENSG00000004939,0
ENSG00000004948,5
ENSG00000004961,1162
ENSG00000004975,1087
ENSG00000005001,683
ENSG00000005007,6225
ENSG00000005020,892
ENSG00000005022,16295
ENSG00000005059,695
ENSG00000005073,41
ENSG00000005075,1453
ENSG00000005100,1052
ENSG00000005102,51
ENSG00000005108,183
ENSG00000005156,1464
ENSG00000005175,1781
ENSG00000005187,105
ENSG00000005189,395
