Gene stable ID,e1f567f8-df88-48ab-b8c5-5338f0cba065
ENSG00000000003,684
ENSG00000000005,34
ENSG00000000419,783
ENSG00000000457,775
ENSG00000000460,851
ENSG00000000938,84
ENSG00000000971,1013
ENSG00000001036,662
ENSG00000001084,763
ENSG00000001167,1448
ENSG00000001460,335
ENSG00000001461,1411
ENSG00000001497,798
ENSG00000001561,484
ENSG00000001617,329
ENSG00000001626,170
ENSG00000001629,4565
ENSG00000001630,67
ENSG00000001631,2593
ENSG00000002016,433
ENSG00000002079,239
ENSG00000002330,84
ENSG00000002549,936
ENSG00000002586,1716
ENSG00000002587,103
ENSG00000002726,44
ENSG00000002745,99
ENSG00000002746,222
ENSG00000002822,786
ENSG00000002834,2304
ENSG00000002919,216
ENSG00000002933,70
ENSG00000003056,890
ENSG00000003096,244
ENSG00000003137,115
ENSG00000003147,872
ENSG00000003249,461
ENSG00000003393,1654
ENSG00000003400,838
ENSG00000003402,5314
ENSG00000003436,894
ENSG00000003509,721
ENSG00000003756,2872
ENSG00000003987,166
ENSG00000003989,83
ENSG00000004059,666
ENSG00000004139,183
ENSG00000004142,640
ENSG00000004399,1738
ENSG00000004455,2813
ENSG00000004468,82
ENSG00000004478,2364
ENSG00000004487,3034
ENSG00000004534,2097
ENSG00000004660,214
ENSG00000004700,651
ENSG00000004766,1811
ENSG00000004776,31
ENSG00000004777,281
ENSG00000004779,361
ENSG00000004799,1518
ENSG00000004809,30
ENSG00000004838,23
ENSG00000004846,164
ENSG00000004848,5
ENSG00000004864,1831
ENSG00000004866,893
ENSG00000004897,2458
ENSG00000004939,18
ENSG00000004948,117
ENSG00000004961,315
ENSG00000004975,548
ENSG00000005001,460
ENSG00000005007,1271
ENSG00000005020,1177
ENSG00000005022,2335
ENSG00000005059,343
ENSG00000005073,16
ENSG00000005075,175
ENSG00000005100,887
ENSG00000005102,10
ENSG00000005108,534
ENSG00000005156,1410
ENSG00000005175,860
ENSG00000005187,123
ENSG00000005189,150
ENSG00000005194,456
ENSG00000005206,503
ENSG00000005238,502
ENSG00000005243,248
ENSG00000005249,489
ENSG00000005302,1009
ENSG00000005339,3008
ENSG00000005379,213
ENSG00000005381,15
ENSG00000005421,96
ENSG00000005436,1340
ENSG00000005448,89
ENSG00000005469,542
ENSG00000005471,167
ENSG00000005483,5854
ENSG00000005486,418
ENSG00000005513,19
ENSG00000005700,1773
ENSG00000005801,1432
ENSG00000005810,4009
ENSG00000005812,1144
ENSG00000005844,83
ENSG00000005882,76
ENSG00000005884,577
ENSG00000005889,3412
ENSG00000005893,14621
ENSG00000005961,46
ENSG00000005981,236
ENSG00000006007,626
ENSG00000006015,139
ENSG00000006016,211
ENSG00000006025,167
ENSG00000006042,304
ENSG00000006047,193
ENSG00000006059,12
ENSG00000006062,635
ENSG00000006071,30
ENSG00000006116,18
ENSG00000006118,1542
ENSG00000006125,3749
ENSG00000006128,35
ENSG00000006194,496
ENSG00000006210,439
ENSG00000006282,268
ENSG00000006283,38
ENSG00000006327,2356
ENSG00000006377,95
ENSG00000006432,1331
ENSG00000006451,2640
ENSG00000006453,2360
ENSG00000006459,7446
ENSG00000006468,542
ENSG00000006530,2126
ENSG00000006534,135
ENSG00000006555,294
ENSG00000006576,2293
ENSG00000006606,17
ENSG00000006607,2372
ENSG00000006611,67
ENSG00000006625,1180
ENSG00000006634,932
ENSG00000006638,21
ENSG00000006652,2652
ENSG00000006659,22
ENSG00000006695,234
ENSG00000006704,1197
