Gene stable ID,a00fd49a-c11c-4db1-8cf0-698d3f23d7ce
ENSG00000000003,3637
ENSG00000000005,7
ENSG00000000419,1222
ENSG00000000457,1801
ENSG00000000460,577
ENSG00000000938,361
ENSG00000000971,3868
ENSG00000001036,2269
ENSG00000001084,1299
ENSG00000001167,2105
ENSG00000001460,687
ENSG00000001461,1580
ENSG00000001497,2469
ENSG00000001561,632
ENSG00000001617,4865
ENSG00000001626,1
ENSG00000001629,2397
ENSG00000001630,214
ENSG00000001631,1193
ENSG00000002016,270
ENSG00000002079,5
ENSG00000002330,1804
ENSG00000002549,8310
ENSG00000002586,12316
ENSG00000002587,93
ENSG00000002726,36
ENSG00000002745,3
ENSG00000002746,39
ENSG00000002822,1261
ENSG00000002834,18369
ENSG00000002919,1100
ENSG00000002933,2085
ENSG00000003056,3568
ENSG00000003096,378
ENSG00000003137,132
ENSG00000003147,2358
ENSG00000003249,1572
ENSG00000003393,1163
ENSG00000003400,336
ENSG00000003402,4389
ENSG00000003436,1090
ENSG00000003509,474
ENSG00000003756,3360
ENSG00000003987,90
ENSG00000003989,29742
ENSG00000004059,6459
ENSG00000004139,160
ENSG00000004142,5409
ENSG00000004399,7480
ENSG00000004455,5301
ENSG00000004468,132
ENSG00000004478,9012
ENSG00000004487,5384
ENSG00000004534,2168
ENSG00000004660,571
ENSG00000004700,1292
ENSG00000004766,2708
ENSG00000004776,417
ENSG00000004777,214
ENSG00000004779,2640
ENSG00000004799,5682
ENSG00000004809,7
ENSG00000004838,2389
ENSG00000004846,6
ENSG00000004848,1
ENSG00000004864,961
ENSG00000004866,1429
ENSG00000004897,2945
ENSG00000004939,1
ENSG00000004948,4
ENSG00000004961,773
ENSG00000004975,1177
ENSG00000005001,402
ENSG00000005007,5966
ENSG00000005020,1080
ENSG00000005022,10201
ENSG00000005059,1642
ENSG00000005073,47
ENSG00000005075,1401
ENSG00000005100,755
ENSG00000005102,162
ENSG00000005108,288
ENSG00000005156,2205
ENSG00000005175,1620
ENSG00000005187,179
ENSG00000005189,264
ENSG00000005194,1571
ENSG00000005206,1638
ENSG00000005238,980
ENSG00000005243,992
ENSG00000005249,1130
ENSG00000005302,1012
ENSG00000005339,6662
ENSG00000005379,581
ENSG00000005381,23
ENSG00000005421,1
ENSG00000005436,838
ENSG00000005448,678
ENSG00000005469,2554
ENSG00000005471,107
ENSG00000005483,3196
ENSG00000005486,3997
ENSG00000005513,50
ENSG00000005700,2730
ENSG00000005801,1023
ENSG00000005810,2801
ENSG00000005812,3762
ENSG00000005844,1152
ENSG00000005882,1478
ENSG00000005884,10042
ENSG00000005889,2041
ENSG00000005893,7260
ENSG00000005961,19
ENSG00000005981,7
ENSG00000006007,6601
ENSG00000006015,973
ENSG00000006016,404
ENSG00000006025,344
ENSG00000006042,3904
ENSG00000006047,38
ENSG00000006059,2
ENSG00000006062,925
ENSG00000006071,855
ENSG00000006116,0
ENSG00000006118,2788
ENSG00000006125,21237
ENSG00000006128,36
ENSG00000006194,2149
ENSG00000006210,4753
ENSG00000006282,2509
ENSG00000006283,32
ENSG00000006327,4279
ENSG00000006377,0
ENSG00000006432,577
ENSG00000006451,4091
ENSG00000006453,1588
ENSG00000006459,901
ENSG00000006468,1086
ENSG00000006530,889
ENSG00000006534,385
ENSG00000006555,826
ENSG00000006576,1203
ENSG00000006606,34
ENSG00000006607,1496
ENSG00000006611,3
ENSG00000006625,4055
ENSG00000006634,384
ENSG00000006638,146
ENSG00000006652,764
ENSG00000006659,2
ENSG00000006695,478
ENSG00000006704,1472
ENSG00000006712,3995
ENSG00000006715,2429
ENSG00000006740,332
ENSG00000006744,2421
ENSG00000006747,196
ENSG00000006756,7849
ENSG00000006757,1860
ENSG00000006788,31
ENSG00000006831,9261
ENSG00000006837,26
ENSG00000007001,8
ENSG00000007038,27
ENSG00000007047,2343
ENSG00000007062,4123
ENSG00000007080,2050
ENSG00000007129,16
ENSG00000007168,4669
ENSG00000007171,21
ENSG00000007174,155
ENSG00000007202,7294
ENSG00000007216,119
ENSG00000007237,3449
ENSG00000007255,1348
ENSG00000007264,119
ENSG00000007306,11
ENSG00000007312,230
ENSG00000007314,68
ENSG00000007341,516
ENSG00000007350,2
ENSG00000007372,80
ENSG00000007376,1226
ENSG00000007384,2955
ENSG00000007392,1332
ENSG00000007402,183
ENSG00000007516,1227
ENSG00000007520,2700
ENSG00000007541,5336
ENSG00000007545,1122
ENSG00000007866,1912
ENSG00000007908,220
ENSG00000007923,1433
ENSG00000007933,91
ENSG00000007944,2659
ENSG00000007952,47
ENSG00000007968,152
ENSG00000008018,4357
ENSG00000008056,75
ENSG00000008083,1620
ENSG00000008086,981
ENSG00000008118,6
ENSG00000008128,170
ENSG00000008130,2969
ENSG00000008196,7468
ENSG00000008197,0
ENSG00000008226,102
ENSG00000008256,2419
ENSG00000008277,389
ENSG00000008282,5462
ENSG00000008283,6621
ENSG00000008294,3123
ENSG00000008300,738
ENSG00000008311,257
ENSG00000008323,611
ENSG00000008324,734
ENSG00000008382,1080
ENSG00000008394,12679
ENSG00000008405,1063
ENSG00000008438,0
ENSG00000008441,4202
ENSG00000008513,3957
ENSG00000008516,135
ENSG00000008517,4453
ENSG00000008710,2649
ENSG00000008735,2205
ENSG00000008838,3666
ENSG00000008853,1734
ENSG00000008869,1807
ENSG00000008952,6795
ENSG00000008988,35890
ENSG00000009307,32873
ENSG00000009335,4494
ENSG00000009413,736
ENSG00000009694,24
ENSG00000009709,1
ENSG00000009724,25
ENSG00000009765,36
ENSG00000009780,645
ENSG00000009790,280
ENSG00000009830,1519
ENSG00000009844,1584
ENSG00000009950,153
ENSG00000009954,4876
ENSG00000010017,2508
ENSG00000010030,537
ENSG00000010072,660
ENSG00000010165,3240
ENSG00000010219,662
ENSG00000010244,6402
ENSG00000010256,6794
ENSG00000010270,1094
ENSG00000010278,13742
ENSG00000010282,7
ENSG00000010292,3241
ENSG00000010295,481
ENSG00000010310,94
ENSG00000010318,205
ENSG00000010319,1078
ENSG00000010322,3923
ENSG00000010327,1880
ENSG00000010361,1282
ENSG00000010379,0
ENSG00000010404,5282
ENSG00000010438,13
ENSG00000010539,564
ENSG00000010610,3026
ENSG00000010626,857
ENSG00000010671,373
ENSG00000010704,927
ENSG00000010803,1902
ENSG00000010810,1805
ENSG00000010818,1239
ENSG00000010932,1089
ENSG00000011007,1899
ENSG00000011009,4013
ENSG00000011021,544
ENSG00000011028,12870
ENSG00000011052,21
ENSG00000011083,1
ENSG00000011105,6155
ENSG00000011114,1403
ENSG00000011132,798
ENSG00000011143,911
ENSG00000011198,989
ENSG00000011201,469
ENSG00000011243,1465
ENSG00000011258,953
ENSG00000011260,1682
ENSG00000011275,2551
ENSG00000011295,1756
ENSG00000011304,12240
ENSG00000011332,19
ENSG00000011347,6143
ENSG00000011376,1562
ENSG00000011405,2220
ENSG00000011422,1992
ENSG00000011426,537
ENSG00000011451,3978
ENSG00000011454,3045
ENSG00000011465,53090
ENSG00000011478,650
ENSG00000011485,2302
ENSG00000011523,1728
ENSG00000011566,1525
ENSG00000011590,24
ENSG00000011600,2026
ENSG00000011638,2441
ENSG00000011677,5
ENSG00000012048,637
ENSG00000012061,3414
ENSG00000012124,154
ENSG00000012171,2931
ENSG00000012174,1217
ENSG00000012211,432
ENSG00000012223,105798
ENSG00000012232,1989
ENSG00000012504,0
ENSG00000012660,27884
ENSG00000012779,722
ENSG00000012817,1
ENSG00000012822,3837
ENSG00000012963,2737
ENSG00000012983,2024
ENSG00000013016,1360
ENSG00000013275,3509
ENSG00000013288,5007
ENSG00000013293,2
ENSG00000013297,564
ENSG00000013306,6643
ENSG00000013364,15664
ENSG00000013374,4036
ENSG00000013375,1317
ENSG00000013392,269
ENSG00000013441,1160
ENSG00000013503,762
ENSG00000013523,1106
ENSG00000013561,2556
ENSG00000013563,944
ENSG00000013573,353
ENSG00000013583,3655
ENSG00000013588,19485
ENSG00000013619,258
ENSG00000013725,483
ENSG00000013810,1245
ENSG00000014123,1107
ENSG00000014138,835
ENSG00000014164,1532
ENSG00000014216,11896
ENSG00000014257,41
ENSG00000014641,5573
ENSG00000014824,3466
ENSG00000014914,1340
ENSG00000014919,2037
ENSG00000015133,1209
ENSG00000015153,732
ENSG00000015171,5317
ENSG00000015285,547
ENSG00000015413,81
ENSG00000015475,1266
ENSG00000015479,134
ENSG00000015520,75
ENSG00000015532,2523
ENSG00000015568,0
ENSG00000015592,7
ENSG00000015676,5211
ENSG00000016082,1
ENSG00000016391,3506
ENSG00000016402,1163
ENSG00000016490,0
ENSG00000016602,18
ENSG00000016864,3713
ENSG00000017260,4294
ENSG00000017427,201
ENSG00000017483,698
ENSG00000017797,4617
ENSG00000018189,1152
ENSG00000018236,1010
ENSG00000018280,104
ENSG00000018408,4260
ENSG00000018510,2432
ENSG00000018607,0
ENSG00000018610,1060
ENSG00000018625,73
ENSG00000018699,1251
ENSG00000018869,251
ENSG00000019102,44
ENSG00000019144,4671
ENSG00000019169,35
ENSG00000019186,109
ENSG00000019485,321
ENSG00000019505,155
ENSG00000019549,1746
ENSG00000019582,119268
ENSG00000019991,241
ENSG00000019995,995
ENSG00000020129,2657
ENSG00000020181,2793
ENSG00000020219,0
ENSG00000020256,964
ENSG00000020426,749
ENSG00000020577,665
ENSG00000020633,815
ENSG00000020922,1008
ENSG00000021300,312
ENSG00000021355,5254
ENSG00000021461,0
ENSG00000021488,7
ENSG00000021574,891
ENSG00000021645,38
ENSG00000021762,3646
ENSG00000021776,3486
ENSG00000021826,139
ENSG00000021852,1
ENSG00000022267,1667
ENSG00000022277,4352
ENSG00000022355,0
ENSG00000022556,25
ENSG00000022567,1114
ENSG00000022840,9104
ENSG00000022976,411
ENSG00000023041,1723
ENSG00000023171,83
ENSG00000023191,8150
ENSG00000023228,3862
ENSG00000023287,2262
ENSG00000023318,3341
ENSG00000023330,1476
ENSG00000023445,2528
ENSG00000023516,2462
ENSG00000023572,383
ENSG00000023608,334
ENSG00000023697,1102
ENSG00000023734,5891
ENSG00000023839,16
ENSG00000023892,862
ENSG00000023902,2675
ENSG00000023909,896
ENSG00000024048,2792
ENSG00000024422,6845
ENSG00000024526,122
ENSG00000024862,939
ENSG00000025039,351
ENSG00000025156,442
ENSG00000025293,3596
ENSG00000025423,330
ENSG00000025434,1450
ENSG00000025708,7396
ENSG00000025770,1724
ENSG00000025772,1793
ENSG00000025796,4263
ENSG00000025800,4281
ENSG00000026025,52208
ENSG00000026036,37
ENSG00000026103,1152
ENSG00000026297,2583
ENSG00000026508,24128
ENSG00000026559,31
ENSG00000026652,474
