Gene stable ID,7558a2b1-95a9-4d6d-aeb6-f86a04800d6f
ENSG00000000003,893
ENSG00000000005,12
ENSG00000000419,1763
ENSG00000000457,1567
ENSG00000000460,382
ENSG00000000938,232
ENSG00000000971,3609
ENSG00000001036,2664
ENSG00000001084,1658
ENSG00000001167,3022
ENSG00000001460,445
ENSG00000001461,3440
ENSG00000001497,1466
ENSG00000001561,781
ENSG00000001617,6109
ENSG00000001626,23
ENSG00000001629,7535
ENSG00000001630,680
ENSG00000001631,2331
ENSG00000002016,231
ENSG00000002079,5
ENSG00000002330,1192
ENSG00000002549,6046
ENSG00000002586,4641
ENSG00000002587,244
ENSG00000002726,64
ENSG00000002745,2
ENSG00000002746,33
ENSG00000002822,1046
ENSG00000002834,28840
ENSG00000002919,1443
ENSG00000002933,987
ENSG00000003056,5576
ENSG00000003096,693
ENSG00000003137,108
ENSG00000003147,1499
ENSG00000003249,2255
ENSG00000003393,1823
ENSG00000003400,387
ENSG00000003402,4953
ENSG00000003436,10044
ENSG00000003509,781
ENSG00000003756,3087
ENSG00000003987,61
ENSG00000003989,20554
ENSG00000004059,3843
ENSG00000004139,161
ENSG00000004142,5012
ENSG00000004399,7918
ENSG00000004455,4299
ENSG00000004468,167
ENSG00000004478,25484
ENSG00000004487,3476
ENSG00000004534,2161
ENSG00000004660,216
ENSG00000004700,2274
ENSG00000004766,2261
ENSG00000004776,163
ENSG00000004777,303
ENSG00000004779,1788
ENSG00000004799,1566
ENSG00000004809,5
ENSG00000004838,82
ENSG00000004846,25
ENSG00000004848,567
ENSG00000004864,2228
ENSG00000004866,999
ENSG00000004897,5108
ENSG00000004939,2
ENSG00000004948,21
ENSG00000004961,873
ENSG00000004975,1143
ENSG00000005001,482
ENSG00000005007,6183
ENSG00000005020,2383
ENSG00000005022,9155
ENSG00000005059,779
ENSG00000005073,16
ENSG00000005075,1018
ENSG00000005100,1009
ENSG00000005102,234
ENSG00000005108,330
ENSG00000005156,2845
ENSG00000005175,2349
ENSG00000005187,224
ENSG00000005189,250
ENSG00000005194,2328
ENSG00000005206,1328
ENSG00000005238,808
ENSG00000005243,462
ENSG00000005249,2091
ENSG00000005302,1101
ENSG00000005339,6672
ENSG00000005379,630
ENSG00000005381,10
ENSG00000005421,6
ENSG00000005436,640
ENSG00000005448,427
