Gene stable ID,1ac0e4d5-b418-4d21-a578-66bf439c6a74
ENSG00000000003,5137
ENSG00000000005,1
ENSG00000000419,1471
ENSG00000000457,985
ENSG00000000460,217
ENSG00000000938,348
ENSG00000000971,574
ENSG00000001036,5076
ENSG00000001084,5806
ENSG00000001167,2405
ENSG00000001460,559
ENSG00000001461,4576
ENSG00000001497,2817
ENSG00000001561,3743
ENSG00000001617,3639
ENSG00000001626,3
ENSG00000001629,4588
ENSG00000001630,405
ENSG00000001631,2218
ENSG00000002016,443
ENSG00000002079,17
ENSG00000002330,2537
ENSG00000002549,5554
ENSG00000002586,3664
ENSG00000002587,210
ENSG00000002726,3
ENSG00000002745,1
ENSG00000002746,3
ENSG00000002822,1650
ENSG00000002834,24351
ENSG00000002919,1675
ENSG00000002933,442
ENSG00000003056,4417
ENSG00000003096,177
ENSG00000003137,28
ENSG00000003147,5112
ENSG00000003249,2306
ENSG00000003393,1673
ENSG00000003400,264
ENSG00000003402,4768
ENSG00000003436,293
ENSG00000003509,705
ENSG00000003756,4258
ENSG00000003987,140
ENSG00000003989,68998
ENSG00000004059,5388
ENSG00000004139,316
ENSG00000004142,7253
ENSG00000004399,12707
ENSG00000004455,6366
ENSG00000004468,45
ENSG00000004478,17865
ENSG00000004487,5744
ENSG00000004534,3118
ENSG00000004660,424
ENSG00000004700,1209
ENSG00000004766,1571
ENSG00000004776,62
ENSG00000004777,155
ENSG00000004779,2017
ENSG00000004799,5911
ENSG00000004809,4
ENSG00000004838,1312
ENSG00000004846,0
ENSG00000004848,1
ENSG00000004864,1168
ENSG00000004866,2148
ENSG00000004897,5058
ENSG00000004939,2
ENSG00000004948,8
ENSG00000004961,909
ENSG00000004975,1567
ENSG00000005001,277
ENSG00000005007,9003
ENSG00000005020,725
ENSG00000005022,11053
ENSG00000005059,779
ENSG00000005073,8
ENSG00000005075,1100
ENSG00000005100,1887
ENSG00000005102,36
ENSG00000005108,173
ENSG00000005156,2783
ENSG00000005175,2131
ENSG00000005187,83
ENSG00000005189,263
ENSG00000005194,2428
ENSG00000005206,1920
ENSG00000005238,914
ENSG00000005243,554
ENSG00000005249,104
ENSG00000005302,1130
ENSG00000005339,6514
ENSG00000005379,1874
ENSG00000005381,7
ENSG00000005421,1
ENSG00000005436,1980
ENSG00000005448,1427
ENSG00000005469,623
ENSG00000005471,30
ENSG00000005483,5424
ENSG00000005486,8000
ENSG00000005513,5
ENSG00000005700,6253
ENSG00000005801,1115
ENSG00000005810,4266
ENSG00000005812,4818
ENSG00000005844,771
ENSG00000005882,1840
ENSG00000005884,10251
ENSG00000005889,6154
ENSG00000005893,15875
ENSG00000005961,8
ENSG00000005981,13
ENSG00000006007,5236
ENSG00000006015,696
ENSG00000006016,67
ENSG00000006025,294
ENSG00000006042,3059
ENSG00000006047,91
ENSG00000006059,4
ENSG00000006062,556
ENSG00000006071,171
ENSG00000006116,0
ENSG00000006118,642
ENSG00000006125,27136
ENSG00000006128,0
ENSG00000006194,2125
ENSG00000006210,1521
ENSG00000006282,4065
ENSG00000006283,4
ENSG00000006327,1750
ENSG00000006377,0
ENSG00000006432,710
ENSG00000006451,3115
ENSG00000006453,1938
ENSG00000006459,1175
ENSG00000006468,196
ENSG00000006530,1842
ENSG00000006534,1283
ENSG00000006555,317
ENSG00000006576,985
ENSG00000006606,5
ENSG00000006607,1489
ENSG00000006611,0
ENSG00000006625,1711
ENSG00000006634,354
ENSG00000006638,86
ENSG00000006652,1512
ENSG00000006659,0
ENSG00000006695,725
ENSG00000006704,1366
ENSG00000006712,5313
ENSG00000006715,5214
ENSG00000006740,526
ENSG00000006744,4175
ENSG00000006747,437
ENSG00000006756,8574
ENSG00000006757,2733
ENSG00000006788,7
ENSG00000006831,6420
ENSG00000006837,48
ENSG00000007001,10
ENSG00000007038,82
ENSG00000007047,2980
ENSG00000007062,629
ENSG00000007080,2343
ENSG00000007129,57
ENSG00000007168,9141
ENSG00000007171,23
ENSG00000007174,97
ENSG00000007202,14489
ENSG00000007216,0
ENSG00000007237,675
ENSG00000007255,1570
ENSG00000007264,80
ENSG00000007306,13
ENSG00000007312,27
ENSG00000007314,3
ENSG00000007341,805
ENSG00000007350,1
ENSG00000007372,129
ENSG00000007376,1404
ENSG00000007384,1414
ENSG00000007392,1388
ENSG00000007402,2167
ENSG00000007516,1321
ENSG00000007520,2056
ENSG00000007541,4755
ENSG00000007545,1329
ENSG00000007866,1199
ENSG00000007908,111
ENSG00000007923,1955
ENSG00000007933,194
ENSG00000007944,3582
ENSG00000007952,45
ENSG00000007968,101
ENSG00000008018,5510
ENSG00000008056,150
