Gene stable ID,2ea08d5a-1ae6-4944-8b07-aabe1599dc2a
ENSG00000000003,2477
ENSG00000000005,1
ENSG00000000419,3558
ENSG00000000457,1689
ENSG00000000460,1091
ENSG00000000938,420
ENSG00000000971,695
ENSG00000001036,3435
ENSG00000001084,4023
ENSG00000001167,4518
ENSG00000001460,692
ENSG00000001461,1884
ENSG00000001497,2593
ENSG00000001561,1191
ENSG00000001617,1800
ENSG00000001626,1
ENSG00000001629,4841
ENSG00000001630,294
ENSG00000001631,2814
ENSG00000002016,919
ENSG00000002079,71
ENSG00000002330,1528
ENSG00000002549,4349
ENSG00000002586,5158
ENSG00000002587,247
ENSG00000002726,20
ENSG00000002745,14
ENSG00000002746,12
ENSG00000002822,1023
ENSG00000002834,10436
ENSG00000002919,1218
ENSG00000002933,4359
ENSG00000003056,2853
ENSG00000003096,411
ENSG00000003137,1329
ENSG00000003147,1822
ENSG00000003249,3615
ENSG00000003393,1248
ENSG00000003400,120
ENSG00000003402,7151
ENSG00000003436,402
ENSG00000003509,927
ENSG00000003756,4907
ENSG00000003987,35
ENSG00000003989,38
ENSG00000004059,10487
ENSG00000004139,99
ENSG00000004142,4833
ENSG00000004399,6416
ENSG00000004455,8497
ENSG00000004468,66
ENSG00000004478,19171
ENSG00000004487,6280
ENSG00000004534,5148
ENSG00000004660,673
ENSG00000004700,944
ENSG00000004766,1533
ENSG00000004776,4143
ENSG00000004777,2423
ENSG00000004779,4693
ENSG00000004799,234
ENSG00000004809,73
ENSG00000004838,168
ENSG00000004846,4
ENSG00000004848,1
ENSG00000004864,2646
ENSG00000004866,1374
ENSG00000004897,4530
ENSG00000004939,7
ENSG00000004948,0
ENSG00000004961,939
ENSG00000004975,2529
ENSG00000005001,1154
ENSG00000005007,9825
ENSG00000005020,288
ENSG00000005022,10313
ENSG00000005059,866
ENSG00000005073,9
ENSG00000005075,3592
ENSG00000005100,2185
ENSG00000005102,83
ENSG00000005108,12
ENSG00000005156,2910
ENSG00000005175,1639
ENSG00000005187,117
ENSG00000005189,536
ENSG00000005194,2447
ENSG00000005206,3520
ENSG00000005238,561
ENSG00000005243,690
ENSG00000005249,4341
ENSG00000005302,2166
ENSG00000005339,5764
ENSG00000005379,3581
ENSG00000005381,45
ENSG00000005421,15
ENSG00000005436,2518
ENSG00000005448,1069
ENSG00000005469,444
ENSG00000005471,40
ENSG00000005483,5153
