Gene stable ID,6d5876aa-e973-4bb1-95e1-b00203ee0ece
ENSG00000000003,3796
ENSG00000000005,121
ENSG00000000419,2256
ENSG00000000457,5886
ENSG00000000460,1319
ENSG00000000938,727
ENSG00000000971,6110
ENSG00000001036,4131
ENSG00000001084,1649
ENSG00000001167,5837
ENSG00000001460,1135
ENSG00000001461,3766
ENSG00000001497,3066
ENSG00000001561,2240
ENSG00000001617,5522
ENSG00000001626,4
ENSG00000001629,7978
ENSG00000001630,667
ENSG00000001631,5178
ENSG00000002016,678
ENSG00000002079,46
ENSG00000002330,1617
ENSG00000002549,9819
ENSG00000002586,15410
ENSG00000002587,220
ENSG00000002726,65
ENSG00000002745,3
ENSG00000002746,23
ENSG00000002822,1333
ENSG00000002834,27003
ENSG00000002919,1848
ENSG00000002933,1888
ENSG00000003056,6310
ENSG00000003096,342
ENSG00000003137,538
ENSG00000003147,6330
ENSG00000003249,1805
ENSG00000003393,2722
ENSG00000003400,885
ENSG00000003402,9150
ENSG00000003436,2191
ENSG00000003509,785
ENSG00000003756,8817
ENSG00000003987,1328
ENSG00000003989,151616
ENSG00000004059,11508
ENSG00000004139,282
ENSG00000004142,9190
ENSG00000004399,10737
ENSG00000004455,8878
ENSG00000004468,198
ENSG00000004478,15631
ENSG00000004487,8110
ENSG00000004534,4792
ENSG00000004660,642
ENSG00000004700,2740
ENSG00000004766,4874
ENSG00000004776,3027
ENSG00000004777,830
ENSG00000004779,3012
ENSG00000004799,10234
ENSG00000004809,0
ENSG00000004838,2583
ENSG00000004846,81
ENSG00000004848,5
ENSG00000004864,2157
ENSG00000004866,2555
ENSG00000004897,8311
ENSG00000004939,0
ENSG00000004948,11
ENSG00000004961,1163
ENSG00000004975,2223
ENSG00000005001,757
ENSG00000005007,9342
ENSG00000005020,1915
ENSG00000005022,11312
ENSG00000005059,1931
ENSG00000005073,47
ENSG00000005075,2576
ENSG00000005100,1934
ENSG00000005102,601
ENSG00000005108,767
ENSG00000005156,5784
ENSG00000005175,3464
ENSG00000005187,184
ENSG00000005189,1005
ENSG00000005194,2019
ENSG00000005206,1739
ENSG00000005238,1485
ENSG00000005243,1138
ENSG00000005249,4888
ENSG00000005302,1519
ENSG00000005339,17852
ENSG00000005379,1304
ENSG00000005381,10
ENSG00000005421,2
ENSG00000005436,2145
ENSG00000005448,969
ENSG00000005469,4482
ENSG00000005471,205
ENSG00000005483,17597
ENSG00000005486,10780
ENSG00000005513,19
ENSG00000005700,6533
ENSG00000005801,1461
ENSG00000005810,7587
ENSG00000005812,8322
ENSG00000005844,1878
ENSG00000005882,3710
ENSG00000005884,8339
ENSG00000005889,6549
ENSG00000005893,19412
ENSG00000005961,78
ENSG00000005981,5
ENSG00000006007,13572
ENSG00000006015,445
ENSG00000006016,167
ENSG00000006025,1107
ENSG00000006042,2573
ENSG00000006047,206
ENSG00000006059,1
ENSG00000006062,1865
ENSG00000006071,133
ENSG00000006116,0
ENSG00000006118,1069
ENSG00000006125,51755
ENSG00000006128,43
ENSG00000006194,4009
ENSG00000006210,1622
ENSG00000006282,3925
ENSG00000006283,83
ENSG00000006327,2698
ENSG00000006377,2
ENSG00000006432,1159
ENSG00000006451,8843
ENSG00000006453,2723
ENSG00000006459,2583
ENSG00000006468,1024
ENSG00000006530,3614
ENSG00000006534,590
ENSG00000006555,1018
ENSG00000006576,3932
ENSG00000006606,31
ENSG00000006607,4694
ENSG00000006611,12
ENSG00000006625,6571
ENSG00000006634,1278
ENSG00000006638,229
ENSG00000006652,1744
ENSG00000006659,14
ENSG00000006695,934
ENSG00000006704,3894
ENSG00000006712,4512
ENSG00000006715,7454
ENSG00000006740,336
ENSG00000006744,3805
ENSG00000006747,282
ENSG00000006756,18787
ENSG00000006757,3153
ENSG00000006788,51
ENSG00000006831,12601
ENSG00000006837,79
ENSG00000007001,19
ENSG00000007038,8
ENSG00000007047,3406
ENSG00000007062,398
ENSG00000007080,1088
ENSG00000007129,79
ENSG00000007168,11259
ENSG00000007171,49
ENSG00000007174,253
ENSG00000007202,18472
ENSG00000007216,50
ENSG00000007237,3764
ENSG00000007255,1543
ENSG00000007264,102
ENSG00000007306,94
ENSG00000007312,262
ENSG00000007314,284
ENSG00000007341,1065
ENSG00000007350,6
ENSG00000007372,186
ENSG00000007376,1307
ENSG00000007384,4814
ENSG00000007392,2556
ENSG00000007402,1025
ENSG00000007516,3863
ENSG00000007520,1907
ENSG00000007541,5028
ENSG00000007545,1650
ENSG00000007866,2753
ENSG00000007908,1994
ENSG00000007923,2488
ENSG00000007933,120
ENSG00000007944,6734
ENSG00000007952,141
ENSG00000007968,708
ENSG00000008018,7939
ENSG00000008056,223
ENSG00000008083,2880
ENSG00000008086,1558
ENSG00000008118,18
ENSG00000008128,333
ENSG00000008130,5331
ENSG00000008196,11993
ENSG00000008197,0
ENSG00000008226,354
ENSG00000008256,2887
ENSG00000008277,721
ENSG00000008282,16127
ENSG00000008283,14894
ENSG00000008294,9934
ENSG00000008300,1901
ENSG00000008311,443
ENSG00000008323,1840
ENSG00000008324,837
ENSG00000008382,909
ENSG00000008394,7929
ENSG00000008405,2615
ENSG00000008438,0
ENSG00000008441,5670
ENSG00000008513,7381
ENSG00000008516,145
ENSG00000008517,2600
ENSG00000008710,3585
