Gene stable ID,44584c59-a67d-413a-900f-cf049345d000
ENSG00000000003,2852
ENSG00000000005,241
ENSG00000000419,1078
ENSG00000000457,1111
ENSG00000000460,284
ENSG00000000938,330
ENSG00000000971,3213
ENSG00000001036,1688
ENSG00000001084,1658
ENSG00000001167,1688
ENSG00000001460,466
ENSG00000001461,2783
ENSG00000001497,1340
ENSG00000001561,1140
ENSG00000001617,1339
ENSG00000001626,90
ENSG00000001629,3077
ENSG00000001630,93
ENSG00000001631,1823
ENSG00000002016,386
ENSG00000002079,7
ENSG00000002330,424
ENSG00000002549,3249
ENSG00000002586,4592
ENSG00000002587,195
ENSG00000002726,10
ENSG00000002745,4
ENSG00000002746,59
ENSG00000002822,379
ENSG00000002834,6917
ENSG00000002919,1033
ENSG00000002933,1251
ENSG00000003056,3033
ENSG00000003096,2401
ENSG00000003137,636
ENSG00000003147,1194
ENSG00000003249,300
ENSG00000003393,1477
ENSG00000003400,693
ENSG00000003402,7294
ENSG00000003436,3410
ENSG00000003509,558
ENSG00000003756,5314
ENSG00000003987,111
ENSG00000003989,3406
ENSG00000004059,2759
ENSG00000004139,358
ENSG00000004142,2699
ENSG00000004399,4602
ENSG00000004455,3954
ENSG00000004468,159
ENSG00000004478,4376
ENSG00000004487,3103
ENSG00000004534,3822
ENSG00000004660,543
ENSG00000004700,1250
ENSG00000004766,1260
ENSG00000004776,3952
ENSG00000004777,512
ENSG00000004779,960
ENSG00000004799,9472
ENSG00000004809,14
ENSG00000004838,72
ENSG00000004846,196
ENSG00000004848,21
ENSG00000004864,851
ENSG00000004866,1102
ENSG00000004897,3457
ENSG00000004939,1
ENSG00000004948,31
ENSG00000004961,669
ENSG00000004975,1275
ENSG00000005001,204
ENSG00000005007,3710
ENSG00000005020,2945
ENSG00000005022,4607
ENSG00000005059,573
ENSG00000005073,18
ENSG00000005075,570
ENSG00000005100,1275
ENSG00000005102,655
ENSG00000005108,515
ENSG00000005156,1205
ENSG00000005175,1601
ENSG00000005187,426
ENSG00000005189,166
ENSG00000005194,1099
ENSG00000005206,878
ENSG00000005238,574
ENSG00000005243,640
ENSG00000005249,5495
ENSG00000005302,1500
ENSG00000005339,6492
ENSG00000005379,1117
ENSG00000005381,19
ENSG00000005421,6
ENSG00000005436,1186
ENSG00000005448,222
ENSG00000005469,1636
ENSG00000005471,37
ENSG00000005483,6932
ENSG00000005486,2172
ENSG00000005513,72
ENSG00000005700,3704
ENSG00000005801,1071
ENSG00000005810,7622
ENSG00000005812,5543
ENSG00000005844,441
ENSG00000005882,906
ENSG00000005884,4258
ENSG00000005889,3295
ENSG00000005893,8772
ENSG00000005961,20
ENSG00000005981,15
ENSG00000006007,2856
ENSG00000006015,233
ENSG00000006016,172
ENSG00000006025,395
ENSG00000006042,2795
ENSG00000006047,158
ENSG00000006059,2
ENSG00000006062,1053
ENSG00000006071,45
ENSG00000006116,0
ENSG00000006118,355
ENSG00000006125,14018
ENSG00000006128,43
ENSG00000006194,1417
ENSG00000006210,8028
ENSG00000006282,949
ENSG00000006283,68
