Gene stable ID,26b38d50-bdb5-4066-bce2-cd774977968b
ENSG00000000003,3895
ENSG00000000005,1
ENSG00000000419,3260
ENSG00000000457,1602
ENSG00000000460,1294
ENSG00000000938,997
ENSG00000000971,7663
ENSG00000001036,5784
ENSG00000001084,5150
ENSG00000001167,9784
ENSG00000001460,1227
ENSG00000001461,3702
ENSG00000001497,4764
ENSG00000001561,4169
ENSG00000001617,6062
ENSG00000001626,7
ENSG00000001629,10484
ENSG00000001630,305
ENSG00000001631,3155
ENSG00000002016,692
ENSG00000002079,41
ENSG00000002330,1486
ENSG00000002549,28318
ENSG00000002586,12223
ENSG00000002587,687
ENSG00000002726,236
ENSG00000002745,1
ENSG00000002746,130
ENSG00000002822,3822
ENSG00000002834,18379
ENSG00000002919,2945
ENSG00000002933,9222
ENSG00000003056,15424
ENSG00000003096,384
ENSG00000003137,848
ENSG00000003147,5446
ENSG00000003249,3037
ENSG00000003393,2946
ENSG00000003400,1093
ENSG00000003402,9311
ENSG00000003436,876
ENSG00000003509,1066
ENSG00000003756,6143
ENSG00000003987,126
ENSG00000003989,381
ENSG00000004059,13523
ENSG00000004139,685
ENSG00000004142,11466
ENSG00000004399,13256
ENSG00000004455,13064
ENSG00000004468,1512
ENSG00000004478,32776
ENSG00000004487,13693
ENSG00000004534,4582
ENSG00000004660,1232
ENSG00000004700,4446
ENSG00000004766,2665
ENSG00000004776,149
ENSG00000004777,810
ENSG00000004779,5878
ENSG00000004799,1259
ENSG00000004809,106
ENSG00000004838,250
ENSG00000004846,9
ENSG00000004848,247
ENSG00000004864,6558
ENSG00000004866,3536
ENSG00000004897,10892
ENSG00000004939,1
ENSG00000004948,34
ENSG00000004961,3961
ENSG00000004975,4697
ENSG00000005001,965
ENSG00000005007,10906
ENSG00000005020,5842
ENSG00000005022,18716
ENSG00000005059,1375
ENSG00000005073,578
ENSG00000005075,2191
ENSG00000005100,4065
ENSG00000005102,214
ENSG00000005108,762
ENSG00000005156,4841
ENSG00000005175,2436
ENSG00000005187,245
ENSG00000005189,750
ENSG00000005194,4827
ENSG00000005206,1182
ENSG00000005238,1428
ENSG00000005243,1265
ENSG00000005249,615
ENSG00000005302,6059
ENSG00000005339,14109
ENSG00000005379,1120
ENSG00000005381,36
ENSG00000005421,4
ENSG00000005436,3104
ENSG00000005448,527
ENSG00000005469,940
ENSG00000005471,203
ENSG00000005483,10699
ENSG00000005486,5200
ENSG00000005513,1048
ENSG00000005700,9976
ENSG00000005801,1658
ENSG00000005810,8822
ENSG00000005812,2784
ENSG00000005844,4429
ENSG00000005882,2090
ENSG00000005884,5850
ENSG00000005889,7837
ENSG00000005893,39058
ENSG00000005961,105
ENSG00000005981,45
ENSG00000006007,7059
ENSG00000006015,579
ENSG00000006016,201
ENSG00000006025,630
ENSG00000006042,6764
ENSG00000006047,312
ENSG00000006059,29
ENSG00000006062,2562
ENSG00000006071,9
ENSG00000006116,2
ENSG00000006118,4874
ENSG00000006125,32724
ENSG00000006128,0
