Gene stable ID,b8324a17-fc9d-472f-96b2-36eb82cb02cf
ENSG00000000003,519
ENSG00000000005,10
ENSG00000000419,536
ENSG00000000457,839
ENSG00000000460,267
ENSG00000000938,167
ENSG00000000971,667
ENSG00000001036,588
ENSG00000001084,2387
ENSG00000001167,1548
ENSG00000001460,162
ENSG00000001461,1481
ENSG00000001497,875
ENSG00000001561,257
ENSG00000001617,2627
ENSG00000001626,27
ENSG00000001629,2456
ENSG00000001630,28
ENSG00000001631,1559
ENSG00000002016,736
ENSG00000002079,132
ENSG00000002330,90
ENSG00000002549,922
ENSG00000002586,1128
ENSG00000002587,64
ENSG00000002726,5
ENSG00000002745,0
ENSG00000002746,42
ENSG00000002822,383
ENSG00000002834,4876
ENSG00000002919,399
ENSG00000002933,74
ENSG00000003056,1203
ENSG00000003096,46
ENSG00000003137,122
ENSG00000003147,862
ENSG00000003249,222
ENSG00000003393,1127
ENSG00000003400,224
ENSG00000003402,2776
ENSG00000003436,512
ENSG00000003509,381
ENSG00000003756,3872
ENSG00000003987,215
ENSG00000003989,1235
ENSG00000004059,450
ENSG00000004139,511
ENSG00000004142,1099
ENSG00000004399,3849
ENSG00000004455,2995
ENSG00000004468,53
ENSG00000004478,4987
ENSG00000004487,2015
ENSG00000004534,3925
ENSG00000004660,206
ENSG00000004700,363
ENSG00000004766,512
ENSG00000004776,30
ENSG00000004777,337
ENSG00000004779,504
ENSG00000004799,1901
ENSG00000004809,5
ENSG00000004838,67
ENSG00000004846,0
ENSG00000004848,0
ENSG00000004864,443
ENSG00000004866,769
ENSG00000004897,1563
ENSG00000004939,5
ENSG00000004948,5
ENSG00000004961,181
ENSG00000004975,738
ENSG00000005001,108
ENSG00000005007,2610
ENSG00000005020,267
ENSG00000005022,723
ENSG00000005059,242
ENSG00000005073,5
ENSG00000005075,188
ENSG00000005100,1051
ENSG00000005102,48
ENSG00000005108,194
ENSG00000005156,2943
ENSG00000005175,792
ENSG00000005187,98
ENSG00000005189,296
ENSG00000005194,358
ENSG00000005206,1008
ENSG00000005238,473
ENSG00000005243,55
ENSG00000005249,670
ENSG00000005302,474
ENSG00000005339,10859
ENSG00000005379,1164
ENSG00000005381,1
ENSG00000005421,5
ENSG00000005436,647
ENSG00000005448,215
ENSG00000005469,193
ENSG00000005471,54
ENSG00000005483,5947
ENSG00000005486,508
ENSG00000005513,11
ENSG00000005700,2128
ENSG00000005801,723
ENSG00000005810,4395
ENSG00000005812,1242
ENSG00000005844,452
ENSG00000005882,331
ENSG00000005884,1090
ENSG00000005889,2832
ENSG00000005893,1474
ENSG00000005961,50
ENSG00000005981,1
ENSG00000006007,1923
ENSG00000006015,176
ENSG00000006016,129
ENSG00000006025,228
ENSG00000006042,527
ENSG00000006047,233
ENSG00000006059,8
ENSG00000006062,283
ENSG00000006071,518
ENSG00000006116,0
ENSG00000006118,834
