Gene stable ID,4b62d8d9-45a3-4968-bf39-31dda3724917
ENSG00000000003,1383
ENSG00000000005,0
ENSG00000000419,1805
ENSG00000000457,3001
ENSG00000000460,1050
ENSG00000000938,1507
ENSG00000000971,6494
ENSG00000001036,3258
ENSG00000001084,2234
ENSG00000001167,4035
ENSG00000001460,1193
ENSG00000001461,4026
ENSG00000001497,2468
ENSG00000001561,1558
ENSG00000001617,10277
ENSG00000001626,26
ENSG00000001629,6174
ENSG00000001630,282
ENSG00000001631,2490
ENSG00000002016,327
ENSG00000002079,21
ENSG00000002330,1355
ENSG00000002549,7363
ENSG00000002586,15333
ENSG00000002587,564
ENSG00000002726,11
ENSG00000002745,0
ENSG00000002746,164
ENSG00000002822,1130
ENSG00000002834,18071
ENSG00000002919,1629
ENSG00000002933,2644
ENSG00000003056,4868
ENSG00000003096,411
ENSG00000003137,299
ENSG00000003147,2568
ENSG00000003249,1193
ENSG00000003393,2704
ENSG00000003400,621
ENSG00000003402,5588
ENSG00000003436,1023
ENSG00000003509,483
ENSG00000003756,7760
ENSG00000003987,63
ENSG00000003989,49991
ENSG00000004059,5064
ENSG00000004139,437
ENSG00000004142,6060
ENSG00000004399,14150
ENSG00000004455,7238
ENSG00000004468,45
ENSG00000004478,11277
ENSG00000004487,7833
ENSG00000004534,5340
ENSG00000004660,1372
ENSG00000004700,2754
ENSG00000004766,2605
ENSG00000004776,184
ENSG00000004777,670
ENSG00000004779,2688
ENSG00000004799,2603
ENSG00000004809,13
ENSG00000004838,2062
ENSG00000004846,17
ENSG00000004848,3
ENSG00000004864,1804
ENSG00000004866,1449
ENSG00000004897,5522
ENSG00000004939,3
ENSG00000004948,16
ENSG00000004961,1510
ENSG00000004975,2418
ENSG00000005001,604
ENSG00000005007,7971
ENSG00000005020,3204
ENSG00000005022,11246
ENSG00000005059,2120
ENSG00000005073,88
ENSG00000005075,1062
ENSG00000005100,2267
ENSG00000005102,34
ENSG00000005108,544
ENSG00000005156,3094
ENSG00000005175,2379
ENSG00000005187,161
ENSG00000005189,519
ENSG00000005194,1933
ENSG00000005206,2019
ENSG00000005238,1409
ENSG00000005243,1158
ENSG00000005249,2770
ENSG00000005302,1842
ENSG00000005339,12083
ENSG00000005379,1214
ENSG00000005381,8
ENSG00000005421,1
ENSG00000005436,1590
ENSG00000005448,1416
ENSG00000005469,1400
ENSG00000005471,185
ENSG00000005483,7915
ENSG00000005486,3086
ENSG00000005513,26
ENSG00000005700,6070
ENSG00000005801,1350
ENSG00000005810,7194
ENSG00000005812,6068
ENSG00000005844,1467
ENSG00000005882,1026
ENSG00000005884,2941
ENSG00000005889,5212
ENSG00000005893,16581
ENSG00000005961,25
ENSG00000005981,3
ENSG00000006007,6537
ENSG00000006015,576
ENSG00000006016,317
ENSG00000006025,568
ENSG00000006042,2674
ENSG00000006047,596
ENSG00000006059,0
ENSG00000006062,983
ENSG00000006071,534
ENSG00000006116,0
ENSG00000006118,3195
ENSG00000006125,30524
ENSG00000006128,1
ENSG00000006194,2716
ENSG00000006210,970
ENSG00000006282,2236
ENSG00000006283,30
ENSG00000006327,3736
ENSG00000006377,2
ENSG00000006432,1735
ENSG00000006451,7152
ENSG00000006453,2066
ENSG00000006459,3459
ENSG00000006468,1293
ENSG00000006530,1786
