Gene stable ID,c8ac0300-4ea5-4315-a8e8-aa69552ce03c
ENSG00000000003,1983
ENSG00000000005,2
ENSG00000000419,2911
ENSG00000000457,855
ENSG00000000460,824
ENSG00000000938,813
ENSG00000000971,2500
ENSG00000001036,2889
ENSG00000001084,1542
ENSG00000001167,3227
ENSG00000001460,972
ENSG00000001461,3720
ENSG00000001497,3975
ENSG00000001561,422
ENSG00000001617,1047
ENSG00000001626,3
ENSG00000001629,4395
ENSG00000001630,101
ENSG00000001631,1728
ENSG00000002016,286
ENSG00000002079,14
ENSG00000002330,443
ENSG00000002549,12553
ENSG00000002586,5234
ENSG00000002587,343
ENSG00000002726,45
ENSG00000002745,8
ENSG00000002746,23
ENSG00000002822,1018
ENSG00000002834,10087
ENSG00000002919,1108
ENSG00000002933,1047
ENSG00000003056,4032
ENSG00000003096,821
ENSG00000003137,272
ENSG00000003147,1490
ENSG00000003249,3040
ENSG00000003393,1338
ENSG00000003400,649
ENSG00000003402,5889
ENSG00000003436,675
ENSG00000003509,512
ENSG00000003756,3180
ENSG00000003987,55
ENSG00000003989,161
ENSG00000004059,4472
ENSG00000004139,108
ENSG00000004142,4171
ENSG00000004399,5461
ENSG00000004455,12283
ENSG00000004468,742
ENSG00000004478,16550
ENSG00000004487,10344
ENSG00000004534,2819
ENSG00000004660,374
ENSG00000004700,1863
ENSG00000004766,1187
ENSG00000004776,66
ENSG00000004777,946
ENSG00000004779,1965
ENSG00000004799,400
ENSG00000004809,6
ENSG00000004838,54
ENSG00000004846,0
ENSG00000004848,3
ENSG00000004864,1667
ENSG00000004866,1024
ENSG00000004897,3159
ENSG00000004939,4
ENSG00000004948,7
ENSG00000004961,1503
ENSG00000004975,1947
ENSG00000005001,845
ENSG00000005007,6600
ENSG00000005020,1047
ENSG00000005022,20535
ENSG00000005059,1226
ENSG00000005073,39
ENSG00000005075,1222
ENSG00000005100,1498
ENSG00000005102,66
ENSG00000005108,149
ENSG00000005156,1679
ENSG00000005175,1400
ENSG00000005187,78
ENSG00000005189,377
ENSG00000005194,2082
ENSG00000005206,1004
ENSG00000005238,1065
ENSG00000005243,453
ENSG00000005249,1252
ENSG00000005302,1868
ENSG00000005339,5957
ENSG00000005379,981
ENSG00000005381,6
ENSG00000005421,0
ENSG00000005436,1036
ENSG00000005448,251
ENSG00000005469,299
ENSG00000005471,113
ENSG00000005483,4094
ENSG00000005486,3291
ENSG00000005513,500
ENSG00000005700,2981
ENSG00000005801,1273
ENSG00000005810,2730
ENSG00000005812,1504
ENSG00000005844,2482
ENSG00000005882,375
ENSG00000005884,961
ENSG00000005889,1696
ENSG00000005893,18350
ENSG00000005961,14
ENSG00000005981,0
ENSG00000006007,2098
ENSG00000006015,451
ENSG00000006016,167
ENSG00000006025,280
ENSG00000006042,441
ENSG00000006047,155
ENSG00000006059,0
ENSG00000006062,1318
ENSG00000006071,5
ENSG00000006116,1
ENSG00000006118,2960
ENSG00000006125,8019
ENSG00000006128,0
ENSG00000006194,2482
ENSG00000006210,4046
ENSG00000006282,958
ENSG00000006283,37
ENSG00000006327,4271
ENSG00000006377,3
ENSG00000006432,802
ENSG00000006451,3634
ENSG00000006453,1928
ENSG00000006459,2025
ENSG00000006468,203
ENSG00000006530,1513
ENSG00000006534,645
ENSG00000006555,1171
ENSG00000006576,2221
ENSG00000006606,22
ENSG00000006607,2414
ENSG00000006611,0
ENSG00000006625,2498
ENSG00000006634,1319
ENSG00000006638,80
ENSG00000006652,3848
ENSG00000006659,0
ENSG00000006695,1039
ENSG00000006704,1230
ENSG00000006712,3407
ENSG00000006715,1972
ENSG00000006740,163
ENSG00000006744,4110
ENSG00000006747,210
ENSG00000006756,949
ENSG00000006757,109
ENSG00000006788,25
ENSG00000006831,3780
ENSG00000006837,39
ENSG00000007001,5
ENSG00000007038,2
ENSG00000007047,1906
ENSG00000007062,20667
ENSG00000007080,2413
ENSG00000007129,72
ENSG00000007168,6895
ENSG00000007171,42
ENSG00000007174,6
ENSG00000007202,5815
ENSG00000007216,3
ENSG00000007237,1287
ENSG00000007255,934
ENSG00000007264,88
ENSG00000007306,3
ENSG00000007312,340
ENSG00000007314,35
ENSG00000007341,540
ENSG00000007350,1
ENSG00000007372,109
ENSG00000007376,1870
ENSG00000007384,2576
ENSG00000007392,2198
ENSG00000007402,31
ENSG00000007516,35
ENSG00000007520,2496
ENSG00000007541,1229
ENSG00000007545,1604
ENSG00000007866,2546
ENSG00000007908,526
ENSG00000007923,3132
ENSG00000007933,72
ENSG00000007944,1033
ENSG00000007952,39
ENSG00000007968,1868
ENSG00000008018,12984
ENSG00000008056,54
ENSG00000008083,2658
ENSG00000008086,1048
ENSG00000008118,25
ENSG00000008128,399
ENSG00000008130,3330
ENSG00000008196,2
ENSG00000008197,0
ENSG00000008226,67
ENSG00000008256,1442
ENSG00000008277,142
ENSG00000008282,4793
ENSG00000008283,7896
ENSG00000008294,5066
ENSG00000008300,2568
ENSG00000008311,124
ENSG00000008323,591
ENSG00000008324,950
ENSG00000008382,567
ENSG00000008394,6769
ENSG00000008405,1171
ENSG00000008438,6
ENSG00000008441,15562
ENSG00000008513,3848
ENSG00000008516,483
ENSG00000008517,10605
ENSG00000008710,3483
ENSG00000008735,51
ENSG00000008838,3282
ENSG00000008853,552
ENSG00000008869,1883
ENSG00000008952,5869
ENSG00000008988,37963
ENSG00000009307,34896
ENSG00000009335,3980
ENSG00000009413,2738
ENSG00000009694,20
ENSG00000009709,0
ENSG00000009724,33
ENSG00000009765,2
ENSG00000009780,895
ENSG00000009790,793
ENSG00000009830,736
ENSG00000009844,4092
ENSG00000009950,4
ENSG00000009954,8487
ENSG00000010017,2824
ENSG00000010030,1848
ENSG00000010072,768
ENSG00000010165,3998
ENSG00000010219,663
ENSG00000010244,7978
ENSG00000010256,7676
ENSG00000010270,1277
ENSG00000010278,12943
ENSG00000010282,0
ENSG00000010292,8454
ENSG00000010295,553
ENSG00000010310,53
ENSG00000010318,223
ENSG00000010319,513
ENSG00000010322,2780
ENSG00000010327,3117
ENSG00000010361,219
ENSG00000010379,5
ENSG00000010404,4918
ENSG00000010438,20
ENSG00000010539,885
ENSG00000010610,4255
ENSG00000010626,235
ENSG00000010671,634
ENSG00000010704,643
ENSG00000010803,2426
ENSG00000010810,1495
ENSG00000010818,2891
ENSG00000010932,103
ENSG00000011007,5702
ENSG00000011009,4677
ENSG00000011021,901
ENSG00000011028,5861
ENSG00000011052,35
ENSG00000011083,4
ENSG00000011105,1326
ENSG00000011114,2509
ENSG00000011132,681
ENSG00000011143,551
ENSG00000011198,906
ENSG00000011201,475
ENSG00000011243,1817
ENSG00000011258,1464
ENSG00000011260,2327
ENSG00000011275,1980
ENSG00000011295,2063
ENSG00000011304,14536
ENSG00000011332,18
ENSG00000011347,1505
ENSG00000011376,1043
ENSG00000011405,3074
ENSG00000011422,5724
ENSG00000011426,4376
ENSG00000011451,3445
ENSG00000011454,3757
ENSG00000011465,21543
ENSG00000011478,758
ENSG00000011485,3334
ENSG00000011523,1182
ENSG00000011566,1864
ENSG00000011590,80
ENSG00000011600,3840
ENSG00000011638,3074
ENSG00000011677,0
ENSG00000012048,1165
ENSG00000012061,2087
ENSG00000012124,163
ENSG00000012171,42
ENSG00000012174,976
ENSG00000012211,586
ENSG00000012223,433
ENSG00000012232,3757
ENSG00000012504,0
ENSG00000012660,2287
ENSG00000012779,1023
ENSG00000012817,0
ENSG00000012822,1959
ENSG00000012963,1947
ENSG00000012983,3197
ENSG00000013016,459
ENSG00000013275,5872
ENSG00000013288,1853
ENSG00000013293,1
ENSG00000013297,57
ENSG00000013306,7669
ENSG00000013364,8834
ENSG00000013374,5541
ENSG00000013375,2270
ENSG00000013392,151
ENSG00000013441,2849
ENSG00000013503,1116
ENSG00000013523,1149
ENSG00000013561,2205
ENSG00000013563,1171
ENSG00000013573,1422
ENSG00000013583,1762
ENSG00000013588,3897
ENSG00000013619,1150
ENSG00000013725,861
ENSG00000013810,5184
ENSG00000014123,1805
ENSG00000014138,746
ENSG00000014164,1860
ENSG00000014216,9945
ENSG00000014257,19
ENSG00000014641,5402
ENSG00000014824,2378
ENSG00000014914,845
ENSG00000014919,2541
ENSG00000015133,4316
ENSG00000015153,515
ENSG00000015171,9154
ENSG00000015285,892
ENSG00000015413,56
ENSG00000015475,1401
ENSG00000015479,231
ENSG00000015520,7
ENSG00000015532,761
ENSG00000015568,0
ENSG00000015592,2
ENSG00000015676,4388
ENSG00000016082,2
ENSG00000016391,1712
ENSG00000016402,79
ENSG00000016490,0
ENSG00000016602,6
ENSG00000016864,2020
ENSG00000017260,12394
ENSG00000017427,144
ENSG00000017483,598
ENSG00000017797,7831
ENSG00000018189,1905
ENSG00000018236,435
ENSG00000018280,523
ENSG00000018408,8064
ENSG00000018510,3341
ENSG00000018607,0
ENSG00000018610,2176
ENSG00000018625,12
ENSG00000018699,1405
ENSG00000018869,25
ENSG00000019102,9
ENSG00000019144,2912
ENSG00000019169,5978
ENSG00000019186,33
ENSG00000019485,276
ENSG00000019505,3
ENSG00000019549,633
ENSG00000019582,125674
ENSG00000019991,200
ENSG00000019995,1313
ENSG00000020129,1323
ENSG00000020181,844
ENSG00000020219,0
ENSG00000020256,1403
ENSG00000020426,612
ENSG00000020577,630
ENSG00000020633,2707
ENSG00000020922,1129
ENSG00000021300,406
ENSG00000021355,2625
ENSG00000021461,0
ENSG00000021488,9
ENSG00000021574,1465
ENSG00000021645,18
ENSG00000021762,1366
ENSG00000021776,2910
ENSG00000021826,52
ENSG00000021852,2
ENSG00000022267,532
ENSG00000022277,6231
ENSG00000022355,0
ENSG00000022556,104
ENSG00000022567,848
ENSG00000022840,10270
ENSG00000022976,391
ENSG00000023041,2577
ENSG00000023171,195
ENSG00000023191,8399
ENSG00000023228,5354
ENSG00000023287,6888
ENSG00000023318,3939
ENSG00000023330,2622
ENSG00000023445,3281
ENSG00000023516,1943
ENSG00000023572,476
ENSG00000023608,480
ENSG00000023697,1358
ENSG00000023734,6885
ENSG00000023839,78
ENSG00000023892,1735
ENSG00000023902,2974
ENSG00000023909,2198
ENSG00000024048,3797
