Gene stable ID,ed08492c-dc47-408e-bff3-0dba1394d06a
ENSG00000000003,4115
ENSG00000000005,7
ENSG00000000419,3883
ENSG00000000457,1289
ENSG00000000460,616
ENSG00000000938,332
ENSG00000000971,1220
ENSG00000001036,2181
ENSG00000001084,2024
ENSG00000001167,2181
ENSG00000001460,491
ENSG00000001461,1684
ENSG00000001497,2701
ENSG00000001561,998
ENSG00000001617,10581
ENSG00000001626,17
ENSG00000001629,5740
ENSG00000001630,373
ENSG00000001631,3258
ENSG00000002016,613
ENSG00000002079,19
ENSG00000002330,1892
ENSG00000002549,7821
ENSG00000002586,4052
ENSG00000002587,183
ENSG00000002726,1432
ENSG00000002745,9
ENSG00000002746,9
ENSG00000002822,1145
ENSG00000002834,14547
ENSG00000002919,1296
ENSG00000002933,7276
ENSG00000003056,3863
ENSG00000003096,109
ENSG00000003137,81
ENSG00000003147,1282
ENSG00000003249,2503
ENSG00000003393,2162
ENSG00000003400,261
ENSG00000003402,5244
ENSG00000003436,394
ENSG00000003509,933
ENSG00000003756,5926
ENSG00000003987,326
ENSG00000003989,20802
ENSG00000004059,5706
ENSG00000004139,181
ENSG00000004142,8220
ENSG00000004399,11300
ENSG00000004455,7022
ENSG00000004468,87
ENSG00000004478,29217
ENSG00000004487,5544
ENSG00000004534,3939
ENSG00000004660,651
ENSG00000004700,1702
ENSG00000004766,1946
ENSG00000004776,401
ENSG00000004777,752
ENSG00000004779,2122
ENSG00000004799,2233
ENSG00000004809,1
ENSG00000004838,808
ENSG00000004846,6
ENSG00000004848,0
ENSG00000004864,1919
ENSG00000004866,1534
ENSG00000004897,4536
ENSG00000004939,2
ENSG00000004948,2
ENSG00000004961,998
ENSG00000004975,1728
ENSG00000005001,534
ENSG00000005007,9498
ENSG00000005020,923
ENSG00000005022,8352
ENSG00000005059,1827
ENSG00000005073,7
ENSG00000005075,1197
ENSG00000005100,2081
ENSG00000005102,217
ENSG00000005108,3228
ENSG00000005156,2798
ENSG00000005175,2080
ENSG00000005187,92
ENSG00000005189,319
ENSG00000005194,2923
ENSG00000005206,1932
ENSG00000005238,902
ENSG00000005243,352
ENSG00000005249,4256
ENSG00000005302,989
ENSG00000005339,7593
ENSG00000005379,828
ENSG00000005381,17
ENSG00000005421,0
ENSG00000005436,1021
ENSG00000005448,576
ENSG00000005469,1522
ENSG00000005471,67
ENSG00000005483,6047
ENSG00000005486,8219
ENSG00000005513,30
ENSG00000005700,4481
ENSG00000005801,1374
ENSG00000005810,5735
ENSG00000005812,4244
ENSG00000005844,1038
ENSG00000005882,2070
ENSG00000005884,9045
ENSG00000005889,11922
ENSG00000005893,15637
ENSG00000005961,18
ENSG00000005981,1
ENSG00000006007,6006
ENSG00000006015,334
ENSG00000006016,138
ENSG00000006025,530
ENSG00000006042,1355
ENSG00000006047,259
ENSG00000006059,0
ENSG00000006062,1085
ENSG00000006071,1270
ENSG00000006116,0
ENSG00000006118,3127
ENSG00000006125,24748
ENSG00000006128,16
ENSG00000006194,3306
ENSG00000006210,4084
ENSG00000006282,2323
ENSG00000006283,32
ENSG00000006327,1146
ENSG00000006377,2
ENSG00000006432,640
ENSG00000006451,3860
ENSG00000006453,2402
ENSG00000006459,1182
ENSG00000006468,297
ENSG00000006530,1617
ENSG00000006534,399
ENSG00000006555,113
ENSG00000006576,1538
ENSG00000006606,35
ENSG00000006607,2872
ENSG00000006611,1
ENSG00000006625,2616
ENSG00000006634,742
ENSG00000006638,77
ENSG00000006652,1212
ENSG00000006659,30
ENSG00000006695,890
ENSG00000006704,1675
ENSG00000006712,4310
ENSG00000006715,4257
ENSG00000006740,1334
ENSG00000006744,4751
ENSG00000006747,71
ENSG00000006756,7599
ENSG00000006757,3271
ENSG00000006788,7
ENSG00000006831,8950
ENSG00000006837,71
ENSG00000007001,15
ENSG00000007038,23
ENSG00000007047,5715
ENSG00000007062,202
ENSG00000007080,1227
ENSG00000007129,28
ENSG00000007168,11976
ENSG00000007171,21
ENSG00000007174,216
ENSG00000007202,13322
ENSG00000007216,31
ENSG00000007237,1205
ENSG00000007255,1166
ENSG00000007264,248
ENSG00000007306,2
ENSG00000007312,194
ENSG00000007314,35
ENSG00000007341,631
ENSG00000007350,2
ENSG00000007372,189
ENSG00000007376,1526
ENSG00000007384,3357
ENSG00000007392,1391
ENSG00000007402,3393
ENSG00000007516,2450
ENSG00000007520,1540
ENSG00000007541,2706
