Gene stable ID,7b13571e-39e9-49ee-bb30-8e98bd0ed352
ENSG00000000003,520
ENSG00000000005,11
ENSG00000000419,369
ENSG00000000457,826
ENSG00000000460,335
ENSG00000000938,159
ENSG00000000971,1040
ENSG00000001036,778
ENSG00000001084,753
ENSG00000001167,1367
ENSG00000001460,119
ENSG00000001461,730
ENSG00000001497,651
ENSG00000001561,261
ENSG00000001617,379
ENSG00000001626,11
ENSG00000001629,2078
ENSG00000001630,24
ENSG00000001631,1093
ENSG00000002016,329
ENSG00000002079,25
ENSG00000002330,62
ENSG00000002549,1879
ENSG00000002586,1637
ENSG00000002587,50
ENSG00000002726,17
ENSG00000002745,2
ENSG00000002746,14
ENSG00000002822,205
ENSG00000002834,3686
ENSG00000002919,240
ENSG00000002933,289
ENSG00000003056,1034
ENSG00000003096,208
ENSG00000003137,31
ENSG00000003147,1178
ENSG00000003249,153
ENSG00000003393,911
ENSG00000003400,435
ENSG00000003402,4168
ENSG00000003436,429
ENSG00000003509,200
ENSG00000003756,1901
ENSG00000003987,85
ENSG00000003989,2882
ENSG00000004059,618
ENSG00000004139,179
ENSG00000004142,779
ENSG00000004399,1255
ENSG00000004455,1460
ENSG00000004468,561
ENSG00000004478,2315
ENSG00000004487,1086
ENSG00000004534,1913
ENSG00000004660,74
ENSG00000004700,465
ENSG00000004766,507
ENSG00000004776,138
ENSG00000004777,208
ENSG00000004779,197
ENSG00000004799,1018
ENSG00000004809,4
ENSG00000004838,26
ENSG00000004846,105
ENSG00000004848,1
ENSG00000004864,332
ENSG00000004866,618
ENSG00000004897,1194
ENSG00000004939,1
ENSG00000004948,16
ENSG00000004961,184
ENSG00000004975,227
ENSG00000005001,52
ENSG00000005007,1144
ENSG00000005020,398
ENSG00000005022,1212
ENSG00000005059,237
ENSG00000005073,1
ENSG00000005075,186
ENSG00000005100,397
ENSG00000005102,65
ENSG00000005108,117
ENSG00000005156,1332
ENSG00000005175,548
ENSG00000005187,102
ENSG00000005189,160
ENSG00000005194,258
ENSG00000005206,100
ENSG00000005238,205
ENSG00000005243,48
ENSG00000005249,340
ENSG00000005302,826
ENSG00000005339,4036
ENSG00000005379,324
ENSG00000005381,4
ENSG00000005421,16
ENSG00000005436,346
ENSG00000005448,97
ENSG00000005469,794
ENSG00000005471,120
ENSG00000005483,8032
ENSG00000005486,342
ENSG00000005513,1
ENSG00000005700,1175
ENSG00000005801,559
ENSG00000005810,5289
ENSG00000005812,847
ENSG00000005844,1341
ENSG00000005882,374
ENSG00000005884,885
ENSG00000005889,2568
ENSG00000005893,2040
ENSG00000005961,14
ENSG00000005981,2
ENSG00000006007,1006
ENSG00000006015,71
ENSG00000006016,19
ENSG00000006025,157
ENSG00000006042,600
ENSG00000006047,21
ENSG00000006059,0
ENSG00000006062,320
ENSG00000006071,160
ENSG00000006116,0
ENSG00000006118,159
ENSG00000006125,9417
ENSG00000006128,0
ENSG00000006194,401
ENSG00000006210,255
ENSG00000006282,379
ENSG00000006283,5
ENSG00000006327,46
ENSG00000006377,1
ENSG00000006432,501
ENSG00000006451,612
ENSG00000006453,718
ENSG00000006459,1553
ENSG00000006468,195
ENSG00000006530,626
ENSG00000006534,134
ENSG00000006555,114
ENSG00000006576,415
ENSG00000006606,2
ENSG00000006607,1099
ENSG00000006611,10
ENSG00000006625,282
ENSG00000006634,247
ENSG00000006638,11
ENSG00000006652,289
ENSG00000006659,2
ENSG00000006695,247
ENSG00000006704,483
ENSG00000006712,790
ENSG00000006715,1526
ENSG00000006740,195
ENSG00000006744,474
ENSG00000006747,115
ENSG00000006756,2133
ENSG00000006757,303
ENSG00000006788,84
