Gene stable ID,02a9963a-a736-4ce6-ad84-82e84153433c
ENSG00000000003,6013
ENSG00000000005,6
ENSG00000000419,2594
ENSG00000000457,2234
ENSG00000000460,653
ENSG00000000938,357
ENSG00000000971,752
ENSG00000001036,7184
ENSG00000001084,4332
ENSG00000001167,4723
ENSG00000001460,738
ENSG00000001461,1283
ENSG00000001497,5842
ENSG00000001561,2317
ENSG00000001617,12763
ENSG00000001626,4
ENSG00000001629,5926
ENSG00000001630,458
ENSG00000001631,2756
ENSG00000002016,1205
ENSG00000002079,37
ENSG00000002330,1639
ENSG00000002549,6003
ENSG00000002586,11191
ENSG00000002587,97
ENSG00000002726,43
ENSG00000002745,6
ENSG00000002746,137
ENSG00000002822,1753
ENSG00000002834,16102
ENSG00000002919,2530
ENSG00000002933,2597
ENSG00000003056,6624
ENSG00000003096,704
ENSG00000003137,65
ENSG00000003147,6029
ENSG00000003249,5810
ENSG00000003393,2328
ENSG00000003400,253
ENSG00000003402,4048
ENSG00000003436,368
ENSG00000003509,828
ENSG00000003756,7356
ENSG00000003987,163
ENSG00000003989,1816
ENSG00000004059,14029
ENSG00000004139,621
ENSG00000004142,9956
ENSG00000004399,10741
ENSG00000004455,7662
ENSG00000004468,91
ENSG00000004478,29194
ENSG00000004487,8220
ENSG00000004534,6789
ENSG00000004660,926
ENSG00000004700,1912
ENSG00000004766,2023
ENSG00000004776,77
ENSG00000004777,1226
ENSG00000004779,3895
ENSG00000004799,242
ENSG00000004809,4
ENSG00000004838,303
ENSG00000004846,6
ENSG00000004848,249
ENSG00000004864,1584
ENSG00000004866,1394
ENSG00000004897,6635
ENSG00000004939,4
ENSG00000004948,105
ENSG00000004961,1792
ENSG00000004975,1287
ENSG00000005001,1434
ENSG00000005007,8731
ENSG00000005020,2040
ENSG00000005022,13762
ENSG00000005059,992
ENSG00000005073,15
ENSG00000005075,6121
ENSG00000005100,1622
ENSG00000005102,96
ENSG00000005108,150
ENSG00000005156,2330
ENSG00000005175,3054
ENSG00000005187,113
ENSG00000005189,483
ENSG00000005194,3921
ENSG00000005206,2940
ENSG00000005238,545
ENSG00000005243,613
ENSG00000005249,2053
ENSG00000005302,2068
ENSG00000005339,10577
ENSG00000005379,2356
ENSG00000005381,16
ENSG00000005421,20
ENSG00000005436,1566
ENSG00000005448,1421
ENSG00000005469,1934
ENSG00000005471,64
ENSG00000005483,17215
ENSG00000005486,8856
ENSG00000005513,34
ENSG00000005700,5537
ENSG00000005801,2357
ENSG00000005810,3144
ENSG00000005812,4627
ENSG00000005844,1179
ENSG00000005882,3103
ENSG00000005884,19700
ENSG00000005889,3276
ENSG00000005893,22022
ENSG00000005961,88
ENSG00000005981,1
ENSG00000006007,5656
ENSG00000006015,985
ENSG00000006016,80
ENSG00000006025,1394
ENSG00000006042,3433
ENSG00000006047,143
ENSG00000006059,1
ENSG00000006062,1010
ENSG00000006071,141
ENSG00000006116,0
ENSG00000006118,5517
ENSG00000006125,30772
ENSG00000006128,7
ENSG00000006194,3891
ENSG00000006210,1308
ENSG00000006282,4832
ENSG00000006283,12
ENSG00000006327,969
ENSG00000006377,2
ENSG00000006432,479
ENSG00000006451,6379
ENSG00000006453,1632
ENSG00000006459,517
ENSG00000006468,367
ENSG00000006530,1623
ENSG00000006534,497
ENSG00000006555,899
ENSG00000006576,1631
ENSG00000006606,4
ENSG00000006607,782
ENSG00000006611,14
ENSG00000006625,5101
ENSG00000006634,492
ENSG00000006638,76
ENSG00000006652,796
ENSG00000006659,2
ENSG00000006695,699
ENSG00000006704,3750
ENSG00000006712,8402
ENSG00000006715,4485
ENSG00000006740,639
ENSG00000006744,4199
ENSG00000006747,7520
ENSG00000006756,19074
ENSG00000006757,2059
ENSG00000006788,10
ENSG00000006831,27551
ENSG00000006837,47
ENSG00000007001,13
ENSG00000007038,7
ENSG00000007047,3838
ENSG00000007062,606
ENSG00000007080,2453
ENSG00000007129,110
ENSG00000007168,5915
ENSG00000007171,15
ENSG00000007174,9
ENSG00000007202,4693
ENSG00000007216,29
ENSG00000007237,1073
ENSG00000007255,5220
ENSG00000007264,65
ENSG00000007306,194
ENSG00000007312,61
ENSG00000007314,20
ENSG00000007341,725
ENSG00000007350,0
ENSG00000007372,143
ENSG00000007376,2136
ENSG00000007384,4692
ENSG00000007392,4794
ENSG00000007402,1796
ENSG00000007516,2186
ENSG00000007520,2837
ENSG00000007541,5309
ENSG00000007545,1012
ENSG00000007866,2916
ENSG00000007908,199
ENSG00000007923,2006
ENSG00000007933,65
ENSG00000007944,5546
ENSG00000007952,99
ENSG00000007968,256
ENSG00000008018,16970
ENSG00000008056,158
ENSG00000008083,3839
ENSG00000008086,1549
ENSG00000008118,8
ENSG00000008128,547
ENSG00000008130,3468
ENSG00000008196,64
ENSG00000008197,0
ENSG00000008226,311
ENSG00000008256,1239
ENSG00000008277,347
ENSG00000008282,5522
ENSG00000008283,17722
ENSG00000008294,7906
ENSG00000008300,2262
ENSG00000008311,381
ENSG00000008323,385
ENSG00000008324,1337
ENSG00000008382,1587
ENSG00000008394,19313
ENSG00000008405,1095
ENSG00000008438,1
ENSG00000008441,7259
ENSG00000008513,2068
ENSG00000008516,113
ENSG00000008517,2412
ENSG00000008710,2142
ENSG00000008735,2365
ENSG00000008838,3905
ENSG00000008853,1427
ENSG00000008869,3564
ENSG00000008952,9094
ENSG00000008988,42139
ENSG00000009307,33111
ENSG00000009335,7135
ENSG00000009413,1809
ENSG00000009694,36
ENSG00000009709,1
ENSG00000009724,54
ENSG00000009765,28
ENSG00000009780,944
ENSG00000009790,221
ENSG00000009830,1118
ENSG00000009844,5479
ENSG00000009950,45
ENSG00000009954,10395
ENSG00000010017,6579
ENSG00000010030,652
ENSG00000010072,1114
ENSG00000010165,4248
ENSG00000010219,1910
ENSG00000010244,8472
ENSG00000010256,9012
ENSG00000010270,2554
ENSG00000010278,31030
ENSG00000010282,0
ENSG00000010292,6138
ENSG00000010295,310
ENSG00000010310,632
ENSG00000010318,260
ENSG00000010319,674
ENSG00000010322,5743
ENSG00000010327,971
ENSG00000010361,1385
ENSG00000010379,2
ENSG00000010404,7346
ENSG00000010438,2
ENSG00000010539,822
ENSG00000010610,1923
ENSG00000010626,1059
ENSG00000010671,212
ENSG00000010704,1787
ENSG00000010803,2157
ENSG00000010810,805
ENSG00000010818,2470
ENSG00000010932,94
ENSG00000011007,4703
ENSG00000011009,5140
ENSG00000011021,1024
ENSG00000011028,3751
ENSG00000011052,143
ENSG00000011083,2
ENSG00000011105,9825
ENSG00000011114,2718
ENSG00000011132,798
ENSG00000011143,2268
ENSG00000011198,1871
ENSG00000011201,657
ENSG00000011243,4575
ENSG00000011258,3418
ENSG00000011260,3631
ENSG00000011275,3112
ENSG00000011295,4068
ENSG00000011304,18887
ENSG00000011332,35
ENSG00000011347,7867
ENSG00000011376,1276
ENSG00000011405,3957
ENSG00000011422,1111
ENSG00000011426,2264
ENSG00000011451,4558
ENSG00000011454,3076
ENSG00000011465,11166
ENSG00000011478,1202
ENSG00000011485,5211
ENSG00000011523,2570
ENSG00000011566,3412
ENSG00000011590,22
ENSG00000011600,1819
ENSG00000011638,3178
ENSG00000011677,223
ENSG00000012048,1421
ENSG00000012061,5418
ENSG00000012124,1517
ENSG00000012171,1284
ENSG00000012174,1700
ENSG00000012211,1209
ENSG00000012223,71045
ENSG00000012232,1322
ENSG00000012504,0
ENSG00000012660,75431
ENSG00000012779,1135
ENSG00000012817,0
ENSG00000012822,4981
ENSG00000012963,3247
ENSG00000012983,2109
ENSG00000013016,560
ENSG00000013275,9214
ENSG00000013288,8107
ENSG00000013293,3
ENSG00000013297,383
ENSG00000013306,23244
ENSG00000013364,21940
ENSG00000013374,6095
ENSG00000013375,6005
ENSG00000013392,911
ENSG00000013441,7322
ENSG00000013503,933
ENSG00000013523,1276
ENSG00000013561,4404
ENSG00000013563,1589
ENSG00000013573,2585
ENSG00000013583,15911
ENSG00000013588,40799
ENSG00000013619,105
ENSG00000013725,450
ENSG00000013810,2649
ENSG00000014123,5406
ENSG00000014138,1747
ENSG00000014164,2233
ENSG00000014216,22749
ENSG00000014257,69
ENSG00000014641,8995
ENSG00000014824,6790
ENSG00000014914,1221
ENSG00000014919,4027
ENSG00000015133,7791
ENSG00000015153,1010
ENSG00000015171,10076
ENSG00000015285,339
ENSG00000015413,20
ENSG00000015475,2138
ENSG00000015479,447
ENSG00000015520,26
ENSG00000015532,4851
ENSG00000015568,0
ENSG00000015592,1
ENSG00000015676,9859
ENSG00000016082,6
ENSG00000016391,6245
ENSG00000016402,2493
ENSG00000016490,0
ENSG00000016602,4
ENSG00000016864,4784
ENSG00000017260,10251
ENSG00000017427,74
ENSG00000017483,156
ENSG00000017797,3920
ENSG00000018189,3632
ENSG00000018236,235
ENSG00000018280,116
ENSG00000018408,3243
ENSG00000018510,1062
ENSG00000018607,0
ENSG00000018610,2287
ENSG00000018625,45
ENSG00000018699,1606
ENSG00000018869,344
ENSG00000019102,978
ENSG00000019144,3250
ENSG00000019169,94
ENSG00000019186,4
ENSG00000019485,388
ENSG00000019505,1130
ENSG00000019549,388
ENSG00000019582,121219
ENSG00000019991,108
ENSG00000019995,1426
ENSG00000020129,3472
ENSG00000020181,635
ENSG00000020219,1
ENSG00000020256,2083
ENSG00000020426,919
ENSG00000020577,280
ENSG00000020633,439
ENSG00000020922,3592
ENSG00000021300,2239
ENSG00000021355,6308
ENSG00000021461,9
ENSG00000021488,34
ENSG00000021574,2450
ENSG00000021645,113
ENSG00000021762,1842
ENSG00000021776,6483
ENSG00000021826,45
ENSG00000021852,2
ENSG00000022267,241
ENSG00000022277,10020
ENSG00000022355,1
ENSG00000022556,20
ENSG00000022567,994
ENSG00000022840,20485
ENSG00000022976,413
ENSG00000023041,4581
ENSG00000023171,82
ENSG00000023191,9349
ENSG00000023228,5617
ENSG00000023287,4404
ENSG00000023318,4261
ENSG00000023330,2565
ENSG00000023445,967
ENSG00000023516,3994
ENSG00000023572,751
ENSG00000023608,372
ENSG00000023697,3183
ENSG00000023734,14243
ENSG00000023839,226
ENSG00000023892,1194
ENSG00000023902,1787
ENSG00000023909,1385
ENSG00000024048,5723
ENSG00000024422,6361
ENSG00000024526,517
ENSG00000024862,1517
ENSG00000025039,2939
ENSG00000025156,1658
ENSG00000025293,6322
ENSG00000025423,152
ENSG00000025434,1110
ENSG00000025708,4011
ENSG00000025770,2883
ENSG00000025772,4661
ENSG00000025796,17494
ENSG00000025800,5180
ENSG00000026025,20339
ENSG00000026036,239
ENSG00000026103,458
ENSG00000026297,2739
ENSG00000026508,25073
ENSG00000026559,147
ENSG00000026652,348
ENSG00000026751,580
ENSG00000026950,2945
ENSG00000027001,3265
ENSG00000027075,1040
ENSG00000027644,7
ENSG00000027697,4727
ENSG00000027847,2743
ENSG00000027869,109
ENSG00000028116,7887
ENSG00000028137,1178
ENSG00000028203,9618
ENSG00000028277,173
ENSG00000028310,4295
ENSG00000028528,20435
ENSG00000028839,1063
ENSG00000029153,981
ENSG00000029363,13428
ENSG00000029364,6368
ENSG00000029534,35
ENSG00000029559,121
ENSG00000029639,851
ENSG00000029725,20180
ENSG00000029993,3683
ENSG00000030066,2689
ENSG00000030110,1305
ENSG00000030304,2
ENSG00000030419,1015
ENSG00000030582,40235
ENSG00000031003,2952
ENSG00000031081,1108
ENSG00000031691,431
ENSG00000031698,8706
ENSG00000031823,4744
ENSG00000032219,1535
ENSG00000032389,2218
ENSG00000032444,2238
ENSG00000032742,1756
ENSG00000033011,1486
ENSG00000033030,1924
ENSG00000033050,4780
ENSG00000033100,5624
ENSG00000033122,45
ENSG00000033170,6433
ENSG00000033178,3742
ENSG00000033327,1621
ENSG00000033627,6335
ENSG00000033800,3262
ENSG00000033867,9060
ENSG00000034053,645
ENSG00000034152,2171
ENSG00000034239,11
ENSG00000034510,92849
ENSG00000034533,519
ENSG00000034677,5899
ENSG00000034693,1453
ENSG00000034713,6870
ENSG00000034971,0
ENSG00000035115,4186
ENSG00000035141,3565
ENSG00000035403,15973
ENSG00000035499,246
ENSG00000035664,5261
ENSG00000035681,2235
ENSG00000035687,5635
ENSG00000035720,5
ENSG00000035862,10981
ENSG00000035928,4666
ENSG00000036054,2831
ENSG00000036257,8095
ENSG00000036448,17
ENSG00000036473,0
ENSG00000036530,26
ENSG00000036549,6190
ENSG00000036565,10
ENSG00000036672,442
ENSG00000036828,1
ENSG00000037042,1342
ENSG00000037241,1398
ENSG00000037280,399
ENSG00000037474,6244
ENSG00000037637,1992
ENSG00000037749,761
ENSG00000037757,690
ENSG00000037897,2031
ENSG00000037965,327
ENSG00000038002,3000
ENSG00000038210,1576
ENSG00000038219,4171
ENSG00000038274,5212
ENSG00000038295,53
ENSG00000038358,3471
ENSG00000038382,5730
ENSG00000038427,8136
ENSG00000038532,2715
ENSG00000038945,804
ENSG00000039068,96450
ENSG00000039123,6055
ENSG00000039139,925
ENSG00000039319,5879
ENSG00000039523,5372
ENSG00000039537,7
ENSG00000039560,3081
ENSG00000039600,24
ENSG00000039650,2994
ENSG00000039987,2
ENSG00000040199,1414
ENSG00000040275,995
ENSG00000040341,4323
ENSG00000040487,1509
ENSG00000040531,863
ENSG00000040608,313
ENSG00000040633,2473
ENSG00000040731,0
ENSG00000040933,1748
ENSG00000041353,7451
ENSG00000041357,10089
ENSG00000041515,143
ENSG00000041802,4247
ENSG00000041880,1004
ENSG00000041982,7095
ENSG00000041988,1096
ENSG00000042062,85
ENSG00000042088,993
ENSG00000042286,2560
ENSG00000042304,0
ENSG00000042317,563
ENSG00000042429,2740
ENSG00000042445,8028
ENSG00000042493,14588
ENSG00000042753,5099
ENSG00000042781,12
ENSG00000042813,18
ENSG00000042832,26
ENSG00000042980,682
ENSG00000043039,3719
ENSG00000043093,2783
ENSG00000043143,2006
ENSG00000043355,255
ENSG00000043462,923
ENSG00000043514,1312
ENSG00000043591,102
ENSG00000044012,0
ENSG00000044090,5159
ENSG00000044115,30554
ENSG00000044446,3922
ENSG00000044459,248
ENSG00000044524,74
ENSG00000044574,60188
ENSG00000046604,9658
ENSG00000046647,2094
ENSG00000046651,7741
ENSG00000046653,339
ENSG00000046774,0
ENSG00000046889,247
ENSG00000047056,1728
ENSG00000047188,2487
ENSG00000047230,14916
ENSG00000047249,4345
ENSG00000047315,7183
ENSG00000047346,5977
