Gene stable ID,fab4d617-2dfd-4cff-bd4a-ad651a6137d5
ENSG00000000003,1060
ENSG00000000005,1
ENSG00000000419,1457
ENSG00000000457,719
ENSG00000000460,652
ENSG00000000938,239
ENSG00000000971,615
ENSG00000001036,3656
ENSG00000001084,4960
ENSG00000001167,2394
ENSG00000001460,314
ENSG00000001461,1302
ENSG00000001497,2366
ENSG00000001561,942
ENSG00000001617,1425
ENSG00000001626,157
ENSG00000001629,7207
ENSG00000001630,217
ENSG00000001631,2327
ENSG00000002016,600
ENSG00000002079,38
ENSG00000002330,1417
ENSG00000002549,10802
ENSG00000002586,1833
ENSG00000002587,354
ENSG00000002726,10
ENSG00000002745,1
ENSG00000002746,197
ENSG00000002822,445
ENSG00000002834,5114
ENSG00000002919,1432
ENSG00000002933,6846
ENSG00000003056,8736
ENSG00000003096,125
ENSG00000003137,419
ENSG00000003147,987
ENSG00000003249,1415
ENSG00000003393,1690
ENSG00000003400,312
ENSG00000003402,7102
ENSG00000003436,600
ENSG00000003509,573
ENSG00000003756,1708
ENSG00000003987,121
ENSG00000003989,188
ENSG00000004059,8613
ENSG00000004139,262
ENSG00000004142,4351
ENSG00000004399,8350
ENSG00000004455,14833
ENSG00000004468,941
ENSG00000004478,29401
ENSG00000004487,4596
ENSG00000004534,1992
ENSG00000004660,154
ENSG00000004700,2770
ENSG00000004766,1421
ENSG00000004776,371
ENSG00000004777,810
ENSG00000004779,2594
ENSG00000004799,311
ENSG00000004809,78
ENSG00000004838,74
ENSG00000004846,2
ENSG00000004848,12
ENSG00000004864,2851
ENSG00000004866,1547
ENSG00000004897,7436
ENSG00000004939,6
ENSG00000004948,0
ENSG00000004961,1292
ENSG00000004975,1444
ENSG00000005001,167
ENSG00000005007,4057
ENSG00000005020,305
ENSG00000005022,11255
ENSG00000005059,901
ENSG00000005073,1
ENSG00000005075,1034
ENSG00000005100,1510
ENSG00000005102,61
ENSG00000005108,109
ENSG00000005156,1713
ENSG00000005175,1346
ENSG00000005187,393
ENSG00000005189,2159
ENSG00000005194,1896
ENSG00000005206,958
ENSG00000005238,767
ENSG00000005243,383
ENSG00000005249,260
ENSG00000005302,3404
ENSG00000005339,6621
ENSG00000005379,954
ENSG00000005381,82
ENSG00000005421,6
ENSG00000005436,1003
ENSG00000005448,288
ENSG00000005469,491
ENSG00000005471,24
ENSG00000005483,3604
ENSG00000005486,3089
ENSG00000005513,92
ENSG00000005700,2990
ENSG00000005801,1194
ENSG00000005810,3174
ENSG00000005812,1581
ENSG00000005844,1048
ENSG00000005882,1808
ENSG00000005884,11766
ENSG00000005889,2788
ENSG00000005893,37121
ENSG00000005961,39
ENSG00000005981,10
ENSG00000006007,4851
ENSG00000006015,324
ENSG00000006016,32
ENSG00000006025,387
ENSG00000006042,295
ENSG00000006047,344
ENSG00000006059,1
ENSG00000006062,3087
ENSG00000006071,4
ENSG00000006116,0
ENSG00000006118,2234
ENSG00000006125,12592
ENSG00000006128,0
ENSG00000006194,1343
ENSG00000006210,3391
ENSG00000006282,2267
ENSG00000006283,23
ENSG00000006327,1975
ENSG00000006377,71
ENSG00000006432,782
ENSG00000006451,1896
ENSG00000006453,2636
ENSG00000006459,1036
ENSG00000006468,159
ENSG00000006530,2293
ENSG00000006534,639
ENSG00000006555,5918
