Gene stable ID,567f1e72-58fa-4b19-bb3f-584b70a89d82
ENSG00000000003,1561
ENSG00000000005,3
ENSG00000000419,3423
ENSG00000000457,1357
ENSG00000000460,1340
ENSG00000000938,150
ENSG00000000971,661
ENSG00000001036,5119
ENSG00000001084,1045
ENSG00000001167,1533
ENSG00000001460,443
ENSG00000001461,2161
ENSG00000001497,4108
ENSG00000001561,1610
ENSG00000001617,7936
ENSG00000001626,21
ENSG00000001629,7815
ENSG00000001630,461
ENSG00000001631,4156
ENSG00000002016,739
ENSG00000002079,34
ENSG00000002330,2219
ENSG00000002549,2268
ENSG00000002586,8388
ENSG00000002587,354
ENSG00000002726,166
ENSG00000002745,1795
ENSG00000002746,31
ENSG00000002822,1236
ENSG00000002834,11232
ENSG00000002919,3207
ENSG00000002933,2963
ENSG00000003056,5747
ENSG00000003096,46
ENSG00000003137,1510
ENSG00000003147,5219
ENSG00000003249,3088
ENSG00000003393,1992
ENSG00000003400,141
ENSG00000003402,3188
ENSG00000003436,402
ENSG00000003509,722
ENSG00000003756,6043
ENSG00000003987,458
ENSG00000003989,5546
ENSG00000004059,3659
ENSG00000004139,1043
ENSG00000004142,3959
ENSG00000004399,25393
ENSG00000004455,9815
ENSG00000004468,15
ENSG00000004478,22726
ENSG00000004487,5771
ENSG00000004534,5393
ENSG00000004660,1562
ENSG00000004700,2876
ENSG00000004766,3144
ENSG00000004776,44
ENSG00000004777,1191
ENSG00000004779,6051
ENSG00000004799,2821
ENSG00000004809,0
ENSG00000004838,2681
ENSG00000004846,13
ENSG00000004848,73
ENSG00000004864,2984
ENSG00000004866,3725
ENSG00000004897,2959
ENSG00000004939,3
ENSG00000004948,1
ENSG00000004961,1407
ENSG00000004975,2635
ENSG00000005001,171
ENSG00000005007,5589
ENSG00000005020,3440
ENSG00000005022,19561
ENSG00000005059,1725
ENSG00000005073,285
ENSG00000005075,2196
ENSG00000005100,1737
ENSG00000005102,2
ENSG00000005108,725
ENSG00000005156,1342
ENSG00000005175,4124
ENSG00000005187,403
ENSG00000005189,3417
ENSG00000005194,1578
ENSG00000005206,2677
ENSG00000005238,932
ENSG00000005243,267
ENSG00000005249,3213
ENSG00000005302,1419
ENSG00000005339,10700
ENSG00000005379,3253
ENSG00000005381,5
ENSG00000005421,625
ENSG00000005436,2411
ENSG00000005448,3360
ENSG00000005469,1428
ENSG00000005471,91
ENSG00000005483,7238
ENSG00000005486,11029
ENSG00000005513,41
ENSG00000005700,6041
ENSG00000005801,1040
ENSG00000005810,6766
ENSG00000005812,2184
ENSG00000005844,254
ENSG00000005882,6309
ENSG00000005884,14486
ENSG00000005889,2886
ENSG00000005893,9882
ENSG00000005961,374
ENSG00000005981,57
ENSG00000006007,5528
ENSG00000006015,300
ENSG00000006016,2360
ENSG00000006025,557
ENSG00000006042,1627
ENSG00000006047,1529
ENSG00000006059,0
ENSG00000006062,1497
ENSG00000006071,2755
ENSG00000006116,0
ENSG00000006118,8832
ENSG00000006125,13392
ENSG00000006128,1
ENSG00000006194,3248
ENSG00000006210,289
ENSG00000006282,10557
ENSG00000006283,267
ENSG00000006327,1236
ENSG00000006377,5
ENSG00000006432,1797
ENSG00000006451,6049
ENSG00000006453,6396
ENSG00000006459,1874
ENSG00000006468,763
ENSG00000006530,1816
ENSG00000006534,1145
ENSG00000006555,2841
ENSG00000006576,4839
ENSG00000006606,24
ENSG00000006607,1898
ENSG00000006611,509
ENSG00000006625,7956
ENSG00000006634,4237
ENSG00000006638,262
ENSG00000006652,4521
ENSG00000006659,0
ENSG00000006695,705
ENSG00000006704,3854
ENSG00000006712,2697
ENSG00000006715,3120
ENSG00000006740,1307
ENSG00000006744,3311
ENSG00000006747,853
ENSG00000006756,6248
ENSG00000006757,1104
ENSG00000006788,22
ENSG00000006831,8280
ENSG00000006837,84
ENSG00000007001,4
ENSG00000007038,0
ENSG00000007047,1938
ENSG00000007062,8
ENSG00000007080,974
ENSG00000007129,36
ENSG00000007168,7083
ENSG00000007171,73
ENSG00000007174,277
ENSG00000007202,8162
ENSG00000007216,1098
ENSG00000007237,727
ENSG00000007255,707
ENSG00000007264,366
ENSG00000007306,9
ENSG00000007312,14
ENSG00000007314,12
ENSG00000007341,1262
ENSG00000007350,5
ENSG00000007372,3031
ENSG00000007376,2184
ENSG00000007384,1114
ENSG00000007392,2808
ENSG00000007402,8805
ENSG00000007516,2297
ENSG00000007520,1576
ENSG00000007541,4408
ENSG00000007545,2717
ENSG00000007866,1509
ENSG00000007908,25
ENSG00000007923,1299
ENSG00000007933,230
ENSG00000007944,2086
ENSG00000007952,48
ENSG00000007968,3971
ENSG00000008018,11140
ENSG00000008056,1303
ENSG00000008083,765
ENSG00000008086,562
ENSG00000008118,7
ENSG00000008128,236
ENSG00000008130,1890
ENSG00000008196,15
ENSG00000008197,0
ENSG00000008226,37
ENSG00000008256,2047
ENSG00000008277,2334
ENSG00000008282,3673
ENSG00000008283,15689
ENSG00000008294,11016
ENSG00000008300,6211
ENSG00000008311,392
ENSG00000008323,1189
ENSG00000008324,1445
ENSG00000008382,700
ENSG00000008394,2128
ENSG00000008405,1649
ENSG00000008438,0
ENSG00000008441,605
ENSG00000008513,3245
ENSG00000008516,36
ENSG00000008517,132
ENSG00000008710,11643
ENSG00000008735,3281
ENSG00000008838,2714
ENSG00000008853,1892
ENSG00000008869,3297
