Gene stable ID,c118b9c9-9a9e-43dc-bdf6-cce1d9f8ff74
ENSG00000000003,2750
ENSG00000000005,3
ENSG00000000419,2197
ENSG00000000457,2902
ENSG00000000460,976
ENSG00000000938,643
ENSG00000000971,1843
ENSG00000001036,1892
ENSG00000001084,3253
ENSG00000001167,3179
ENSG00000001460,931
ENSG00000001461,3744
ENSG00000001497,3303
ENSG00000001561,585
ENSG00000001617,9637
ENSG00000001626,8
ENSG00000001629,3889
ENSG00000001630,256
ENSG00000001631,2892
ENSG00000002016,797
ENSG00000002079,26
ENSG00000002330,2066
ENSG00000002549,2682
ENSG00000002586,10244
ENSG00000002587,121
ENSG00000002726,10
ENSG00000002745,7
ENSG00000002746,69
ENSG00000002822,1440
ENSG00000002834,18039
ENSG00000002919,1398
ENSG00000002933,1733
ENSG00000003056,4168
ENSG00000003096,263
ENSG00000003137,824
ENSG00000003147,5575
ENSG00000003249,811
ENSG00000003393,2005
ENSG00000003400,300
ENSG00000003402,5315
ENSG00000003436,529
ENSG00000003509,904
ENSG00000003756,10315
ENSG00000003987,162
ENSG00000003989,5807
ENSG00000004059,7680
ENSG00000004139,309
ENSG00000004142,6386
ENSG00000004399,5638
ENSG00000004455,7592
ENSG00000004468,72
ENSG00000004478,16290
ENSG00000004487,6510
ENSG00000004534,7635
ENSG00000004660,851
ENSG00000004700,1599
ENSG00000004766,2734
ENSG00000004776,292
ENSG00000004777,1862
ENSG00000004779,2766
ENSG00000004799,1035
ENSG00000004809,3
ENSG00000004838,2064
ENSG00000004846,10
ENSG00000004848,5
ENSG00000004864,990
ENSG00000004866,1663
ENSG00000004897,4133
ENSG00000004939,2
ENSG00000004948,141
ENSG00000004961,1041
ENSG00000004975,3047
ENSG00000005001,2499
ENSG00000005007,8474
ENSG00000005020,1354
ENSG00000005022,7304
ENSG00000005059,1858
ENSG00000005073,75
ENSG00000005075,1841
ENSG00000005100,1970
ENSG00000005102,72
ENSG00000005108,204
ENSG00000005156,3108
ENSG00000005175,2228
ENSG00000005187,518
ENSG00000005189,902
ENSG00000005194,1481
ENSG00000005206,3643
ENSG00000005238,1351
ENSG00000005243,1735
ENSG00000005249,2370
ENSG00000005302,1682
ENSG00000005339,10809
ENSG00000005379,3117
ENSG00000005381,15
ENSG00000005421,1
ENSG00000005436,1712
ENSG00000005448,1138
ENSG00000005469,5664
ENSG00000005471,124
ENSG00000005483,6823
ENSG00000005486,6933
ENSG00000005513,23
ENSG00000005700,3784
ENSG00000005801,1310
ENSG00000005810,4212
ENSG00000005812,7088
ENSG00000005844,1268
ENSG00000005882,1734
ENSG00000005884,6946
ENSG00000005889,3091
ENSG00000005893,12129
ENSG00000005961,109
ENSG00000005981,2
ENSG00000006007,8150
ENSG00000006015,947
ENSG00000006016,117
ENSG00000006025,815
ENSG00000006042,3879
ENSG00000006047,966
ENSG00000006059,13
ENSG00000006062,1397
ENSG00000006071,599
ENSG00000006116,0
ENSG00000006118,2184
ENSG00000006125,21947
ENSG00000006128,34
ENSG00000006194,3872
ENSG00000006210,929
ENSG00000006282,4895
ENSG00000006283,134
ENSG00000006327,2366
ENSG00000006377,2
ENSG00000006432,948
ENSG00000006451,3321
ENSG00000006453,2127
ENSG00000006459,3754
ENSG00000006468,574
ENSG00000006530,2025
ENSG00000006534,1343
ENSG00000006555,1232
ENSG00000006576,1847
ENSG00000006606,7
ENSG00000006607,2262
ENSG00000006611,0
ENSG00000006625,3887
ENSG00000006634,582
ENSG00000006638,93
ENSG00000006652,1529
ENSG00000006659,12
ENSG00000006695,983
ENSG00000006704,2046
ENSG00000006712,6146
ENSG00000006715,3417
ENSG00000006740,647
ENSG00000006744,4104
ENSG00000006747,5209
ENSG00000006756,9154
ENSG00000006757,2962
ENSG00000006788,49
ENSG00000006831,6435
ENSG00000006837,112
ENSG00000007001,10
ENSG00000007038,404
ENSG00000007047,2093
ENSG00000007062,3479
ENSG00000007080,2765
ENSG00000007129,44
ENSG00000007168,7619
ENSG00000007171,37
ENSG00000007174,44
ENSG00000007202,10690
ENSG00000007216,26
ENSG00000007237,4882
ENSG00000007255,1923
ENSG00000007264,197
ENSG00000007306,6
ENSG00000007312,95
ENSG00000007314,52
ENSG00000007341,992
ENSG00000007350,1
ENSG00000007372,139
ENSG00000007376,1720
ENSG00000007384,6230
ENSG00000007392,4623
ENSG00000007402,1016
ENSG00000007516,2445
ENSG00000007520,2970
ENSG00000007541,6310
ENSG00000007545,2823
ENSG00000007866,3960
ENSG00000007908,101
ENSG00000007923,1888
ENSG00000007933,42
ENSG00000007944,3009
ENSG00000007952,73
ENSG00000007968,224
ENSG00000008018,7301
ENSG00000008056,47
ENSG00000008083,2267
ENSG00000008086,1609
ENSG00000008118,29
ENSG00000008128,499
ENSG00000008130,3427
ENSG00000008196,11609
ENSG00000008197,0
ENSG00000008226,157
ENSG00000008256,2363
ENSG00000008277,326
ENSG00000008282,9224
ENSG00000008283,8945
ENSG00000008294,4474
ENSG00000008300,504
ENSG00000008311,1038
ENSG00000008323,894
ENSG00000008324,1291
ENSG00000008382,1182
ENSG00000008394,7845
ENSG00000008405,2067
ENSG00000008438,4
ENSG00000008441,5585
ENSG00000008513,4204
ENSG00000008516,405
ENSG00000008517,1452
ENSG00000008710,5455
ENSG00000008735,245
ENSG00000008838,5272
ENSG00000008853,2061
ENSG00000008869,3604
ENSG00000008952,9194
ENSG00000008988,34037
ENSG00000009307,33509
ENSG00000009335,4113
ENSG00000009413,1431
ENSG00000009694,30
ENSG00000009709,0
ENSG00000009724,88
ENSG00000009765,1
ENSG00000009780,931
ENSG00000009790,302
ENSG00000009830,2026
ENSG00000009844,2711
ENSG00000009950,40
ENSG00000009954,6461
ENSG00000010017,3255
ENSG00000010030,243
ENSG00000010072,1164
ENSG00000010165,4309
ENSG00000010219,1100
ENSG00000010244,9306
ENSG00000010256,8607
ENSG00000010270,1619
ENSG00000010278,41973
ENSG00000010282,0
ENSG00000010292,4572
ENSG00000010295,895
ENSG00000010310,604
ENSG00000010318,525
ENSG00000010319,1356
ENSG00000010322,7775
ENSG00000010327,2098
ENSG00000010361,2226
ENSG00000010379,2
ENSG00000010404,7534
ENSG00000010438,0
ENSG00000010539,808
ENSG00000010610,2862
ENSG00000010626,752
ENSG00000010671,655
ENSG00000010704,2426
ENSG00000010803,3669
ENSG00000010810,1114
ENSG00000010818,855
ENSG00000010932,130
ENSG00000011007,3189
ENSG00000011009,4581
ENSG00000011021,1716
ENSG00000011028,13670
ENSG00000011052,30
ENSG00000011083,14
ENSG00000011105,9431
ENSG00000011114,2461
ENSG00000011132,916
ENSG00000011143,1674
ENSG00000011198,957
ENSG00000011201,1004
ENSG00000011243,4287
ENSG00000011258,1955
ENSG00000011260,1907
ENSG00000011275,3330
ENSG00000011295,4580
ENSG00000011304,17898
ENSG00000011332,19
ENSG00000011347,2225
ENSG00000011376,1853
ENSG00000011405,3596
ENSG00000011422,2165
ENSG00000011426,1049
ENSG00000011451,4401
ENSG00000011454,4466
ENSG00000011465,73852
ENSG00000011478,1009
ENSG00000011485,3321
ENSG00000011523,2287
ENSG00000011566,2482
ENSG00000011590,47
ENSG00000011600,2774
ENSG00000011638,3460
ENSG00000011677,1
ENSG00000012048,846
ENSG00000012061,4424
ENSG00000012124,587
ENSG00000012171,1847
ENSG00000012174,1601
ENSG00000012211,639
ENSG00000012223,5724
ENSG00000012232,2921
ENSG00000012504,0
ENSG00000012660,39097
ENSG00000012779,7070
ENSG00000012817,4
ENSG00000012822,10434
ENSG00000012963,3811
ENSG00000012983,2922
ENSG00000013016,662
ENSG00000013275,4256
ENSG00000013288,6887
ENSG00000013293,0
ENSG00000013297,258
ENSG00000013306,7472
ENSG00000013364,19508
ENSG00000013374,4581
ENSG00000013375,2559
ENSG00000013392,546
ENSG00000013441,11639
ENSG00000013503,776
ENSG00000013523,2086
ENSG00000013561,4169
ENSG00000013563,1286
ENSG00000013573,1729
ENSG00000013583,6106
ENSG00000013588,9617
ENSG00000013619,145
ENSG00000013725,185
ENSG00000013810,1468
ENSG00000014123,3601
ENSG00000014138,1306
ENSG00000014164,1715
ENSG00000014216,12266
ENSG00000014257,92
ENSG00000014641,6366
ENSG00000014824,4862
ENSG00000014914,2529
ENSG00000014919,3128
ENSG00000015133,3008
ENSG00000015153,888
ENSG00000015171,10206
ENSG00000015285,431
ENSG00000015413,42
ENSG00000015475,757
ENSG00000015479,664
ENSG00000015520,13
ENSG00000015532,3024
ENSG00000015568,0
ENSG00000015592,1
ENSG00000015676,6180
ENSG00000016082,39
ENSG00000016391,5356
ENSG00000016402,2071
ENSG00000016490,0
ENSG00000016602,6
ENSG00000016864,5718
ENSG00000017260,7715
ENSG00000017427,264
ENSG00000017483,891
