Gene stable ID,2863b9b5-39e0-4780-ac7d-4a4dcdf6d3c5
ENSG00000000003,3133
ENSG00000000005,6
ENSG00000000419,2871
ENSG00000000457,1922
ENSG00000000460,377
ENSG00000000938,403
ENSG00000000971,2728
ENSG00000001036,3848
ENSG00000001084,2706
ENSG00000001167,2245
ENSG00000001460,654
ENSG00000001461,2814
ENSG00000001497,2209
ENSG00000001561,2894
ENSG00000001617,3953
ENSG00000001626,38
ENSG00000001629,5407
ENSG00000001630,462
ENSG00000001631,2233
ENSG00000002016,473
ENSG00000002079,12
ENSG00000002330,1027
ENSG00000002549,8309
ENSG00000002586,5185
ENSG00000002587,296
ENSG00000002726,417
ENSG00000002745,22
ENSG00000002746,23
ENSG00000002822,828
ENSG00000002834,13774
ENSG00000002919,2206
ENSG00000002933,2119
ENSG00000003056,4437
ENSG00000003096,1009
ENSG00000003137,72
ENSG00000003147,1982
ENSG00000003249,1816
ENSG00000003393,1742
ENSG00000003400,1116
ENSG00000003402,6120
ENSG00000003436,1083
ENSG00000003509,684
ENSG00000003756,4193
ENSG00000003987,85
ENSG00000003989,20979
ENSG00000004059,5193
ENSG00000004139,571
ENSG00000004142,4706
ENSG00000004399,5151
ENSG00000004455,4722
ENSG00000004468,818
ENSG00000004478,10749
ENSG00000004487,4021
ENSG00000004534,2996
ENSG00000004660,447
ENSG00000004700,1554
ENSG00000004766,1922
ENSG00000004776,310
ENSG00000004777,380
ENSG00000004779,2201
ENSG00000004799,976
ENSG00000004809,1
ENSG00000004838,123
ENSG00000004846,9
ENSG00000004848,11
ENSG00000004864,1402
ENSG00000004866,1225
ENSG00000004897,5219
ENSG00000004939,2
ENSG00000004948,69
ENSG00000004961,1288
ENSG00000004975,1075
ENSG00000005001,501
ENSG00000005007,5554
ENSG00000005020,2517
ENSG00000005022,14929
ENSG00000005059,804
ENSG00000005073,14
ENSG00000005075,1267
ENSG00000005100,1252
ENSG00000005102,791
ENSG00000005108,403
ENSG00000005156,2553
ENSG00000005175,2007
ENSG00000005187,285
ENSG00000005189,181
ENSG00000005194,2208
ENSG00000005206,1591
ENSG00000005238,797
ENSG00000005243,379
ENSG00000005249,2625
ENSG00000005302,1631
ENSG00000005339,6324
ENSG00000005379,1349
ENSG00000005381,8
ENSG00000005421,4
ENSG00000005436,1110
ENSG00000005448,480
ENSG00000005469,2071
ENSG00000005471,119
ENSG00000005483,5809
ENSG00000005486,4953
ENSG00000005513,75
ENSG00000005700,4180
ENSG00000005801,1062
ENSG00000005810,5940
ENSG00000005812,4708
ENSG00000005844,3306
ENSG00000005882,1650
ENSG00000005884,6606
ENSG00000005889,3531
ENSG00000005893,20977
ENSG00000005961,17
ENSG00000005981,12
ENSG00000006007,4497
ENSG00000006015,464
ENSG00000006016,174
ENSG00000006025,987
ENSG00000006042,1945
ENSG00000006047,150
ENSG00000006059,0
ENSG00000006062,1406
ENSG00000006071,432
ENSG00000006116,5
ENSG00000006118,1894
ENSG00000006125,28408
ENSG00000006128,89
ENSG00000006194,1816
ENSG00000006210,4879
ENSG00000006282,2753
ENSG00000006283,53
ENSG00000006327,413
ENSG00000006377,5
ENSG00000006432,580
ENSG00000006451,3636
ENSG00000006453,2215
ENSG00000006459,1846
ENSG00000006468,1344
ENSG00000006530,1898
ENSG00000006534,531
ENSG00000006555,286
ENSG00000006576,2291
ENSG00000006606,10
ENSG00000006607,1507
ENSG00000006611,16
ENSG00000006625,2313
ENSG00000006634,523
ENSG00000006638,105
ENSG00000006652,1349
ENSG00000006659,3
ENSG00000006695,687
ENSG00000006704,1346
ENSG00000006712,2421
ENSG00000006715,5304
ENSG00000006740,377
ENSG00000006744,2265
ENSG00000006747,157
ENSG00000006756,6741
ENSG00000006757,1485
ENSG00000006788,20
ENSG00000006831,9696
ENSG00000006837,29
ENSG00000007001,14
ENSG00000007038,119
ENSG00000007047,1922
ENSG00000007062,2378
ENSG00000007080,785
ENSG00000007129,167
ENSG00000007168,8544
ENSG00000007171,32
ENSG00000007174,28
ENSG00000007202,15835
ENSG00000007216,186
ENSG00000007237,2968
ENSG00000007255,1339
ENSG00000007264,157
ENSG00000007306,26
ENSG00000007312,719
ENSG00000007314,32
ENSG00000007341,586
ENSG00000007350,6
ENSG00000007372,181
ENSG00000007376,650
ENSG00000007384,2048
ENSG00000007392,1663
ENSG00000007402,633
ENSG00000007516,167
ENSG00000007520,918
ENSG00000007541,2369
ENSG00000007545,1186
ENSG00000007866,1370
ENSG00000007908,1036
ENSG00000007923,1443
ENSG00000007933,269
ENSG00000007944,5647
ENSG00000007952,52
ENSG00000007968,158
ENSG00000008018,6644
ENSG00000008056,57
ENSG00000008083,2039
ENSG00000008086,1249
ENSG00000008118,4
ENSG00000008128,182
ENSG00000008130,2616
ENSG00000008196,1299
ENSG00000008197,1
ENSG00000008226,46
ENSG00000008256,1808
ENSG00000008277,778
ENSG00000008282,8330
ENSG00000008283,12050
ENSG00000008294,6064
ENSG00000008300,278
ENSG00000008311,506
ENSG00000008323,360
ENSG00000008324,856
ENSG00000008382,560
ENSG00000008394,8367
ENSG00000008405,1826
ENSG00000008438,0
ENSG00000008441,5389
ENSG00000008513,7898
ENSG00000008516,193
ENSG00000008517,2646
ENSG00000008710,2404
ENSG00000008735,2245
ENSG00000008838,4355
ENSG00000008853,873
ENSG00000008869,3183
ENSG00000008952,10913
ENSG00000008988,27932
ENSG00000009307,33928
ENSG00000009335,6329
ENSG00000009413,1451
ENSG00000009694,117
ENSG00000009709,2
ENSG00000009724,96
ENSG00000009765,238
ENSG00000009780,1039
ENSG00000009790,950
ENSG00000009830,952
ENSG00000009844,2869
ENSG00000009950,17
ENSG00000009954,6347
ENSG00000010017,6290
ENSG00000010030,359
ENSG00000010072,1196
ENSG00000010165,2572
ENSG00000010219,705
ENSG00000010244,9226
ENSG00000010256,3676
ENSG00000010270,1880
ENSG00000010278,25380
ENSG00000010282,6
ENSG00000010292,2785
ENSG00000010295,475
ENSG00000010310,39
ENSG00000010318,216
ENSG00000010319,602
ENSG00000010322,4986
ENSG00000010327,2132
ENSG00000010361,499
ENSG00000010379,1
ENSG00000010404,11483
ENSG00000010438,12
ENSG00000010539,585
ENSG00000010610,5147
ENSG00000010626,370
ENSG00000010671,800
ENSG00000010704,1273
ENSG00000010803,1575
ENSG00000010810,2579
ENSG00000010818,2027
ENSG00000010932,213
ENSG00000011007,2634
ENSG00000011009,2789
ENSG00000011021,1021
ENSG00000011028,3392
ENSG00000011052,54
ENSG00000011083,5
ENSG00000011105,3746
ENSG00000011114,3376
ENSG00000011132,477
ENSG00000011143,1062
ENSG00000011198,711
ENSG00000011201,2146
ENSG00000011243,1361
ENSG00000011258,2156
ENSG00000011260,2627
ENSG00000011275,3398
ENSG00000011295,2853
ENSG00000011304,11237
ENSG00000011332,8
ENSG00000011347,5500
ENSG00000011376,1023
ENSG00000011405,4890
ENSG00000011422,709
ENSG00000011426,649
ENSG00000011451,2486
ENSG00000011454,4014
ENSG00000011465,26007
ENSG00000011478,633
ENSG00000011485,2119
ENSG00000011523,2539
ENSG00000011566,2598
ENSG00000011590,46
ENSG00000011600,2291
ENSG00000011638,2120
ENSG00000011677,0
ENSG00000012048,786
ENSG00000012061,2333
ENSG00000012124,1272
ENSG00000012171,1565
ENSG00000012174,2426
ENSG00000012211,458
ENSG00000012223,22763
ENSG00000012232,2082
ENSG00000012504,0
ENSG00000012660,14459
ENSG00000012779,1427
ENSG00000012817,0
ENSG00000012822,2773
ENSG00000012963,3855
ENSG00000012983,2687
ENSG00000013016,1190
ENSG00000013275,3808
ENSG00000013288,4244
ENSG00000013293,11
ENSG00000013297,1202
ENSG00000013306,9613
ENSG00000013364,5371
ENSG00000013374,5580
ENSG00000013375,1760
ENSG00000013392,410
ENSG00000013441,3778
ENSG00000013503,735
ENSG00000013523,1720
ENSG00000013561,3567
ENSG00000013563,1254
ENSG00000013573,292
ENSG00000013583,5253
ENSG00000013588,18477
ENSG00000013619,224
ENSG00000013725,1146
ENSG00000013810,634
ENSG00000014123,2384
ENSG00000014138,973
ENSG00000014164,1269
ENSG00000014216,13284
ENSG00000014257,61
ENSG00000014641,5541
ENSG00000014824,5708
ENSG00000014914,685
ENSG00000014919,1863
ENSG00000015133,2609
ENSG00000015153,692
ENSG00000015171,10259
