Gene stable ID,7b05de56-fe4a-4188-a1c7-673d404177c2
ENSG00000000003,5194
ENSG00000000005,6
ENSG00000000419,2402
ENSG00000000457,1456
ENSG00000000460,683
ENSG00000000938,213
ENSG00000000971,2048
ENSG00000001036,2700
ENSG00000001084,907
ENSG00000001167,3173
ENSG00000001460,724
ENSG00000001461,3462
ENSG00000001497,5290
ENSG00000001561,1196
ENSG00000001617,8593
ENSG00000001626,22
ENSG00000001629,5053
ENSG00000001630,408
ENSG00000001631,2502
ENSG00000002016,588
ENSG00000002079,7
ENSG00000002330,1055
ENSG00000002549,3308
ENSG00000002586,13086
ENSG00000002587,107
ENSG00000002726,12
ENSG00000002745,11
ENSG00000002746,64
ENSG00000002822,1390
ENSG00000002834,16180
ENSG00000002919,1365
ENSG00000002933,527
ENSG00000003056,4839
ENSG00000003096,363
ENSG00000003137,478
ENSG00000003147,216
ENSG00000003249,2450
ENSG00000003393,2410
ENSG00000003400,299
ENSG00000003402,3194
ENSG00000003436,544
ENSG00000003509,827
ENSG00000003756,5949
ENSG00000003987,75
ENSG00000003989,9289
ENSG00000004059,5712
ENSG00000004139,629
ENSG00000004142,4460
ENSG00000004399,11822
ENSG00000004455,5830
ENSG00000004468,17
ENSG00000004478,9068
ENSG00000004487,6101
ENSG00000004534,3861
ENSG00000004660,324
ENSG00000004700,2076
ENSG00000004766,2229
ENSG00000004776,204
ENSG00000004777,606
ENSG00000004779,1712
ENSG00000004799,2726
ENSG00000004809,1
ENSG00000004838,595
ENSG00000004846,10
ENSG00000004848,60
ENSG00000004864,1444
ENSG00000004866,1817
ENSG00000004897,4565
ENSG00000004939,12
ENSG00000004948,5
ENSG00000004961,908
ENSG00000004975,1478
ENSG00000005001,513
ENSG00000005007,7019
ENSG00000005020,3209
ENSG00000005022,16608
ENSG00000005059,1421
ENSG00000005073,102
ENSG00000005075,1016
ENSG00000005100,1060
ENSG00000005102,33
ENSG00000005108,1268
ENSG00000005156,2121
ENSG00000005175,1840
ENSG00000005187,109
ENSG00000005189,348
ENSG00000005194,2509
ENSG00000005206,1826
ENSG00000005238,1133
ENSG00000005243,1973
ENSG00000005249,3844
ENSG00000005302,1306
ENSG00000005339,9020
ENSG00000005379,1869
ENSG00000005381,4
ENSG00000005421,0
ENSG00000005436,1745
ENSG00000005448,1540
ENSG00000005469,1827
ENSG00000005471,182
ENSG00000005483,7027
ENSG00000005486,7514
ENSG00000005513,23
ENSG00000005700,3275
ENSG00000005801,1664
ENSG00000005810,9767
ENSG00000005812,8993
ENSG00000005844,187
ENSG00000005882,1719
ENSG00000005884,8944
ENSG00000005889,3765
ENSG00000005893,20731
ENSG00000005961,23
ENSG00000005981,0
ENSG00000006007,6280
ENSG00000006015,426
ENSG00000006016,53
ENSG00000006025,921
ENSG00000006042,3106
ENSG00000006047,202
ENSG00000006059,3
ENSG00000006062,400
ENSG00000006071,2742
ENSG00000006116,0
ENSG00000006118,2096
ENSG00000006125,25687
ENSG00000006128,10
ENSG00000006194,1846
ENSG00000006210,3572
ENSG00000006282,3284
ENSG00000006283,330
ENSG00000006327,1678
ENSG00000006377,0
ENSG00000006432,854
ENSG00000006451,4659
ENSG00000006453,2255
ENSG00000006459,2061
ENSG00000006468,2037
ENSG00000006530,1548
ENSG00000006534,4663
ENSG00000006555,30
ENSG00000006576,2724
ENSG00000006606,13
ENSG00000006607,1749
ENSG00000006611,1
ENSG00000006625,1560
ENSG00000006634,570
ENSG00000006638,183
ENSG00000006652,1262
ENSG00000006659,0
ENSG00000006695,501
ENSG00000006704,1803
ENSG00000006712,4317
ENSG00000006715,5321
ENSG00000006740,1166
ENSG00000006744,1999
ENSG00000006747,665
ENSG00000006756,8975
ENSG00000006757,2510
ENSG00000006788,45
ENSG00000006831,4341
ENSG00000006837,69
ENSG00000007001,15
ENSG00000007038,945
ENSG00000007047,2835
ENSG00000007062,217
ENSG00000007080,1816
ENSG00000007129,24
ENSG00000007168,8122
ENSG00000007171,56
ENSG00000007174,25
ENSG00000007202,17004
ENSG00000007216,6
ENSG00000007237,5003
ENSG00000007255,1216
ENSG00000007264,25
ENSG00000007306,0
ENSG00000007312,32
ENSG00000007314,62
ENSG00000007341,961
ENSG00000007350,0
ENSG00000007372,338
ENSG00000007376,988
ENSG00000007384,2594
ENSG00000007392,1431
ENSG00000007402,1987
ENSG00000007516,195
ENSG00000007520,1479
ENSG00000007541,2693
ENSG00000007545,1508
ENSG00000007866,1934
ENSG00000007908,136
ENSG00000007923,2146
ENSG00000007933,123
ENSG00000007944,3507
ENSG00000007952,136
ENSG00000007968,230
ENSG00000008018,3820
ENSG00000008056,480
ENSG00000008083,1796
ENSG00000008086,2119
ENSG00000008118,50
ENSG00000008128,224
ENSG00000008130,2800
ENSG00000008196,4697
ENSG00000008197,0
ENSG00000008226,73
ENSG00000008256,4016
ENSG00000008277,902
ENSG00000008282,6621
ENSG00000008283,6561
ENSG00000008294,6191
ENSG00000008300,1398
ENSG00000008311,1002
ENSG00000008323,898
ENSG00000008324,705
ENSG00000008382,688
ENSG00000008394,2359
ENSG00000008405,2327
ENSG00000008438,2
ENSG00000008441,4327
ENSG00000008513,3154
ENSG00000008516,364
ENSG00000008517,554
ENSG00000008710,4516
ENSG00000008735,1989
ENSG00000008838,4236
ENSG00000008853,2046
ENSG00000008869,3005
ENSG00000008952,12474
