Gene stable ID,09bb8127-df83-47c1-bbc3-94ee17f860f3
ENSG00000000003,1449
ENSG00000000005,23
ENSG00000000419,1028
ENSG00000000457,1519
ENSG00000000460,779
ENSG00000000938,638
ENSG00000000971,3552
ENSG00000001036,3827
ENSG00000001084,1106
ENSG00000001167,2733
ENSG00000001460,281
ENSG00000001461,1281
ENSG00000001497,3110
ENSG00000001561,608
ENSG00000001617,2155
ENSG00000001626,12
ENSG00000001629,3338
ENSG00000001630,334
ENSG00000001631,1844
ENSG00000002016,586
ENSG00000002079,9
ENSG00000002330,970
ENSG00000002549,8080
ENSG00000002586,13325
ENSG00000002587,223
ENSG00000002726,90
ENSG00000002745,3
ENSG00000002746,67
ENSG00000002822,1043
ENSG00000002834,15538
ENSG00000002919,1028
ENSG00000002933,2439
ENSG00000003056,11376
ENSG00000003096,12
ENSG00000003137,130
ENSG00000003147,3310
ENSG00000003249,1199
ENSG00000003393,1119
ENSG00000003400,844
ENSG00000003402,7293
ENSG00000003436,536
ENSG00000003509,562
ENSG00000003756,3042
ENSG00000003987,56
ENSG00000003989,2386
ENSG00000004059,11208
ENSG00000004139,151
ENSG00000004142,6115
ENSG00000004399,19955
ENSG00000004455,7262
ENSG00000004468,847
ENSG00000004478,53143
ENSG00000004487,6227
ENSG00000004534,3636
ENSG00000004660,728
ENSG00000004700,2507
ENSG00000004766,1458
ENSG00000004776,177
ENSG00000004777,231
ENSG00000004779,3806
ENSG00000004799,1556
ENSG00000004809,0
ENSG00000004838,38
ENSG00000004846,5
ENSG00000004848,153
ENSG00000004864,2547
ENSG00000004866,1900
ENSG00000004897,2599
ENSG00000004939,2
ENSG00000004948,13
ENSG00000004961,2202
ENSG00000004975,826
ENSG00000005001,608
ENSG00000005007,7414
ENSG00000005020,2243
ENSG00000005022,36324
ENSG00000005059,953
ENSG00000005073,27
ENSG00000005075,1840
ENSG00000005100,1163
ENSG00000005102,177
ENSG00000005108,374
ENSG00000005156,2396
ENSG00000005175,2272
