Gene stable ID,c1762c7e-cebc-4380-a207-eec4dc44aa63
ENSG00000000003,1578
ENSG00000000005,1
ENSG00000000419,2217
ENSG00000000457,1410
ENSG00000000460,549
ENSG00000000938,97
ENSG00000000971,112
ENSG00000001036,2688
ENSG00000001084,1152
ENSG00000001167,896
ENSG00000001460,408
ENSG00000001461,924
ENSG00000001497,1681
ENSG00000001561,1148
ENSG00000001617,8105
ENSG00000001626,272
ENSG00000001629,1282
ENSG00000001630,228
ENSG00000001631,806
ENSG00000002016,389
ENSG00000002079,2
ENSG00000002330,809
ENSG00000002549,4354
ENSG00000002586,1575
ENSG00000002587,99
ENSG00000002726,130
ENSG00000002745,2
ENSG00000002746,3
ENSG00000002822,1042
ENSG00000002834,12456
ENSG00000002919,1446
ENSG00000002933,1102
ENSG00000003056,2333
ENSG00000003096,38
ENSG00000003137,32
ENSG00000003147,3619
ENSG00000003249,2050
ENSG00000003393,1011
ENSG00000003400,108
ENSG00000003402,1799
ENSG00000003436,8644
ENSG00000003509,717
ENSG00000003756,5151
ENSG00000003987,21
ENSG00000003989,94
ENSG00000004059,4755
ENSG00000004139,557
ENSG00000004142,8884
ENSG00000004399,2113
ENSG00000004455,3897
ENSG00000004468,14
ENSG00000004478,16831
ENSG00000004487,3214
ENSG00000004534,3547
ENSG00000004660,610
ENSG00000004700,356
ENSG00000004766,769
ENSG00000004776,13
ENSG00000004777,235
ENSG00000004779,2247
ENSG00000004799,126
ENSG00000004809,0
ENSG00000004838,341
ENSG00000004846,0
ENSG00000004848,2
ENSG00000004864,726
ENSG00000004866,1482
ENSG00000004897,2587
ENSG00000004939,3
ENSG00000004948,0
ENSG00000004961,632
ENSG00000004975,2138
ENSG00000005001,612
ENSG00000005007,5069
ENSG00000005020,141
ENSG00000005022,5236
ENSG00000005059,891
ENSG00000005073,20
ENSG00000005075,1060
ENSG00000005100,1203
ENSG00000005102,3
ENSG00000005108,24
ENSG00000005156,3939
ENSG00000005175,1417
ENSG00000005187,305
ENSG00000005189,425
ENSG00000005194,2033
ENSG00000005206,1906
ENSG00000005238,731
ENSG00000005243,60
ENSG00000005249,50
ENSG00000005302,421
ENSG00000005339,3244
ENSG00000005379,1199
ENSG00000005381,3
ENSG00000005421,1
ENSG00000005436,1324
ENSG00000005448,1168
ENSG00000005469,628
ENSG00000005471,110
ENSG00000005483,1476
ENSG00000005486,2879
ENSG00000005513,138
ENSG00000005700,2958
ENSG00000005801,1011
ENSG00000005810,486
ENSG00000005812,1643
ENSG00000005844,174
ENSG00000005882,1200
ENSG00000005884,2971
ENSG00000005889,1335
ENSG00000005893,4383
ENSG00000005961,19
ENSG00000005981,2
ENSG00000006007,3393
ENSG00000006015,869
ENSG00000006016,32
ENSG00000006025,438
ENSG00000006042,3823
ENSG00000006047,233
ENSG00000006059,0
ENSG00000006062,348
ENSG00000006071,222
ENSG00000006116,0
ENSG00000006118,1662
ENSG00000006125,18697
ENSG00000006128,0
ENSG00000006194,1601
ENSG00000006210,118
ENSG00000006282,4575
ENSG00000006283,7
ENSG00000006327,912
ENSG00000006377,2
ENSG00000006432,724
ENSG00000006451,1620
ENSG00000006453,2318
ENSG00000006459,421
ENSG00000006468,30
ENSG00000006530,772
ENSG00000006534,190
ENSG00000006555,43
ENSG00000006576,1480
ENSG00000006606,1
ENSG00000006607,688
ENSG00000006611,239
ENSG00000006625,2261
ENSG00000006634,625
ENSG00000006638,75
ENSG00000006652,729
ENSG00000006659,0
ENSG00000006695,1046
ENSG00000006704,1708
ENSG00000006712,5478
ENSG00000006715,1362
ENSG00000006740,729
ENSG00000006744,5045
ENSG00000006747,6823
ENSG00000006756,3051
ENSG00000006757,937
ENSG00000006788,3
ENSG00000006831,12509
ENSG00000006837,31
ENSG00000007001,1
ENSG00000007038,2
ENSG00000007047,1249
ENSG00000007062,30
ENSG00000007080,2326
ENSG00000007129,8
ENSG00000007168,6278
ENSG00000007171,18
ENSG00000007174,16
ENSG00000007202,13552
ENSG00000007216,16
ENSG00000007237,131
ENSG00000007255,1602
ENSG00000007264,144
ENSG00000007306,21
ENSG00000007312,32
ENSG00000007314,9
ENSG00000007341,413
ENSG00000007350,0
ENSG00000007372,288
ENSG00000007376,1311
ENSG00000007384,2932
ENSG00000007392,1827
ENSG00000007402,696
ENSG00000007516,367
ENSG00000007520,1811
ENSG00000007541,3871
ENSG00000007545,1060
ENSG00000007866,2659
ENSG00000007908,2
ENSG00000007923,973
ENSG00000007933,20
ENSG00000007944,3174
ENSG00000007952,112
ENSG00000007968,645
ENSG00000008018,3923
ENSG00000008056,16
ENSG00000008083,1151
ENSG00000008086,75
ENSG00000008118,3
ENSG00000008128,170
ENSG00000008130,2541
ENSG00000008196,3
ENSG00000008197,0
ENSG00000008226,12
ENSG00000008256,429
ENSG00000008277,571
ENSG00000008282,2810
ENSG00000008283,10573
ENSG00000008294,2641
ENSG00000008300,2339
ENSG00000008311,128
ENSG00000008323,1435
ENSG00000008324,872
ENSG00000008382,1255
ENSG00000008394,6718
ENSG00000008405,1231
ENSG00000008438,0
ENSG00000008441,734
ENSG00000008513,10048
ENSG00000008516,159
ENSG00000008517,229
ENSG00000008710,1263
ENSG00000008735,2531
ENSG00000008838,5287
ENSG00000008853,774
ENSG00000008869,1498
ENSG00000008952,9858
ENSG00000008988,19931
ENSG00000009307,23391
ENSG00000009335,2450
ENSG00000009413,432
ENSG00000009694,0
ENSG00000009709,73
ENSG00000009724,17
ENSG00000009765,75
ENSG00000009780,408
ENSG00000009790,53
ENSG00000009830,1030
ENSG00000009844,1132
ENSG00000009950,180
ENSG00000009954,3348
ENSG00000010017,5295
ENSG00000010030,349
ENSG00000010072,753
ENSG00000010165,3123
ENSG00000010219,1096
ENSG00000010244,6552
ENSG00000010256,9503
ENSG00000010270,930
ENSG00000010278,14791
ENSG00000010282,2
ENSG00000010292,3010
ENSG00000010295,115
ENSG00000010310,161
ENSG00000010318,337
ENSG00000010319,397
ENSG00000010322,3339
ENSG00000010327,1184
ENSG00000010361,389
ENSG00000010379,5
ENSG00000010404,1068
ENSG00000010438,82
ENSG00000010539,488
ENSG00000010610,982
ENSG00000010626,315
ENSG00000010671,80
ENSG00000010704,905
ENSG00000010803,799
ENSG00000010810,202
ENSG00000010818,108
ENSG00000010932,2
ENSG00000011007,1528
ENSG00000011009,2373
ENSG00000011021,452
ENSG00000011028,979
ENSG00000011052,98
ENSG00000011083,5
ENSG00000011105,1677
ENSG00000011114,1177
ENSG00000011132,623
ENSG00000011143,1547
ENSG00000011198,489
ENSG00000011201,336
ENSG00000011243,2865
ENSG00000011258,811
ENSG00000011260,2827
ENSG00000011275,1592
ENSG00000011295,2863
ENSG00000011304,13488
ENSG00000011332,21
ENSG00000011347,1946
ENSG00000011376,1478
ENSG00000011405,2511
ENSG00000011422,769
ENSG00000011426,937
ENSG00000011451,2893
ENSG00000011454,2318
ENSG00000011465,562
ENSG00000011478,975
ENSG00000011485,3096
ENSG00000011523,665
ENSG00000011566,1618
ENSG00000011590,72
ENSG00000011600,1416
ENSG00000011638,1698
ENSG00000011677,0
ENSG00000012048,1014
ENSG00000012061,2856
ENSG00000012124,51
ENSG00000012171,4246
ENSG00000012174,711
ENSG00000012211,274
ENSG00000012223,72
ENSG00000012232,690
ENSG00000012504,0
ENSG00000012660,9882
ENSG00000012779,165
ENSG00000012817,0
ENSG00000012822,1371
ENSG00000012963,1832
ENSG00000012983,549
ENSG00000013016,246
ENSG00000013275,4303
ENSG00000013288,3561
ENSG00000013293,0
ENSG00000013297,24
ENSG00000013306,10579
ENSG00000013364,10401
ENSG00000013374,2249
ENSG00000013375,2692
ENSG00000013392,499
ENSG00000013441,3511
