Gene stable ID,f3919ba2-e5b5-4c51-8bb8-66db576e9d6a
ENSG00000000003,4373
ENSG00000000005,5
ENSG00000000419,2253
ENSG00000000457,4211
ENSG00000000460,944
ENSG00000000938,542
ENSG00000000971,3014
ENSG00000001036,5573
ENSG00000001084,1269
ENSG00000001167,3644
ENSG00000001460,651
ENSG00000001461,4543
ENSG00000001497,3885
ENSG00000001561,6775
ENSG00000001617,15936
ENSG00000001626,11
ENSG00000001629,9970
ENSG00000001630,581
ENSG00000001631,4424
ENSG00000002016,1108
ENSG00000002079,30
ENSG00000002330,1198
ENSG00000002549,7732
ENSG00000002586,7108
ENSG00000002587,106
ENSG00000002726,17
ENSG00000002745,5
ENSG00000002746,63
ENSG00000002822,1748
ENSG00000002834,29357
ENSG00000002919,1974
ENSG00000002933,1156
ENSG00000003056,6618
ENSG00000003096,107
ENSG00000003137,347
ENSG00000003147,5299
ENSG00000003249,1178
ENSG00000003393,2515
ENSG00000003400,728
ENSG00000003402,5941
ENSG00000003436,687
ENSG00000003509,822
ENSG00000003756,12817
ENSG00000003987,134
ENSG00000003989,59096
ENSG00000004059,10698
ENSG00000004139,292
ENSG00000004142,7233
ENSG00000004399,13354
ENSG00000004455,6575
ENSG00000004468,386
ENSG00000004478,26887
ENSG00000004487,6919
ENSG00000004534,8542
ENSG00000004660,953
ENSG00000004700,1878
ENSG00000004766,3952
ENSG00000004776,157
ENSG00000004777,1498
ENSG00000004779,3138
ENSG00000004799,4495
ENSG00000004809,0
ENSG00000004838,339
ENSG00000004846,5
ENSG00000004848,484
ENSG00000004864,1576
ENSG00000004866,2561
ENSG00000004897,5961
ENSG00000004939,5
ENSG00000004948,92
ENSG00000004961,1823
ENSG00000004975,1915
ENSG00000005001,1021
ENSG00000005007,10054
ENSG00000005020,1585
ENSG00000005022,11952
ENSG00000005059,1182
ENSG00000005073,61
ENSG00000005075,2533
ENSG00000005100,1640
ENSG00000005102,52
ENSG00000005108,366
ENSG00000005156,4135
ENSG00000005175,2736
ENSG00000005187,221
ENSG00000005189,457
ENSG00000005194,1588
ENSG00000005206,2410
ENSG00000005238,1571
ENSG00000005243,1155
ENSG00000005249,10639
ENSG00000005302,1575
ENSG00000005339,12217
ENSG00000005379,3520
ENSG00000005381,6
ENSG00000005421,8
ENSG00000005436,2389
