Gene stable ID,fa2de7ec-0a86-44ee-9f3f-299a93bb593f
ENSG00000000003,4679
ENSG00000000005,361
ENSG00000000419,4079
ENSG00000000457,4307
ENSG00000000460,4070
ENSG00000000938,674
ENSG00000000971,1517
ENSG00000001036,4970
ENSG00000001084,3250
ENSG00000001167,11375
ENSG00000001460,1142
ENSG00000001461,2999
ENSG00000001497,3980
ENSG00000001561,1875
ENSG00000001617,1499
ENSG00000001626,9
ENSG00000001629,7708
ENSG00000001630,164
ENSG00000001631,4398
ENSG00000002016,713
ENSG00000002079,97
ENSG00000002330,1200
ENSG00000002549,11612
ENSG00000002586,9885
ENSG00000002587,369
ENSG00000002726,86
ENSG00000002745,5
ENSG00000002746,9
ENSG00000002822,1882
ENSG00000002834,17433
ENSG00000002919,1597
ENSG00000002933,2484
ENSG00000003056,4304
ENSG00000003096,96
ENSG00000003137,757
ENSG00000003147,4332
ENSG00000003249,8236
ENSG00000003393,1616
ENSG00000003400,522
ENSG00000003402,8667
ENSG00000003436,754
ENSG00000003509,960
ENSG00000003756,6347
ENSG00000003987,59
ENSG00000003989,186
ENSG00000004059,9458
ENSG00000004139,195
ENSG00000004142,5320
ENSG00000004399,6265
ENSG00000004455,14160
ENSG00000004468,839
ENSG00000004478,21712
ENSG00000004487,11485
ENSG00000004534,5784
ENSG00000004660,424
ENSG00000004700,2206
ENSG00000004766,3523
ENSG00000004776,10362
ENSG00000004777,975
ENSG00000004779,3730
ENSG00000004799,253
ENSG00000004809,40
ENSG00000004838,83
ENSG00000004846,2
ENSG00000004848,16
ENSG00000004864,3489
ENSG00000004866,2775
ENSG00000004897,6886
ENSG00000004939,0
ENSG00000004948,26
ENSG00000004961,1874
ENSG00000004975,1333
ENSG00000005001,130
ENSG00000005007,9628
ENSG00000005020,3210
ENSG00000005022,17471
ENSG00000005059,2108
ENSG00000005073,5
ENSG00000005075,2740
ENSG00000005100,2701
ENSG00000005102,368
ENSG00000005108,274
ENSG00000005156,2147
ENSG00000005175,2844
ENSG00000005187,205
ENSG00000005189,816
ENSG00000005194,4788
ENSG00000005206,2396
ENSG00000005238,1135
ENSG00000005243,455
ENSG00000005249,1345
ENSG00000005302,5249
ENSG00000005339,8035
ENSG00000005379,2752
ENSG00000005381,44
ENSG00000005421,21
ENSG00000005436,1870
ENSG00000005448,359
ENSG00000005469,314
ENSG00000005471,58
ENSG00000005483,7538
ENSG00000005486,7985
ENSG00000005513,7262
ENSG00000005700,2977
ENSG00000005801,1184
ENSG00000005810,4333
ENSG00000005812,5159
ENSG00000005844,1147
ENSG00000005882,765
ENSG00000005884,1281
ENSG00000005889,2816
ENSG00000005893,14941
ENSG00000005961,131
ENSG00000005981,7
ENSG00000006007,3282
ENSG00000006015,838
ENSG00000006016,3912
ENSG00000006025,340
ENSG00000006042,234
ENSG00000006047,1358
ENSG00000006059,0
ENSG00000006062,606
ENSG00000006071,2
ENSG00000006116,1
ENSG00000006118,2666
ENSG00000006125,10407
ENSG00000006128,0
ENSG00000006194,2224
ENSG00000006210,6567
ENSG00000006282,1126
ENSG00000006283,4
ENSG00000006327,1654
ENSG00000006377,73
ENSG00000006432,1177
ENSG00000006451,11653
ENSG00000006453,6553
ENSG00000006459,4672
ENSG00000006468,742
ENSG00000006530,2302
ENSG00000006534,2062
ENSG00000006555,1767
ENSG00000006576,2843
ENSG00000006606,8
ENSG00000006607,1814
ENSG00000006611,3
ENSG00000006625,7295
ENSG00000006634,3516
ENSG00000006638,227
ENSG00000006652,11865
ENSG00000006659,1
ENSG00000006695,1209
ENSG00000006704,3777
ENSG00000006712,4379
ENSG00000006715,4393
ENSG00000006740,124
ENSG00000006744,3735
ENSG00000006747,224
ENSG00000006756,3626
ENSG00000006757,665
ENSG00000006788,7
ENSG00000006831,6164
ENSG00000006837,74
ENSG00000007001,11
ENSG00000007038,1845
ENSG00000007047,2971
ENSG00000007062,67812
ENSG00000007080,2297
ENSG00000007129,58
ENSG00000007168,11696
ENSG00000007171,64
ENSG00000007174,5
ENSG00000007202,7156
ENSG00000007216,1
ENSG00000007237,616
ENSG00000007255,1460
ENSG00000007264,110
ENSG00000007306,0
ENSG00000007312,347
ENSG00000007314,15
ENSG00000007341,960
ENSG00000007350,2
ENSG00000007372,1545
ENSG00000007376,2002
ENSG00000007384,2803
ENSG00000007392,2839
ENSG00000007402,124
ENSG00000007516,44
ENSG00000007520,1841
ENSG00000007541,2299
