Gene stable ID,62433b84-3721-4f6c-94a5-79edeb11a891
ENSG00000000003,2509
ENSG00000000005,18
ENSG00000000419,2321
ENSG00000000457,1946
ENSG00000000460,604
ENSG00000000938,391
ENSG00000000971,2570
ENSG00000001036,2537
ENSG00000001084,1009
ENSG00000001167,1818
ENSG00000001460,589
ENSG00000001461,1546
ENSG00000001497,4038
ENSG00000001561,927
ENSG00000001617,13737
ENSG00000001626,10
ENSG00000001629,1611
ENSG00000001630,105
ENSG00000001631,1134
ENSG00000002016,740
ENSG00000002079,13
ENSG00000002330,5182
ENSG00000002549,7230
ENSG00000002586,19244
ENSG00000002587,203
ENSG00000002726,59
ENSG00000002745,6
ENSG00000002746,19
ENSG00000002822,3283
ENSG00000002834,22374
ENSG00000002919,2176
ENSG00000002933,2377
ENSG00000003056,2777
ENSG00000003096,481
ENSG00000003137,196
ENSG00000003147,4485
ENSG00000003249,1060
ENSG00000003393,1099
ENSG00000003400,302
ENSG00000003402,4302
ENSG00000003436,891
ENSG00000003509,720
ENSG00000003756,8358
ENSG00000003987,88
ENSG00000003989,13456
ENSG00000004059,13780
ENSG00000004139,183
ENSG00000004142,7174
ENSG00000004399,5847
ENSG00000004455,7155
ENSG00000004468,177
ENSG00000004478,56125
ENSG00000004487,6520
ENSG00000004534,5308
ENSG00000004660,729
ENSG00000004700,768
ENSG00000004766,1338
ENSG00000004776,705
ENSG00000004777,1482
ENSG00000004779,5798
ENSG00000004799,1692
ENSG00000004809,4
ENSG00000004838,3542
ENSG00000004846,48
ENSG00000004848,37
ENSG00000004864,784
ENSG00000004866,1509
ENSG00000004897,2124
ENSG00000004939,4
ENSG00000004948,8
ENSG00000004961,829
ENSG00000004975,2665
ENSG00000005001,1883
ENSG00000005007,7452
ENSG00000005020,1065
ENSG00000005022,12429
ENSG00000005059,1112
ENSG00000005073,72
ENSG00000005075,3516
ENSG00000005100,1091
ENSG00000005102,894
ENSG00000005108,100
ENSG00000005156,2078
ENSG00000005175,2261
ENSG00000005187,212
ENSG00000005189,413
ENSG00000005194,1990
ENSG00000005206,5840
ENSG00000005238,1527
ENSG00000005243,2306
ENSG00000005249,2573
ENSG00000005302,1571
ENSG00000005339,4877
ENSG00000005379,2228
ENSG00000005381,17
ENSG00000005421,17
ENSG00000005436,977
ENSG00000005448,2098
ENSG00000005469,2614
ENSG00000005471,69
ENSG00000005483,1991
ENSG00000005486,8222
ENSG00000005513,57
ENSG00000005700,1954
ENSG00000005801,1190
ENSG00000005810,1416
ENSG00000005812,2597
ENSG00000005844,2441
ENSG00000005882,1145
ENSG00000005884,7162
ENSG00000005889,1719
ENSG00000005893,6744
ENSG00000005961,79
ENSG00000005981,10
ENSG00000006007,6920
ENSG00000006015,4015
ENSG00000006016,567
ENSG00000006025,1413
ENSG00000006042,5660
ENSG00000006047,398
ENSG00000006059,5
ENSG00000006062,1736
ENSG00000006071,1601
ENSG00000006116,0
ENSG00000006118,9198
ENSG00000006125,15582
ENSG00000006128,246
ENSG00000006194,3841
ENSG00000006210,3363
ENSG00000006282,8034
ENSG00000006283,315
ENSG00000006327,3502
ENSG00000006377,4
ENSG00000006432,427
ENSG00000006451,3302
ENSG00000006453,2562
ENSG00000006459,776
ENSG00000006468,660
ENSG00000006530,1060
ENSG00000006534,1051
ENSG00000006555,952
ENSG00000006576,1219
ENSG00000006606,13
ENSG00000006607,1080
ENSG00000006611,8
ENSG00000006625,3679
ENSG00000006634,418
ENSG00000006638,269
ENSG00000006652,1516
ENSG00000006659,20
ENSG00000006695,718
ENSG00000006704,2055
ENSG00000006712,9093
ENSG00000006715,2943
ENSG00000006740,444
ENSG00000006744,4398
ENSG00000006747,736
ENSG00000006756,5143
ENSG00000006757,2144
ENSG00000006788,35
ENSG00000006831,15210
ENSG00000006837,91
ENSG00000007001,4
ENSG00000007038,50
ENSG00000007047,2140
ENSG00000007062,2995
ENSG00000007080,5708
ENSG00000007129,103
ENSG00000007168,6703
ENSG00000007171,34
ENSG00000007174,117
ENSG00000007202,6288
ENSG00000007216,133
ENSG00000007237,4746
ENSG00000007255,4132
ENSG00000007264,1107
ENSG00000007306,1
ENSG00000007312,971
ENSG00000007314,126
ENSG00000007341,654
ENSG00000007350,7
ENSG00000007372,94
ENSG00000007376,3653
ENSG00000007384,5362
ENSG00000007392,6063
ENSG00000007402,650
ENSG00000007516,5824
ENSG00000007520,7443
ENSG00000007541,13534
ENSG00000007545,2000
ENSG00000007866,2384
ENSG00000007908,425
ENSG00000007923,1626
ENSG00000007933,68
ENSG00000007944,1617
ENSG00000007952,74
ENSG00000007968,221
ENSG00000008018,9160
ENSG00000008056,139
ENSG00000008083,1577
ENSG00000008086,409
ENSG00000008118,20
ENSG00000008128,556
ENSG00000008130,4164
ENSG00000008196,3976
ENSG00000008197,0
ENSG00000008226,91
ENSG00000008256,1887
ENSG00000008277,374
ENSG00000008282,6124
ENSG00000008283,9136
ENSG00000008294,2327
ENSG00000008300,187
ENSG00000008311,277
ENSG00000008323,1100
ENSG00000008324,1782
ENSG00000008382,2542
ENSG00000008394,5443
ENSG00000008405,1512
ENSG00000008438,4
ENSG00000008441,5456
ENSG00000008513,2423
ENSG00000008516,820
ENSG00000008517,6286
ENSG00000008710,6233
ENSG00000008735,977
ENSG00000008838,9028
ENSG00000008853,2051
ENSG00000008869,1179
ENSG00000008952,7324
ENSG00000008988,74540
ENSG00000009307,23732
ENSG00000009335,2826
ENSG00000009413,449
ENSG00000009694,28
ENSG00000009709,1
ENSG00000009724,17
ENSG00000009765,16
ENSG00000009780,667
ENSG00000009790,824
ENSG00000009830,2383
ENSG00000009844,1475
ENSG00000009950,308
ENSG00000009954,4129
ENSG00000010017,1716
ENSG00000010030,418
ENSG00000010072,653
ENSG00000010165,5135
ENSG00000010219,1747
ENSG00000010244,7039
ENSG00000010256,13829
ENSG00000010270,1617
ENSG00000010278,33083
ENSG00000010282,1
ENSG00000010292,3578
ENSG00000010295,1285
ENSG00000010310,526
ENSG00000010318,245
ENSG00000010319,1091
ENSG00000010322,9990
ENSG00000010327,4509
ENSG00000010361,3203
ENSG00000010379,5
ENSG00000010404,3720
ENSG00000010438,10
ENSG00000010539,578
ENSG00000010610,3445
ENSG00000010626,1670
ENSG00000010671,487
ENSG00000010704,693
ENSG00000010803,2107
ENSG00000010810,1972
ENSG00000010818,760
ENSG00000010932,377
ENSG00000011007,2261
ENSG00000011009,7711
ENSG00000011021,854
ENSG00000011028,16603
ENSG00000011052,142
ENSG00000011083,9
ENSG00000011105,11730
ENSG00000011114,1160
ENSG00000011132,1886
ENSG00000011143,1545
ENSG00000011198,631
ENSG00000011201,590
ENSG00000011243,5031
ENSG00000011258,875
