Gene stable ID,6c6cb8fc-39b6-4b22-b40b-90d61260c5e5
ENSG00000000003,2032
ENSG00000000005,0
ENSG00000000419,5294
ENSG00000000457,2077
ENSG00000000460,1556
ENSG00000000938,211
ENSG00000000971,2294
ENSG00000001036,7974
ENSG00000001084,4494
ENSG00000001167,4385
ENSG00000001460,2039
ENSG00000001461,3666
ENSG00000001497,5670
ENSG00000001561,2267
ENSG00000001617,15282
ENSG00000001626,27
ENSG00000001629,12630
ENSG00000001630,420
ENSG00000001631,5669
ENSG00000002016,411
ENSG00000002079,43
ENSG00000002330,853
ENSG00000002549,13274
ENSG00000002586,3054
ENSG00000002587,70
ENSG00000002726,3166
ENSG00000002745,8
ENSG00000002746,10
ENSG00000002822,1625
ENSG00000002834,43761
ENSG00000002919,3332
ENSG00000002933,26666
ENSG00000003056,4654
ENSG00000003096,2262
ENSG00000003137,1250
ENSG00000003147,3408
ENSG00000003249,8564
ENSG00000003393,3423
ENSG00000003400,527
ENSG00000003402,5759
ENSG00000003436,2165
ENSG00000003509,1541
ENSG00000003756,10436
ENSG00000003987,84
ENSG00000003989,12901
ENSG00000004059,12560
ENSG00000004139,2343
ENSG00000004142,13727
ENSG00000004399,7459
ENSG00000004455,8417
ENSG00000004468,381
ENSG00000004478,28562
ENSG00000004487,12348
ENSG00000004534,8860
ENSG00000004660,1114
ENSG00000004700,2136
ENSG00000004766,4435
ENSG00000004776,113
ENSG00000004777,1527
ENSG00000004779,4039
ENSG00000004799,341
ENSG00000004809,2
ENSG00000004838,684
ENSG00000004846,7
ENSG00000004848,226
ENSG00000004864,3800
ENSG00000004866,2134
ENSG00000004897,10759
ENSG00000004939,3
ENSG00000004948,18
ENSG00000004961,2444
ENSG00000004975,2282
ENSG00000005001,427
ENSG00000005007,8459
ENSG00000005020,925
ENSG00000005022,18926
ENSG00000005059,1773
ENSG00000005073,37
ENSG00000005075,1813
ENSG00000005100,3624
ENSG00000005102,13
ENSG00000005108,257
ENSG00000005156,5121
ENSG00000005175,4107
ENSG00000005187,108
ENSG00000005189,2211
ENSG00000005194,6820
ENSG00000005206,2580
ENSG00000005238,1185
ENSG00000005243,335
ENSG00000005249,16326
ENSG00000005302,2784
ENSG00000005339,10947
ENSG00000005379,3038
ENSG00000005381,34
ENSG00000005421,4
ENSG00000005436,2383
ENSG00000005448,3672
ENSG00000005469,1133
ENSG00000005471,549
ENSG00000005483,9714
ENSG00000005486,10208
ENSG00000005513,28
ENSG00000005700,9142
ENSG00000005801,2880
ENSG00000005810,10351
ENSG00000005812,6597
ENSG00000005844,451
ENSG00000005882,3259
ENSG00000005884,9385
ENSG00000005889,6427
ENSG00000005893,18517
ENSG00000005961,14
ENSG00000005981,11
ENSG00000006007,9482
ENSG00000006015,413
