Gene stable ID,f9813672-322a-4309-b43d-b4e8a643a900
ENSG00000000003,4259
ENSG00000000005,47
ENSG00000000419,1644
ENSG00000000457,3485
ENSG00000000460,557
ENSG00000000938,386
ENSG00000000971,2110
ENSG00000001036,2690
ENSG00000001084,1567
ENSG00000001167,2787
ENSG00000001460,682
ENSG00000001461,1953
ENSG00000001497,2672
ENSG00000001561,644
ENSG00000001617,5695
ENSG00000001626,11
ENSG00000001629,3137
ENSG00000001630,309
ENSG00000001631,2407
ENSG00000002016,459
ENSG00000002079,14
ENSG00000002330,2459
ENSG00000002549,6174
ENSG00000002586,6842
ENSG00000002587,280
ENSG00000002726,16
ENSG00000002745,3
ENSG00000002746,37
ENSG00000002822,1738
ENSG00000002834,11991
ENSG00000002919,1011
ENSG00000002933,951
ENSG00000003056,3976
ENSG00000003096,1060
ENSG00000003137,276
ENSG00000003147,5994
ENSG00000003249,1370
ENSG00000003393,1625
ENSG00000003400,341
ENSG00000003402,4073
ENSG00000003436,2068
ENSG00000003509,624
ENSG00000003756,7912
ENSG00000003987,116
ENSG00000003989,33872
ENSG00000004059,10469
ENSG00000004139,396
ENSG00000004142,5631
ENSG00000004399,4059
ENSG00000004455,6080
ENSG00000004468,162
ENSG00000004478,14011
ENSG00000004487,5565
ENSG00000004534,5630
ENSG00000004660,1546
ENSG00000004700,1193
ENSG00000004766,16483
ENSG00000004776,511
ENSG00000004777,1261
ENSG00000004779,2423
ENSG00000004799,1633
ENSG00000004809,6
ENSG00000004838,2160
ENSG00000004846,31
ENSG00000004848,59
ENSG00000004864,1622
ENSG00000004866,1585
ENSG00000004897,2542
ENSG00000004939,0
ENSG00000004948,33
ENSG00000004961,860
ENSG00000004975,2924
ENSG00000005001,1175
ENSG00000005007,6894
ENSG00000005020,1029
ENSG00000005022,8614
ENSG00000005059,1420
ENSG00000005073,11
ENSG00000005075,2168
ENSG00000005100,1574
ENSG00000005102,410
ENSG00000005108,221
ENSG00000005156,2266
ENSG00000005175,1992
ENSG00000005187,194
ENSG00000005189,493
ENSG00000005194,1427
ENSG00000005206,3195
ENSG00000005238,1103
ENSG00000005243,519
ENSG00000005249,4116
ENSG00000005302,1256
ENSG00000005339,8200
ENSG00000005379,3438
ENSG00000005381,19
ENSG00000005421,13
ENSG00000005436,1447
ENSG00000005448,702
ENSG00000005469,1589
ENSG00000005471,71
ENSG00000005483,5383
ENSG00000005486,5986
ENSG00000005513,136
ENSG00000005700,3513
ENSG00000005801,1210
ENSG00000005810,2970
ENSG00000005812,3108
ENSG00000005844,1274
ENSG00000005882,1704
ENSG00000005884,7173
ENSG00000005889,2046
ENSG00000005893,7835
ENSG00000005961,48
ENSG00000005981,31
ENSG00000006007,6513
ENSG00000006015,1422
ENSG00000006016,283
ENSG00000006025,1114
ENSG00000006042,4493
ENSG00000006047,133
ENSG00000006059,2
ENSG00000006062,1706
ENSG00000006071,463
ENSG00000006116,0
ENSG00000006118,2542
ENSG00000006125,27351
ENSG00000006128,144
ENSG00000006194,2805
ENSG00000006210,11005
ENSG00000006282,5345
ENSG00000006283,140
ENSG00000006327,7912
ENSG00000006377,3
ENSG00000006432,1182
ENSG00000006451,4175
ENSG00000006453,2388
ENSG00000006459,1460
ENSG00000006468,745
ENSG00000006530,1929
ENSG00000006534,480
ENSG00000006555,522
ENSG00000006576,2126
ENSG00000006606,6
ENSG00000006607,1702
ENSG00000006611,12
ENSG00000006625,4098
ENSG00000006634,514
ENSG00000006638,111
ENSG00000006652,1932
ENSG00000006659,2
ENSG00000006695,767
ENSG00000006704,2808
ENSG00000006712,4876
ENSG00000006715,3533
ENSG00000006740,536
ENSG00000006744,3569
ENSG00000006747,451
ENSG00000006756,9488
ENSG00000006757,1759
ENSG00000006788,21
ENSG00000006831,9188
ENSG00000006837,62
ENSG00000007001,36
ENSG00000007038,12
ENSG00000007047,2897
ENSG00000007062,7371
ENSG00000007080,2490
ENSG00000007129,46
ENSG00000007168,7551
ENSG00000007171,18
ENSG00000007174,44
ENSG00000007202,8288
ENSG00000007216,461
ENSG00000007237,3333
ENSG00000007255,1814
ENSG00000007264,259
ENSG00000007306,34
ENSG00000007312,583
ENSG00000007314,137
ENSG00000007341,688
ENSG00000007350,1
ENSG00000007372,90
ENSG00000007376,1662
ENSG00000007384,5462
ENSG00000007392,3689
ENSG00000007402,416
ENSG00000007516,2173
ENSG00000007520,2351
ENSG00000007541,7143
ENSG00000007545,1885
ENSG00000007866,3616
ENSG00000007908,850
ENSG00000007923,1624
ENSG00000007933,123
ENSG00000007944,3086
ENSG00000007952,52
ENSG00000007968,123
ENSG00000008018,6167
ENSG00000008056,40
ENSG00000008083,1865
ENSG00000008086,566
ENSG00000008118,36
ENSG00000008128,426
ENSG00000008130,4577
ENSG00000008196,6575
ENSG00000008197,0
ENSG00000008226,280
ENSG00000008256,1638
ENSG00000008277,381
ENSG00000008282,7103
ENSG00000008283,6949
ENSG00000008294,3760
ENSG00000008300,1012
ENSG00000008311,430
ENSG00000008323,1450
ENSG00000008324,812
ENSG00000008382,1138
ENSG00000008394,5913
ENSG00000008405,2071
ENSG00000008438,1
ENSG00000008441,4426
ENSG00000008513,2430
ENSG00000008516,171
ENSG00000008517,2236
ENSG00000008710,4618
ENSG00000008735,1338
ENSG00000008838,6160
ENSG00000008853,1294
ENSG00000008869,2825
ENSG00000008952,5825
ENSG00000008988,42245
ENSG00000009307,33405
ENSG00000009335,5996
ENSG00000009413,1539
ENSG00000009694,46
ENSG00000009709,2
ENSG00000009724,102
ENSG00000009765,59
ENSG00000009780,801
ENSG00000009790,361
ENSG00000009830,1864
ENSG00000009844,2340
ENSG00000009950,509
ENSG00000009954,6771
ENSG00000010017,2741
ENSG00000010030,299
ENSG00000010072,656
ENSG00000010165,3520
ENSG00000010219,728
ENSG00000010244,7299
ENSG00000010256,6932
ENSG00000010270,1905
ENSG00000010278,16056
ENSG00000010282,14
ENSG00000010292,3232
ENSG00000010295,441
ENSG00000010310,501
ENSG00000010318,422
ENSG00000010319,1860
ENSG00000010322,6961
ENSG00000010327,2430
ENSG00000010361,2021
ENSG00000010379,4
ENSG00000010404,5943
ENSG00000010438,10
ENSG00000010539,724
ENSG00000010610,2689
ENSG00000010626,675
ENSG00000010671,264
ENSG00000010704,1275
ENSG00000010803,3374
ENSG00000010810,1408
ENSG00000010818,1770
ENSG00000010932,621
ENSG00000011007,2354
ENSG00000011009,4594
ENSG00000011021,1251
ENSG00000011028,6235
ENSG00000011052,21
ENSG00000011083,43
ENSG00000011105,6725
ENSG00000011114,1837
ENSG00000011132,1154
ENSG00000011143,1442
ENSG00000011198,849
ENSG00000011201,519
ENSG00000011243,3943
ENSG00000011258,1785
ENSG00000011260,2231
ENSG00000011275,3869
ENSG00000011295,3766
ENSG00000011304,14036
ENSG00000011332,17
ENSG00000011347,6577
ENSG00000011376,1409
ENSG00000011405,2776
ENSG00000011422,1558
ENSG00000011426,418
ENSG00000011451,5211
ENSG00000011454,3943
ENSG00000011465,33596
ENSG00000011478,886
ENSG00000011485,2831
ENSG00000011523,1814
ENSG00000011566,2051
ENSG00000011590,42
ENSG00000011600,1361
ENSG00000011638,2238
ENSG00000011677,5
ENSG00000012048,417
ENSG00000012061,3828
ENSG00000012124,621
ENSG00000012171,4334
ENSG00000012174,1192
ENSG00000012211,537
ENSG00000012223,33604
ENSG00000012232,2146
ENSG00000012504,0
ENSG00000012660,27746
ENSG00000012779,802
ENSG00000012817,2
ENSG00000012822,8011
ENSG00000012963,2819
ENSG00000012983,2518
ENSG00000013016,887
ENSG00000013275,3344
ENSG00000013288,4593
ENSG00000013293,9
ENSG00000013297,632
ENSG00000013306,7292
ENSG00000013364,11366
ENSG00000013374,4813
ENSG00000013375,1781
ENSG00000013392,401
ENSG00000013441,3926
ENSG00000013503,574
ENSG00000013523,2036
ENSG00000013561,2807
ENSG00000013563,1224
ENSG00000013573,1441
ENSG00000013583,3375
ENSG00000013588,4613
ENSG00000013619,350
ENSG00000013725,566
ENSG00000013810,1234
ENSG00000014123,2139
ENSG00000014138,741
ENSG00000014164,1786
ENSG00000014216,11797
ENSG00000014257,44
ENSG00000014641,5049
ENSG00000014824,4100
ENSG00000014914,2383
ENSG00000014919,2085
ENSG00000015133,2112
ENSG00000015153,728
ENSG00000015171,6890
ENSG00000015285,459
ENSG00000015413,53
ENSG00000015475,1327
ENSG00000015479,264
ENSG00000015520,239
ENSG00000015532,2144
ENSG00000015568,0
ENSG00000015592,20
ENSG00000015676,7926
ENSG00000016082,2
ENSG00000016391,4140
ENSG00000016402,1663
ENSG00000016490,0
ENSG00000016602,25
ENSG00000016864,3923
ENSG00000017260,4267
ENSG00000017427,177
ENSG00000017483,201
ENSG00000017797,4372
ENSG00000018189,2112
ENSG00000018236,632
ENSG00000018280,125
ENSG00000018408,3799
ENSG00000018510,4610
ENSG00000018607,0
ENSG00000018610,1255
ENSG00000018625,156
ENSG00000018699,1185
ENSG00000018869,282
ENSG00000019102,374
ENSG00000019144,6080
ENSG00000019169,30
ENSG00000019186,52
ENSG00000019485,785
ENSG00000019505,278
ENSG00000019549,980
ENSG00000019582,74729
ENSG00000019991,232
ENSG00000019995,1168
ENSG00000020129,3517
ENSG00000020181,2379
ENSG00000020219,1
ENSG00000020256,887
ENSG00000020426,867
ENSG00000020577,1259
ENSG00000020633,977
ENSG00000020922,1718
ENSG00000021300,491
ENSG00000021355,5274
ENSG00000021461,6
ENSG00000021488,38
ENSG00000021574,1001
ENSG00000021645,183
ENSG00000021762,3400
ENSG00000021776,3432
ENSG00000021826,155
ENSG00000021852,1
ENSG00000022267,2408
ENSG00000022277,4608
ENSG00000022355,0
ENSG00000022556,153
ENSG00000022567,1350
ENSG00000022840,8948
ENSG00000022976,847
ENSG00000023041,2043
ENSG00000023171,142
ENSG00000023191,8172
ENSG00000023228,3937
ENSG00000023287,2626
ENSG00000023318,2991
ENSG00000023330,2538
ENSG00000023445,1447
ENSG00000023516,2616
ENSG00000023572,286
ENSG00000023608,385
ENSG00000023697,1700
ENSG00000023734,5873
ENSG00000023839,36
ENSG00000023892,1303
ENSG00000023902,3134
ENSG00000023909,1028
ENSG00000024048,2933
ENSG00000024422,4833
ENSG00000024526,68
ENSG00000024862,1800
ENSG00000025039,395
ENSG00000025156,854
ENSG00000025293,4110
ENSG00000025423,153
ENSG00000025434,1866
ENSG00000025708,4759
ENSG00000025770,2475
ENSG00000025772,2023
ENSG00000025796,6665
ENSG00000025800,3870
ENSG00000026025,37383
ENSG00000026036,192
ENSG00000026103,954
ENSG00000026297,4222
ENSG00000026508,25572
ENSG00000026559,53
ENSG00000026652,465
ENSG00000026751,582
ENSG00000026950,1921
ENSG00000027001,2255
ENSG00000027075,2900
