Gene stable ID,1b8ce3a3-4e5b-407f-a765-20d3ca124b5d
ENSG00000000003,5608
ENSG00000000005,74
ENSG00000000419,1604
ENSG00000000457,2528
ENSG00000000460,1051
ENSG00000000938,592
ENSG00000000971,2427
ENSG00000001036,3145
ENSG00000001084,956
ENSG00000001167,1749
ENSG00000001460,623
ENSG00000001461,3252
ENSG00000001497,2574
ENSG00000001561,1367
ENSG00000001617,6115
ENSG00000001626,4
ENSG00000001629,2589
ENSG00000001630,201
ENSG00000001631,1667
ENSG00000002016,302
ENSG00000002079,12
ENSG00000002330,2905
ENSG00000002549,8684
ENSG00000002586,20067
ENSG00000002587,157
ENSG00000002726,84
ENSG00000002745,12
ENSG00000002746,5
ENSG00000002822,1412
ENSG00000002834,22363
ENSG00000002919,1313
ENSG00000002933,1455
ENSG00000003056,5328
ENSG00000003096,300
ENSG00000003137,367
ENSG00000003147,3477
ENSG00000003249,1052
ENSG00000003393,1357
ENSG00000003400,694
ENSG00000003402,6408
ENSG00000003436,987
ENSG00000003509,442
ENSG00000003756,4762
ENSG00000003987,40
ENSG00000003989,6981
ENSG00000004059,8415
ENSG00000004139,224
ENSG00000004142,4631
ENSG00000004399,11142
ENSG00000004455,7696
ENSG00000004468,149
ENSG00000004478,12289
ENSG00000004487,5983
ENSG00000004534,2947
ENSG00000004660,785
ENSG00000004700,1528
ENSG00000004766,2575
ENSG00000004776,2963
ENSG00000004777,177
ENSG00000004779,3010
ENSG00000004799,3622
ENSG00000004809,7
ENSG00000004838,1326
ENSG00000004846,32
ENSG00000004848,0
ENSG00000004864,1092
ENSG00000004866,2279
ENSG00000004897,2089
ENSG00000004939,0
ENSG00000004948,5
ENSG00000004961,1518
ENSG00000004975,1052
ENSG00000005001,436
ENSG00000005007,7265
ENSG00000005020,1663
ENSG00000005022,16371
ENSG00000005059,1725
ENSG00000005073,77
ENSG00000005075,1447
ENSG00000005100,841
ENSG00000005102,942
ENSG00000005108,339
ENSG00000005156,1428
ENSG00000005175,909
ENSG00000005187,217
ENSG00000005189,443
ENSG00000005194,1861
ENSG00000005206,2083
ENSG00000005238,1249
ENSG00000005243,2332
ENSG00000005249,4921
ENSG00000005302,1628
ENSG00000005339,6093
ENSG00000005379,333
ENSG00000005381,14
ENSG00000005421,0
ENSG00000005436,1390
ENSG00000005448,872
ENSG00000005469,2275
ENSG00000005471,87
ENSG00000005483,4716
ENSG00000005486,5952
ENSG00000005513,27
ENSG00000005700,2936
ENSG00000005801,925
ENSG00000005810,4718
ENSG00000005812,3882
ENSG00000005844,1709
ENSG00000005882,1087
ENSG00000005884,3012
ENSG00000005889,2380
ENSG00000005893,14683
ENSG00000005961,43
ENSG00000005981,7
ENSG00000006007,9858
ENSG00000006015,854
ENSG00000006016,278
ENSG00000006025,443
ENSG00000006042,2854
ENSG00000006047,98
ENSG00000006059,0
ENSG00000006062,761
ENSG00000006071,812
ENSG00000006116,0
ENSG00000006118,2888
ENSG00000006125,12839
ENSG00000006128,1
ENSG00000006194,2230
ENSG00000006210,1561
ENSG00000006282,2476
ENSG00000006283,112
ENSG00000006327,1853
ENSG00000006377,1
ENSG00000006432,1216
ENSG00000006451,4104
ENSG00000006453,2057
ENSG00000006459,3491
ENSG00000006468,338
ENSG00000006530,1974
ENSG00000006534,503
ENSG00000006555,612
ENSG00000006576,1018
ENSG00000006606,12
ENSG00000006607,3115
ENSG00000006611,9
ENSG00000006625,3828
ENSG00000006634,513
ENSG00000006638,164
ENSG00000006652,889
ENSG00000006659,0
ENSG00000006695,669
ENSG00000006704,1836
ENSG00000006712,4238
ENSG00000006715,2708
ENSG00000006740,1242
ENSG00000006744,2404
ENSG00000006747,356
ENSG00000006756,7562
ENSG00000006757,2502
ENSG00000006788,60
ENSG00000006831,5148
ENSG00000006837,33
ENSG00000007001,10
ENSG00000007038,6
ENSG00000007047,2468
ENSG00000007062,269
ENSG00000007080,2286
ENSG00000007129,65
ENSG00000007168,6402
ENSG00000007171,27
ENSG00000007174,93
ENSG00000007202,8431
ENSG00000007216,2889
ENSG00000007237,3382
ENSG00000007255,1418
ENSG00000007264,267
ENSG00000007306,74
ENSG00000007312,282
ENSG00000007314,270
ENSG00000007341,704
ENSG00000007350,7
ENSG00000007372,150
ENSG00000007376,1303
ENSG00000007384,2101
ENSG00000007392,1067
ENSG00000007402,1348
ENSG00000007516,514
ENSG00000007520,2329
ENSG00000007541,3318
ENSG00000007545,1015
ENSG00000007866,1488
ENSG00000007908,1347
ENSG00000007923,1930
ENSG00000007933,205
ENSG00000007944,1849
ENSG00000007952,23
ENSG00000007968,179
ENSG00000008018,6210
ENSG00000008056,65
ENSG00000008083,1395
ENSG00000008086,2248
ENSG00000008118,11
ENSG00000008128,315
ENSG00000008130,3502
ENSG00000008196,16408
ENSG00000008197,0
ENSG00000008226,115
ENSG00000008256,2931
ENSG00000008277,372
ENSG00000008282,6669
ENSG00000008283,6919
ENSG00000008294,3171
ENSG00000008300,227
ENSG00000008311,303
ENSG00000008323,390
ENSG00000008324,1012
ENSG00000008382,1305
ENSG00000008394,3992
ENSG00000008405,1118
ENSG00000008438,3
ENSG00000008441,6325
ENSG00000008513,4510
ENSG00000008516,164
ENSG00000008517,2661
ENSG00000008710,3123
ENSG00000008735,1572
ENSG00000008838,2843
ENSG00000008853,1361
ENSG00000008869,2770
ENSG00000008952,9905
ENSG00000008988,55244
ENSG00000009307,49227
ENSG00000009335,5393
ENSG00000009413,1099
ENSG00000009694,50
ENSG00000009709,5
ENSG00000009724,91
ENSG00000009765,137
ENSG00000009780,887
ENSG00000009790,537
ENSG00000009830,979
ENSG00000009844,1881
ENSG00000009950,318
ENSG00000009954,6855
ENSG00000010017,1730
ENSG00000010030,519
ENSG00000010072,760
ENSG00000010165,3020
ENSG00000010219,1122
ENSG00000010244,6818
ENSG00000010256,8748
ENSG00000010270,1526
ENSG00000010278,21194
ENSG00000010282,2
ENSG00000010292,3698
ENSG00000010295,725
ENSG00000010310,53
ENSG00000010318,227
ENSG00000010319,2297
ENSG00000010322,5621
ENSG00000010327,2916
ENSG00000010361,905
ENSG00000010379,4
ENSG00000010404,6320
ENSG00000010438,0
ENSG00000010539,735
ENSG00000010610,5067
ENSG00000010626,763
ENSG00000010671,550
ENSG00000010704,508
ENSG00000010803,3237
ENSG00000010810,2773
ENSG00000010818,2037
ENSG00000010932,114
ENSG00000011007,3645
ENSG00000011009,4320
ENSG00000011021,836
ENSG00000011028,16602
ENSG00000011052,50
ENSG00000011083,45
ENSG00000011105,9128
ENSG00000011114,2482
