Gene stable ID,47bd5d86-a4a5-40d6-bd8e-43f043694b5c
ENSG00000000003,2718
ENSG00000000005,253
ENSG00000000419,1951
ENSG00000000457,3686
ENSG00000000460,653
ENSG00000000938,4156
ENSG00000000971,8893
ENSG00000001036,3806
ENSG00000001084,2723
ENSG00000001167,1744
ENSG00000001460,407
ENSG00000001461,2075
ENSG00000001497,2862
ENSG00000001561,1708
ENSG00000001617,3822
ENSG00000001626,21
ENSG00000001629,2930
ENSG00000001630,140
ENSG00000001631,1682
ENSG00000002016,580
ENSG00000002079,7
ENSG00000002330,2658
ENSG00000002549,12310
ENSG00000002586,23662
ENSG00000002587,407
ENSG00000002726,383
ENSG00000002745,19
ENSG00000002746,12
ENSG00000002822,2250
ENSG00000002834,23294
ENSG00000002919,1948
ENSG00000002933,6022
ENSG00000003056,5381
ENSG00000003096,115
ENSG00000003137,1801
ENSG00000003147,3277
ENSG00000003249,887
ENSG00000003393,1513
ENSG00000003400,1592
ENSG00000003402,10683
ENSG00000003436,2244
ENSG00000003509,873
ENSG00000003756,8856
ENSG00000003987,100
ENSG00000003989,1245
ENSG00000004059,8831
ENSG00000004139,477
ENSG00000004142,5157
ENSG00000004399,25033
ENSG00000004455,6868
ENSG00000004468,747
ENSG00000004478,7839
ENSG00000004487,4604
ENSG00000004534,7987
ENSG00000004660,1169
ENSG00000004700,2038
ENSG00000004766,2006
ENSG00000004776,4359
ENSG00000004777,908
ENSG00000004779,3081
ENSG00000004799,8636
ENSG00000004809,7
ENSG00000004838,440
ENSG00000004846,21
ENSG00000004848,2
ENSG00000004864,1231
ENSG00000004866,1544
ENSG00000004897,3599
ENSG00000004939,5
ENSG00000004948,21
ENSG00000004961,1253
ENSG00000004975,1876
ENSG00000005001,509
ENSG00000005007,7513
ENSG00000005020,3180
ENSG00000005022,18167
ENSG00000005059,2895
ENSG00000005073,66
ENSG00000005075,1806
ENSG00000005100,1161
ENSG00000005102,2579
ENSG00000005108,705
ENSG00000005156,1380
ENSG00000005175,1789
ENSG00000005187,169
ENSG00000005189,448
ENSG00000005194,2315
ENSG00000005206,3878
ENSG00000005238,2661
ENSG00000005243,2611
ENSG00000005249,6062
ENSG00000005302,3427
ENSG00000005339,7746
ENSG00000005379,978
ENSG00000005381,49
ENSG00000005421,11
ENSG00000005436,1155
ENSG00000005448,744
ENSG00000005469,2058
ENSG00000005471,303
ENSG00000005483,4870
ENSG00000005486,5717
ENSG00000005513,185
ENSG00000005700,4047
ENSG00000005801,1355
ENSG00000005810,7842
ENSG00000005812,4560
ENSG00000005844,8294
ENSG00000005882,1697
ENSG00000005884,3142
ENSG00000005889,2632
ENSG00000005893,10721
ENSG00000005961,83
ENSG00000005981,5
ENSG00000006007,6624
