Gene stable ID,ff164cca-c521-4d0b-8b05-fede3b449ecb
ENSG00000000003,619
ENSG00000000005,4
ENSG00000000419,1619
ENSG00000000457,1060
ENSG00000000460,567
ENSG00000000938,408
ENSG00000000971,3121
ENSG00000001036,3859
ENSG00000001084,1560
ENSG00000001167,3516
ENSG00000001460,407
ENSG00000001461,495
ENSG00000001497,2966
ENSG00000001561,251
ENSG00000001617,5515
ENSG00000001626,13
ENSG00000001629,2944
ENSG00000001630,222
ENSG00000001631,1254
ENSG00000002016,471
ENSG00000002079,5
ENSG00000002330,2163
ENSG00000002549,4591
ENSG00000002586,15808
ENSG00000002587,358
ENSG00000002726,17
ENSG00000002745,0
ENSG00000002746,16
ENSG00000002822,1853
ENSG00000002834,57831
ENSG00000002919,805
ENSG00000002933,1325
ENSG00000003056,4043
ENSG00000003096,33
ENSG00000003137,146
ENSG00000003147,1839
ENSG00000003249,6036
ENSG00000003393,1384
ENSG00000003400,968
ENSG00000003402,4146
ENSG00000003436,407
ENSG00000003509,552
ENSG00000003756,3552
ENSG00000003987,107
ENSG00000003989,10839
ENSG00000004059,5883
ENSG00000004139,234
ENSG00000004142,24073
ENSG00000004399,11595
ENSG00000004455,4333
ENSG00000004468,36
ENSG00000004478,47564
ENSG00000004487,7072
ENSG00000004534,3039
ENSG00000004660,711
ENSG00000004700,1873
ENSG00000004766,874
ENSG00000004776,83
ENSG00000004777,766
ENSG00000004779,2822
ENSG00000004799,775
ENSG00000004809,6
ENSG00000004838,360
ENSG00000004846,1
ENSG00000004848,11
ENSG00000004864,881
ENSG00000004866,1483
ENSG00000004897,3240
ENSG00000004939,0
ENSG00000004948,7
ENSG00000004961,1248
ENSG00000004975,1363
ENSG00000005001,125
ENSG00000005007,6497
ENSG00000005020,1069
ENSG00000005022,13457
ENSG00000005059,628
ENSG00000005073,81
ENSG00000005075,876
ENSG00000005100,969
ENSG00000005102,18
ENSG00000005108,185
ENSG00000005156,1768
ENSG00000005175,2270
ENSG00000005187,36
ENSG00000005189,502
ENSG00000005194,3428
ENSG00000005206,1985
ENSG00000005238,1191
ENSG00000005243,1043
ENSG00000005249,769
ENSG00000005302,1410
ENSG00000005339,5579
ENSG00000005379,157
ENSG00000005381,1
ENSG00000005421,2
ENSG00000005436,1056
ENSG00000005448,202
ENSG00000005469,2120
ENSG00000005471,115
ENSG00000005483,2410
ENSG00000005486,5136
ENSG00000005513,24
ENSG00000005700,3293
ENSG00000005801,1502
ENSG00000005810,2532
ENSG00000005812,2710
ENSG00000005844,941
ENSG00000005882,284
ENSG00000005884,936
ENSG00000005889,7274
ENSG00000005893,9921
ENSG00000005961,26
ENSG00000005981,0
ENSG00000006007,4541
ENSG00000006015,608
ENSG00000006016,86
ENSG00000006025,220
ENSG00000006042,1502
ENSG00000006047,361
ENSG00000006059,3
ENSG00000006062,308
ENSG00000006071,53
ENSG00000006116,0
ENSG00000006118,15411
ENSG00000006125,11599
ENSG00000006128,2
ENSG00000006194,2041
ENSG00000006210,497
ENSG00000006282,956
ENSG00000006283,76
ENSG00000006327,4000
ENSG00000006377,4
ENSG00000006432,362
ENSG00000006451,3595
ENSG00000006453,1315
ENSG00000006459,1949
ENSG00000006468,1289
ENSG00000006530,1488
ENSG00000006534,525
ENSG00000006555,66
ENSG00000006576,2833
ENSG00000006606,17
ENSG00000006607,2346
ENSG00000006611,6
ENSG00000006625,4973
ENSG00000006634,696
ENSG00000006638,154
ENSG00000006652,2180
ENSG00000006659,0
ENSG00000006695,686
ENSG00000006704,2233
ENSG00000006712,4144
ENSG00000006715,2405
ENSG00000006740,546
ENSG00000006744,3201
ENSG00000006747,527
ENSG00000006756,4369
ENSG00000006757,741
ENSG00000006788,34
ENSG00000006831,5631
ENSG00000006837,52
ENSG00000007001,5
ENSG00000007038,0
ENSG00000007047,2847
ENSG00000007062,74
ENSG00000007080,2138
ENSG00000007129,31
ENSG00000007168,6414
ENSG00000007171,49
ENSG00000007174,15
ENSG00000007202,13598
ENSG00000007216,8
ENSG00000007237,1820
ENSG00000007255,557
ENSG00000007264,95
ENSG00000007306,6
ENSG00000007312,26
ENSG00000007314,13
ENSG00000007341,272
ENSG00000007350,0
ENSG00000007372,161
ENSG00000007376,1502
ENSG00000007384,2364
ENSG00000007392,1818
ENSG00000007402,323
ENSG00000007516,581
ENSG00000007520,1873
ENSG00000007541,4202
ENSG00000007545,1761
ENSG00000007866,2480
ENSG00000007908,116
ENSG00000007923,1781
ENSG00000007933,42
ENSG00000007944,1438
ENSG00000007952,60
ENSG00000007968,390
ENSG00000008018,6784
ENSG00000008056,32
ENSG00000008083,1398
ENSG00000008086,1167
ENSG00000008118,12
ENSG00000008128,256
ENSG00000008130,2567
ENSG00000008196,1331
ENSG00000008197,0
ENSG00000008226,17
ENSG00000008256,2483
ENSG00000008277,145
ENSG00000008282,5749
ENSG00000008283,9486
ENSG00000008294,3041
ENSG00000008300,233
ENSG00000008311,221
ENSG00000008323,753
ENSG00000008324,596
ENSG00000008382,1023
ENSG00000008394,7491
ENSG00000008405,1567
ENSG00000008438,2
ENSG00000008441,4605
ENSG00000008513,3237
ENSG00000008516,57
ENSG00000008517,1922
ENSG00000008710,2988
ENSG00000008735,331
ENSG00000008838,969
ENSG00000008853,875
ENSG00000008869,1694
ENSG00000008952,8677
ENSG00000008988,24103
ENSG00000009307,27671
ENSG00000009335,6438
ENSG00000009413,936
ENSG00000009694,144
ENSG00000009709,479
ENSG00000009724,17
ENSG00000009765,371
ENSG00000009780,635
ENSG00000009790,159
ENSG00000009830,787
ENSG00000009844,5756
ENSG00000009950,34
ENSG00000009954,7173
ENSG00000010017,3744
ENSG00000010030,93
ENSG00000010072,791
ENSG00000010165,1949
ENSG00000010219,617
ENSG00000010244,6906
ENSG00000010256,8737
ENSG00000010270,1307
ENSG00000010278,16785
ENSG00000010282,3
ENSG00000010292,4320
ENSG00000010295,585
ENSG00000010310,10
ENSG00000010318,154
ENSG00000010319,436
ENSG00000010322,3632
ENSG00000010327,2207
ENSG00000010361,308
ENSG00000010379,3
ENSG00000010404,4606
ENSG00000010438,11
ENSG00000010539,858
ENSG00000010610,2650
ENSG00000010626,349
ENSG00000010671,420
ENSG00000010704,528
ENSG00000010803,2413
ENSG00000010810,1491
ENSG00000010818,2339
ENSG00000010932,1001
ENSG00000011007,2087
ENSG00000011009,3835
ENSG00000011021,445
ENSG00000011028,14739
ENSG00000011052,40
ENSG00000011083,5
ENSG00000011105,5469
ENSG00000011114,1365
ENSG00000011132,522
ENSG00000011143,374
ENSG00000011198,1280
ENSG00000011201,508
ENSG00000011243,2245
ENSG00000011258,688
ENSG00000011260,1136
ENSG00000011275,3564
ENSG00000011295,2671
ENSG00000011304,18913
ENSG00000011332,37
ENSG00000011347,1353
ENSG00000011376,1664
ENSG00000011405,3352
ENSG00000011422,3258
ENSG00000011426,3492
ENSG00000011451,4030
ENSG00000011454,4475
ENSG00000011465,39327
ENSG00000011478,625
ENSG00000011485,2765
ENSG00000011523,1075
ENSG00000011566,2202
ENSG00000011590,9
ENSG00000011600,2383
ENSG00000011638,1630
ENSG00000011677,4
ENSG00000012048,756
ENSG00000012061,2167
ENSG00000012124,198
ENSG00000012171,140
ENSG00000012174,1765
ENSG00000012211,378
ENSG00000012223,34284
ENSG00000012232,1932
ENSG00000012504,0
ENSG00000012660,17592
ENSG00000012779,687
ENSG00000012817,0
ENSG00000012822,2589
ENSG00000012963,1926
ENSG00000012983,4366
ENSG00000013016,750
ENSG00000013275,5119
ENSG00000013288,5110
ENSG00000013293,1
ENSG00000013297,29
ENSG00000013306,5695
ENSG00000013364,9216
ENSG00000013374,2720
ENSG00000013375,3227
ENSG00000013392,357
ENSG00000013441,2548
ENSG00000013503,898
ENSG00000013523,568
ENSG00000013561,4557
ENSG00000013563,958
ENSG00000013573,1190
ENSG00000013583,2041
ENSG00000013588,15813
ENSG00000013619,213
ENSG00000013725,137
ENSG00000013810,2979
ENSG00000014123,2184
ENSG00000014138,1920
