Gene stable ID,a91fb105-8a6f-43b6-99f3-a2a03eb41ee6
ENSG00000000003,4963
ENSG00000000005,1040
ENSG00000000419,1769
ENSG00000000457,1937
ENSG00000000460,432
ENSG00000000938,993
ENSG00000000971,8321
ENSG00000001036,3315
ENSG00000001084,3145
ENSG00000001167,2919
ENSG00000001460,744
ENSG00000001461,5408
ENSG00000001497,3369
ENSG00000001561,2444
ENSG00000001617,4202
ENSG00000001626,123
ENSG00000001629,5603
ENSG00000001630,194
ENSG00000001631,3303
ENSG00000002016,959
ENSG00000002079,14
ENSG00000002330,1616
ENSG00000002549,10469
ENSG00000002586,11796
ENSG00000002587,638
ENSG00000002726,120
ENSG00000002745,11
ENSG00000002746,53
ENSG00000002822,1559
ENSG00000002834,18880
ENSG00000002919,1961
ENSG00000002933,2843
ENSG00000003056,6166
ENSG00000003096,4674
ENSG00000003137,1024
ENSG00000003147,2258
ENSG00000003249,924
ENSG00000003393,2550
ENSG00000003400,1607
ENSG00000003402,14132
ENSG00000003436,6772
ENSG00000003509,935
ENSG00000003756,11626
ENSG00000003987,95
ENSG00000003989,7910
ENSG00000004059,5992
ENSG00000004139,983
ENSG00000004142,5965
ENSG00000004399,15537
ENSG00000004455,7710
ENSG00000004468,256
ENSG00000004478,10603
ENSG00000004487,6227
ENSG00000004534,9595
ENSG00000004660,764
ENSG00000004700,2568
ENSG00000004766,2567
ENSG00000004776,8475
ENSG00000004777,503
ENSG00000004779,2365
ENSG00000004799,33429
ENSG00000004809,3
ENSG00000004838,120
ENSG00000004846,1126
ENSG00000004848,20
ENSG00000004864,1582
ENSG00000004866,1744
ENSG00000004897,5768
ENSG00000004939,8
ENSG00000004948,69
ENSG00000004961,1335
ENSG00000004975,2225
ENSG00000005001,417
ENSG00000005007,9664
ENSG00000005020,5356
ENSG00000005022,11620
ENSG00000005059,1307
ENSG00000005073,42
ENSG00000005075,949
ENSG00000005100,2453
ENSG00000005102,2383
ENSG00000005108,1470
ENSG00000005156,2477
ENSG00000005175,2197
ENSG00000005187,842
ENSG00000005189,324
ENSG00000005194,2514
ENSG00000005206,2905
ENSG00000005238,1397
ENSG00000005243,1350
ENSG00000005249,8865
ENSG00000005302,2719
ENSG00000005339,12103
ENSG00000005379,2521
ENSG00000005381,33
ENSG00000005421,20
ENSG00000005436,1924
ENSG00000005448,547
ENSG00000005469,2360
ENSG00000005471,112
ENSG00000005483,10204
ENSG00000005486,3830
ENSG00000005513,387
ENSG00000005700,5566
ENSG00000005801,2112
ENSG00000005810,14789
ENSG00000005812,7374
ENSG00000005844,2396
ENSG00000005882,2238
ENSG00000005884,11159
ENSG00000005889,5269
ENSG00000005893,17026
