Gene stable ID,9f488bc6-e787-460e-a5dc-2f17d8d15aa6
ENSG00000000003,2464
ENSG00000000005,46
ENSG00000000419,1952
ENSG00000000457,2423
ENSG00000000460,761
ENSG00000000938,620
ENSG00000000971,4601
ENSG00000001036,3315
ENSG00000001084,2533
ENSG00000001167,3552
ENSG00000001460,925
ENSG00000001461,4634
ENSG00000001497,3471
ENSG00000001561,2260
ENSG00000001617,16076
ENSG00000001626,10
ENSG00000001629,8618
ENSG00000001630,467
ENSG00000001631,2162
ENSG00000002016,530
ENSG00000002079,10
ENSG00000002330,1334
ENSG00000002549,11353
ENSG00000002586,15564
ENSG00000002587,245
ENSG00000002726,53
ENSG00000002745,2
ENSG00000002746,32
ENSG00000002822,1155
ENSG00000002834,20837
ENSG00000002919,3432
ENSG00000002933,9163
ENSG00000003056,6445
ENSG00000003096,584
ENSG00000003137,458
ENSG00000003147,3854
ENSG00000003249,1507
ENSG00000003393,2942
ENSG00000003400,490
ENSG00000003402,6164
ENSG00000003436,1097
ENSG00000003509,634
ENSG00000003756,6518
ENSG00000003987,110
ENSG00000003989,4967
ENSG00000004059,8398
ENSG00000004139,239
ENSG00000004142,7128
ENSG00000004399,10714
ENSG00000004455,7281
ENSG00000004468,229
ENSG00000004478,22714
ENSG00000004487,7342
ENSG00000004534,4705
ENSG00000004660,570
ENSG00000004700,3406
ENSG00000004766,2458
ENSG00000004776,884
ENSG00000004777,1112
ENSG00000004779,3187
ENSG00000004799,3009
ENSG00000004809,2
ENSG00000004838,1250
ENSG00000004846,6
ENSG00000004848,162
ENSG00000004864,2152
ENSG00000004866,1503
ENSG00000004897,7986
ENSG00000004939,1
ENSG00000004948,7
ENSG00000004961,1304
ENSG00000004975,1807
ENSG00000005001,763
ENSG00000005007,9917
ENSG00000005020,1979
ENSG00000005022,16533
ENSG00000005059,1845
ENSG00000005073,66
ENSG00000005075,2300
ENSG00000005100,1574
ENSG00000005102,398
ENSG00000005108,319
ENSG00000005156,2701
ENSG00000005175,2348
ENSG00000005187,248
ENSG00000005189,489
ENSG00000005194,2030
ENSG00000005206,2870
ENSG00000005238,1834
ENSG00000005243,1864
ENSG00000005249,5382
ENSG00000005302,2170
ENSG00000005339,7349
ENSG00000005379,1561
ENSG00000005381,18
ENSG00000005421,2
ENSG00000005436,1343
ENSG00000005448,797
ENSG00000005469,3944
ENSG00000005471,161
ENSG00000005483,6731
ENSG00000005486,9296
ENSG00000005513,55
ENSG00000005700,7113
ENSG00000005801,1250
ENSG00000005810,7369
ENSG00000005812,5521
ENSG00000005844,1953
ENSG00000005882,1530
ENSG00000005884,6645
ENSG00000005889,2596
ENSG00000005893,17276
ENSG00000005961,26
ENSG00000005981,16
ENSG00000006007,9802
ENSG00000006015,1003
ENSG00000006016,510
ENSG00000006025,1969
ENSG00000006042,2270
ENSG00000006047,758
ENSG00000006059,79
ENSG00000006062,1115
ENSG00000006071,2318
ENSG00000006116,1
ENSG00000006118,3978
ENSG00000006125,25089
ENSG00000006128,26
ENSG00000006194,2542
ENSG00000006210,945
ENSG00000006282,9832
ENSG00000006283,78
ENSG00000006327,3397
ENSG00000006377,1
ENSG00000006432,1195
ENSG00000006451,7038
ENSG00000006453,2506
ENSG00000006459,1970
ENSG00000006468,1376
ENSG00000006530,1758
ENSG00000006534,740
ENSG00000006555,96
ENSG00000006576,2932
ENSG00000006606,8
ENSG00000006607,3792
ENSG00000006611,0
ENSG00000006625,7614
ENSG00000006634,624
ENSG00000006638,161
ENSG00000006652,1329
ENSG00000006659,0
ENSG00000006695,857
ENSG00000006704,3020
ENSG00000006712,4440
ENSG00000006715,4836
ENSG00000006740,1244
ENSG00000006744,4554
ENSG00000006747,946
ENSG00000006756,11977
ENSG00000006757,1974
ENSG00000006788,19
ENSG00000006831,5389
ENSG00000006837,51
ENSG00000007001,13
ENSG00000007038,1
ENSG00000007047,2756
ENSG00000007062,53
ENSG00000007080,2236
ENSG00000007129,79
ENSG00000007168,9534
ENSG00000007171,34
ENSG00000007174,12
ENSG00000007202,32460
ENSG00000007216,4
ENSG00000007237,7340
ENSG00000007255,1785
ENSG00000007264,179
ENSG00000007306,67
ENSG00000007312,229
ENSG00000007314,267
ENSG00000007341,799
ENSG00000007350,3
ENSG00000007372,275
ENSG00000007376,947
ENSG00000007384,2712
ENSG00000007392,2605
ENSG00000007402,209
ENSG00000007516,274
ENSG00000007520,2332
ENSG00000007541,5050
ENSG00000007545,1604
ENSG00000007866,2635
ENSG00000007908,412
ENSG00000007923,2965
ENSG00000007933,29
ENSG00000007944,4667
ENSG00000007952,56
ENSG00000007968,599
ENSG00000008018,9827
ENSG00000008056,35
ENSG00000008083,2648
ENSG00000008086,1460
ENSG00000008118,7
ENSG00000008128,442
ENSG00000008130,4618
ENSG00000008196,13218
ENSG00000008197,0
ENSG00000008226,35
ENSG00000008256,4030
ENSG00000008277,351
ENSG00000008282,8627
ENSG00000008283,26027
ENSG00000008294,13095
ENSG00000008300,4712
ENSG00000008311,470
ENSG00000008323,2205
ENSG00000008324,930
ENSG00000008382,756
ENSG00000008394,9978
ENSG00000008405,3068
ENSG00000008438,1
ENSG00000008441,4428
ENSG00000008513,4880
ENSG00000008516,109
ENSG00000008517,2534
ENSG00000008710,5435
ENSG00000008735,3195
ENSG00000008838,10413
ENSG00000008853,1497
ENSG00000008869,3802
ENSG00000008952,17513
ENSG00000008988,32200
ENSG00000009307,59736
ENSG00000009335,11398
ENSG00000009413,2063
ENSG00000009694,128
ENSG00000009709,17
ENSG00000009724,79
ENSG00000009765,66
ENSG00000009780,1210
ENSG00000009790,624
ENSG00000009830,2326
ENSG00000009844,3638
ENSG00000009950,67
ENSG00000009954,11860
ENSG00000010017,6946
ENSG00000010030,133
ENSG00000010072,915
ENSG00000010165,5739
ENSG00000010219,983
ENSG00000010244,10041
ENSG00000010256,10275
ENSG00000010270,2100
ENSG00000010278,30582
ENSG00000010282,83
ENSG00000010292,5431
ENSG00000010295,822
ENSG00000010310,137
ENSG00000010318,340
ENSG00000010319,863
ENSG00000010322,7880
ENSG00000010327,3097
ENSG00000010361,945
ENSG00000010379,5
ENSG00000010404,13839
ENSG00000010438,1
ENSG00000010539,756
ENSG00000010610,4759
ENSG00000010626,623
ENSG00000010671,736
ENSG00000010704,1730
ENSG00000010803,3260
ENSG00000010810,2724
ENSG00000010818,4637
ENSG00000010932,362
ENSG00000011007,5242
ENSG00000011009,4185
ENSG00000011021,1029
ENSG00000011028,20059
ENSG00000011052,152
ENSG00000011083,2
ENSG00000011105,5881
ENSG00000011114,3569
ENSG00000011132,990
ENSG00000011143,3498
ENSG00000011198,2339
ENSG00000011201,4227
ENSG00000011243,2655
ENSG00000011258,4016
ENSG00000011260,6178
ENSG00000011275,5279
ENSG00000011295,2836
ENSG00000011304,17107
ENSG00000011332,63
ENSG00000011347,2939
ENSG00000011376,3236
ENSG00000011405,5882
ENSG00000011422,2421
ENSG00000011426,2941
ENSG00000011451,5982
ENSG00000011454,5483
ENSG00000011465,50522
ENSG00000011478,819
ENSG00000011485,3819
ENSG00000011523,1969
ENSG00000011566,2775
ENSG00000011590,41
ENSG00000011600,2711
ENSG00000011638,2593
ENSG00000011677,1
ENSG00000012048,974
ENSG00000012061,3607
ENSG00000012124,393
ENSG00000012171,2134
ENSG00000012174,2385
ENSG00000012211,702
ENSG00000012223,95
ENSG00000012232,2712
ENSG00000012504,0
ENSG00000012660,20290
ENSG00000012779,1317
ENSG00000012817,1
ENSG00000012822,4483
ENSG00000012963,5089
ENSG00000012983,3830
ENSG00000013016,1235
ENSG00000013275,7215
ENSG00000013288,8468
ENSG00000013293,0
ENSG00000013297,407
ENSG00000013306,9706
ENSG00000013364,16469
ENSG00000013374,6453
ENSG00000013375,3852
ENSG00000013392,510
ENSG00000013441,5200
ENSG00000013503,1082
ENSG00000013523,2778
ENSG00000013561,7003
ENSG00000013563,1011
ENSG00000013573,1576
ENSG00000013583,3820
ENSG00000013588,37583
ENSG00000013619,212
ENSG00000013725,1041
ENSG00000013810,2658
ENSG00000014123,3571
ENSG00000014138,940
ENSG00000014164,1394
ENSG00000014216,10521
ENSG00000014257,124
ENSG00000014641,10762
ENSG00000014824,7649
ENSG00000014914,1452
ENSG00000014919,2812
ENSG00000015133,1730
ENSG00000015153,1117
ENSG00000015171,10217
ENSG00000015285,674
ENSG00000015413,33
ENSG00000015475,1198
ENSG00000015479,560
ENSG00000015520,3
ENSG00000015532,6168
ENSG00000015568,2
ENSG00000015592,0
ENSG00000015676,7681
ENSG00000016082,0
ENSG00000016391,2411
ENSG00000016402,5035
ENSG00000016490,1
ENSG00000016602,1
ENSG00000016864,5157
ENSG00000017260,11448
ENSG00000017427,408
ENSG00000017483,769
ENSG00000017797,7127
ENSG00000018189,2701
ENSG00000018236,1538
ENSG00000018280,259
ENSG00000018408,6062
ENSG00000018510,1838
ENSG00000018607,0
ENSG00000018610,1626
ENSG00000018625,831
ENSG00000018699,1761
ENSG00000018869,102
