Gene stable ID,d663f696-01a5-46a4-9d77-9428b352628c
ENSG00000000003,5302
ENSG00000000005,33
ENSG00000000419,1570
ENSG00000000457,2771
ENSG00000000460,794
ENSG00000000938,486
ENSG00000000971,4367
ENSG00000001036,3116
ENSG00000001084,2458
ENSG00000001167,3624
ENSG00000001460,703
ENSG00000001461,2582
ENSG00000001497,2394
ENSG00000001561,1387
ENSG00000001617,5778
ENSG00000001626,24
ENSG00000001629,5216
ENSG00000001630,254
ENSG00000001631,2590
ENSG00000002016,535
ENSG00000002079,13
ENSG00000002330,1161
ENSG00000002549,7021
ENSG00000002586,7903
ENSG00000002587,216
ENSG00000002726,100
ENSG00000002745,3
ENSG00000002746,13
ENSG00000002822,1348
ENSG00000002834,14328
ENSG00000002919,1361
ENSG00000002933,2258
ENSG00000003056,3919
ENSG00000003096,385
ENSG00000003137,941
ENSG00000003147,4623
ENSG00000003249,1333
ENSG00000003393,1730
ENSG00000003400,541
ENSG00000003402,6512
ENSG00000003436,1314
ENSG00000003509,553
ENSG00000003756,5488
ENSG00000003987,150
ENSG00000003989,80094
ENSG00000004059,8334
ENSG00000004139,236
ENSG00000004142,5574
ENSG00000004399,7003
ENSG00000004455,6082
ENSG00000004468,106
ENSG00000004478,9645
ENSG00000004487,6381
ENSG00000004534,3685
ENSG00000004660,807
ENSG00000004700,1666
ENSG00000004766,3416
ENSG00000004776,599
ENSG00000004777,587
ENSG00000004779,2081
ENSG00000004799,7403
ENSG00000004809,19
ENSG00000004838,1452
ENSG00000004846,34
ENSG00000004848,2
ENSG00000004864,1709
ENSG00000004866,2029
ENSG00000004897,4202
ENSG00000004939,1
ENSG00000004948,20
ENSG00000004961,918
ENSG00000004975,1990
ENSG00000005001,472
ENSG00000005007,6889
ENSG00000005020,1549
ENSG00000005022,9383
ENSG00000005059,1459
ENSG00000005073,10
ENSG00000005075,1670
ENSG00000005100,1869
ENSG00000005102,513
ENSG00000005108,538
ENSG00000005156,2609
ENSG00000005175,2362
ENSG00000005187,199
ENSG00000005189,700
ENSG00000005194,1568
ENSG00000005206,1626
ENSG00000005238,1186
ENSG00000005243,603
ENSG00000005249,1992
ENSG00000005302,1450
ENSG00000005339,10189
ENSG00000005379,1379
ENSG00000005381,7
ENSG00000005421,4
ENSG00000005436,1764
ENSG00000005448,504
ENSG00000005469,2757
ENSG00000005471,75
ENSG00000005483,8830
ENSG00000005486,6650
ENSG00000005513,42
ENSG00000005700,4514
ENSG00000005801,1390
ENSG00000005810,4494
ENSG00000005812,5856
ENSG00000005844,1967
ENSG00000005882,1956
ENSG00000005884,10041
ENSG00000005889,4230
ENSG00000005893,12178
ENSG00000005961,16
ENSG00000005981,12
ENSG00000006007,7266
ENSG00000006015,416
ENSG00000006016,297
ENSG00000006025,519
ENSG00000006042,4084
ENSG00000006047,373
ENSG00000006059,0
ENSG00000006062,1228
ENSG00000006071,85
ENSG00000006116,0
ENSG00000006118,1477
ENSG00000006125,31487
ENSG00000006128,78
ENSG00000006194,2470
ENSG00000006210,4413
ENSG00000006282,3790
ENSG00000006283,145
ENSG00000006327,1766
ENSG00000006377,2
ENSG00000006432,862
ENSG00000006451,5182
ENSG00000006453,2789
ENSG00000006459,1982
ENSG00000006468,1283
ENSG00000006530,1702
ENSG00000006534,340
ENSG00000006555,1073
ENSG00000006576,2250
ENSG00000006606,13
ENSG00000006607,2146
ENSG00000006611,7
ENSG00000006625,4324
ENSG00000006634,704
ENSG00000006638,160
ENSG00000006652,1495
ENSG00000006659,3
ENSG00000006695,959
ENSG00000006704,3166
ENSG00000006712,3548
ENSG00000006715,4193
ENSG00000006740,438
ENSG00000006744,4139
ENSG00000006747,643
ENSG00000006756,12731
ENSG00000006757,2086
ENSG00000006788,12
ENSG00000006831,12264
ENSG00000006837,47
ENSG00000007001,23
ENSG00000007038,87
ENSG00000007047,2258
ENSG00000007062,3992
ENSG00000007080,1379
ENSG00000007129,72
ENSG00000007168,8593
ENSG00000007171,24
ENSG00000007174,107
ENSG00000007202,11622
ENSG00000007216,79
ENSG00000007237,3479
ENSG00000007255,1167
ENSG00000007264,136
ENSG00000007306,11
ENSG00000007312,251
ENSG00000007314,101
ENSG00000007341,589
ENSG00000007350,2
ENSG00000007372,117
ENSG00000007376,1322
ENSG00000007384,3981
ENSG00000007392,1940
ENSG00000007402,221
ENSG00000007516,1526
ENSG00000007520,1569
ENSG00000007541,4491
ENSG00000007545,1794
ENSG00000007866,2827
ENSG00000007908,596
ENSG00000007923,1637
ENSG00000007933,170
ENSG00000007944,3257
ENSG00000007952,69
ENSG00000007968,228
ENSG00000008018,6327
ENSG00000008056,62
ENSG00000008083,2527
ENSG00000008086,1267
ENSG00000008118,12
ENSG00000008128,250
ENSG00000008130,3405
ENSG00000008196,7279
ENSG00000008197,0
ENSG00000008226,61
ENSG00000008256,2323
ENSG00000008277,481
ENSG00000008282,12614
ENSG00000008283,7599
ENSG00000008294,4807
ENSG00000008300,351
ENSG00000008311,405
ENSG00000008323,960
ENSG00000008324,688
ENSG00000008382,1238
ENSG00000008394,11563
ENSG00000008405,1824
ENSG00000008438,1
ENSG00000008441,3934
ENSG00000008513,3696
ENSG00000008516,154
ENSG00000008517,3916
ENSG00000008710,3148
ENSG00000008735,1766
ENSG00000008838,4784
ENSG00000008853,1911
ENSG00000008869,3710
ENSG00000008952,7383
ENSG00000008988,43320
ENSG00000009307,39707
ENSG00000009335,6943
ENSG00000009413,1949
ENSG00000009694,50
ENSG00000009709,0
ENSG00000009724,59
ENSG00000009765,22
ENSG00000009780,867
ENSG00000009790,317
ENSG00000009830,2019
ENSG00000009844,3291
ENSG00000009950,359
ENSG00000009954,9716
ENSG00000010017,3619
ENSG00000010030,426
ENSG00000010072,1047
ENSG00000010165,3265
ENSG00000010219,777
ENSG00000010244,8411
ENSG00000010256,6183
ENSG00000010270,1673
ENSG00000010278,16912
ENSG00000010282,46
ENSG00000010292,4675
ENSG00000010295,364
ENSG00000010310,117
ENSG00000010318,486
ENSG00000010319,1645
ENSG00000010322,5188
ENSG00000010327,2263
ENSG00000010361,1669
ENSG00000010379,0
ENSG00000010404,6835
ENSG00000010438,10
ENSG00000010539,630
ENSG00000010610,3199
ENSG00000010626,708
ENSG00000010671,359
ENSG00000010704,2094
ENSG00000010803,3636
ENSG00000010810,1745
ENSG00000010818,2545
ENSG00000010932,858
ENSG00000011007,3238
ENSG00000011009,3827
ENSG00000011021,1045
ENSG00000011028,7704
ENSG00000011052,36
ENSG00000011083,2
ENSG00000011105,6257
ENSG00000011114,2820
ENSG00000011132,613
ENSG00000011143,963
ENSG00000011198,1468
ENSG00000011201,865
ENSG00000011243,1751
ENSG00000011258,1971
ENSG00000011260,1889
ENSG00000011275,4336
ENSG00000011295,4391
ENSG00000011304,15077
ENSG00000011332,11
ENSG00000011347,12702
ENSG00000011376,1640
ENSG00000011405,4319
ENSG00000011422,1234
ENSG00000011426,933
ENSG00000011451,4018
ENSG00000011454,4325
ENSG00000011465,43864
ENSG00000011478,569
ENSG00000011485,2772
ENSG00000011523,2584
ENSG00000011566,2477
ENSG00000011590,18
ENSG00000011600,1318
ENSG00000011638,3298
ENSG00000011677,0
ENSG00000012048,852
ENSG00000012061,2876
ENSG00000012124,268
ENSG00000012171,3218
ENSG00000012174,1639
ENSG00000012211,572
ENSG00000012223,77251
ENSG00000012232,3436
ENSG00000012504,0
ENSG00000012660,52452
ENSG00000012779,2821
ENSG00000012817,0
ENSG00000012822,6202
ENSG00000012963,3492
ENSG00000012983,3573
ENSG00000013016,1304
ENSG00000013275,3482
ENSG00000013288,6693
ENSG00000013293,2
ENSG00000013297,621
ENSG00000013306,6766
ENSG00000013364,12880
ENSG00000013374,5939
ENSG00000013375,2475
ENSG00000013392,522
ENSG00000013441,4271
ENSG00000013503,836
ENSG00000013523,1899
ENSG00000013561,3725
ENSG00000013563,904
ENSG00000013573,930
ENSG00000013583,3946
ENSG00000013588,21110
ENSG00000013619,589
ENSG00000013725,428
ENSG00000013810,1271
ENSG00000014123,3236
ENSG00000014138,1047
ENSG00000014164,2031
ENSG00000014216,13334
ENSG00000014257,56
ENSG00000014641,5116
ENSG00000014824,5030
ENSG00000014914,3688
ENSG00000014919,3563
ENSG00000015133,2440
ENSG00000015153,1059
ENSG00000015171,11831
ENSG00000015285,543
ENSG00000015413,59
ENSG00000015475,1409
ENSG00000015479,405
ENSG00000015520,159
ENSG00000015532,2103
ENSG00000015568,0
ENSG00000015592,3
ENSG00000015676,8760
ENSG00000016082,1
ENSG00000016391,4132
ENSG00000016402,4171
ENSG00000016490,0
ENSG00000016602,41
ENSG00000016864,3731
ENSG00000017260,6354
ENSG00000017427,145
ENSG00000017483,724
ENSG00000017797,7764
ENSG00000018189,1913
ENSG00000018236,570
ENSG00000018280,109
ENSG00000018408,4766
ENSG00000018510,3402
ENSG00000018607,0
ENSG00000018610,1321
ENSG00000018625,328
ENSG00000018699,1650
ENSG00000018869,255
ENSG00000019102,200
ENSG00000019144,5719
ENSG00000019169,33
ENSG00000019186,8
ENSG00000019485,712
ENSG00000019505,728
ENSG00000019549,1700
ENSG00000019582,149609
ENSG00000019991,383
ENSG00000019995,1563
ENSG00000020129,2126
ENSG00000020181,2735
ENSG00000020219,0
ENSG00000020256,1084
ENSG00000020426,773
ENSG00000020577,1098
ENSG00000020633,972
ENSG00000020922,2080
ENSG00000021300,214
ENSG00000021355,6565
ENSG00000021461,3
ENSG00000021488,36
ENSG00000021574,1723
ENSG00000021645,83
ENSG00000021762,2486
ENSG00000021776,4993
ENSG00000021826,170
ENSG00000021852,0
ENSG00000022267,2192
ENSG00000022277,4674
ENSG00000022355,0
ENSG00000022556,3258
ENSG00000022567,1570
ENSG00000022840,11235
ENSG00000022976,636
ENSG00000023041,2864
ENSG00000023171,109
ENSG00000023191,7185
ENSG00000023228,5330
ENSG00000023287,5580
ENSG00000023318,3699
ENSG00000023330,1652
ENSG00000023445,3231
ENSG00000023516,4715
ENSG00000023572,360
ENSG00000023608,346
ENSG00000023697,1688
ENSG00000023734,6109
ENSG00000023839,55
ENSG00000023892,776
ENSG00000023902,2079
ENSG00000023909,1480
ENSG00000024048,4955
ENSG00000024422,8058
ENSG00000024526,245
ENSG00000024862,1692
ENSG00000025039,387
ENSG00000025156,963
ENSG00000025293,4656
ENSG00000025423,228
ENSG00000025434,1873
ENSG00000025708,3756
ENSG00000025770,1628
