Gene stable ID,34188d52-c5e9-4298-8f5c-293613b7d58e
ENSG00000000003,3166
ENSG00000000005,0
ENSG00000000419,1259
ENSG00000000457,1123
ENSG00000000460,445
ENSG00000000938,114
ENSG00000000971,470
ENSG00000001036,4329
ENSG00000001084,832
ENSG00000001167,1419
ENSG00000001460,675
ENSG00000001461,2125
ENSG00000001497,2624
ENSG00000001561,741
ENSG00000001617,3011
ENSG00000001626,68
ENSG00000001629,1142
ENSG00000001630,42
ENSG00000001631,474
ENSG00000002016,282
ENSG00000002079,32
ENSG00000002330,1110
ENSG00000002549,972
ENSG00000002586,3346
ENSG00000002587,526
ENSG00000002726,35
ENSG00000002745,13
ENSG00000002746,90
ENSG00000002822,1177
ENSG00000002834,11456
ENSG00000002919,845
ENSG00000002933,1598
ENSG00000003056,1516
ENSG00000003096,654
ENSG00000003137,37
ENSG00000003147,2654
ENSG00000003249,10643
ENSG00000003393,942
ENSG00000003400,81
ENSG00000003402,1266
ENSG00000003436,107
ENSG00000003509,515
ENSG00000003756,2414
ENSG00000003987,35
ENSG00000003989,575
ENSG00000004059,9375
ENSG00000004139,1434
ENSG00000004142,21068
ENSG00000004399,2678
ENSG00000004455,15783
ENSG00000004468,19
ENSG00000004478,10566
ENSG00000004487,7484
ENSG00000004534,1899
ENSG00000004660,901
ENSG00000004700,278
ENSG00000004766,675
ENSG00000004776,41
ENSG00000004777,274
ENSG00000004779,3202
ENSG00000004799,210
ENSG00000004809,13
ENSG00000004838,53
ENSG00000004846,0
ENSG00000004848,1
ENSG00000004864,722
ENSG00000004866,1040
ENSG00000004897,1641
ENSG00000004939,3
ENSG00000004948,58
ENSG00000004961,571
ENSG00000004975,1111
ENSG00000005001,665
ENSG00000005007,12410
ENSG00000005020,986
ENSG00000005022,10810
ENSG00000005059,298
ENSG00000005073,16
ENSG00000005075,1201
ENSG00000005100,1520
ENSG00000005102,3
ENSG00000005108,47
ENSG00000005156,1042
ENSG00000005175,1362
ENSG00000005187,50
ENSG00000005189,438
ENSG00000005194,2643
ENSG00000005206,1845
ENSG00000005238,1308
ENSG00000005243,228
ENSG00000005249,586
ENSG00000005302,560
ENSG00000005339,4515
ENSG00000005379,580
ENSG00000005381,68
ENSG00000005421,7
ENSG00000005436,533
ENSG00000005448,955
ENSG00000005469,224
ENSG00000005471,104
ENSG00000005483,1755
ENSG00000005486,3460
ENSG00000005513,6
ENSG00000005700,1409
ENSG00000005801,1269
ENSG00000005810,1006
ENSG00000005812,1994
ENSG00000005844,627
ENSG00000005882,352
ENSG00000005884,3209
ENSG00000005889,462
ENSG00000005893,5854
ENSG00000005961,67
ENSG00000005981,0
ENSG00000006007,3878
ENSG00000006015,2044
ENSG00000006016,278
ENSG00000006025,436
ENSG00000006042,1048
ENSG00000006047,422
ENSG00000006059,0
ENSG00000006062,219
ENSG00000006071,15
ENSG00000006116,1
ENSG00000006118,8173
ENSG00000006125,9594
ENSG00000006128,1
ENSG00000006194,966
ENSG00000006210,992
ENSG00000006282,3701
ENSG00000006283,3
ENSG00000006327,647
ENSG00000006377,2
ENSG00000006432,569
ENSG00000006451,4022
ENSG00000006453,3509
ENSG00000006459,3025
ENSG00000006468,626
ENSG00000006530,1408
ENSG00000006534,379
ENSG00000006555,519
ENSG00000006576,693
ENSG00000006606,43
ENSG00000006607,633
ENSG00000006611,31
ENSG00000006625,1943
ENSG00000006634,338
ENSG00000006638,124
ENSG00000006652,1448
ENSG00000006659,0
ENSG00000006695,544
ENSG00000006704,2646
ENSG00000006712,2937
ENSG00000006715,2246
ENSG00000006740,428
ENSG00000006744,3059
ENSG00000006747,185
ENSG00000006756,1987
ENSG00000006757,253
ENSG00000006788,8
ENSG00000006831,3869
ENSG00000006837,20
ENSG00000007001,16
ENSG00000007038,951
ENSG00000007047,1862
ENSG00000007062,3213
ENSG00000007080,5782
ENSG00000007129,17
ENSG00000007168,3222
ENSG00000007171,219
ENSG00000007174,15
ENSG00000007202,17236
ENSG00000007216,6848
ENSG00000007237,238
ENSG00000007255,790
ENSG00000007264,644
ENSG00000007306,171
ENSG00000007312,22
ENSG00000007314,7
ENSG00000007341,211
ENSG00000007350,1
ENSG00000007372,214
ENSG00000007376,1368
ENSG00000007384,1278
ENSG00000007392,1983
ENSG00000007402,97
ENSG00000007516,1213
ENSG00000007520,2567
ENSG00000007541,2035
ENSG00000007545,1045
ENSG00000007866,1669
ENSG00000007908,8
ENSG00000007923,878
ENSG00000007933,43
ENSG00000007944,1105
ENSG00000007952,108
ENSG00000007968,277
ENSG00000008018,8225
ENSG00000008056,220
ENSG00000008083,1826
ENSG00000008086,245
ENSG00000008118,7
ENSG00000008128,183
ENSG00000008130,1385
ENSG00000008196,2483
ENSG00000008197,0
ENSG00000008226,71
ENSG00000008256,690
ENSG00000008277,116
ENSG00000008282,2181
ENSG00000008283,6791
ENSG00000008294,1986
ENSG00000008300,553
ENSG00000008311,98
ENSG00000008323,820
ENSG00000008324,803
ENSG00000008382,1317
ENSG00000008394,4383
ENSG00000008405,978
ENSG00000008438,0
ENSG00000008441,4718
ENSG00000008513,2297
ENSG00000008516,94
ENSG00000008517,458
ENSG00000008710,3528
ENSG00000008735,45
ENSG00000008838,2204
ENSG00000008853,655
ENSG00000008869,877
ENSG00000008952,5680
ENSG00000008988,94037
ENSG00000009307,19669
ENSG00000009335,2888
ENSG00000009413,748
ENSG00000009694,12
ENSG00000009709,358
ENSG00000009724,6
ENSG00000009765,9
ENSG00000009780,550
ENSG00000009790,28
ENSG00000009830,495
ENSG00000009844,2253
ENSG00000009950,80
ENSG00000009954,2135
ENSG00000010017,1906
ENSG00000010030,29
ENSG00000010072,706
ENSG00000010165,2194
ENSG00000010219,1226
ENSG00000010244,6700
ENSG00000010256,6842
ENSG00000010270,1350
ENSG00000010278,7410
ENSG00000010282,2
ENSG00000010292,3125
ENSG00000010295,118
ENSG00000010310,296
ENSG00000010318,35
ENSG00000010319,345
ENSG00000010322,2053
ENSG00000010327,855
ENSG00000010361,862
ENSG00000010379,4
ENSG00000010404,4170
ENSG00000010438,7
ENSG00000010539,345
ENSG00000010610,232
ENSG00000010626,118
ENSG00000010671,37
ENSG00000010704,214
ENSG00000010803,20246
ENSG00000010810,2200
ENSG00000010818,1222
ENSG00000010932,25
ENSG00000011007,3468
ENSG00000011009,5253
ENSG00000011021,873
ENSG00000011028,4339
ENSG00000011052,10
ENSG00000011083,2
ENSG00000011105,4211
ENSG00000011114,839
ENSG00000011132,483
ENSG00000011143,678
ENSG00000011198,515
ENSG00000011201,94
ENSG00000011243,4262
ENSG00000011258,1149
ENSG00000011260,1939
ENSG00000011275,1161
ENSG00000011295,1499
ENSG00000011304,10470
ENSG00000011332,42
ENSG00000011347,5911
ENSG00000011376,476
ENSG00000011405,732
ENSG00000011422,2072
ENSG00000011426,812
ENSG00000011451,9764
ENSG00000011454,1356
ENSG00000011465,2128
ENSG00000011478,859
ENSG00000011485,2582
ENSG00000011523,1735
ENSG00000011566,817
ENSG00000011590,24
ENSG00000011600,706
ENSG00000011638,2948
ENSG00000011677,776
ENSG00000012048,260
ENSG00000012061,2056
ENSG00000012124,17
ENSG00000012171,432
ENSG00000012174,408
ENSG00000012211,567
ENSG00000012223,255
ENSG00000012232,989
ENSG00000012504,0
ENSG00000012660,1656
ENSG00000012779,273
ENSG00000012817,0
ENSG00000012822,2745
ENSG00000012963,1168
ENSG00000012983,685
ENSG00000013016,672
ENSG00000013275,3924
ENSG00000013288,662
ENSG00000013293,7
ENSG00000013297,1812
ENSG00000013306,10934
ENSG00000013364,7770
ENSG00000013374,1896
ENSG00000013375,1748
ENSG00000013392,309
ENSG00000013441,1106
ENSG00000013503,1026
ENSG00000013523,905
ENSG00000013561,1366
ENSG00000013563,567
ENSG00000013573,1470
ENSG00000013583,931
ENSG00000013588,23136
ENSG00000013619,125
ENSG00000013725,167
ENSG00000013810,906
ENSG00000014123,1188
ENSG00000014138,5264
ENSG00000014164,1985
ENSG00000014216,20136
ENSG00000014257,114
ENSG00000014641,2992
ENSG00000014824,1552
ENSG00000014914,408
ENSG00000014919,1778
ENSG00000015133,1930
ENSG00000015153,452
ENSG00000015171,2220
ENSG00000015285,100
ENSG00000015413,29
ENSG00000015475,1447
ENSG00000015479,95
ENSG00000015520,174
ENSG00000015532,2147
ENSG00000015568,2
ENSG00000015592,5
ENSG00000015676,5094
ENSG00000016082,14
ENSG00000016391,1070
ENSG00000016402,703
ENSG00000016490,0
ENSG00000016602,2
ENSG00000016864,1371
ENSG00000017260,3558
ENSG00000017427,7
ENSG00000017483,91
ENSG00000017797,3727
ENSG00000018189,993
ENSG00000018236,84
ENSG00000018280,438
ENSG00000018408,1484
ENSG00000018510,1550
ENSG00000018607,0
ENSG00000018610,794
ENSG00000018625,1
ENSG00000018699,978
ENSG00000018869,89
ENSG00000019102,772
ENSG00000019144,1011
ENSG00000019169,45
ENSG00000019186,8
ENSG00000019485,447
ENSG00000019505,801
ENSG00000019549,49
ENSG00000019582,6712
ENSG00000019991,23
ENSG00000019995,623
ENSG00000020129,1843
ENSG00000020181,181
ENSG00000020219,3
ENSG00000020256,966
ENSG00000020426,512
ENSG00000020577,596
ENSG00000020633,112
ENSG00000020922,1137
ENSG00000021300,4418
ENSG00000021355,2189
ENSG00000021461,2
ENSG00000021488,28
ENSG00000021574,1140
ENSG00000021645,383
ENSG00000021762,1419
ENSG00000021776,1207
ENSG00000021826,24
ENSG00000021852,1
ENSG00000022267,119
ENSG00000022277,5093
ENSG00000022355,0
ENSG00000022556,2
ENSG00000022567,1408
ENSG00000022840,14722
ENSG00000022976,209
ENSG00000023041,1520
ENSG00000023171,38
ENSG00000023191,3698
ENSG00000023228,2831
ENSG00000023287,9101
ENSG00000023318,1642
ENSG00000023330,1294
ENSG00000023445,159
ENSG00000023516,1240
ENSG00000023572,762
ENSG00000023608,530
ENSG00000023697,819
ENSG00000023734,4382
ENSG00000023839,26
ENSG00000023892,855
ENSG00000023902,1390
ENSG00000023909,588
ENSG00000024048,1588
ENSG00000024422,1001
ENSG00000024526,368
ENSG00000024862,926
ENSG00000025039,176
ENSG00000025156,652
ENSG00000025293,2355
ENSG00000025423,147
ENSG00000025434,1441
ENSG00000025708,946
ENSG00000025770,665
ENSG00000025772,3327
ENSG00000025796,5595
ENSG00000025800,6567
ENSG00000026025,46049
