Gene stable ID,83edb9b8-e212-467c-be4a-714bcec948fb
ENSG00000000003,1235
ENSG00000000005,8
ENSG00000000419,1377
ENSG00000000457,1009
ENSG00000000460,333
ENSG00000000938,3490
ENSG00000000971,5341
ENSG00000001036,1971
ENSG00000001084,1535
ENSG00000001167,1516
ENSG00000001460,290
ENSG00000001461,1018
ENSG00000001497,1732
ENSG00000001561,522
ENSG00000001617,3251
ENSG00000001626,14
ENSG00000001629,2550
ENSG00000001630,413
ENSG00000001631,1240
ENSG00000002016,305
ENSG00000002079,6
ENSG00000002330,1607
ENSG00000002549,9982
ENSG00000002586,16284
ENSG00000002587,344
ENSG00000002726,52
ENSG00000002745,12
ENSG00000002746,40
ENSG00000002822,1592
ENSG00000002834,16323
ENSG00000002919,1524
ENSG00000002933,4364
ENSG00000003056,3735
ENSG00000003096,147
ENSG00000003137,830
ENSG00000003147,2804
ENSG00000003249,1339
ENSG00000003393,1071
ENSG00000003400,886
ENSG00000003402,6056
ENSG00000003436,1541
ENSG00000003509,509
ENSG00000003756,4374
ENSG00000003987,41
ENSG00000003989,1860
ENSG00000004059,7696
ENSG00000004139,283
ENSG00000004142,9789
ENSG00000004399,11648
ENSG00000004455,3632
ENSG00000004468,718
ENSG00000004478,4043
ENSG00000004487,2945
ENSG00000004534,3792
ENSG00000004660,524
ENSG00000004700,1102
ENSG00000004766,1093
ENSG00000004776,710
ENSG00000004777,352
ENSG00000004779,2256
ENSG00000004799,661
ENSG00000004809,26
ENSG00000004838,235
ENSG00000004846,67
ENSG00000004848,13
ENSG00000004864,1459
ENSG00000004866,1292
ENSG00000004897,1942
ENSG00000004939,0
ENSG00000004948,15
ENSG00000004961,928
ENSG00000004975,1274
ENSG00000005001,2517
ENSG00000005007,5933
ENSG00000005020,1927
ENSG00000005022,13217
ENSG00000005059,1578
ENSG00000005073,31
ENSG00000005075,1909
ENSG00000005100,705
ENSG00000005102,794
ENSG00000005108,523
ENSG00000005156,782
ENSG00000005175,1069
ENSG00000005187,95
ENSG00000005189,322
ENSG00000005194,1511
ENSG00000005206,2266
ENSG00000005238,2140
ENSG00000005243,1557
ENSG00000005249,741
ENSG00000005302,1746
ENSG00000005339,4257
ENSG00000005379,524
ENSG00000005381,9
ENSG00000005421,2
ENSG00000005436,721
ENSG00000005448,458
ENSG00000005469,1355
ENSG00000005471,107
ENSG00000005483,3452
ENSG00000005486,7286
ENSG00000005513,48
ENSG00000005700,2080
ENSG00000005801,938
ENSG00000005810,3587
ENSG00000005812,2781
ENSG00000005844,4043
ENSG00000005882,1554
ENSG00000005884,21802
ENSG00000005889,1662
ENSG00000005893,8719
ENSG00000005961,24
ENSG00000005981,1
ENSG00000006007,4601
ENSG00000006015,1907
ENSG00000006016,115
ENSG00000006025,710
ENSG00000006042,1253
ENSG00000006047,6
ENSG00000006059,42
ENSG00000006062,1441
ENSG00000006071,45
ENSG00000006116,3
ENSG00000006118,10252
ENSG00000006125,7146
ENSG00000006128,3
ENSG00000006194,1494
ENSG00000006210,5202
ENSG00000006282,2882
ENSG00000006283,103
ENSG00000006327,6122
ENSG00000006377,4
ENSG00000006432,203
ENSG00000006451,4326
ENSG00000006453,2507
ENSG00000006459,1369
ENSG00000006468,407
ENSG00000006530,1149
ENSG00000006534,1700
ENSG00000006555,599
ENSG00000006576,1802
ENSG00000006606,40
ENSG00000006607,1408
ENSG00000006611,0
ENSG00000006625,6336
ENSG00000006634,672
ENSG00000006638,208
ENSG00000006652,1422
ENSG00000006659,1
ENSG00000006695,497
ENSG00000006704,1709
ENSG00000006712,2916
ENSG00000006715,2291
ENSG00000006740,351
ENSG00000006744,2800
ENSG00000006747,631
ENSG00000006756,5201
ENSG00000006757,850
ENSG00000006788,43
ENSG00000006831,2848
ENSG00000006837,31
ENSG00000007001,3
ENSG00000007038,178
ENSG00000007047,1465
ENSG00000007062,322
ENSG00000007080,2199
ENSG00000007129,154
