Gene stable ID,f264c12a-e6f4-44da-90ef-bf0845197eca
ENSG00000000003,11862
ENSG00000000005,8
ENSG00000000419,4731
ENSG00000000457,2937
ENSG00000000460,2385
ENSG00000000938,671
ENSG00000000971,2888
ENSG00000001036,9685
ENSG00000001084,896
ENSG00000001167,5320
ENSG00000001460,611
ENSG00000001461,3024
ENSG00000001497,8474
ENSG00000001561,2516
ENSG00000001617,10503
ENSG00000001626,356
ENSG00000001629,24947
ENSG00000001630,6085
ENSG00000001631,6014
ENSG00000002016,832
ENSG00000002079,37
ENSG00000002330,2440
ENSG00000002549,9840
ENSG00000002586,8412
ENSG00000002587,82
ENSG00000002726,14281
ENSG00000002745,9
ENSG00000002746,25
ENSG00000002822,1871
ENSG00000002834,36037
ENSG00000002919,4108
ENSG00000002933,2273
ENSG00000003056,11639
ENSG00000003096,37
ENSG00000003137,147
ENSG00000003147,3924
ENSG00000003249,2102
ENSG00000003393,4135
ENSG00000003400,653
ENSG00000003402,10429
ENSG00000003436,1065
ENSG00000003509,1539
ENSG00000003756,6385
ENSG00000003987,74
ENSG00000003989,287
ENSG00000004059,11618
ENSG00000004139,379
ENSG00000004142,14567
ENSG00000004399,22154
ENSG00000004455,7477
ENSG00000004468,1739
ENSG00000004478,26196
ENSG00000004487,7729
ENSG00000004534,6512
ENSG00000004660,555
ENSG00000004700,4472
ENSG00000004766,4502
ENSG00000004776,74
ENSG00000004777,584
ENSG00000004779,6303
ENSG00000004799,643
ENSG00000004809,7
ENSG00000004838,1595
ENSG00000004846,1
ENSG00000004848,17
ENSG00000004864,6401
ENSG00000004866,2398
ENSG00000004897,9902
ENSG00000004939,10
ENSG00000004948,94
ENSG00000004961,3658
ENSG00000004975,2116
ENSG00000005001,495
ENSG00000005007,11819
ENSG00000005020,1104
ENSG00000005022,24346
ENSG00000005059,1132
ENSG00000005073,3
ENSG00000005075,2983
ENSG00000005100,2598
ENSG00000005102,136
ENSG00000005108,302
ENSG00000005156,9519
ENSG00000005175,4736
ENSG00000005187,201
ENSG00000005189,2301
ENSG00000005194,2952
ENSG00000005206,3130
ENSG00000005238,2513
ENSG00000005243,307
ENSG00000005249,7777
ENSG00000005302,3311
ENSG00000005339,14560
ENSG00000005379,2877
ENSG00000005381,79
ENSG00000005421,1
ENSG00000005436,2954
ENSG00000005448,4286
ENSG00000005469,4174
ENSG00000005471,297
ENSG00000005483,7641
ENSG00000005486,8552
ENSG00000005513,10
ENSG00000005700,7716
ENSG00000005801,2376
ENSG00000005810,7774
ENSG00000005812,5371
ENSG00000005844,4866
ENSG00000005882,1885
ENSG00000005884,8772
ENSG00000005889,4761
ENSG00000005893,34280
ENSG00000005961,497
ENSG00000005981,4
ENSG00000006007,17424
ENSG00000006015,903
ENSG00000006016,37
ENSG00000006025,1107
ENSG00000006042,4749
ENSG00000006047,1145
ENSG00000006059,41
ENSG00000006062,1181
ENSG00000006071,2781
ENSG00000006116,0
ENSG00000006118,15378
ENSG00000006125,48164
ENSG00000006128,2
ENSG00000006194,5941
ENSG00000006210,1749
ENSG00000006282,6799
ENSG00000006283,10
ENSG00000006327,1229
ENSG00000006377,5
ENSG00000006432,1878
ENSG00000006451,7377
ENSG00000006453,2731
ENSG00000006459,5068
ENSG00000006468,316
ENSG00000006530,3087
ENSG00000006534,2780
ENSG00000006555,108
ENSG00000006576,3529
ENSG00000006606,10
ENSG00000006607,4100
ENSG00000006611,37
ENSG00000006625,8676
ENSG00000006634,2195
ENSG00000006638,82
ENSG00000006652,1104
ENSG00000006659,1
ENSG00000006695,1375
ENSG00000006704,3424
ENSG00000006712,6229
ENSG00000006715,7584
ENSG00000006740,3928
ENSG00000006744,5222
ENSG00000006747,219
ENSG00000006756,9614
ENSG00000006757,5538
ENSG00000006788,5
ENSG00000006831,16003
ENSG00000006837,59
ENSG00000007001,18
ENSG00000007038,43
ENSG00000007047,4906
ENSG00000007062,8588
ENSG00000007080,3022
ENSG00000007129,135
ENSG00000007168,11167
ENSG00000007171,23
ENSG00000007174,3
ENSG00000007202,45645
ENSG00000007216,825
ENSG00000007237,1941
ENSG00000007255,2411
ENSG00000007264,253
ENSG00000007306,88
ENSG00000007312,341
ENSG00000007314,81
ENSG00000007341,546
ENSG00000007350,3
ENSG00000007372,235
ENSG00000007376,2044
ENSG00000007384,1997
ENSG00000007392,2324
ENSG00000007402,8700
ENSG00000007516,646
ENSG00000007520,3123
ENSG00000007541,11128
ENSG00000007545,2635
ENSG00000007866,3415
ENSG00000007908,533
ENSG00000007923,2888
ENSG00000007933,303
ENSG00000007944,4408
ENSG00000007952,125
ENSG00000007968,1569
ENSG00000008018,11738
ENSG00000008056,19
ENSG00000008083,3433
ENSG00000008086,2579
ENSG00000008118,63
ENSG00000008128,348
ENSG00000008130,4158
ENSG00000008196,28452
ENSG00000008197,0
ENSG00000008226,321
ENSG00000008256,760
ENSG00000008277,447
ENSG00000008282,8718
ENSG00000008283,22501
ENSG00000008294,16182
ENSG00000008300,1871
ENSG00000008311,144
ENSG00000008323,127
ENSG00000008324,1778
ENSG00000008382,2774
ENSG00000008394,12722
ENSG00000008405,1997
ENSG00000008438,7
ENSG00000008441,1052
ENSG00000008513,22016
ENSG00000008516,395
ENSG00000008517,2626
ENSG00000008710,3433
ENSG00000008735,4825
ENSG00000008838,12138
ENSG00000008853,749
ENSG00000008869,8132
ENSG00000008952,36282
ENSG00000008988,23289
ENSG00000009307,40297
ENSG00000009335,9910
ENSG00000009413,2625
ENSG00000009694,301
ENSG00000009709,6
ENSG00000009724,107
ENSG00000009765,4193
ENSG00000009780,1171
ENSG00000009790,771
ENSG00000009830,2844
ENSG00000009844,7903
ENSG00000009950,10
ENSG00000009954,14047
ENSG00000010017,5564
ENSG00000010030,536
ENSG00000010072,2119
ENSG00000010165,4738
ENSG00000010219,880
ENSG00000010244,14518
ENSG00000010256,14902
ENSG00000010270,3041
ENSG00000010278,21621
ENSG00000010282,1
ENSG00000010292,15058
ENSG00000010295,468
ENSG00000010310,373
ENSG00000010318,527
ENSG00000010319,1057
ENSG00000010322,5433
ENSG00000010327,2383
ENSG00000010361,193
ENSG00000010379,2
ENSG00000010404,10894
ENSG00000010438,8
ENSG00000010539,2417
ENSG00000010610,6744
ENSG00000010626,2316
ENSG00000010671,685
ENSG00000010704,958
ENSG00000010803,1686
ENSG00000010810,2013
ENSG00000010818,6782
ENSG00000010932,202
ENSG00000011007,5645
ENSG00000011009,3472
ENSG00000011021,791
ENSG00000011028,3012
ENSG00000011052,56
ENSG00000011083,6
ENSG00000011105,13502
ENSG00000011114,3877
ENSG00000011132,613
ENSG00000011143,2049
ENSG00000011198,1948
ENSG00000011201,5543
ENSG00000011243,2988
ENSG00000011258,4936
ENSG00000011260,5163
ENSG00000011275,4632
ENSG00000011295,4737
ENSG00000011304,21995
ENSG00000011332,325
ENSG00000011347,21510
ENSG00000011376,3588
ENSG00000011405,9773
ENSG00000011422,1024
ENSG00000011426,4538
ENSG00000011451,3809
ENSG00000011454,5949
ENSG00000011465,13636
ENSG00000011478,1396
ENSG00000011485,4014
ENSG00000011523,4153
ENSG00000011566,8153
ENSG00000011590,62
ENSG00000011600,2581
ENSG00000011638,7081
ENSG00000011677,30
ENSG00000012048,6269
ENSG00000012061,3011
ENSG00000012124,294
ENSG00000012171,1905
ENSG00000012174,5706
ENSG00000012211,1107
ENSG00000012223,16220
ENSG00000012232,1361
ENSG00000012504,207
ENSG00000012660,16741
ENSG00000012779,879
ENSG00000012817,1
ENSG00000012822,6747
ENSG00000012963,7057
ENSG00000012983,2942
ENSG00000013016,3766
ENSG00000013275,7471
ENSG00000013288,7779
ENSG00000013293,0
ENSG00000013297,76
ENSG00000013306,14614
ENSG00000013364,14040
ENSG00000013374,8100
ENSG00000013375,3693
ENSG00000013392,1003
ENSG00000013441,4494
ENSG00000013503,1081
ENSG00000013523,3151
ENSG00000013561,4429
ENSG00000013563,1758
ENSG00000013573,2581
ENSG00000013583,11936
ENSG00000013588,93457
ENSG00000013619,1092
ENSG00000013725,1260
ENSG00000013810,3229
ENSG00000014123,5968
ENSG00000014138,3875
ENSG00000014164,2631
ENSG00000014216,14849
ENSG00000014257,111
ENSG00000014641,15993
ENSG00000014824,8802
ENSG00000014914,660
ENSG00000014919,5953
ENSG00000015133,6582
ENSG00000015153,1598
ENSG00000015171,3574
ENSG00000015285,886
ENSG00000015413,117
ENSG00000015475,3114
ENSG00000015479,527
ENSG00000015520,447
ENSG00000015532,7315
ENSG00000015568,0
ENSG00000015592,0
ENSG00000015676,7884
ENSG00000016082,2
ENSG00000016391,8569
ENSG00000016402,1803
ENSG00000016490,0
ENSG00000016602,1
ENSG00000016864,5014
