Gene stable ID,00331c0a-23f0-4724-9c0f-5e37f971f26f
ENSG00000000003,2550
ENSG00000000005,346
ENSG00000000419,2311
ENSG00000000457,1955
ENSG00000000460,772
ENSG00000000938,971
ENSG00000000971,2883
ENSG00000001036,2771
ENSG00000001084,2386
ENSG00000001167,2282
ENSG00000001460,699
ENSG00000001461,2620
ENSG00000001497,4832
ENSG00000001561,1363
ENSG00000001617,9968
ENSG00000001626,20
ENSG00000001629,4062
ENSG00000001630,474
ENSG00000001631,2596
ENSG00000002016,666
ENSG00000002079,17
ENSG00000002330,5146
ENSG00000002549,14622
ENSG00000002586,14530
ENSG00000002587,344
ENSG00000002726,62
ENSG00000002745,11
ENSG00000002746,37
ENSG00000002822,2599
ENSG00000002834,20233
ENSG00000002919,2141
ENSG00000002933,2354
ENSG00000003056,4659
ENSG00000003096,317
ENSG00000003137,433
ENSG00000003147,4244
ENSG00000003249,1248
ENSG00000003393,1859
ENSG00000003400,924
ENSG00000003402,7622
ENSG00000003436,1163
ENSG00000003509,1065
ENSG00000003756,7882
ENSG00000003987,84
ENSG00000003989,11307
ENSG00000004059,11341
ENSG00000004139,555
ENSG00000004142,10045
ENSG00000004399,12322
ENSG00000004455,8640
ENSG00000004468,744
ENSG00000004478,20569
ENSG00000004487,6667
ENSG00000004534,5477
ENSG00000004660,627
ENSG00000004700,1458
ENSG00000004766,2100
ENSG00000004776,2878
ENSG00000004777,2978
ENSG00000004779,3965
ENSG00000004799,4880
ENSG00000004809,3
ENSG00000004838,1200
ENSG00000004846,30
ENSG00000004848,206
ENSG00000004864,1274
ENSG00000004866,2088
ENSG00000004897,4188
ENSG00000004939,4
ENSG00000004948,18
ENSG00000004961,1142
ENSG00000004975,2969
ENSG00000005001,2070
ENSG00000005007,12841
ENSG00000005020,1990
ENSG00000005022,15249
ENSG00000005059,2368
ENSG00000005073,59
ENSG00000005075,2838
ENSG00000005100,1126
ENSG00000005102,1205
ENSG00000005108,451
ENSG00000005156,5343
ENSG00000005175,2002
ENSG00000005187,185
ENSG00000005189,593
ENSG00000005194,1995
ENSG00000005206,7033
ENSG00000005238,1789
ENSG00000005243,1307
ENSG00000005249,5020
ENSG00000005302,2325
ENSG00000005339,7783
ENSG00000005379,7449
ENSG00000005381,18
ENSG00000005421,4
ENSG00000005436,1506
ENSG00000005448,1959
ENSG00000005469,6947
ENSG00000005471,202
ENSG00000005483,5567
ENSG00000005486,6828
ENSG00000005513,81
ENSG00000005700,3415
ENSG00000005801,1490
ENSG00000005810,5071
ENSG00000005812,4823
ENSG00000005844,4048
ENSG00000005882,2319
ENSG00000005884,9465
ENSG00000005889,3137
ENSG00000005893,11452
ENSG00000005961,94
ENSG00000005981,0
ENSG00000006007,7974
ENSG00000006015,3447
ENSG00000006016,254
ENSG00000006025,2309
ENSG00000006042,3538
ENSG00000006047,705
ENSG00000006059,3
ENSG00000006062,1689
ENSG00000006071,3004
ENSG00000006116,1
ENSG00000006118,8415
ENSG00000006125,27415
ENSG00000006128,85
ENSG00000006194,4134
ENSG00000006210,3945
ENSG00000006282,11239
ENSG00000006283,87
ENSG00000006327,8504
ENSG00000006377,4
ENSG00000006432,324
ENSG00000006451,4744
ENSG00000006453,815
ENSG00000006459,1524
ENSG00000006468,944
ENSG00000006530,1733
ENSG00000006534,1169
ENSG00000006555,390
ENSG00000006576,2175
ENSG00000006606,31
ENSG00000006607,2309
ENSG00000006611,9
ENSG00000006625,4233
ENSG00000006634,637
ENSG00000006638,266
ENSG00000006652,2125
ENSG00000006659,1
ENSG00000006695,778
ENSG00000006704,2921
ENSG00000006712,9529
ENSG00000006715,4182
ENSG00000006740,576
ENSG00000006744,3822
ENSG00000006747,665
ENSG00000006756,9814
ENSG00000006757,3247
ENSG00000006788,27
ENSG00000006831,7032
ENSG00000006837,90
ENSG00000007001,10
ENSG00000007038,38
ENSG00000007047,3856
ENSG00000007062,228
ENSG00000007080,5683
ENSG00000007129,227
ENSG00000007168,5853
ENSG00000007171,61
ENSG00000007174,23
ENSG00000007202,11170
ENSG00000007216,31
ENSG00000007237,3739
ENSG00000007255,3190
