Gene stable ID,ae66a5ba-2397-4837-ae50-216cae0aaa68
ENSG00000000003,8620
ENSG00000000005,5
ENSG00000000419,1291
ENSG00000000457,935
ENSG00000000460,990
ENSG00000000938,185
ENSG00000000971,547
ENSG00000001036,5597
ENSG00000001084,3278
ENSG00000001167,5076
ENSG00000001460,497
ENSG00000001461,2151
ENSG00000001497,4262
ENSG00000001561,1551
ENSG00000001617,3395
ENSG00000001626,30
ENSG00000001629,4639
ENSG00000001630,283
ENSG00000001631,1731
ENSG00000002016,748
ENSG00000002079,16
ENSG00000002330,3515
ENSG00000002549,2887
ENSG00000002586,1922
ENSG00000002587,336
ENSG00000002726,30
ENSG00000002745,2
ENSG00000002746,25
ENSG00000002822,1824
ENSG00000002834,9888
ENSG00000002919,1732
ENSG00000002933,811
ENSG00000003056,13765
ENSG00000003096,889
ENSG00000003137,188
ENSG00000003147,2669
ENSG00000003249,3493
ENSG00000003393,2074
ENSG00000003400,183
ENSG00000003402,4481
ENSG00000003436,354
ENSG00000003509,1114
ENSG00000003756,2904
ENSG00000003987,56
ENSG00000003989,429
ENSG00000004059,21814
ENSG00000004139,181
ENSG00000004142,13792
ENSG00000004399,4134
ENSG00000004455,3978
ENSG00000004468,42
ENSG00000004478,44262
ENSG00000004487,8505
ENSG00000004534,4016
ENSG00000004660,2694
ENSG00000004700,1953
ENSG00000004766,1397
ENSG00000004776,84
ENSG00000004777,615
ENSG00000004779,4128
ENSG00000004799,607
ENSG00000004809,100
ENSG00000004838,60
ENSG00000004846,4
ENSG00000004848,53
ENSG00000004864,2250
ENSG00000004866,967
ENSG00000004897,2127
ENSG00000004939,24
ENSG00000004948,5
ENSG00000004961,1183
ENSG00000004975,4987
ENSG00000005001,307
ENSG00000005007,8807
ENSG00000005020,2329
ENSG00000005022,27910
ENSG00000005059,277
ENSG00000005073,675
ENSG00000005075,3179
ENSG00000005100,12277
ENSG00000005102,59
ENSG00000005108,730
ENSG00000005156,4014
ENSG00000005175,1504
ENSG00000005187,1620
ENSG00000005189,1406
ENSG00000005194,4556
ENSG00000005206,2011
ENSG00000005238,1390
ENSG00000005243,219
ENSG00000005249,2293
ENSG00000005302,3649
ENSG00000005339,8290
ENSG00000005379,1345
ENSG00000005381,21
ENSG00000005421,63
ENSG00000005436,879
ENSG00000005448,413
ENSG00000005469,875
ENSG00000005471,83
ENSG00000005483,3731
ENSG00000005486,9383
ENSG00000005513,61
ENSG00000005700,3507
ENSG00000005801,1495
ENSG00000005810,1295
ENSG00000005812,1184
ENSG00000005844,403
ENSG00000005882,1167
ENSG00000005884,915
ENSG00000005889,1499
ENSG00000005893,12350
ENSG00000005961,39
ENSG00000005981,17
ENSG00000006007,7066
ENSG00000006015,3167
ENSG00000006016,141
ENSG00000006025,739
ENSG00000006042,6966
ENSG00000006047,1767
ENSG00000006059,10
ENSG00000006062,1039
ENSG00000006071,20
ENSG00000006116,0
ENSG00000006118,13111
ENSG00000006125,1007
ENSG00000006128,2
ENSG00000006194,2523
ENSG00000006210,8046
ENSG00000006282,4773
ENSG00000006283,2
ENSG00000006327,1595
ENSG00000006377,0
ENSG00000006432,1736
ENSG00000006451,6247
ENSG00000006453,3929
ENSG00000006459,539
ENSG00000006468,85
ENSG00000006530,1619
ENSG00000006534,1669
ENSG00000006555,669
ENSG00000006576,1319
ENSG00000006606,10
ENSG00000006607,1145
ENSG00000006611,19
ENSG00000006625,11719
ENSG00000006634,1292
ENSG00000006638,61
ENSG00000006652,3775
ENSG00000006659,0
ENSG00000006695,1920
ENSG00000006704,2976
ENSG00000006712,5201
ENSG00000006715,4186
ENSG00000006740,177
ENSG00000006744,5862
ENSG00000006747,125
ENSG00000006756,2431
ENSG00000006757,829
ENSG00000006788,75
ENSG00000006831,7517
ENSG00000006837,31
ENSG00000007001,30
ENSG00000007038,5950
ENSG00000007047,4582
ENSG00000007062,1442
ENSG00000007080,9916
ENSG00000007129,36
ENSG00000007168,11940
ENSG00000007171,38
ENSG00000007174,30
ENSG00000007202,15152
ENSG00000007216,177
ENSG00000007237,999
ENSG00000007255,3643
ENSG00000007264,88
ENSG00000007306,0
ENSG00000007312,142
ENSG00000007314,17
ENSG00000007341,1062
ENSG00000007350,4
ENSG00000007372,37
ENSG00000007376,2240
ENSG00000007384,2122
ENSG00000007392,1392
ENSG00000007402,84
ENSG00000007516,71
ENSG00000007520,2953
ENSG00000007541,3704
ENSG00000007545,2344
ENSG00000007866,2509
ENSG00000007908,44
ENSG00000007923,3362
ENSG00000007933,45
ENSG00000007944,1709
ENSG00000007952,19
ENSG00000007968,730
ENSG00000008018,14777
ENSG00000008056,75
ENSG00000008083,4117
ENSG00000008086,756
ENSG00000008118,65
ENSG00000008128,392
ENSG00000008130,5438
ENSG00000008196,412
ENSG00000008197,48
ENSG00000008226,150
ENSG00000008256,3735
ENSG00000008277,200
ENSG00000008282,6634
ENSG00000008283,6117
ENSG00000008294,3336
ENSG00000008300,549
ENSG00000008311,535
ENSG00000008323,6482
ENSG00000008324,920
ENSG00000008382,2238
ENSG00000008394,19576
ENSG00000008405,1395
ENSG00000008438,4
ENSG00000008441,17775
ENSG00000008513,2719
ENSG00000008516,53
ENSG00000008517,772
ENSG00000008710,3570
ENSG00000008735,190
ENSG00000008838,8167
ENSG00000008853,444
ENSG00000008869,2573
ENSG00000008952,5354
ENSG00000008988,141756
ENSG00000009307,64168
ENSG00000009335,7066
ENSG00000009413,1300
ENSG00000009694,497
ENSG00000009709,1
ENSG00000009724,12
ENSG00000009765,135
ENSG00000009780,438
ENSG00000009790,136
ENSG00000009830,4199
ENSG00000009844,7179
ENSG00000009950,32
ENSG00000009954,10180
ENSG00000010017,2765
ENSG00000010030,104
ENSG00000010072,986
ENSG00000010165,5400
ENSG00000010219,3908
ENSG00000010244,9281
ENSG00000010256,9643
ENSG00000010270,1824
ENSG00000010278,45231
ENSG00000010282,32
ENSG00000010292,31706
ENSG00000010295,244
ENSG00000010310,12
ENSG00000010318,150
ENSG00000010319,324
ENSG00000010322,3169
ENSG00000010327,1439
ENSG00000010361,2529
ENSG00000010379,17
ENSG00000010404,2942
ENSG00000010438,318
ENSG00000010539,677
ENSG00000010610,1435
ENSG00000010626,523
ENSG00000010671,222
ENSG00000010704,949
ENSG00000010803,1571
ENSG00000010810,3893
ENSG00000010818,1529
ENSG00000010932,82
ENSG00000011007,3708
ENSG00000011009,3765
ENSG00000011021,522
ENSG00000011028,2812
ENSG00000011052,15
ENSG00000011083,1
ENSG00000011105,5659
ENSG00000011114,1617
ENSG00000011132,657
ENSG00000011143,666
ENSG00000011198,865
ENSG00000011201,1923
ENSG00000011243,3265
ENSG00000011258,1463
ENSG00000011260,1509
ENSG00000011275,5345
ENSG00000011295,7161
ENSG00000011304,13449
ENSG00000011332,265
ENSG00000011347,5457
ENSG00000011376,1034
ENSG00000011405,3447
ENSG00000011422,911
ENSG00000011426,3368
ENSG00000011451,10632
ENSG00000011454,5174
ENSG00000011465,6052
ENSG00000011478,1776
ENSG00000011485,5466
ENSG00000011523,3138
ENSG00000011566,1457
ENSG00000011590,15
ENSG00000011600,1667
ENSG00000011638,2926
ENSG00000011677,1915
ENSG00000012048,674
ENSG00000012061,6663
ENSG00000012124,167
ENSG00000012171,176
ENSG00000012174,1099
ENSG00000012211,620
ENSG00000012223,2102
ENSG00000012232,3607
ENSG00000012504,9
ENSG00000012660,5895
ENSG00000012779,7296
ENSG00000012817,1
ENSG00000012822,3160
ENSG00000012963,1820
ENSG00000012983,3319
ENSG00000013016,276
ENSG00000013275,6991
ENSG00000013288,2442
ENSG00000013293,2
ENSG00000013297,138
ENSG00000013306,18289
ENSG00000013364,2310
ENSG00000013374,5037
ENSG00000013375,2868
ENSG00000013392,659
ENSG00000013441,2177
ENSG00000013503,1055
ENSG00000013523,1830
ENSG00000013561,2298
ENSG00000013563,1108
ENSG00000013573,4326
ENSG00000013583,8863
ENSG00000013588,4971
ENSG00000013619,2239
ENSG00000013725,653
ENSG00000013810,4118
ENSG00000014123,3369
ENSG00000014138,2695
ENSG00000014164,2370
ENSG00000014216,23251
ENSG00000014257,13
ENSG00000014641,14181
ENSG00000014824,5680
ENSG00000014914,944
ENSG00000014919,5678
ENSG00000015133,6697
ENSG00000015153,868
ENSG00000015171,8716
ENSG00000015285,347
ENSG00000015413,18
ENSG00000015475,2475
ENSG00000015479,138
ENSG00000015520,11
ENSG00000015532,1464
ENSG00000015568,0
ENSG00000015592,8
ENSG00000015676,12232
ENSG00000016082,0
ENSG00000016391,1636
ENSG00000016402,1234
ENSG00000016490,0
ENSG00000016602,81
ENSG00000016864,1440
ENSG00000017260,5820
ENSG00000017427,36
ENSG00000017483,158
ENSG00000017797,3421
ENSG00000018189,2199
ENSG00000018236,38
ENSG00000018280,348
ENSG00000018408,6323
ENSG00000018510,3849
ENSG00000018607,3
ENSG00000018610,2005
ENSG00000018625,8
ENSG00000018699,1634
ENSG00000018869,263
ENSG00000019102,195
ENSG00000019144,5807
ENSG00000019169,80
ENSG00000019186,7
ENSG00000019485,1827
ENSG00000019505,1516
ENSG00000019549,256
ENSG00000019582,31872
ENSG00000019991,96
ENSG00000019995,3312
ENSG00000020129,1036
ENSG00000020181,700
ENSG00000020219,2
ENSG00000020256,865
ENSG00000020426,472
ENSG00000020577,146
ENSG00000020633,240
ENSG00000020922,3009
ENSG00000021300,27588
ENSG00000021355,2134
ENSG00000021461,0
ENSG00000021488,29
ENSG00000021574,2189
ENSG00000021645,99
ENSG00000021762,812
ENSG00000021776,1757
ENSG00000021826,402
ENSG00000021852,0
ENSG00000022267,341
ENSG00000022277,3661
ENSG00000022355,9
ENSG00000022556,1731
ENSG00000022567,2798
ENSG00000022840,11572
ENSG00000022976,433
ENSG00000023041,3502
ENSG00000023171,363
ENSG00000023191,4502
ENSG00000023228,6758
ENSG00000023287,4543
ENSG00000023318,3211
ENSG00000023330,2090
ENSG00000023445,266
ENSG00000023516,1534
ENSG00000023572,468
ENSG00000023608,308
ENSG00000023697,3294
ENSG00000023734,16387
ENSG00000023839,23
ENSG00000023892,364
ENSG00000023902,3865
ENSG00000023909,1650
ENSG00000024048,2435
ENSG00000024422,3114
ENSG00000024526,935
ENSG00000024862,1231
ENSG00000025039,2555
ENSG00000025156,1095
ENSG00000025293,2533
ENSG00000025423,78
ENSG00000025434,2225
ENSG00000025708,3172
ENSG00000025770,4263
ENSG00000025772,3655
ENSG00000025796,12610
ENSG00000025800,3085
ENSG00000026025,97720
ENSG00000026036,125
ENSG00000026103,914
ENSG00000026297,2097
ENSG00000026508,8270
ENSG00000026559,406
ENSG00000026652,538
ENSG00000026751,152
ENSG00000026950,2145
ENSG00000027001,2705
ENSG00000027075,768
ENSG00000027644,6
ENSG00000027697,16886
ENSG00000027847,1181
ENSG00000027869,524
ENSG00000028116,3131
ENSG00000028137,913
ENSG00000028203,4779
ENSG00000028277,338
ENSG00000028310,5293
ENSG00000028528,4178
ENSG00000028839,786
ENSG00000029153,1068
ENSG00000029363,6886
ENSG00000029364,6334
ENSG00000029534,224
ENSG00000029559,116
ENSG00000029639,632
ENSG00000029725,8613
ENSG00000029993,6760
ENSG00000030066,6572
ENSG00000030110,1681
ENSG00000030304,17
ENSG00000030419,516
ENSG00000030582,18831
ENSG00000031003,1150
ENSG00000031081,1152
ENSG00000031691,282
ENSG00000031698,13362
ENSG00000031823,2598
ENSG00000032219,454
ENSG00000032389,2025
ENSG00000032444,3360
ENSG00000032742,2074
ENSG00000033011,1845
ENSG00000033030,2091
ENSG00000033050,8399
ENSG00000033100,5532
ENSG00000033122,58
ENSG00000033170,1715
ENSG00000033178,3024
ENSG00000033327,13164
ENSG00000033627,2577
ENSG00000033800,1076
ENSG00000033867,983
ENSG00000034053,1784
ENSG00000034152,6968
ENSG00000034239,8
ENSG00000034510,59470
ENSG00000034533,329
ENSG00000034677,2130
ENSG00000034693,1697
ENSG00000034713,1922
ENSG00000034971,2
ENSG00000035115,3492
ENSG00000035141,6334
ENSG00000035403,9860
ENSG00000035499,910
ENSG00000035664,835
ENSG00000035681,1328
ENSG00000035687,2554
ENSG00000035720,10
ENSG00000035862,8151
ENSG00000035928,2426
ENSG00000036054,992
ENSG00000036257,2491
ENSG00000036448,174
ENSG00000036473,0
ENSG00000036530,26
ENSG00000036549,1699
ENSG00000036565,5
ENSG00000036672,303
ENSG00000036828,1
ENSG00000037042,1114
ENSG00000037241,856
ENSG00000037280,372
ENSG00000037474,11280
ENSG00000037637,1144
ENSG00000037749,459
ENSG00000037757,1561
ENSG00000037897,1238
ENSG00000037965,133
ENSG00000038002,1497
ENSG00000038210,1021
ENSG00000038219,1837
ENSG00000038274,2521
ENSG00000038295,22
ENSG00000038358,1265
ENSG00000038382,17996
ENSG00000038427,10253
ENSG00000038532,2851
ENSG00000038945,1252
ENSG00000039068,13919
ENSG00000039123,5583
ENSG00000039139,382
ENSG00000039319,1071
ENSG00000039523,1690
ENSG00000039537,11
ENSG00000039560,4459
ENSG00000039600,37
ENSG00000039650,2892
ENSG00000039987,3
ENSG00000040199,611
ENSG00000040275,964
ENSG00000040341,3108
ENSG00000040487,794
ENSG00000040531,3789
ENSG00000040608,1243
ENSG00000040633,3807
ENSG00000040731,2
ENSG00000040933,1133
ENSG00000041353,933
ENSG00000041357,7931
ENSG00000041515,37
ENSG00000041802,6444
ENSG00000041880,714
ENSG00000041982,2090
ENSG00000041988,1007
ENSG00000042062,46
ENSG00000042088,3800
ENSG00000042286,2378
ENSG00000042304,0
ENSG00000042317,1414
ENSG00000042429,4681
