Gene stable ID,f2c9ec34-d5f2-4393-a9a9-47c3cce55343
ENSG00000000003,1728
ENSG00000000005,8
ENSG00000000419,3064
ENSG00000000457,2831
ENSG00000000460,1922
ENSG00000000938,1591
ENSG00000000971,3687
ENSG00000001036,3670
ENSG00000001084,2617
ENSG00000001167,3571
ENSG00000001460,709
ENSG00000001461,4988
ENSG00000001497,5963
ENSG00000001561,917
ENSG00000001617,4425
ENSG00000001626,24
ENSG00000001629,10344
ENSG00000001630,204
ENSG00000001631,4444
ENSG00000002016,478
ENSG00000002079,42
ENSG00000002330,1956
ENSG00000002549,49411
ENSG00000002586,7789
ENSG00000002587,557
ENSG00000002726,68
ENSG00000002745,11
ENSG00000002746,134
ENSG00000002822,2401
ENSG00000002834,31717
ENSG00000002919,2377
ENSG00000002933,8900
ENSG00000003056,8080
ENSG00000003096,37
ENSG00000003137,2241
ENSG00000003147,723
ENSG00000003249,446
ENSG00000003393,1760
ENSG00000003400,1901
ENSG00000003402,14742
ENSG00000003436,435
ENSG00000003509,951
ENSG00000003756,7835
ENSG00000003987,55
ENSG00000003989,82
ENSG00000004059,8922
ENSG00000004139,372
ENSG00000004142,6937
ENSG00000004399,11229
ENSG00000004455,8077
ENSG00000004468,7541
ENSG00000004478,18130
ENSG00000004487,10896
ENSG00000004534,5627
ENSG00000004660,473
ENSG00000004700,4092
ENSG00000004766,3591
ENSG00000004776,88
ENSG00000004777,731
ENSG00000004779,2859
ENSG00000004799,1782
ENSG00000004809,31
ENSG00000004838,94
ENSG00000004846,0
ENSG00000004848,1506
ENSG00000004864,5104
ENSG00000004866,1089
ENSG00000004897,5040
ENSG00000004939,22
ENSG00000004948,121
ENSG00000004961,3268
ENSG00000004975,2170
ENSG00000005001,794
ENSG00000005007,13559
ENSG00000005020,3513
ENSG00000005022,24974
ENSG00000005059,1786
ENSG00000005073,1926
ENSG00000005075,2736
ENSG00000005100,2440
ENSG00000005102,116
ENSG00000005108,214
ENSG00000005156,2882
ENSG00000005175,3057
ENSG00000005187,575
ENSG00000005189,453
ENSG00000005194,3621
ENSG00000005206,3441
ENSG00000005238,4508
ENSG00000005243,785
ENSG00000005249,6885
ENSG00000005302,4667
ENSG00000005339,9585
ENSG00000005379,752
ENSG00000005381,37
ENSG00000005421,11
ENSG00000005436,1000
ENSG00000005448,734
ENSG00000005469,1191
ENSG00000005471,119
ENSG00000005483,11701
ENSG00000005486,7254
ENSG00000005513,2700
ENSG00000005700,5448
ENSG00000005801,2928
ENSG00000005810,12329
ENSG00000005812,3237
ENSG00000005844,14669
ENSG00000005882,1311
ENSG00000005884,13261
ENSG00000005889,5616
ENSG00000005893,22415
ENSG00000005961,25
ENSG00000005981,33
ENSG00000006007,6898
ENSG00000006015,2143
ENSG00000006016,201
ENSG00000006025,543
ENSG00000006042,253
ENSG00000006047,1692
ENSG00000006059,0
ENSG00000006062,3618
ENSG00000006071,1
ENSG00000006116,0
ENSG00000006118,3711
ENSG00000006125,21359
ENSG00000006128,0
ENSG00000006194,2676
ENSG00000006210,20916
ENSG00000006282,1690
ENSG00000006283,9
ENSG00000006327,1303
ENSG00000006377,268
ENSG00000006432,1673
ENSG00000006451,10124
ENSG00000006453,2931
ENSG00000006459,3994
ENSG00000006468,660
ENSG00000006530,2453
ENSG00000006534,1362
ENSG00000006555,1704
ENSG00000006576,3622
ENSG00000006606,26
ENSG00000006607,3961
ENSG00000006611,2
ENSG00000006625,4479
ENSG00000006634,2903
ENSG00000006638,108
ENSG00000006652,2874
ENSG00000006659,1
ENSG00000006695,1244
ENSG00000006704,2439
ENSG00000006712,6295
ENSG00000006715,5290
ENSG00000006740,122
ENSG00000006744,6808
ENSG00000006747,495
ENSG00000006756,8003
ENSG00000006757,1738
ENSG00000006788,14
ENSG00000006831,6100
ENSG00000006837,97
ENSG00000007001,20
ENSG00000007038,867
ENSG00000007047,3169
ENSG00000007062,1833
ENSG00000007080,3399
ENSG00000007129,635
ENSG00000007168,10943
ENSG00000007171,66
ENSG00000007174,10
ENSG00000007202,18143
ENSG00000007216,6
ENSG00000007237,2315
ENSG00000007255,1499
ENSG00000007264,503
ENSG00000007306,7
ENSG00000007312,879
ENSG00000007314,96
ENSG00000007341,448
ENSG00000007350,15
ENSG00000007372,115
ENSG00000007376,1906
ENSG00000007384,2359
ENSG00000007392,1605
ENSG00000007402,572
ENSG00000007516,37
ENSG00000007520,1866
ENSG00000007541,1829
ENSG00000007545,1532
ENSG00000007866,2377
ENSG00000007908,1311
ENSG00000007923,3221
ENSG00000007933,133
ENSG00000007944,3815
ENSG00000007952,60
ENSG00000007968,1730
ENSG00000008018,10573
ENSG00000008056,129
ENSG00000008083,2443
ENSG00000008086,1726
ENSG00000008118,54
ENSG00000008128,552
ENSG00000008130,7712
ENSG00000008196,3
ENSG00000008197,0
ENSG00000008226,155
ENSG00000008256,1633
ENSG00000008277,367
ENSG00000008282,11854
ENSG00000008283,9236
ENSG00000008294,8610
ENSG00000008300,2234
ENSG00000008311,186
ENSG00000008323,64
ENSG00000008324,2058
ENSG00000008382,1573
ENSG00000008394,99
ENSG00000008405,1546
ENSG00000008438,11
ENSG00000008441,2476
ENSG00000008513,15094
ENSG00000008516,711
ENSG00000008517,17061
ENSG00000008710,3543
ENSG00000008735,2684
ENSG00000008838,4941
ENSG00000008853,1585
ENSG00000008869,3939
ENSG00000008952,6838
ENSG00000008988,57046
ENSG00000009307,60866
ENSG00000009335,11629
ENSG00000009413,2692
ENSG00000009694,680
ENSG00000009709,80
ENSG00000009724,282
ENSG00000009765,1
ENSG00000009780,1410
ENSG00000009790,3240
ENSG00000009830,1173
ENSG00000009844,3704
ENSG00000009950,20
ENSG00000009954,28260
ENSG00000010017,3704
ENSG00000010030,3247
ENSG00000010072,1820
ENSG00000010165,6318
ENSG00000010219,836
ENSG00000010244,12075
ENSG00000010256,9291
ENSG00000010270,2886
ENSG00000010278,11619
ENSG00000010282,36
ENSG00000010292,9275
ENSG00000010295,1512
ENSG00000010310,121
ENSG00000010318,479
ENSG00000010319,376
ENSG00000010322,8599
ENSG00000010327,12653
ENSG00000010361,1264
ENSG00000010379,15
ENSG00000010404,7398
ENSG00000010438,28
ENSG00000010539,1271
ENSG00000010610,21353
ENSG00000010626,322
ENSG00000010671,2390
ENSG00000010704,1243
ENSG00000010803,2791
ENSG00000010810,6072
ENSG00000010818,2839
ENSG00000010932,196
ENSG00000011007,8456
ENSG00000011009,6422
ENSG00000011021,1427
ENSG00000011028,4209
ENSG00000011052,57
ENSG00000011083,1
ENSG00000011105,3304
ENSG00000011114,3132
ENSG00000011132,1873
ENSG00000011143,729
ENSG00000011198,1924
ENSG00000011201,4806
ENSG00000011243,4801
ENSG00000011258,1685
ENSG00000011260,3633
ENSG00000011275,8932
ENSG00000011295,2929
ENSG00000011304,26733
ENSG00000011332,96
ENSG00000011347,3601
ENSG00000011376,2497
ENSG00000011405,4874
ENSG00000011422,4002
ENSG00000011426,5220
ENSG00000011451,6790
ENSG00000011454,6737
ENSG00000011465,11622
ENSG00000011478,1609
ENSG00000011485,4748
ENSG00000011523,895
ENSG00000011566,2767
ENSG00000011590,172
ENSG00000011600,12353
ENSG00000011638,4401
ENSG00000011677,1486
ENSG00000012048,2621
ENSG00000012061,5476
ENSG00000012124,397
ENSG00000012171,213
ENSG00000012174,4103
ENSG00000012211,2017
ENSG00000012223,636377
ENSG00000012232,4742
ENSG00000012504,0
ENSG00000012660,8640
ENSG00000012779,3129
ENSG00000012817,0
ENSG00000012822,6253
ENSG00000012963,4285
ENSG00000012983,2764
ENSG00000013016,472
ENSG00000013275,12874
ENSG00000013288,6950
ENSG00000013293,0
ENSG00000013297,109
ENSG00000013306,12110
ENSG00000013364,19548
ENSG00000013374,20178
ENSG00000013375,3457
ENSG00000013392,471
ENSG00000013441,3720
ENSG00000013503,1102
ENSG00000013523,3691
ENSG00000013561,3728
ENSG00000013563,1801
ENSG00000013573,1805
ENSG00000013583,1622
ENSG00000013588,746
ENSG00000013619,288
ENSG00000013725,4443
ENSG00000013810,5806
ENSG00000014123,3376
ENSG00000014138,2381
ENSG00000014164,3824
ENSG00000014216,22928
ENSG00000014257,74
ENSG00000014641,8284
ENSG00000014824,5224
ENSG00000014914,484
ENSG00000014919,3273
ENSG00000015133,8022
ENSG00000015153,926
