Gene stable ID,66349271-e9d6-468b-bd25-5e649c8177b6
ENSG00000000003,7362
ENSG00000000005,234
ENSG00000000419,1813
ENSG00000000457,1684
ENSG00000000460,390
ENSG00000000938,471
ENSG00000000971,13575
ENSG00000001036,4534
ENSG00000001084,2856
ENSG00000001167,2814
ENSG00000001460,774
ENSG00000001461,5229
ENSG00000001497,2391
ENSG00000001561,1636
ENSG00000001617,1877
ENSG00000001626,80
ENSG00000001629,4630
ENSG00000001630,146
ENSG00000001631,2776
ENSG00000002016,492
ENSG00000002079,5
ENSG00000002330,981
ENSG00000002549,5909
ENSG00000002586,17702
ENSG00000002587,534
ENSG00000002726,24
ENSG00000002745,2
ENSG00000002746,93
ENSG00000002822,582
ENSG00000002834,12709
ENSG00000002919,1774
ENSG00000002933,2648
ENSG00000003056,5191
ENSG00000003096,4933
ENSG00000003137,1146
ENSG00000003147,1736
ENSG00000003249,571
ENSG00000003393,2152
ENSG00000003400,1234
ENSG00000003402,10886
ENSG00000003436,11666
ENSG00000003509,718
ENSG00000003756,7419
ENSG00000003987,171
ENSG00000003989,5861
ENSG00000004059,5076
ENSG00000004139,535
ENSG00000004142,5555
ENSG00000004399,7642
ENSG00000004455,7603
ENSG00000004468,153
ENSG00000004478,8001
ENSG00000004487,5951
ENSG00000004534,4106
ENSG00000004660,1204
ENSG00000004700,2241
ENSG00000004766,2376
ENSG00000004776,8894
ENSG00000004777,241
ENSG00000004779,2246
ENSG00000004799,22270
ENSG00000004809,8
ENSG00000004838,69
ENSG00000004846,1034
ENSG00000004848,23
ENSG00000004864,1647
ENSG00000004866,2492
ENSG00000004897,5727
ENSG00000004939,11
ENSG00000004948,26
ENSG00000004961,1119
ENSG00000004975,1411
ENSG00000005001,149
ENSG00000005007,4631
ENSG00000005020,5493
ENSG00000005022,13405
ENSG00000005059,1688
ENSG00000005073,27
ENSG00000005075,992
ENSG00000005100,2158
ENSG00000005102,1121
ENSG00000005108,851
ENSG00000005156,1687
ENSG00000005175,1953
ENSG00000005187,1166
ENSG00000005189,353
ENSG00000005194,2237
ENSG00000005206,1034
ENSG00000005238,951
ENSG00000005243,2120
ENSG00000005249,4368
ENSG00000005302,2512
ENSG00000005339,9503
ENSG00000005379,932
ENSG00000005381,51
ENSG00000005421,9
ENSG00000005436,1961
ENSG00000005448,433
ENSG00000005469,1956
ENSG00000005471,149
ENSG00000005483,10465
