Gene stable ID,b10c414e-48ce-455a-9421-e76101b7e694
ENSG00000000003,3648
ENSG00000000005,36
ENSG00000000419,2144
ENSG00000000457,6955
ENSG00000000460,1343
ENSG00000000938,555
ENSG00000000971,6840
ENSG00000001036,2730
ENSG00000001084,2283
ENSG00000001167,4069
ENSG00000001460,752
ENSG00000001461,5219
ENSG00000001497,2776
ENSG00000001561,3255
ENSG00000001617,5400
ENSG00000001626,34
ENSG00000001629,5770
ENSG00000001630,374
ENSG00000001631,3222
ENSG00000002016,618
ENSG00000002079,13
ENSG00000002330,862
ENSG00000002549,7630
ENSG00000002586,8218
ENSG00000002587,281
ENSG00000002726,24
ENSG00000002745,11
ENSG00000002746,57
ENSG00000002822,975
ENSG00000002834,23123
ENSG00000002919,1462
ENSG00000002933,1458
ENSG00000003056,5539
ENSG00000003096,1962
ENSG00000003137,261
ENSG00000003147,5896
ENSG00000003249,817
ENSG00000003393,2718
ENSG00000003400,1088
ENSG00000003402,9033
ENSG00000003436,3424
ENSG00000003509,900
ENSG00000003756,8519
ENSG00000003987,162
ENSG00000003989,5976
ENSG00000004059,5813
ENSG00000004139,429
ENSG00000004142,5652
ENSG00000004399,9902
ENSG00000004455,7287
ENSG00000004468,173
ENSG00000004478,11759
ENSG00000004487,6057
ENSG00000004534,6729
ENSG00000004660,1691
ENSG00000004700,2906
ENSG00000004766,2856
ENSG00000004776,1106
ENSG00000004777,454
ENSG00000004779,2571
ENSG00000004799,7413
ENSG00000004809,13
ENSG00000004838,1474
ENSG00000004846,218
ENSG00000004848,3
ENSG00000004864,1362
ENSG00000004866,1881
ENSG00000004897,5971
ENSG00000004939,2
ENSG00000004948,23
ENSG00000004961,1160
ENSG00000004975,2320
ENSG00000005001,804
ENSG00000005007,7316
ENSG00000005020,2740
ENSG00000005022,10563
ENSG00000005059,1244
ENSG00000005073,7
ENSG00000005075,943
ENSG00000005100,2370
ENSG00000005102,1608
ENSG00000005108,1415
ENSG00000005156,3774
ENSG00000005175,2753
ENSG00000005187,461
ENSG00000005189,818
ENSG00000005194,1718
ENSG00000005206,1400
ENSG00000005238,1183
ENSG00000005243,940
ENSG00000005249,4652
ENSG00000005302,1813
ENSG00000005339,13540
ENSG00000005379,1484
ENSG00000005381,18
ENSG00000005421,22
ENSG00000005436,2190
ENSG00000005448,584
ENSG00000005469,3166
ENSG00000005471,117
ENSG00000005483,10452
ENSG00000005486,4369
ENSG00000005513,70
ENSG00000005700,8550
ENSG00000005801,1553
ENSG00000005810,8923
ENSG00000005812,8407
ENSG00000005844,1484
ENSG00000005882,1379
ENSG00000005884,5975
ENSG00000005889,5011
ENSG00000005893,13524
ENSG00000005961,29
ENSG00000005981,23
ENSG00000006007,12963
ENSG00000006015,273
ENSG00000006016,197
ENSG00000006025,710
ENSG00000006042,5701
ENSG00000006047,377
ENSG00000006059,5
ENSG00000006062,2640
ENSG00000006071,275
ENSG00000006116,0
ENSG00000006118,1936
ENSG00000006125,26285
ENSG00000006128,222
ENSG00000006194,4048
ENSG00000006210,6237
ENSG00000006282,3534
ENSG00000006283,526
ENSG00000006327,6684
ENSG00000006377,3
ENSG00000006432,1475
ENSG00000006451,5176
ENSG00000006453,2024
ENSG00000006459,5872
ENSG00000006468,815
ENSG00000006530,1834
ENSG00000006534,576
ENSG00000006555,286
ENSG00000006576,2541
ENSG00000006606,10
ENSG00000006607,4423
ENSG00000006611,1
ENSG00000006625,3665
ENSG00000006634,772
ENSG00000006638,172
ENSG00000006652,1982
ENSG00000006659,0
ENSG00000006695,1009
ENSG00000006704,1859
ENSG00000006712,4731
ENSG00000006715,4838
ENSG00000006740,384
ENSG00000006744,3994
ENSG00000006747,149
ENSG00000006756,8841
ENSG00000006757,1806
ENSG00000006788,39
ENSG00000006831,6132
ENSG00000006837,69
ENSG00000007001,5
ENSG00000007038,15
ENSG00000007047,2347
ENSG00000007062,6363
ENSG00000007080,981
ENSG00000007129,74
ENSG00000007168,12546
ENSG00000007171,41
ENSG00000007174,37
ENSG00000007202,19085
ENSG00000007216,1217
ENSG00000007237,5813
ENSG00000007255,762
ENSG00000007264,108
ENSG00000007306,19
ENSG00000007312,418
ENSG00000007314,223
ENSG00000007341,885
ENSG00000007350,14
ENSG00000007372,163
ENSG00000007376,910
ENSG00000007384,3925
ENSG00000007392,2908
ENSG00000007402,964
ENSG00000007516,2430
ENSG00000007520,1652
ENSG00000007541,5371
ENSG00000007545,2188
ENSG00000007866,4005
ENSG00000007908,2185
ENSG00000007923,2270
ENSG00000007933,90
ENSG00000007944,2597
ENSG00000007952,66
ENSG00000007968,250
ENSG00000008018,6024
ENSG00000008056,75
ENSG00000008083,3119
ENSG00000008086,2340
ENSG00000008118,17
ENSG00000008128,257
ENSG00000008130,3075
ENSG00000008196,13218
ENSG00000008197,0
ENSG00000008226,70
ENSG00000008256,2999
ENSG00000008277,1332
ENSG00000008282,9468
ENSG00000008283,6004
ENSG00000008294,8634
ENSG00000008300,218
ENSG00000008311,943
ENSG00000008323,841
ENSG00000008324,797
ENSG00000008382,726
ENSG00000008394,4382
ENSG00000008405,3891
ENSG00000008438,4
ENSG00000008441,7761
ENSG00000008513,4572
ENSG00000008516,124
ENSG00000008517,722
ENSG00000008710,5194
ENSG00000008735,297
ENSG00000008838,4612
ENSG00000008853,1969
ENSG00000008869,5436
ENSG00000008952,15888
ENSG00000008988,30461
ENSG00000009307,49371
ENSG00000009335,8855
ENSG00000009413,4023
ENSG00000009694,61
ENSG00000009709,0
ENSG00000009724,163
ENSG00000009765,14
ENSG00000009780,1326
ENSG00000009790,457
ENSG00000009830,1469
ENSG00000009844,3455
ENSG00000009950,92
ENSG00000009954,10799
ENSG00000010017,3933
ENSG00000010030,139
ENSG00000010072,1257
ENSG00000010165,3797
ENSG00000010219,1068
ENSG00000010244,10746
ENSG00000010256,6530
ENSG00000010270,1834
ENSG00000010278,18025
ENSG00000010282,9
ENSG00000010292,4883
ENSG00000010295,437
ENSG00000010310,387
ENSG00000010318,388
ENSG00000010319,3121
ENSG00000010322,7270
ENSG00000010327,3944
ENSG00000010361,1163
ENSG00000010379,0
ENSG00000010404,9617
ENSG00000010438,7
ENSG00000010539,1107
ENSG00000010610,4717
ENSG00000010626,487
ENSG00000010671,519
ENSG00000010704,2350
ENSG00000010803,3803
ENSG00000010810,2589
ENSG00000010818,5018
ENSG00000010932,807
ENSG00000011007,3938
ENSG00000011009,2871
ENSG00000011021,1826
ENSG00000011028,10867
ENSG00000011052,29
ENSG00000011083,5
ENSG00000011105,6268
ENSG00000011114,3545
ENSG00000011132,612
ENSG00000011143,1198
ENSG00000011198,1431
ENSG00000011201,2189
ENSG00000011243,2450
ENSG00000011258,2668
ENSG00000011260,2444
ENSG00000011275,4308
ENSG00000011295,5221
ENSG00000011304,15159
ENSG00000011332,18
ENSG00000011347,2983
ENSG00000011376,1641
ENSG00000011405,9386
ENSG00000011422,1675
ENSG00000011426,1096
ENSG00000011451,3424
ENSG00000011454,5961
ENSG00000011465,63899
ENSG00000011478,680
ENSG00000011485,2962
ENSG00000011523,3761
ENSG00000011566,3837
ENSG00000011590,30
ENSG00000011600,1575
ENSG00000011638,2266
ENSG00000011677,3
ENSG00000012048,1390
ENSG00000012061,3402
ENSG00000012124,390
ENSG00000012171,985
ENSG00000012174,2487
ENSG00000012211,535
ENSG00000012223,58136
ENSG00000012232,3025
ENSG00000012504,0
ENSG00000012660,30430
ENSG00000012779,1320
ENSG00000012817,0
ENSG00000012822,7093
ENSG00000012963,3080
ENSG00000012983,5021
ENSG00000013016,1593
ENSG00000013275,3450
ENSG00000013288,5355
ENSG00000013293,16
ENSG00000013297,855
ENSG00000013306,3941
ENSG00000013364,9859
ENSG00000013374,4845
ENSG00000013375,3631
ENSG00000013392,560
ENSG00000013441,7503
ENSG00000013503,1148
ENSG00000013523,1755
ENSG00000013561,4220
ENSG00000013563,1073
ENSG00000013573,897
ENSG00000013583,3312
ENSG00000013588,20119
ENSG00000013619,516
ENSG00000013725,481
ENSG00000013810,1712
ENSG00000014123,4904
ENSG00000014138,1210
ENSG00000014164,1018
ENSG00000014216,9341
ENSG00000014257,119
ENSG00000014641,6542
ENSG00000014824,7293
ENSG00000014914,1664
ENSG00000014919,2923
ENSG00000015133,2345
ENSG00000015153,995
ENSG00000015171,14387
ENSG00000015285,472
ENSG00000015413,67
ENSG00000015475,1237
ENSG00000015479,634
ENSG00000015520,30
ENSG00000015532,1685
ENSG00000015568,2
ENSG00000015592,10
ENSG00000015676,6797
ENSG00000016082,2
ENSG00000016391,4281
ENSG00000016402,2666
ENSG00000016490,2
ENSG00000016602,233
ENSG00000016864,3786
ENSG00000017260,9118
ENSG00000017427,998
ENSG00000017483,226
ENSG00000017797,6104
ENSG00000018189,3644
ENSG00000018236,2328
ENSG00000018280,96
ENSG00000018408,11311
ENSG00000018510,5221
ENSG00000018607,0
ENSG00000018610,1918
ENSG00000018625,317
ENSG00000018699,2045
ENSG00000018869,385
ENSG00000019102,271
ENSG00000019144,6332
ENSG00000019169,9
ENSG00000019186,59
ENSG00000019485,1050
ENSG00000019505,8
ENSG00000019549,1887
ENSG00000019582,83680
ENSG00000019991,1215
ENSG00000019995,2821
ENSG00000020129,3417
ENSG00000020181,5020
ENSG00000020219,2
ENSG00000020256,1104
ENSG00000020426,1324
ENSG00000020577,1565
ENSG00000020633,816
ENSG00000020922,3074
ENSG00000021300,646
ENSG00000021355,5201
ENSG00000021461,7
ENSG00000021488,18
ENSG00000021574,2127
ENSG00000021645,205
ENSG00000021762,2387
ENSG00000021776,6754
ENSG00000021826,510
ENSG00000021852,26
ENSG00000022267,3429
ENSG00000022277,5293
ENSG00000022355,0
ENSG00000022556,2422
ENSG00000022567,1040
ENSG00000022840,10927
ENSG00000022976,556
ENSG00000023041,3007
ENSG00000023171,212
ENSG00000023191,6878
ENSG00000023228,9995
ENSG00000023287,6644
ENSG00000023318,4008
ENSG00000023330,5588
ENSG00000023445,3121
ENSG00000023516,7767
ENSG00000023572,440
ENSG00000023608,738
ENSG00000023697,1695
ENSG00000023734,7848
ENSG00000023839,34
ENSG00000023892,1012
ENSG00000023902,4523
ENSG00000023909,1416
ENSG00000024048,5514
ENSG00000024422,7891
ENSG00000024526,469
ENSG00000024862,1957
ENSG00000025039,575
ENSG00000025156,1339
ENSG00000025293,6686
ENSG00000025423,213
ENSG00000025434,1169
ENSG00000025708,1275
ENSG00000025770,2178
ENSG00000025772,2571
ENSG00000025796,10867
ENSG00000025800,7333
ENSG00000026025,56518
ENSG00000026036,115
ENSG00000026103,1438
ENSG00000026297,1731
ENSG00000026508,33100
ENSG00000026559,20
ENSG00000026652,694
ENSG00000026751,529
ENSG00000026950,2792
ENSG00000027001,2404
ENSG00000027075,3536
ENSG00000027644,32
ENSG00000027697,6669
ENSG00000027847,1061
ENSG00000027869,86
ENSG00000028116,1668
ENSG00000028137,3548
ENSG00000028203,6713
ENSG00000028277,633
ENSG00000028310,2282
ENSG00000028528,12630
ENSG00000028839,783
ENSG00000029153,685
ENSG00000029363,14560
ENSG00000029364,7208
ENSG00000029534,54
ENSG00000029559,49
ENSG00000029639,580
ENSG00000029725,22381
ENSG00000029993,882
ENSG00000030066,5091
ENSG00000030110,1032
ENSG00000030304,6
ENSG00000030419,2048
ENSG00000030582,10831
ENSG00000031003,4518
ENSG00000031081,4100
ENSG00000031691,388
ENSG00000031698,7686
ENSG00000031823,3536
ENSG00000032219,3216
ENSG00000032389,1067
ENSG00000032444,1961
ENSG00000032742,2334
ENSG00000033011,1622
ENSG00000033030,2232
ENSG00000033050,3829
ENSG00000033100,3564
ENSG00000033122,56
ENSG00000033170,5256
ENSG00000033178,4935
ENSG00000033327,2921
ENSG00000033627,5063
ENSG00000033800,4794
ENSG00000033867,4840
ENSG00000034053,122
ENSG00000034152,3660
ENSG00000034239,120
ENSG00000034510,30535
ENSG00000034533,872
ENSG00000034677,8129
ENSG00000034693,1372
ENSG00000034713,4325
ENSG00000034971,69
ENSG00000035115,4624
ENSG00000035141,1907
ENSG00000035403,27767
ENSG00000035499,190
ENSG00000035664,1046
ENSG00000035681,2194
ENSG00000035687,8199
ENSG00000035720,37
ENSG00000035862,29857
ENSG00000035928,6081
ENSG00000036054,3510
ENSG00000036257,8326
ENSG00000036448,110
ENSG00000036473,1
ENSG00000036530,84
ENSG00000036549,5902
ENSG00000036565,7
ENSG00000036672,220
ENSG00000036828,0
ENSG00000037042,831
ENSG00000037241,797
ENSG00000037280,1583
ENSG00000037474,5088
ENSG00000037637,2382
ENSG00000037749,3612
ENSG00000037757,1587
ENSG00000037897,983
ENSG00000037965,280
ENSG00000038002,1607
ENSG00000038210,1250
ENSG00000038219,8054
ENSG00000038274,5337
ENSG00000038295,1058
ENSG00000038358,2324
ENSG00000038382,9666
ENSG00000038427,54885
ENSG00000038532,3988
ENSG00000038945,1400
ENSG00000039068,14215
ENSG00000039123,6448
ENSG00000039139,3613
ENSG00000039319,6485
ENSG00000039523,3694
ENSG00000039537,150
ENSG00000039560,5259
ENSG00000039600,5
ENSG00000039650,1358
ENSG00000039987,1
ENSG00000040199,1715
ENSG00000040275,739
ENSG00000040341,4403
ENSG00000040487,816
ENSG00000040531,990
ENSG00000040608,113
ENSG00000040633,2810
ENSG00000040731,1
ENSG00000040933,2398
ENSG00000041353,9394
ENSG00000041357,5685
ENSG00000041515,40
ENSG00000041802,3227
ENSG00000041880,2387
ENSG00000041982,20730
ENSG00000041988,596
ENSG00000042062,282
