Gene stable ID,a9b6930b-e23c-4a0d-be63-736124ee0280
ENSG00000000003,2724
ENSG00000000005,7
ENSG00000000419,1962
ENSG00000000457,1973
ENSG00000000460,867
ENSG00000000938,322
ENSG00000000971,2414
ENSG00000001036,5651
ENSG00000001084,2732
ENSG00000001167,4620
ENSG00000001460,954
ENSG00000001461,5320
ENSG00000001497,2143
ENSG00000001561,2220
ENSG00000001617,4454
ENSG00000001626,476
ENSG00000001629,6284
ENSG00000001630,385
ENSG00000001631,2527
ENSG00000002016,380
ENSG00000002079,133
ENSG00000002330,2150
ENSG00000002549,7590
ENSG00000002586,22510
ENSG00000002587,406
ENSG00000002726,53
ENSG00000002745,15
ENSG00000002746,25
ENSG00000002822,1349
ENSG00000002834,13127
ENSG00000002919,1503
ENSG00000002933,6442
ENSG00000003056,3227
ENSG00000003096,176
ENSG00000003137,763
ENSG00000003147,1789
ENSG00000003249,3582
ENSG00000003393,1412
ENSG00000003400,186
ENSG00000003402,5871
ENSG00000003436,600
ENSG00000003509,976
ENSG00000003756,4356
ENSG00000003987,117
ENSG00000003989,89
ENSG00000004059,11160
ENSG00000004139,199
ENSG00000004142,5818
ENSG00000004399,8180
ENSG00000004455,6491
ENSG00000004468,62
ENSG00000004478,11125
ENSG00000004487,7691
ENSG00000004534,4123
ENSG00000004660,2123
ENSG00000004700,1391
ENSG00000004766,1837
ENSG00000004776,116
ENSG00000004777,478
ENSG00000004779,2732
ENSG00000004799,90
ENSG00000004809,151
ENSG00000004838,257
ENSG00000004846,7
ENSG00000004848,7
ENSG00000004864,3117
ENSG00000004866,2201
ENSG00000004897,4617
ENSG00000004939,1
ENSG00000004948,10
ENSG00000004961,1092
ENSG00000004975,2235
ENSG00000005001,1394
ENSG00000005007,7885
ENSG00000005020,2130
ENSG00000005022,8699
ENSG00000005059,1081
ENSG00000005073,65
ENSG00000005075,2547
ENSG00000005100,3252
ENSG00000005102,136
ENSG00000005108,62
ENSG00000005156,3494
ENSG00000005175,1649
ENSG00000005187,278
ENSG00000005189,202
ENSG00000005194,3370
ENSG00000005206,2951
ENSG00000005238,1623
ENSG00000005243,1280
ENSG00000005249,1188
ENSG00000005302,3999
