Gene stable ID,01ca4ce4-f8d0-4a72-99e2-9e88b820906b
ENSG00000000003,2418
ENSG00000000005,11
ENSG00000000419,979
ENSG00000000457,976
ENSG00000000460,254
ENSG00000000938,171
ENSG00000000971,468
ENSG00000001036,2936
ENSG00000001084,1130
ENSG00000001167,3106
ENSG00000001460,1456
ENSG00000001461,885
ENSG00000001497,2560
ENSG00000001561,105
ENSG00000001617,5197
ENSG00000001626,6
ENSG00000001629,2943
ENSG00000001630,118
ENSG00000001631,1383
ENSG00000002016,290
ENSG00000002079,18
ENSG00000002330,2480
ENSG00000002549,2071
ENSG00000002586,10871
ENSG00000002587,68
ENSG00000002726,25
ENSG00000002745,0
ENSG00000002746,5
ENSG00000002822,2756
ENSG00000002834,104748
ENSG00000002919,711
ENSG00000002933,411
ENSG00000003056,2113
ENSG00000003096,46
ENSG00000003137,77
ENSG00000003147,4722
ENSG00000003249,7337
ENSG00000003393,1219
ENSG00000003400,206
ENSG00000003402,3395
ENSG00000003436,691
ENSG00000003509,408
ENSG00000003756,2388
ENSG00000003987,28
ENSG00000003989,1043
ENSG00000004059,17467
ENSG00000004139,258
ENSG00000004142,14146
ENSG00000004399,8769
ENSG00000004455,2497
ENSG00000004468,54
ENSG00000004478,99289
ENSG00000004487,9002
ENSG00000004534,5966
ENSG00000004660,354
ENSG00000004700,510
ENSG00000004766,1036
ENSG00000004776,158
ENSG00000004777,1141
ENSG00000004779,4346
ENSG00000004799,494
ENSG00000004809,2
ENSG00000004838,41
ENSG00000004846,9
ENSG00000004848,11
ENSG00000004864,1510
ENSG00000004866,1256
ENSG00000004897,1194
ENSG00000004939,3
ENSG00000004948,3
ENSG00000004961,825
ENSG00000004975,1229
ENSG00000005001,991
ENSG00000005007,9808
ENSG00000005020,260
ENSG00000005022,13681
ENSG00000005059,1537
ENSG00000005073,9
ENSG00000005075,5508
ENSG00000005100,603
ENSG00000005102,125
ENSG00000005108,26
ENSG00000005156,2497
ENSG00000005175,1669
ENSG00000005187,124
ENSG00000005189,426
ENSG00000005194,5015
ENSG00000005206,5022
ENSG00000005238,670
ENSG00000005243,229
ENSG00000005249,2596
ENSG00000005302,1069
ENSG00000005339,5492
ENSG00000005379,3560
ENSG00000005381,37
ENSG00000005421,31
ENSG00000005436,861
ENSG00000005448,286
ENSG00000005469,324
ENSG00000005471,65
ENSG00000005483,3100
ENSG00000005486,6178
ENSG00000005513,20
ENSG00000005700,2015
ENSG00000005801,1596
ENSG00000005810,830
ENSG00000005812,549
ENSG00000005844,235
ENSG00000005882,306
ENSG00000005884,989
ENSG00000005889,972
ENSG00000005893,5672
ENSG00000005961,101
ENSG00000005981,39
ENSG00000006007,5263
ENSG00000006015,3391
ENSG00000006016,374
ENSG00000006025,780
ENSG00000006042,150
ENSG00000006047,311
ENSG00000006059,2
ENSG00000006062,1546
ENSG00000006071,1975
ENSG00000006116,1
ENSG00000006118,16954
ENSG00000006125,7639
ENSG00000006128,17
ENSG00000006194,2036
ENSG00000006210,1020
ENSG00000006282,2357
ENSG00000006283,22
ENSG00000006327,2706
ENSG00000006377,1
ENSG00000006432,377
ENSG00000006451,4065
ENSG00000006453,811
ENSG00000006459,2242
ENSG00000006468,113
ENSG00000006530,2281
ENSG00000006534,223
ENSG00000006555,18
ENSG00000006576,739
ENSG00000006606,6
ENSG00000006607,1713
ENSG00000006611,9
ENSG00000006625,7680
ENSG00000006634,1207
ENSG00000006638,47
ENSG00000006652,997
ENSG00000006659,0
ENSG00000006695,377
ENSG00000006704,6318
ENSG00000006712,3903
ENSG00000006715,3169
ENSG00000006740,164
ENSG00000006744,1643
ENSG00000006747,92
ENSG00000006756,4173
ENSG00000006757,1585
ENSG00000006788,0
ENSG00000006831,3695
ENSG00000006837,58
ENSG00000007001,1
ENSG00000007038,121
ENSG00000007047,4855
ENSG00000007062,282
ENSG00000007080,4790
ENSG00000007129,56
ENSG00000007168,3657
ENSG00000007171,39
ENSG00000007174,4
ENSG00000007202,9100
ENSG00000007216,8
ENSG00000007237,453
ENSG00000007255,1950
ENSG00000007264,51
ENSG00000007306,138
ENSG00000007312,50
ENSG00000007314,62
ENSG00000007341,381
ENSG00000007350,1
ENSG00000007372,64
ENSG00000007376,2738
ENSG00000007384,5753
ENSG00000007392,4226
ENSG00000007402,889
ENSG00000007516,56
ENSG00000007520,3852
ENSG00000007541,8090
ENSG00000007545,937
ENSG00000007866,6226
ENSG00000007908,115
ENSG00000007923,1190
ENSG00000007933,34
ENSG00000007944,6139
ENSG00000007952,50
ENSG00000007968,323
ENSG00000008018,12435
ENSG00000008056,13
ENSG00000008083,8800
ENSG00000008086,546
ENSG00000008118,14
ENSG00000008128,222
ENSG00000008130,2583
ENSG00000008196,115
ENSG00000008197,0
ENSG00000008226,56
ENSG00000008256,501
ENSG00000008277,86
ENSG00000008282,3887
ENSG00000008283,23562
ENSG00000008294,1093
ENSG00000008300,605
ENSG00000008311,27
ENSG00000008323,1520
ENSG00000008324,953
ENSG00000008382,1214
ENSG00000008394,13781
ENSG00000008405,538
ENSG00000008438,3
ENSG00000008441,2076
ENSG00000008513,2072
ENSG00000008516,4808
ENSG00000008517,136
ENSG00000008710,5655
ENSG00000008735,155
ENSG00000008838,19666
ENSG00000008853,436
ENSG00000008869,1611
ENSG00000008952,2571
ENSG00000008988,20444
ENSG00000009307,26972
ENSG00000009335,5476
ENSG00000009413,457
ENSG00000009694,4
ENSG00000009709,452
ENSG00000009724,30
ENSG00000009765,532
ENSG00000009780,570
ENSG00000009790,82
ENSG00000009830,745
ENSG00000009844,2531
ENSG00000009950,45
ENSG00000009954,6792
ENSG00000010017,18449
ENSG00000010030,9
ENSG00000010072,367
ENSG00000010165,1883
ENSG00000010219,1511
ENSG00000010244,5392
ENSG00000010256,5926
ENSG00000010270,1384
ENSG00000010278,43114
ENSG00000010282,3
ENSG00000010292,5771
ENSG00000010295,205
ENSG00000010310,9
ENSG00000010318,96
ENSG00000010319,359
ENSG00000010322,3070
ENSG00000010327,1459
ENSG00000010361,514
ENSG00000010379,3
ENSG00000010404,1504
ENSG00000010438,0
ENSG00000010539,369
ENSG00000010610,798
ENSG00000010626,1131
ENSG00000010671,139
ENSG00000010704,491
ENSG00000010803,2586
ENSG00000010810,365
ENSG00000010818,1598
ENSG00000010932,45
ENSG00000011007,1351
ENSG00000011009,7527
ENSG00000011021,505
ENSG00000011028,3657
ENSG00000011052,10
ENSG00000011083,64
ENSG00000011105,12945
ENSG00000011114,1071
ENSG00000011132,916
ENSG00000011143,2115
ENSG00000011198,1033
ENSG00000011201,390
ENSG00000011243,4992
ENSG00000011258,1137
ENSG00000011260,929
ENSG00000011275,3241
ENSG00000011295,1237
ENSG00000011304,23048
ENSG00000011332,45
ENSG00000011347,10243
ENSG00000011376,1139
ENSG00000011405,1783
ENSG00000011422,889
ENSG00000011426,1190
ENSG00000011451,6848
ENSG00000011454,2963
ENSG00000011465,3751
ENSG00000011478,794
ENSG00000011485,4485
ENSG00000011523,1053
ENSG00000011566,1447
ENSG00000011590,36
ENSG00000011600,1343
ENSG00000011638,2622
ENSG00000011677,10
ENSG00000012048,416
ENSG00000012061,2887
ENSG00000012124,69
ENSG00000012171,988
ENSG00000012174,808
ENSG00000012211,358
ENSG00000012223,1055
ENSG00000012232,731
ENSG00000012504,0
ENSG00000012660,2380
ENSG00000012779,305
ENSG00000012817,5
ENSG00000012822,2444
ENSG00000012963,2222
ENSG00000012983,1352
ENSG00000013016,291
ENSG00000013275,5760
