Gene stable ID,934db0a6-48ea-4b6d-8c8c-9101872fc068
ENSG00000000003,1711
ENSG00000000005,8
ENSG00000000419,1578
ENSG00000000457,849
ENSG00000000460,742
ENSG00000000938,387
ENSG00000000971,915
ENSG00000001036,4684
ENSG00000001084,2240
ENSG00000001167,2971
ENSG00000001460,354
ENSG00000001461,592
ENSG00000001497,3559
ENSG00000001561,715
ENSG00000001617,2238
ENSG00000001626,26
ENSG00000001629,4263
ENSG00000001630,358
ENSG00000001631,1528
ENSG00000002016,587
ENSG00000002079,2
ENSG00000002330,2816
ENSG00000002549,4650
ENSG00000002586,4331
ENSG00000002587,135
ENSG00000002726,1124
ENSG00000002745,1
ENSG00000002746,21
ENSG00000002822,1765
ENSG00000002834,9096
ENSG00000002919,1478
ENSG00000002933,1001
ENSG00000003056,3262
ENSG00000003096,246
ENSG00000003137,90
ENSG00000003147,859
ENSG00000003249,2659
ENSG00000003393,1850
ENSG00000003400,235
ENSG00000003402,3707
ENSG00000003436,3817
ENSG00000003509,746
ENSG00000003756,2529
ENSG00000003987,52
ENSG00000003989,460
ENSG00000004059,8778
ENSG00000004139,313
ENSG00000004142,8141
ENSG00000004399,10945
ENSG00000004455,4000
ENSG00000004468,231
ENSG00000004478,25695
ENSG00000004487,2909
ENSG00000004534,2710
ENSG00000004660,374
ENSG00000004700,1226
ENSG00000004766,1441
ENSG00000004776,107
ENSG00000004777,1238
ENSG00000004779,3219
ENSG00000004799,392
ENSG00000004809,5
ENSG00000004838,128
ENSG00000004846,6
ENSG00000004848,14
ENSG00000004864,2613
ENSG00000004866,1116
ENSG00000004897,4050
ENSG00000004939,6
ENSG00000004948,50
ENSG00000004961,1182
ENSG00000004975,1224
ENSG00000005001,1202
ENSG00000005007,7162
ENSG00000005020,804
ENSG00000005022,30953
ENSG00000005059,1169
ENSG00000005073,18
ENSG00000005075,2464
ENSG00000005100,1177
ENSG00000005102,48
ENSG00000005108,98
ENSG00000005156,1612
ENSG00000005175,2024
ENSG00000005187,224
ENSG00000005189,785
ENSG00000005194,1553
ENSG00000005206,1631
ENSG00000005238,1074
ENSG00000005243,574
ENSG00000005249,2084
ENSG00000005302,1226
ENSG00000005339,7038
ENSG00000005379,1052
ENSG00000005381,11
ENSG00000005421,15
ENSG00000005436,532
ENSG00000005448,263
ENSG00000005469,2261
ENSG00000005471,84
ENSG00000005483,2238
ENSG00000005486,4430
ENSG00000005513,12
ENSG00000005700,4325
ENSG00000005801,1045
ENSG00000005810,1487
ENSG00000005812,1322
ENSG00000005844,2168
ENSG00000005882,2282
ENSG00000005884,3504
ENSG00000005889,1290
ENSG00000005893,9048
ENSG00000005961,329
ENSG00000005981,2
ENSG00000006007,6263
ENSG00000006015,2122
ENSG00000006016,239
ENSG00000006025,1289
ENSG00000006042,1240
ENSG00000006047,1216
ENSG00000006059,14
ENSG00000006062,2110
ENSG00000006071,511
ENSG00000006116,1
ENSG00000006118,7656
ENSG00000006125,8605
ENSG00000006128,3
ENSG00000006194,2967
ENSG00000006210,603
ENSG00000006282,3432
ENSG00000006283,21
ENSG00000006327,3245
ENSG00000006377,1
ENSG00000006432,330
ENSG00000006451,1986
ENSG00000006453,2067
ENSG00000006459,1347
ENSG00000006468,160
ENSG00000006530,1955
ENSG00000006534,411
ENSG00000006555,34
ENSG00000006576,1836
ENSG00000006606,0
ENSG00000006607,1482
ENSG00000006611,163
ENSG00000006625,3903
ENSG00000006634,985
ENSG00000006638,122
ENSG00000006652,1059
ENSG00000006659,0
ENSG00000006695,806
ENSG00000006704,1878
ENSG00000006712,4174
ENSG00000006715,1943
ENSG00000006740,528
ENSG00000006744,5184
ENSG00000006747,146
ENSG00000006756,2042
ENSG00000006757,703
ENSG00000006788,10
ENSG00000006831,10367
ENSG00000006837,26
ENSG00000007001,3
ENSG00000007038,186
ENSG00000007047,2447
ENSG00000007062,82
ENSG00000007080,5201
ENSG00000007129,54
ENSG00000007168,3783
ENSG00000007171,12
ENSG00000007174,6
ENSG00000007202,6651
ENSG00000007216,38
ENSG00000007237,846
ENSG00000007255,1284
ENSG00000007264,114
ENSG00000007306,22
ENSG00000007312,133
ENSG00000007314,43
ENSG00000007341,563
ENSG00000007350,0
ENSG00000007372,47
ENSG00000007376,3135
ENSG00000007384,3985
ENSG00000007392,3543
ENSG00000007402,434
ENSG00000007516,2760
ENSG00000007520,3627
ENSG00000007541,7202
ENSG00000007545,1189
ENSG00000007866,3248
ENSG00000007908,124
ENSG00000007923,1478
ENSG00000007933,468
ENSG00000007944,1197
ENSG00000007952,41
ENSG00000007968,476
ENSG00000008018,7136
ENSG00000008056,28
ENSG00000008083,1671
ENSG00000008086,906
ENSG00000008118,18
ENSG00000008128,216
ENSG00000008130,2678
ENSG00000008196,3758
ENSG00000008197,0
ENSG00000008226,16
ENSG00000008256,691
ENSG00000008277,237
ENSG00000008282,5733
ENSG00000008283,23305
ENSG00000008294,8048
ENSG00000008300,106
ENSG00000008311,132
ENSG00000008323,1228
ENSG00000008324,538
ENSG00000008382,1057
ENSG00000008394,7038
ENSG00000008405,1215
ENSG00000008438,2
ENSG00000008441,4533
ENSG00000008513,2026
ENSG00000008516,569
ENSG00000008517,1376
ENSG00000008710,2662
ENSG00000008735,5006
ENSG00000008838,3060
ENSG00000008853,583
ENSG00000008869,2180
ENSG00000008952,4992
ENSG00000008988,25497
ENSG00000009307,28626
ENSG00000009335,4481
ENSG00000009413,647
ENSG00000009694,4
ENSG00000009709,2
ENSG00000009724,13
ENSG00000009765,1237
ENSG00000009780,365
ENSG00000009790,493
ENSG00000009830,841
ENSG00000009844,3344
ENSG00000009950,52
ENSG00000009954,5690
ENSG00000010017,4150
ENSG00000010030,414
ENSG00000010072,847
ENSG00000010165,2176
ENSG00000010219,474
ENSG00000010244,6311
ENSG00000010256,6684
ENSG00000010270,820
ENSG00000010278,23626
ENSG00000010282,0
ENSG00000010292,5629
ENSG00000010295,479
ENSG00000010310,247
ENSG00000010318,84
ENSG00000010319,298
ENSG00000010322,2180
ENSG00000010327,1667
ENSG00000010361,648
ENSG00000010379,1
ENSG00000010404,2963
ENSG00000010438,2
ENSG00000010539,856
ENSG00000010610,2650
ENSG00000010626,449
ENSG00000010671,322
ENSG00000010704,817
ENSG00000010803,1229
ENSG00000010810,936
ENSG00000010818,989
ENSG00000010932,47
ENSG00000011007,2403
ENSG00000011009,3125
ENSG00000011021,419
ENSG00000011028,6513
ENSG00000011052,149
ENSG00000011083,8
ENSG00000011105,2715
ENSG00000011114,729
ENSG00000011132,498
ENSG00000011143,1524
ENSG00000011198,650
