Gene stable ID,15877ef9-8b99-4f7c-8c7b-4ba02d7c7991
ENSG00000000003,6475
ENSG00000000005,3506
ENSG00000000419,3851
ENSG00000000457,1234
ENSG00000000460,425
ENSG00000000938,4549
ENSG00000000971,33038
ENSG00000001036,8693
ENSG00000001084,5617
ENSG00000001167,2667
ENSG00000001460,971
ENSG00000001461,2170
ENSG00000001497,3151
ENSG00000001561,4334
ENSG00000001617,5954
ENSG00000001626,14
ENSG00000001629,5429
ENSG00000001630,200
ENSG00000001631,2748
ENSG00000002016,583
ENSG00000002079,1
ENSG00000002330,3489
ENSG00000002549,17134
ENSG00000002586,47279
ENSG00000002587,629
ENSG00000002726,111
ENSG00000002745,13
ENSG00000002746,17
ENSG00000002822,1946
ENSG00000002834,28687
ENSG00000002919,3613
ENSG00000002933,7797
ENSG00000003056,7312
ENSG00000003096,963
ENSG00000003137,6403
ENSG00000003147,2235
ENSG00000003249,293
ENSG00000003393,2747
ENSG00000003400,3316
ENSG00000003402,14015
ENSG00000003436,8840
ENSG00000003509,1041
ENSG00000003756,7194
ENSG00000003987,131
ENSG00000003989,3842
ENSG00000004059,10481
ENSG00000004139,336
ENSG00000004142,9324
ENSG00000004399,25216
ENSG00000004455,9165
ENSG00000004468,337
ENSG00000004478,6832
ENSG00000004487,5814
ENSG00000004534,5154
ENSG00000004660,1224
ENSG00000004700,3726
ENSG00000004766,2592
ENSG00000004776,29809
ENSG00000004777,156
ENSG00000004779,5180
ENSG00000004799,64345
ENSG00000004809,28
ENSG00000004838,33
ENSG00000004846,797
ENSG00000004848,0
ENSG00000004864,1837
ENSG00000004866,4124
ENSG00000004897,8242
ENSG00000004939,53
ENSG00000004948,51
ENSG00000004961,2344
ENSG00000004975,2561
ENSG00000005001,9
ENSG00000005007,7205
ENSG00000005020,9176
ENSG00000005022,16913
ENSG00000005059,4890
ENSG00000005073,98
ENSG00000005075,2209
ENSG00000005100,1677
ENSG00000005102,11666
ENSG00000005108,2018
ENSG00000005156,1297
ENSG00000005175,2433
ENSG00000005187,112
ENSG00000005189,388
ENSG00000005194,3756
ENSG00000005206,1711
ENSG00000005238,3592
ENSG00000005243,8037
ENSG00000005249,43035
ENSG00000005302,3341
ENSG00000005339,6936
ENSG00000005379,272
ENSG00000005381,32
ENSG00000005421,0
ENSG00000005436,2488
ENSG00000005448,627
ENSG00000005469,1388
ENSG00000005471,222
ENSG00000005483,6417
ENSG00000005486,4589
ENSG00000005513,350
ENSG00000005700,5715
ENSG00000005801,1283
ENSG00000005810,11510
ENSG00000005812,9745
ENSG00000005844,1098
ENSG00000005882,3700
ENSG00000005884,5308
ENSG00000005889,4930
ENSG00000005893,19274
ENSG00000005961,66
ENSG00000005981,20
ENSG00000006007,10181
ENSG00000006015,1268
ENSG00000006016,938
ENSG00000006025,454
ENSG00000006042,5665
ENSG00000006047,455
ENSG00000006059,0
ENSG00000006062,1595
ENSG00000006071,8
ENSG00000006116,0
ENSG00000006118,679
ENSG00000006125,21010
ENSG00000006128,20
ENSG00000006194,2837
ENSG00000006210,4509
ENSG00000006282,2960
ENSG00000006283,80
ENSG00000006327,3724
ENSG00000006377,21
ENSG00000006432,35
ENSG00000006451,9919
ENSG00000006453,891
ENSG00000006459,3498
ENSG00000006468,981
ENSG00000006530,1867
ENSG00000006534,1858
ENSG00000006555,21
ENSG00000006576,3399
ENSG00000006606,78
ENSG00000006607,2196
ENSG00000006611,0
ENSG00000006625,2458
ENSG00000006634,582
ENSG00000006638,562
ENSG00000006652,3367
ENSG00000006659,0
ENSG00000006695,1245
ENSG00000006704,808
ENSG00000006712,6307
ENSG00000006715,6544
ENSG00000006740,467
ENSG00000006744,6650
ENSG00000006747,1201
ENSG00000006756,3839
ENSG00000006757,1823
ENSG00000006788,15
ENSG00000006831,13517
ENSG00000006837,85
ENSG00000007001,4
ENSG00000007038,20
ENSG00000007047,2340
ENSG00000007062,9
ENSG00000007080,3838
ENSG00000007129,274
ENSG00000007168,16272
ENSG00000007171,60
ENSG00000007174,254
ENSG00000007202,17761
ENSG00000007216,0
ENSG00000007237,20791
ENSG00000007255,1106
ENSG00000007264,1087
ENSG00000007306,0
ENSG00000007312,1020
ENSG00000007314,2176
ENSG00000007341,982
ENSG00000007350,43
ENSG00000007372,290
ENSG00000007376,918
ENSG00000007384,2348
ENSG00000007392,2141
ENSG00000007402,174
ENSG00000007516,371
ENSG00000007520,3353
ENSG00000007541,2520
ENSG00000007545,1387
ENSG00000007866,1323
ENSG00000007908,5007
ENSG00000007923,2306
ENSG00000007933,1252
ENSG00000007944,6488
ENSG00000007952,59
ENSG00000007968,96
ENSG00000008018,18398
ENSG00000008056,56
ENSG00000008083,1515
ENSG00000008086,1155
ENSG00000008118,10
ENSG00000008128,314
ENSG00000008130,8120
ENSG00000008196,10
ENSG00000008197,0
ENSG00000008226,120
ENSG00000008256,8038
ENSG00000008277,1244
ENSG00000008282,16443
ENSG00000008283,4872
ENSG00000008294,12953
ENSG00000008300,87
ENSG00000008311,808
ENSG00000008323,2579
ENSG00000008324,1560
ENSG00000008382,1414
ENSG00000008394,77774
ENSG00000008405,3727
ENSG00000008438,14
ENSG00000008441,14681
ENSG00000008513,6474
ENSG00000008516,290
ENSG00000008517,4001
ENSG00000008710,5972
ENSG00000008735,128
ENSG00000008838,4479
ENSG00000008853,1942
ENSG00000008869,2719
ENSG00000008952,28697
ENSG00000008988,133270
ENSG00000009307,105172
ENSG00000009335,9043
ENSG00000009413,4994
ENSG00000009694,403
ENSG00000009709,1
ENSG00000009724,33
ENSG00000009765,1
ENSG00000009780,2270
ENSG00000009790,343
ENSG00000009830,1530
ENSG00000009844,4944
ENSG00000009950,3709
ENSG00000009954,9309
ENSG00000010017,5737
ENSG00000010030,69
ENSG00000010072,1087
ENSG00000010165,3913
ENSG00000010219,1210
ENSG00000010244,10164
ENSG00000010256,11518
ENSG00000010270,4405
ENSG00000010278,14222
ENSG00000010282,36
ENSG00000010292,3343
ENSG00000010295,1899
ENSG00000010310,73
ENSG00000010318,570
ENSG00000010319,29868
ENSG00000010322,7104
ENSG00000010327,20000
ENSG00000010361,1493
ENSG00000010379,6
ENSG00000010404,10301
ENSG00000010438,2
ENSG00000010539,1035
ENSG00000010610,11132
ENSG00000010626,713
ENSG00000010671,1660
ENSG00000010704,2176
ENSG00000010803,3631
ENSG00000010810,14759
ENSG00000010818,5692
ENSG00000010932,1237
ENSG00000011007,5899
ENSG00000011009,3183
ENSG00000011021,2099
ENSG00000011028,24205
ENSG00000011052,53
ENSG00000011083,8
ENSG00000011105,7576
ENSG00000011114,3847
ENSG00000011132,805
ENSG00000011143,1033
ENSG00000011198,2868
ENSG00000011201,2188
ENSG00000011243,2194
ENSG00000011258,1743
ENSG00000011260,3352
ENSG00000011275,4592
ENSG00000011295,4125
ENSG00000011304,12546
ENSG00000011332,10
ENSG00000011347,1215
ENSG00000011376,1519
ENSG00000011405,6463
ENSG00000011422,4134
ENSG00000011426,333
ENSG00000011451,4149
ENSG00000011454,5549
ENSG00000011465,575184
ENSG00000011478,349
ENSG00000011485,2826
ENSG00000011523,7954
ENSG00000011566,4006
ENSG00000011590,18
ENSG00000011600,13739
ENSG00000011638,6896
ENSG00000011677,2
ENSG00000012048,676
ENSG00000012061,5006
ENSG00000012124,515
ENSG00000012171,3063
ENSG00000012174,2274
ENSG00000012211,557
ENSG00000012223,625
ENSG00000012232,4517
ENSG00000012504,0
ENSG00000012660,25273
ENSG00000012779,1589
ENSG00000012817,0
ENSG00000012822,12634
ENSG00000012963,4291
ENSG00000012983,4711
ENSG00000013016,753
ENSG00000013275,5505
ENSG00000013288,7750
ENSG00000013293,5
ENSG00000013297,2244
ENSG00000013306,7257
ENSG00000013364,16488
ENSG00000013374,8402
ENSG00000013375,4109
ENSG00000013392,734
ENSG00000013441,8074
ENSG00000013503,1116
ENSG00000013523,1936
ENSG00000013561,7630
ENSG00000013563,2490
ENSG00000013573,165
ENSG00000013583,8822
ENSG00000013588,8075
ENSG00000013619,1011
ENSG00000013725,262
ENSG00000013810,1291
ENSG00000014123,3822
ENSG00000014138,1186
ENSG00000014164,1170
ENSG00000014216,11468
ENSG00000014257,145
ENSG00000014641,25744
ENSG00000014824,5000
ENSG00000014914,1413
ENSG00000014919,3634
ENSG00000015133,1691
ENSG00000015153,1667
ENSG00000015171,11410
ENSG00000015285,1504
ENSG00000015413,38
ENSG00000015475,2836
ENSG00000015479,229
ENSG00000015520,49
ENSG00000015532,1900
ENSG00000015568,0
ENSG00000015592,2
ENSG00000015676,9957
ENSG00000016082,10
ENSG00000016391,162
ENSG00000016402,258
ENSG00000016490,2
ENSG00000016602,1
ENSG00000016864,7665
ENSG00000017260,10089
ENSG00000017427,1919
ENSG00000017483,526
ENSG00000017797,8620
ENSG00000018189,3035
ENSG00000018236,641
ENSG00000018280,755
ENSG00000018408,11487
ENSG00000018510,8656
ENSG00000018607,2
ENSG00000018610,2955
ENSG00000018625,5521
ENSG00000018699,2029
ENSG00000018869,420
ENSG00000019102,65
ENSG00000019144,17614
ENSG00000019169,8392
ENSG00000019186,4
ENSG00000019485,1042
ENSG00000019505,8
ENSG00000019549,3990
ENSG00000019582,180591
ENSG00000019991,2132
ENSG00000019995,2086
ENSG00000020129,1582
ENSG00000020181,10716
ENSG00000020219,0
ENSG00000020256,1196
ENSG00000020426,1985
ENSG00000020577,6021
ENSG00000020633,730
ENSG00000020922,2519
ENSG00000021300,145
ENSG00000021355,9796
ENSG00000021461,2
ENSG00000021488,9
ENSG00000021574,2825
ENSG00000021645,81
ENSG00000021762,2741
ENSG00000021776,4813
ENSG00000021826,896
ENSG00000021852,0
ENSG00000022267,278926
ENSG00000022277,12875
ENSG00000022355,0
ENSG00000022556,106
ENSG00000022567,987
ENSG00000022840,18319
ENSG00000022976,408
ENSG00000023041,3527
ENSG00000023171,271
ENSG00000023191,20848
ENSG00000023228,8813
ENSG00000023287,6787
ENSG00000023318,9000
ENSG00000023330,5784
ENSG00000023445,1608
ENSG00000023516,6821
ENSG00000023572,1024
ENSG00000023608,1229
ENSG00000023697,4008
ENSG00000023734,15299
ENSG00000023839,107
ENSG00000023892,607
ENSG00000023902,7283
ENSG00000023909,2769
ENSG00000024048,5498
ENSG00000024422,53435
ENSG00000024526,64
ENSG00000024862,2462
ENSG00000025039,4679
ENSG00000025156,1460
ENSG00000025293,4559
ENSG00000025423,31
ENSG00000025434,9159
ENSG00000025708,5014
ENSG00000025770,3402
ENSG00000025772,1915
ENSG00000025796,13803
ENSG00000025800,6966
ENSG00000026025,620202
ENSG00000026036,48
ENSG00000026103,2264
ENSG00000026297,3354
ENSG00000026508,45101
ENSG00000026559,22
ENSG00000026652,1791
ENSG00000026751,997
ENSG00000026950,4172
ENSG00000027001,1400
ENSG00000027075,4930
ENSG00000027644,42
ENSG00000027697,18849
ENSG00000027847,2049
ENSG00000027869,147
ENSG00000028116,1407
ENSG00000028137,14868
ENSG00000028203,4929
ENSG00000028277,773
ENSG00000028310,3008
ENSG00000028528,18481
ENSG00000028839,1930
ENSG00000029153,967
ENSG00000029363,9470
