Gene stable ID,d6cd3d11-f34b-42b9-9d14-451fe7e7a896
ENSG00000000003,875
ENSG00000000005,11
ENSG00000000419,2273
ENSG00000000457,3181
ENSG00000000460,753
ENSG00000000938,613
ENSG00000000971,3674
ENSG00000001036,3236
ENSG00000001084,10042
ENSG00000001167,5931
ENSG00000001460,842
ENSG00000001461,3472
ENSG00000001497,3425
ENSG00000001561,4592
ENSG00000001617,6386
ENSG00000001626,9
ENSG00000001629,5879
ENSG00000001630,678
ENSG00000001631,3172
ENSG00000002016,819
ENSG00000002079,29
ENSG00000002330,2919
ENSG00000002549,7377
ENSG00000002586,12650
ENSG00000002587,203
ENSG00000002726,26
ENSG00000002745,4
ENSG00000002746,70
ENSG00000002822,1802
ENSG00000002834,27945
ENSG00000002919,2284
ENSG00000002933,6339
ENSG00000003056,5842
ENSG00000003096,111
ENSG00000003137,284
ENSG00000003147,7749
ENSG00000003249,1135
ENSG00000003393,2575
ENSG00000003400,593
ENSG00000003402,7123
ENSG00000003436,743
ENSG00000003509,970
ENSG00000003756,8910
ENSG00000003987,65
ENSG00000003989,6672
ENSG00000004059,9776
ENSG00000004139,582
ENSG00000004142,7517
ENSG00000004399,12484
ENSG00000004455,6365
ENSG00000004468,59
ENSG00000004478,12015
ENSG00000004487,6599
ENSG00000004534,5707
ENSG00000004660,1410
ENSG00000004700,1915
ENSG00000004766,2786
ENSG00000004776,310
ENSG00000004777,511
ENSG00000004779,4103
ENSG00000004799,885
ENSG00000004809,0
ENSG00000004838,2507
ENSG00000004846,7
ENSG00000004848,0
ENSG00000004864,1300
ENSG00000004866,3369
ENSG00000004897,6654
ENSG00000004939,0
ENSG00000004948,10
ENSG00000004961,1273
ENSG00000004975,3271
ENSG00000005001,1523
ENSG00000005007,9527
ENSG00000005020,2301
ENSG00000005022,9803
ENSG00000005059,1510
ENSG00000005073,159
ENSG00000005075,1686
ENSG00000005100,2410
ENSG00000005102,229
ENSG00000005108,310
ENSG00000005156,4994
ENSG00000005175,2152
ENSG00000005187,81
ENSG00000005189,442
ENSG00000005194,1827
ENSG00000005206,2408
ENSG00000005238,1454
ENSG00000005243,1328
ENSG00000005249,1140
ENSG00000005302,1670
ENSG00000005339,17202
ENSG00000005379,2355
ENSG00000005381,7
ENSG00000005421,56
ENSG00000005436,1657
ENSG00000005448,944
ENSG00000005469,2533
ENSG00000005471,115
ENSG00000005483,14253
ENSG00000005486,7263
ENSG00000005513,31
ENSG00000005700,6659
ENSG00000005801,1674
ENSG00000005810,4157
ENSG00000005812,5020
ENSG00000005844,1647
ENSG00000005882,2537
ENSG00000005884,6181
ENSG00000005889,6906
ENSG00000005893,17369
ENSG00000005961,27
ENSG00000005981,102
ENSG00000006007,11414
ENSG00000006015,873
ENSG00000006016,74
ENSG00000006025,606
ENSG00000006042,6840
ENSG00000006047,627
ENSG00000006059,1
ENSG00000006062,1533
ENSG00000006071,1333
ENSG00000006116,0
ENSG00000006118,3257
ENSG00000006125,29091
ENSG00000006128,13
ENSG00000006194,4859
ENSG00000006210,1095
ENSG00000006282,3522
ENSG00000006283,71
ENSG00000006327,2429
ENSG00000006377,2
ENSG00000006432,1546
ENSG00000006451,5452
ENSG00000006453,2903
ENSG00000006459,1904
ENSG00000006468,1146
ENSG00000006530,2379
ENSG00000006534,700
ENSG00000006555,1815
ENSG00000006576,2362
ENSG00000006606,11
ENSG00000006607,3220
ENSG00000006611,0
ENSG00000006625,4176
ENSG00000006634,638
ENSG00000006638,184
ENSG00000006652,988
ENSG00000006659,0
ENSG00000006695,1604
ENSG00000006704,3755
ENSG00000006712,6439
ENSG00000006715,5166
ENSG00000006740,1091
ENSG00000006744,4559
ENSG00000006747,342
ENSG00000006756,6621
ENSG00000006757,1675
ENSG00000006788,52
ENSG00000006831,6831
ENSG00000006837,53
ENSG00000007001,23
ENSG00000007038,1057
ENSG00000007047,3359
ENSG00000007062,22
ENSG00000007080,2931
ENSG00000007129,90
ENSG00000007168,11919
ENSG00000007171,98
ENSG00000007174,22
ENSG00000007202,13012
ENSG00000007216,4
ENSG00000007237,3873
ENSG00000007255,2646
ENSG00000007264,139
ENSG00000007306,17
ENSG00000007312,164
ENSG00000007314,43
ENSG00000007341,981
ENSG00000007350,0
ENSG00000007372,219
ENSG00000007376,2473
ENSG00000007384,5939
ENSG00000007392,3128
ENSG00000007402,3416
ENSG00000007516,1123
ENSG00000007520,3911
ENSG00000007541,6733
ENSG00000007545,1881
ENSG00000007866,2485
ENSG00000007908,843
ENSG00000007923,1888
ENSG00000007933,163
ENSG00000007944,6211
ENSG00000007952,79
ENSG00000007968,171
ENSG00000008018,9596
ENSG00000008056,101
ENSG00000008083,3287
ENSG00000008086,2262
ENSG00000008118,11
ENSG00000008128,501
ENSG00000008130,3593
ENSG00000008196,98
ENSG00000008197,0
ENSG00000008226,84
ENSG00000008256,3247
ENSG00000008277,395
ENSG00000008282,14342
ENSG00000008283,12028
ENSG00000008294,7346
ENSG00000008300,749
ENSG00000008311,391
ENSG00000008323,983
ENSG00000008324,1365
ENSG00000008382,1538
ENSG00000008394,3316
ENSG00000008405,1518
ENSG00000008438,0
ENSG00000008441,40165
ENSG00000008513,11352
ENSG00000008516,587
ENSG00000008517,2038
ENSG00000008710,5171
ENSG00000008735,2561
ENSG00000008838,5412
ENSG00000008853,2656
ENSG00000008869,5485
ENSG00000008952,21873
ENSG00000008988,36397
ENSG00000009307,34443
ENSG00000009335,8160
ENSG00000009413,2040
ENSG00000009694,42
ENSG00000009709,5
ENSG00000009724,58
ENSG00000009765,0
ENSG00000009780,1213
ENSG00000009790,543
ENSG00000009830,1650
ENSG00000009844,4209
ENSG00000009950,496
ENSG00000009954,9913
ENSG00000010017,4739
ENSG00000010030,737
ENSG00000010072,1155
ENSG00000010165,5606
ENSG00000010219,557
ENSG00000010244,9207
ENSG00000010256,10593
ENSG00000010270,1829
ENSG00000010278,28818
ENSG00000010282,0
ENSG00000010292,3603
ENSG00000010295,1033
ENSG00000010310,386
ENSG00000010318,442
ENSG00000010319,1027
ENSG00000010322,11121
ENSG00000010327,3900
ENSG00000010361,2945
ENSG00000010379,1
ENSG00000010404,10199
ENSG00000010438,5
ENSG00000010539,939
ENSG00000010610,4143
ENSG00000010626,732
ENSG00000010671,636
ENSG00000010704,2551
ENSG00000010803,2244
ENSG00000010810,1802
ENSG00000010818,1779
ENSG00000010932,275
ENSG00000011007,4723
ENSG00000011009,3766
ENSG00000011021,1168
ENSG00000011028,18240
ENSG00000011052,57
ENSG00000011083,6
ENSG00000011105,7912
ENSG00000011114,4965
ENSG00000011132,1249
ENSG00000011143,1172
ENSG00000011198,1473
ENSG00000011201,4434
ENSG00000011243,2845
ENSG00000011258,2267
ENSG00000011260,3123
ENSG00000011275,4761
ENSG00000011295,6012
ENSG00000011304,20242
ENSG00000011332,37
ENSG00000011347,14239
ENSG00000011376,2612
ENSG00000011405,6582
ENSG00000011422,3102
ENSG00000011426,766
ENSG00000011451,3583
ENSG00000011454,5421
ENSG00000011465,101661
ENSG00000011478,778
ENSG00000011485,3159
ENSG00000011523,3911
ENSG00000011566,4090
ENSG00000011590,23
ENSG00000011600,3712
ENSG00000011638,5409
ENSG00000011677,11
ENSG00000012048,853
ENSG00000012061,5274
ENSG00000012124,196
ENSG00000012171,3152
ENSG00000012174,3055
ENSG00000012211,781
ENSG00000012223,309403
ENSG00000012232,4568
ENSG00000012504,0
ENSG00000012660,44432
ENSG00000012779,1553
ENSG00000012817,2
ENSG00000012822,6789
ENSG00000012963,6323
ENSG00000012983,5113
ENSG00000013016,1420
ENSG00000013275,5057
ENSG00000013288,7916
ENSG00000013293,0
ENSG00000013297,140
ENSG00000013306,8696
ENSG00000013364,26799
ENSG00000013374,6718
ENSG00000013375,4459
ENSG00000013392,1588
ENSG00000013441,7435
ENSG00000013503,728
ENSG00000013523,1883
ENSG00000013561,3611
ENSG00000013563,1488
ENSG00000013573,1389
ENSG00000013583,6935
ENSG00000013588,36411
ENSG00000013619,206
ENSG00000013725,653
ENSG00000013810,1256
ENSG00000014123,5806
ENSG00000014138,1357
ENSG00000014164,2812
ENSG00000014216,15822
ENSG00000014257,195
ENSG00000014641,8035
ENSG00000014824,7892
ENSG00000014914,2699
ENSG00000014919,4939
ENSG00000015133,6029
ENSG00000015153,954
ENSG00000015171,11205
ENSG00000015285,677
ENSG00000015413,99
ENSG00000015475,1167
ENSG00000015479,545
ENSG00000015520,16
ENSG00000015532,4567
ENSG00000015568,3
ENSG00000015592,5
ENSG00000015676,9819
ENSG00000016082,9
ENSG00000016391,7063
ENSG00000016402,1751
ENSG00000016490,0
ENSG00000016602,0
ENSG00000016864,7006
ENSG00000017260,11388
ENSG00000017427,129
ENSG00000017483,1326
ENSG00000017797,7383
ENSG00000018189,3132
ENSG00000018236,2203
ENSG00000018280,785
ENSG00000018408,4032
ENSG00000018510,1197
ENSG00000018607,1
ENSG00000018610,1961
ENSG00000018625,206
ENSG00000018699,2548
ENSG00000018869,362
ENSG00000019102,199
ENSG00000019144,6223
ENSG00000019169,52
ENSG00000019186,1
ENSG00000019485,673
ENSG00000019505,7049
