Gene stable ID,d4b4dc58-49ad-4c4e-be42-eb2d856e2b29
ENSG00000000003,6830
ENSG00000000005,377
ENSG00000000419,3244
ENSG00000000457,1748
ENSG00000000460,1659
ENSG00000000938,593
ENSG00000000971,1326
ENSG00000001036,4515
ENSG00000001084,2050
ENSG00000001167,71310
ENSG00000001460,1474
ENSG00000001461,3235
ENSG00000001497,6124
ENSG00000001561,1791
ENSG00000001617,2410
ENSG00000001626,5
ENSG00000001629,2975
ENSG00000001630,189
ENSG00000001631,1636
ENSG00000002016,369
ENSG00000002079,142
ENSG00000002330,1603
ENSG00000002549,11624
ENSG00000002586,17055
ENSG00000002587,302
ENSG00000002726,99
ENSG00000002745,10
ENSG00000002746,31
ENSG00000002822,2543
ENSG00000002834,7157
ENSG00000002919,1251
ENSG00000002933,2059
ENSG00000003056,2682
ENSG00000003096,516
ENSG00000003137,282
ENSG00000003147,1957
ENSG00000003249,19042
ENSG00000003393,1200
ENSG00000003400,407
ENSG00000003402,5842
ENSG00000003436,405
ENSG00000003509,991
ENSG00000003756,4218
ENSG00000003987,127
ENSG00000003989,292
ENSG00000004059,11884
ENSG00000004139,269
ENSG00000004142,12553
ENSG00000004399,6230
ENSG00000004455,10186
ENSG00000004468,479
ENSG00000004478,16460
ENSG00000004487,14619
ENSG00000004534,4648
ENSG00000004660,2472
ENSG00000004700,930
ENSG00000004766,1317
ENSG00000004776,173
ENSG00000004777,1923
ENSG00000004779,5399
ENSG00000004799,1882
ENSG00000004809,67
ENSG00000004838,353
ENSG00000004846,22
ENSG00000004848,22
ENSG00000004864,1677
ENSG00000004866,1713
ENSG00000004897,3630
ENSG00000004939,15
ENSG00000004948,3
ENSG00000004961,2335
ENSG00000004975,3428
ENSG00000005001,2182
ENSG00000005007,8105
ENSG00000005020,791
ENSG00000005022,20450
ENSG00000005059,845
ENSG00000005073,14
ENSG00000005075,1912
ENSG00000005100,3049
ENSG00000005102,128
ENSG00000005108,68
ENSG00000005156,5175
ENSG00000005175,1565
ENSG00000005187,267
ENSG00000005189,1081
ENSG00000005194,4332
ENSG00000005206,4395
ENSG00000005238,1326
ENSG00000005243,426
ENSG00000005249,1150
ENSG00000005302,4368
ENSG00000005339,9263
ENSG00000005379,3175
ENSG00000005381,23
ENSG00000005421,7
ENSG00000005436,1233
ENSG00000005448,573
ENSG00000005469,406
ENSG00000005471,73
ENSG00000005483,2546
ENSG00000005486,5778
ENSG00000005513,14700
ENSG00000005700,2165
ENSG00000005801,1321
ENSG00000005810,2620
ENSG00000005812,1358
ENSG00000005844,974
ENSG00000005882,1237
ENSG00000005884,1338
ENSG00000005889,1975
ENSG00000005893,19917
ENSG00000005961,92
ENSG00000005981,7
ENSG00000006007,6766
ENSG00000006015,1414
ENSG00000006016,313
ENSG00000006025,351
ENSG00000006042,2624
ENSG00000006047,1777
ENSG00000006059,3
ENSG00000006062,893
ENSG00000006071,21
ENSG00000006116,0
ENSG00000006118,14309
ENSG00000006125,15718
ENSG00000006128,7
ENSG00000006194,2552
ENSG00000006210,8966
ENSG00000006282,1772
ENSG00000006283,13
ENSG00000006327,6970
ENSG00000006377,25
ENSG00000006432,683
ENSG00000006451,5161
ENSG00000006453,5413
ENSG00000006459,2388
ENSG00000006468,585
ENSG00000006530,1694
ENSG00000006534,1325
ENSG00000006555,2234
ENSG00000006576,1230
ENSG00000006606,15
ENSG00000006607,2346
ENSG00000006611,8
ENSG00000006625,4348
ENSG00000006634,852
ENSG00000006638,281
ENSG00000006652,5091
ENSG00000006659,0
ENSG00000006695,1833
ENSG00000006704,1511
ENSG00000006712,17354
ENSG00000006715,3516
ENSG00000006740,949
ENSG00000006744,9435
ENSG00000006747,139
ENSG00000006756,5971
ENSG00000006757,578
ENSG00000006788,15
ENSG00000006831,3054
ENSG00000006837,36
ENSG00000007001,5
ENSG00000007038,1827
ENSG00000007047,1890
ENSG00000007062,48147
ENSG00000007080,3856
ENSG00000007129,92
ENSG00000007168,9104
ENSG00000007171,201
ENSG00000007174,28
ENSG00000007202,8320
ENSG00000007216,46
ENSG00000007237,3046
ENSG00000007255,1928
ENSG00000007264,128
ENSG00000007306,1
ENSG00000007312,859
ENSG00000007314,103
ENSG00000007341,660
ENSG00000007350,29
ENSG00000007372,136
ENSG00000007376,4921
ENSG00000007384,6042
ENSG00000007392,3834
ENSG00000007402,124
ENSG00000007516,176
ENSG00000007520,4904
ENSG00000007541,5965
ENSG00000007545,2332
ENSG00000007866,5250
ENSG00000007908,246
ENSG00000007923,3547
ENSG00000007933,90
ENSG00000007944,1636
ENSG00000007952,65
ENSG00000007968,1688
ENSG00000008018,14803
ENSG00000008056,47
ENSG00000008083,8523
ENSG00000008086,607
ENSG00000008118,23
ENSG00000008128,512
ENSG00000008130,4443
ENSG00000008196,385
ENSG00000008197,0
ENSG00000008226,59
ENSG00000008256,3288
ENSG00000008277,258
ENSG00000008282,6616
ENSG00000008283,6917
ENSG00000008294,5725
ENSG00000008300,611
ENSG00000008311,387
ENSG00000008323,929
ENSG00000008324,861
ENSG00000008382,1068
ENSG00000008394,9726
ENSG00000008405,1432
ENSG00000008438,1
ENSG00000008441,14447
ENSG00000008513,2589
ENSG00000008516,403
ENSG00000008517,2136
ENSG00000008710,5182
ENSG00000008735,302
ENSG00000008838,7135
ENSG00000008853,766
ENSG00000008869,2190
ENSG00000008952,4590
ENSG00000008988,75605
ENSG00000009307,32290
ENSG00000009335,5355
ENSG00000009413,1477
ENSG00000009694,14
ENSG00000009709,0
ENSG00000009724,33
ENSG00000009765,8
ENSG00000009780,1055
ENSG00000009790,3031
ENSG00000009830,1233
ENSG00000009844,4094
ENSG00000009950,86
ENSG00000009954,7830
ENSG00000010017,3835
ENSG00000010030,479
ENSG00000010072,1612
ENSG00000010165,9357
ENSG00000010219,1282
ENSG00000010244,8555
ENSG00000010256,11332
ENSG00000010270,1743
ENSG00000010278,12501
ENSG00000010282,3
ENSG00000010292,6440
ENSG00000010295,589
ENSG00000010310,33
ENSG00000010318,301
ENSG00000010319,659
ENSG00000010322,4768
ENSG00000010327,3391
ENSG00000010361,2446
ENSG00000010379,0
ENSG00000010404,4060
ENSG00000010438,131
ENSG00000010539,712
ENSG00000010610,3025
ENSG00000010626,252
ENSG00000010671,509
ENSG00000010704,559
ENSG00000010803,3157
ENSG00000010810,2419
ENSG00000010818,2044
ENSG00000010932,659
ENSG00000011007,4339
ENSG00000011009,10422
ENSG00000011021,993
ENSG00000011028,7990
ENSG00000011052,123
ENSG00000011083,8
ENSG00000011105,1899
ENSG00000011114,1264
ENSG00000011132,1015
ENSG00000011143,1656
ENSG00000011198,1426
ENSG00000011201,260
ENSG00000011243,3400
ENSG00000011258,1757
ENSG00000011260,3183
ENSG00000011275,3545
ENSG00000011295,3706
ENSG00000011304,21336
ENSG00000011332,205
ENSG00000011347,5296
ENSG00000011376,1374
ENSG00000011405,1761
ENSG00000011422,4435
ENSG00000011426,9268
ENSG00000011451,4973
ENSG00000011454,4162
ENSG00000011465,12323
ENSG00000011478,1553
ENSG00000011485,5148
ENSG00000011523,1182
ENSG00000011566,2113
ENSG00000011590,160
ENSG00000011600,2590
ENSG00000011638,3222
ENSG00000011677,111
ENSG00000012048,1858
ENSG00000012061,2269
ENSG00000012124,737
ENSG00000012171,299
ENSG00000012174,2252
ENSG00000012211,982
ENSG00000012223,4120
ENSG00000012232,3263
ENSG00000012504,0
ENSG00000012660,3931
ENSG00000012779,1580
ENSG00000012817,1
ENSG00000012822,3218
ENSG00000012963,2403
ENSG00000012983,2600
ENSG00000013016,687
ENSG00000013275,32329
ENSG00000013288,2967
ENSG00000013293,9
ENSG00000013297,565
ENSG00000013306,13842
ENSG00000013364,4113
ENSG00000013374,6390
ENSG00000013375,2419
ENSG00000013392,398
ENSG00000013441,3277
ENSG00000013503,491
ENSG00000013523,1517
ENSG00000013561,2033
ENSG00000013563,2066
ENSG00000013573,1198
ENSG00000013583,1887
ENSG00000013588,1698
ENSG00000013619,2326
ENSG00000013725,529
ENSG00000013810,7417
ENSG00000014123,3410
ENSG00000014138,1228
ENSG00000014164,7155
ENSG00000014216,22522
ENSG00000014257,23
ENSG00000014641,11633
ENSG00000014824,3888
ENSG00000014914,5004
ENSG00000014919,2629
ENSG00000015133,2482
ENSG00000015153,464
ENSG00000015171,5653
ENSG00000015285,749
ENSG00000015413,121
ENSG00000015475,2061
ENSG00000015479,190
ENSG00000015520,3
ENSG00000015532,2345
ENSG00000015568,0
ENSG00000015592,4
ENSG00000015676,9231
ENSG00000016082,0
ENSG00000016391,2356
ENSG00000016402,103
ENSG00000016490,0
ENSG00000016602,3
ENSG00000016864,2933
ENSG00000017260,5515
ENSG00000017427,64
ENSG00000017483,311
ENSG00000017797,7453
ENSG00000018189,1889
ENSG00000018236,185
ENSG00000018280,1027
ENSG00000018408,3209
ENSG00000018510,1442
ENSG00000018607,1
ENSG00000018610,1750
ENSG00000018625,14
ENSG00000018699,1721
ENSG00000018869,51
ENSG00000019102,39
ENSG00000019144,4048
ENSG00000019169,517
ENSG00000019186,37
ENSG00000019485,335
ENSG00000019505,236
ENSG00000019549,871
ENSG00000019582,85674
ENSG00000019991,85
ENSG00000019995,1426
ENSG00000020129,5458
ENSG00000020181,1871
ENSG00000020219,5
ENSG00000020256,2131
ENSG00000020426,659
ENSG00000020577,866
ENSG00000020633,1838
ENSG00000020922,1583
ENSG00000021300,4970
ENSG00000021355,1787
ENSG00000021461,2
ENSG00000021488,21
ENSG00000021574,1297
ENSG00000021645,51
ENSG00000021762,2772
ENSG00000021776,2286
ENSG00000021826,57
ENSG00000021852,0
ENSG00000022267,1235
ENSG00000022277,6954
ENSG00000022355,0
ENSG00000022556,6353
ENSG00000022567,3450
ENSG00000022840,8611
ENSG00000022976,477
ENSG00000023041,2754
ENSG00000023171,215
ENSG00000023191,10029
ENSG00000023228,6973
ENSG00000023287,5188
ENSG00000023318,4370
ENSG00000023330,4122
ENSG00000023445,1228
ENSG00000023516,1732
ENSG00000023572,1033
ENSG00000023608,512
ENSG00000023697,1253
ENSG00000023734,6305
ENSG00000023839,1865
ENSG00000023892,1507
ENSG00000023902,7028
ENSG00000023909,2120
ENSG00000024048,47814
ENSG00000024422,5682
ENSG00000024526,1431
