Gene stable ID,96463113-d20c-405e-b2e8-56eed3faf201
ENSG00000000003,6382
ENSG00000000005,4
ENSG00000000419,1739
ENSG00000000457,2986
ENSG00000000460,869
ENSG00000000938,1279
ENSG00000000971,3347
ENSG00000001036,3449
ENSG00000001084,2637
ENSG00000001167,2372
ENSG00000001460,789
ENSG00000001461,2602
ENSG00000001497,2702
ENSG00000001561,1620
ENSG00000001617,6137
ENSG00000001626,27
ENSG00000001629,3810
ENSG00000001630,298
ENSG00000001631,1874
ENSG00000002016,400
ENSG00000002079,7
ENSG00000002330,1569
ENSG00000002549,12947
ENSG00000002586,7922
ENSG00000002587,364
ENSG00000002726,94
ENSG00000002745,6
ENSG00000002746,32
ENSG00000002822,1337
ENSG00000002834,16161
ENSG00000002919,1574
ENSG00000002933,3182
ENSG00000003056,4423
ENSG00000003096,191
ENSG00000003137,285
ENSG00000003147,2803
ENSG00000003249,1171
ENSG00000003393,1458
ENSG00000003400,784
ENSG00000003402,7637
ENSG00000003436,719
ENSG00000003509,593
ENSG00000003756,5020
ENSG00000003987,57
ENSG00000003989,20128
ENSG00000004059,7262
ENSG00000004139,396
ENSG00000004142,5784
ENSG00000004399,7287
ENSG00000004455,6364
ENSG00000004468,859
ENSG00000004478,10839
ENSG00000004487,4904
ENSG00000004534,3680
ENSG00000004660,687
ENSG00000004700,1707
ENSG00000004766,2218
ENSG00000004776,125
ENSG00000004777,818
ENSG00000004779,2691
ENSG00000004799,1314
ENSG00000004809,1
ENSG00000004838,1723
ENSG00000004846,0
ENSG00000004848,36
ENSG00000004864,1279
ENSG00000004866,1658
ENSG00000004897,3702
ENSG00000004939,1
ENSG00000004948,4
ENSG00000004961,935
ENSG00000004975,1325
ENSG00000005001,741
ENSG00000005007,7287
ENSG00000005020,1429
ENSG00000005022,12121
ENSG00000005059,1932
ENSG00000005073,51
ENSG00000005075,1507
ENSG00000005100,1170
ENSG00000005102,219
ENSG00000005108,314
ENSG00000005156,2519
ENSG00000005175,2148
ENSG00000005187,417
ENSG00000005189,647
ENSG00000005194,1502
ENSG00000005206,2159
ENSG00000005238,1126
ENSG00000005243,725
ENSG00000005249,1746
ENSG00000005302,1475
ENSG00000005339,8232
ENSG00000005379,1515
ENSG00000005381,21
ENSG00000005421,5
ENSG00000005436,1519
ENSG00000005448,751
ENSG00000005469,1330
ENSG00000005471,78
ENSG00000005483,5809
ENSG00000005486,3650
ENSG00000005513,56
ENSG00000005700,4320
ENSG00000005801,1411
ENSG00000005810,3701
ENSG00000005812,5453
ENSG00000005844,2535
ENSG00000005882,872
ENSG00000005884,11691
ENSG00000005889,2699
ENSG00000005893,15141
ENSG00000005961,32
ENSG00000005981,3
ENSG00000006007,7117
ENSG00000006015,1057
ENSG00000006016,67
ENSG00000006025,757
ENSG00000006042,2569
ENSG00000006047,137
ENSG00000006059,1
ENSG00000006062,1764
ENSG00000006071,138
ENSG00000006116,0
ENSG00000006118,4305
ENSG00000006125,14375
ENSG00000006128,15
ENSG00000006194,3191
ENSG00000006210,9584
ENSG00000006282,2700
ENSG00000006283,41
ENSG00000006327,2147
ENSG00000006377,2
ENSG00000006432,550
ENSG00000006451,4005
ENSG00000006453,2564
ENSG00000006459,1067
ENSG00000006468,606
ENSG00000006530,1818
ENSG00000006534,748
ENSG00000006555,803
ENSG00000006576,1369
ENSG00000006606,4
ENSG00000006607,1645
ENSG00000006611,5
ENSG00000006625,4943
ENSG00000006634,671
ENSG00000006638,169
ENSG00000006652,1249
ENSG00000006659,57
ENSG00000006695,554
ENSG00000006704,1675
ENSG00000006712,4079
ENSG00000006715,2680
ENSG00000006740,251
ENSG00000006744,2455
ENSG00000006747,3832
ENSG00000006756,7599
ENSG00000006757,1604
ENSG00000006788,5
ENSG00000006831,4599
ENSG00000006837,49
ENSG00000007001,5
ENSG00000007038,408
ENSG00000007047,2199
ENSG00000007062,11772
ENSG00000007080,2201
ENSG00000007129,189
ENSG00000007168,4835
ENSG00000007171,89
ENSG00000007174,76
ENSG00000007202,5903
ENSG00000007216,2479
ENSG00000007237,1916
ENSG00000007255,1420
ENSG00000007264,415
ENSG00000007306,93
ENSG00000007312,504
ENSG00000007314,45
ENSG00000007341,811
ENSG00000007350,1
ENSG00000007372,137
ENSG00000007376,1712
ENSG00000007384,3389
ENSG00000007392,2384
ENSG00000007402,307
ENSG00000007516,2434
ENSG00000007520,2488
ENSG00000007541,4625
ENSG00000007545,1197
ENSG00000007866,2399
ENSG00000007908,957
ENSG00000007923,1664
ENSG00000007933,252
ENSG00000007944,1349
ENSG00000007952,63
ENSG00000007968,476
ENSG00000008018,7666
ENSG00000008056,63
ENSG00000008083,1660
ENSG00000008086,994
ENSG00000008118,25
ENSG00000008128,144
ENSG00000008130,3198
ENSG00000008196,222
ENSG00000008197,0
ENSG00000008226,122
ENSG00000008256,1615
ENSG00000008277,515
ENSG00000008282,8068
ENSG00000008283,10146
ENSG00000008294,3549
ENSG00000008300,1771
ENSG00000008311,288
ENSG00000008323,873
ENSG00000008324,1043
ENSG00000008382,1036
ENSG00000008394,5577
ENSG00000008405,1061
ENSG00000008438,1
ENSG00000008441,3258
ENSG00000008513,3377
ENSG00000008516,366
ENSG00000008517,6448
ENSG00000008710,2625
ENSG00000008735,884
ENSG00000008838,5344
ENSG00000008853,1207
ENSG00000008869,2811
ENSG00000008952,9667
ENSG00000008988,37404
ENSG00000009307,38110
ENSG00000009335,4497
ENSG00000009413,1565
ENSG00000009694,20
ENSG00000009709,107
ENSG00000009724,31
ENSG00000009765,23
ENSG00000009780,805
ENSG00000009790,780
ENSG00000009830,1394
ENSG00000009844,3243
ENSG00000009950,89
ENSG00000009954,7033
ENSG00000010017,3538
ENSG00000010030,1095
ENSG00000010072,1100
ENSG00000010165,3223
ENSG00000010219,835
ENSG00000010244,8487
ENSG00000010256,7846
ENSG00000010270,1632
ENSG00000010278,22359
ENSG00000010282,2
ENSG00000010292,4692
ENSG00000010295,748
ENSG00000010310,201
ENSG00000010318,235
ENSG00000010319,1171
ENSG00000010322,4312
ENSG00000010327,3540
ENSG00000010361,1276
ENSG00000010379,5
ENSG00000010404,6084
ENSG00000010438,9
ENSG00000010539,940
ENSG00000010610,6911
ENSG00000010626,474
ENSG00000010671,648
ENSG00000010704,1634
ENSG00000010803,2488
ENSG00000010810,2326
ENSG00000010818,1897
ENSG00000010932,74
ENSG00000011007,2909
ENSG00000011009,4253
ENSG00000011021,831
ENSG00000011028,8716
ENSG00000011052,11
ENSG00000011083,13
ENSG00000011105,7533
ENSG00000011114,1805
ENSG00000011132,784
ENSG00000011143,1077
ENSG00000011198,1378
ENSG00000011201,1701
ENSG00000011243,2850
ENSG00000011258,1734
ENSG00000011260,1811
ENSG00000011275,2833
ENSG00000011295,2137
ENSG00000011304,17407
ENSG00000011332,16
ENSG00000011347,5609
ENSG00000011376,1448
ENSG00000011405,3518
ENSG00000011422,1316
ENSG00000011426,1479
ENSG00000011451,3594
ENSG00000011454,4523
ENSG00000011465,28344
ENSG00000011478,779
ENSG00000011485,3642
ENSG00000011523,1818
ENSG00000011566,2771
ENSG00000011590,65
ENSG00000011600,3579
ENSG00000011638,4839
ENSG00000011677,0
ENSG00000012048,1441
ENSG00000012061,3331
ENSG00000012124,176
ENSG00000012171,678
ENSG00000012174,1344
ENSG00000012211,602
ENSG00000012223,1074023
ENSG00000012232,2302
ENSG00000012504,0
ENSG00000012660,22908
ENSG00000012779,1790
ENSG00000012817,0
ENSG00000012822,4224
ENSG00000012963,3689
ENSG00000012983,2794
ENSG00000013016,1682
ENSG00000013275,4318
ENSG00000013288,5555
ENSG00000013293,2
ENSG00000013297,859
ENSG00000013306,6672
ENSG00000013364,12788
ENSG00000013374,5825
ENSG00000013375,3143
ENSG00000013392,598
ENSG00000013441,4886
ENSG00000013503,712
ENSG00000013523,1134
ENSG00000013561,3350
ENSG00000013563,1025
ENSG00000013573,2044
ENSG00000013583,3590
ENSG00000013588,8232
ENSG00000013619,270
ENSG00000013725,1403
ENSG00000013810,3033
ENSG00000014123,3589
ENSG00000014138,1603
ENSG00000014164,1374
ENSG00000014216,10984
ENSG00000014257,69
ENSG00000014641,7382
ENSG00000014824,4929
ENSG00000014914,1325
ENSG00000014919,2371
ENSG00000015133,7707
ENSG00000015153,891
ENSG00000015171,7837
ENSG00000015285,1301
ENSG00000015413,334
ENSG00000015475,1632
ENSG00000015479,386
ENSG00000015520,48
ENSG00000015532,2022
ENSG00000015568,0
ENSG00000015592,1
ENSG00000015676,5380
ENSG00000016082,2
ENSG00000016391,4127
ENSG00000016402,3575
ENSG00000016490,0
ENSG00000016602,37
ENSG00000016864,3987
ENSG00000017260,7795
ENSG00000017427,69
ENSG00000017483,638
ENSG00000017797,4026
ENSG00000018189,1420
ENSG00000018236,308
ENSG00000018280,92
ENSG00000018408,3853
ENSG00000018510,7106
ENSG00000018607,0
ENSG00000018610,1289
ENSG00000018625,134
ENSG00000018699,1634
ENSG00000018869,277
ENSG00000019102,39
ENSG00000019144,3518
ENSG00000019169,48
ENSG00000019186,1
