Gene stable ID,7883f52d-28f2-4dd1-9fd3-ffec7c636cbb
ENSG00000000003,3524
ENSG00000000005,7
ENSG00000000419,2426
ENSG00000000457,1072
ENSG00000000460,952
ENSG00000000938,98
ENSG00000000971,533
ENSG00000001036,6269
ENSG00000001084,2209
ENSG00000001167,8339
ENSG00000001460,129
ENSG00000001461,425
ENSG00000001497,3384
ENSG00000001561,579
ENSG00000001617,3812
ENSG00000001626,14
ENSG00000001629,6790
ENSG00000001630,194
ENSG00000001631,1682
ENSG00000002016,240
ENSG00000002079,12
ENSG00000002330,1995
ENSG00000002549,10100
ENSG00000002586,10814
ENSG00000002587,167
ENSG00000002726,24
ENSG00000002745,0
ENSG00000002746,8
ENSG00000002822,1400
ENSG00000002834,7911
ENSG00000002919,1610
ENSG00000002933,4369
ENSG00000003056,3022
ENSG00000003096,3120
ENSG00000003137,33
ENSG00000003147,1096
ENSG00000003249,2408
ENSG00000003393,514
ENSG00000003400,169
ENSG00000003402,4390
ENSG00000003436,485
ENSG00000003509,417
ENSG00000003756,3330
ENSG00000003987,41
ENSG00000003989,75
ENSG00000004059,14173
ENSG00000004139,49
ENSG00000004142,7737
ENSG00000004399,13046
ENSG00000004455,10153
ENSG00000004468,518
ENSG00000004478,25818
ENSG00000004487,5857
ENSG00000004534,3939
ENSG00000004660,524
ENSG00000004700,1033
ENSG00000004766,1668
ENSG00000004776,30
ENSG00000004777,313
ENSG00000004779,4709
ENSG00000004799,889
ENSG00000004809,84
ENSG00000004838,28
ENSG00000004846,0
ENSG00000004848,74
ENSG00000004864,1504
ENSG00000004866,1246
ENSG00000004897,3346
ENSG00000004939,0
ENSG00000004948,0
ENSG00000004961,2637
ENSG00000004975,1444
ENSG00000005001,2094
ENSG00000005007,5746
ENSG00000005020,162
ENSG00000005022,12612
ENSG00000005059,1347
ENSG00000005073,12
ENSG00000005075,2936
ENSG00000005100,1212
ENSG00000005102,14
ENSG00000005108,70
ENSG00000005156,2584
ENSG00000005175,2557
ENSG00000005187,306
ENSG00000005189,326
ENSG00000005194,1693
ENSG00000005206,3243
ENSG00000005238,1870
ENSG00000005243,162
ENSG00000005249,2142
ENSG00000005302,4781
ENSG00000005339,6642
ENSG00000005379,984
ENSG00000005381,336
ENSG00000005421,4
ENSG00000005436,1386
ENSG00000005448,249
ENSG00000005469,134
ENSG00000005471,14
ENSG00000005483,2545
ENSG00000005486,4583
ENSG00000005513,2850
ENSG00000005700,1736
ENSG00000005801,1088
ENSG00000005810,1367
ENSG00000005812,1826
ENSG00000005844,232
ENSG00000005882,422
ENSG00000005884,1922
ENSG00000005889,3594
ENSG00000005893,25740
ENSG00000005961,65
ENSG00000005981,4
ENSG00000006007,2076
ENSG00000006015,615
ENSG00000006016,2807
ENSG00000006025,465
ENSG00000006042,4768
ENSG00000006047,257
ENSG00000006059,55
ENSG00000006062,326
ENSG00000006071,2
ENSG00000006116,0
ENSG00000006118,7146
ENSG00000006125,7441
ENSG00000006128,1
ENSG00000006194,3505
ENSG00000006210,12345
ENSG00000006282,255
ENSG00000006283,4
ENSG00000006327,3568
ENSG00000006377,3
ENSG00000006432,319
ENSG00000006451,3122
ENSG00000006453,4293
ENSG00000006459,1339
ENSG00000006468,42
ENSG00000006530,1959
ENSG00000006534,223
ENSG00000006555,2562
ENSG00000006576,1743
ENSG00000006606,14
ENSG00000006607,1116
ENSG00000006611,62
ENSG00000006625,3417
ENSG00000006634,1016
ENSG00000006638,187
ENSG00000006652,11171
ENSG00000006659,1
ENSG00000006695,546
ENSG00000006704,1817
ENSG00000006712,3779
ENSG00000006715,1994
ENSG00000006740,373
ENSG00000006744,2916
ENSG00000006747,197
ENSG00000006756,6428
ENSG00000006757,493
ENSG00000006788,6
ENSG00000006831,4526
ENSG00000006837,23
ENSG00000007001,4
ENSG00000007038,0
ENSG00000007047,2598
ENSG00000007062,27230
ENSG00000007080,2732
ENSG00000007129,9
ENSG00000007168,5767
ENSG00000007171,23
ENSG00000007174,1
ENSG00000007202,4897
ENSG00000007216,348
ENSG00000007237,253
ENSG00000007255,1160
ENSG00000007264,11
ENSG00000007306,2
ENSG00000007312,201
ENSG00000007314,18
ENSG00000007341,626
ENSG00000007350,0
ENSG00000007372,1042
ENSG00000007376,2427
ENSG00000007384,4363
ENSG00000007392,1856
ENSG00000007402,131
ENSG00000007516,388
ENSG00000007520,3972
ENSG00000007541,3899
ENSG00000007545,939
ENSG00000007866,5856
ENSG00000007908,104
ENSG00000007923,1217
ENSG00000007933,26
ENSG00000007944,2112
ENSG00000007952,25
ENSG00000007968,380
ENSG00000008018,15304
ENSG00000008056,50
ENSG00000008083,2079
ENSG00000008086,1912
ENSG00000008118,9
ENSG00000008128,191
ENSG00000008130,2657
ENSG00000008196,550
ENSG00000008197,6
ENSG00000008226,15
ENSG00000008256,722
ENSG00000008277,69
ENSG00000008282,6072
ENSG00000008283,8784
ENSG00000008294,2339
ENSG00000008300,541
ENSG00000008311,227
ENSG00000008323,1406
ENSG00000008324,1742
ENSG00000008382,466
ENSG00000008394,14036
ENSG00000008405,735
ENSG00000008438,0
ENSG00000008441,11997
ENSG00000008513,2957
ENSG00000008516,428
ENSG00000008517,948
ENSG00000008710,2960
ENSG00000008735,575
ENSG00000008838,4871
ENSG00000008853,342
ENSG00000008869,1349
