Gene stable ID,56babe63-bf30-4737-bc73-1000976821e8
ENSG00000000003,3694
ENSG00000000005,53
ENSG00000000419,2071
ENSG00000000457,1318
ENSG00000000460,405
ENSG00000000938,444
ENSG00000000971,4798
ENSG00000001036,4803
ENSG00000001084,2760
ENSG00000001167,2733
ENSG00000001460,616
ENSG00000001461,4006
ENSG00000001497,3780
ENSG00000001561,1079
ENSG00000001617,8107
ENSG00000001626,7
ENSG00000001629,4645
ENSG00000001630,467
ENSG00000001631,2038
ENSG00000002016,459
ENSG00000002079,4
ENSG00000002330,2038
ENSG00000002549,5773
ENSG00000002586,14492
ENSG00000002587,98
ENSG00000002726,35
ENSG00000002745,3
ENSG00000002746,77
ENSG00000002822,1474
ENSG00000002834,25247
ENSG00000002919,2062
ENSG00000002933,1633
ENSG00000003056,5669
ENSG00000003096,71
ENSG00000003137,1420
ENSG00000003147,2660
ENSG00000003249,2007
ENSG00000003393,2151
ENSG00000003400,500
ENSG00000003402,5032
ENSG00000003436,1368
ENSG00000003509,736
ENSG00000003756,5707
ENSG00000003987,39
ENSG00000003989,18532
ENSG00000004059,7589
ENSG00000004139,275
ENSG00000004142,7950
ENSG00000004399,10880
ENSG00000004455,8287
ENSG00000004468,100
ENSG00000004478,28142
ENSG00000004487,7438
ENSG00000004534,3541
ENSG00000004660,1353
ENSG00000004700,2176
ENSG00000004766,1729
ENSG00000004776,749
ENSG00000004777,519
ENSG00000004779,4631
ENSG00000004799,2146
ENSG00000004809,5
ENSG00000004838,1703
ENSG00000004846,18
ENSG00000004848,3
ENSG00000004864,1659
ENSG00000004866,1902
ENSG00000004897,4679
ENSG00000004939,5
ENSG00000004948,30
ENSG00000004961,1435
ENSG00000004975,2164
ENSG00000005001,1701
ENSG00000005007,9692
ENSG00000005020,1871
ENSG00000005022,13782
ENSG00000005059,1609
ENSG00000005073,119
ENSG00000005075,1294
ENSG00000005100,1847
ENSG00000005102,188
ENSG00000005108,398
ENSG00000005156,3021
ENSG00000005175,1712
ENSG00000005187,90
ENSG00000005189,1049
ENSG00000005194,2342
ENSG00000005206,2475
ENSG00000005238,1620
ENSG00000005243,2020
ENSG00000005249,1598
ENSG00000005302,1442
ENSG00000005339,14789
ENSG00000005379,1378
ENSG00000005381,10
ENSG00000005421,14
ENSG00000005436,1178
ENSG00000005448,1138
ENSG00000005469,2155
ENSG00000005471,204
ENSG00000005483,5505
ENSG00000005486,9596
ENSG00000005513,32
ENSG00000005700,7707
ENSG00000005801,1241
ENSG00000005810,6700
ENSG00000005812,4135
ENSG00000005844,1720
ENSG00000005882,1976
ENSG00000005884,7449
ENSG00000005889,3198
ENSG00000005893,13136
ENSG00000005961,14
ENSG00000005981,8
ENSG00000006007,11154
ENSG00000006015,891
ENSG00000006016,354
ENSG00000006025,893
ENSG00000006042,1952
ENSG00000006047,622
ENSG00000006059,35
ENSG00000006062,823
ENSG00000006071,139
ENSG00000006116,0
ENSG00000006118,3681
ENSG00000006125,32058
ENSG00000006128,10
ENSG00000006194,4953
ENSG00000006210,1429
ENSG00000006282,4701
ENSG00000006283,53
ENSG00000006327,7466
ENSG00000006377,2
ENSG00000006432,1956
ENSG00000006451,4920
ENSG00000006453,1615
ENSG00000006459,3380
ENSG00000006468,916
ENSG00000006530,1719
ENSG00000006534,1462
ENSG00000006555,214
ENSG00000006576,2041
ENSG00000006606,14
ENSG00000006607,2564
ENSG00000006611,1
ENSG00000006625,2778
ENSG00000006634,380
ENSG00000006638,161
ENSG00000006652,1129
ENSG00000006659,0
ENSG00000006695,972
ENSG00000006704,2853
ENSG00000006712,6113
ENSG00000006715,3549
ENSG00000006740,202
ENSG00000006744,5075
ENSG00000006747,461
ENSG00000006756,7307
ENSG00000006757,2232
ENSG00000006788,44
ENSG00000006831,7950
ENSG00000006837,34
ENSG00000007001,7
ENSG00000007038,5
ENSG00000007047,2897
ENSG00000007062,6921
ENSG00000007080,2368
ENSG00000007129,185
ENSG00000007168,12546
ENSG00000007171,85
ENSG00000007174,16
ENSG00000007202,22279
ENSG00000007216,6
ENSG00000007237,4667
ENSG00000007255,1730
ENSG00000007264,121
ENSG00000007306,1
ENSG00000007312,119
ENSG00000007314,129
ENSG00000007341,820
ENSG00000007350,0
ENSG00000007372,67
