Gene stable ID,59ec2dc1-ac09-4cd7-8d73-46886dacd338
ENSG00000000003,154
ENSG00000000005,1
ENSG00000000419,2285
ENSG00000000457,1117
ENSG00000000460,636
ENSG00000000938,970
ENSG00000000971,1682
ENSG00000001036,6779
ENSG00000001084,4273
ENSG00000001167,2932
ENSG00000001460,1034
ENSG00000001461,11167
ENSG00000001497,4292
ENSG00000001561,1893
ENSG00000001617,2771
ENSG00000001626,0
ENSG00000001629,2844
ENSG00000001630,185
ENSG00000001631,1549
ENSG00000002016,819
ENSG00000002079,3
ENSG00000002330,1721
ENSG00000002549,9523
ENSG00000002586,5737
ENSG00000002587,99
ENSG00000002726,21
ENSG00000002745,2
ENSG00000002746,10
ENSG00000002822,1183
ENSG00000002834,29907
ENSG00000002919,2466
ENSG00000002933,1396
ENSG00000003056,6079
ENSG00000003096,19
ENSG00000003137,146
ENSG00000003147,1614
ENSG00000003249,288
ENSG00000003393,1629
ENSG00000003400,493
ENSG00000003402,4390
ENSG00000003436,392
ENSG00000003509,652
ENSG00000003756,4088
ENSG00000003987,37
ENSG00000003989,97
ENSG00000004059,9216
ENSG00000004139,1466
ENSG00000004142,10448
ENSG00000004399,8730
ENSG00000004455,8527
ENSG00000004468,574
ENSG00000004478,41999
ENSG00000004487,7921
ENSG00000004534,4658
ENSG00000004660,2432
ENSG00000004700,1343
ENSG00000004766,1000
ENSG00000004776,87
ENSG00000004777,1147
ENSG00000004779,5764
ENSG00000004799,202
ENSG00000004809,5
ENSG00000004838,895
ENSG00000004846,1
ENSG00000004848,2
ENSG00000004864,708
ENSG00000004866,4076
ENSG00000004897,5319
ENSG00000004939,1
ENSG00000004948,2
ENSG00000004961,1947
ENSG00000004975,2433
ENSG00000005001,591
ENSG00000005007,8429
ENSG00000005020,1714
ENSG00000005022,10077
ENSG00000005059,1894
ENSG00000005073,5
ENSG00000005075,987
ENSG00000005100,2239
ENSG00000005102,230
ENSG00000005108,129
ENSG00000005156,6947
ENSG00000005175,2615
ENSG00000005187,297
ENSG00000005189,1455
ENSG00000005194,1976
ENSG00000005206,2100
ENSG00000005238,1119
ENSG00000005243,2196
ENSG00000005249,188
ENSG00000005302,1178
ENSG00000005339,9313
ENSG00000005379,1690
ENSG00000005381,14
ENSG00000005421,0
ENSG00000005436,1896
ENSG00000005448,961
ENSG00000005469,464
ENSG00000005471,33
ENSG00000005483,3596
ENSG00000005486,3495
ENSG00000005513,19
ENSG00000005700,7911
ENSG00000005801,629
ENSG00000005810,3142
ENSG00000005812,2539
ENSG00000005844,2663
ENSG00000005882,1916
ENSG00000005884,1519
ENSG00000005889,7152
ENSG00000005893,15552
ENSG00000005961,155
ENSG00000005981,0
ENSG00000006007,7865
ENSG00000006015,2053
ENSG00000006016,52
ENSG00000006025,578
ENSG00000006042,5658
ENSG00000006047,573
ENSG00000006059,42
ENSG00000006062,1919
ENSG00000006071,122
ENSG00000006116,1
ENSG00000006118,513
ENSG00000006125,32564
ENSG00000006128,0
ENSG00000006194,2832
ENSG00000006210,3751
ENSG00000006282,4872
ENSG00000006283,3
ENSG00000006327,788
ENSG00000006377,0
ENSG00000006432,866
ENSG00000006451,3701
ENSG00000006453,2009
ENSG00000006459,1174
ENSG00000006468,169
ENSG00000006530,2108
ENSG00000006534,3457
ENSG00000006555,2750
ENSG00000006576,985
ENSG00000006606,5
ENSG00000006607,1630
ENSG00000006611,60
ENSG00000006625,3028
ENSG00000006634,422
ENSG00000006638,514
ENSG00000006652,1399
ENSG00000006659,0
ENSG00000006695,1294
ENSG00000006704,1686
ENSG00000006712,6796
ENSG00000006715,4592
ENSG00000006740,104
ENSG00000006744,4751
ENSG00000006747,110
ENSG00000006756,2186
ENSG00000006757,3690
ENSG00000006788,5
ENSG00000006831,12034
ENSG00000006837,62
ENSG00000007001,13
ENSG00000007038,12
ENSG00000007047,2432
ENSG00000007062,0
ENSG00000007080,3720
ENSG00000007129,63
ENSG00000007168,10025
ENSG00000007171,39
ENSG00000007174,43
ENSG00000007202,15354
ENSG00000007216,6
ENSG00000007237,1299
ENSG00000007255,1845
ENSG00000007264,210
ENSG00000007306,0
ENSG00000007312,163
ENSG00000007314,45
ENSG00000007341,789
ENSG00000007350,2
ENSG00000007372,299
ENSG00000007376,3828
ENSG00000007384,3026
ENSG00000007392,3223
ENSG00000007402,1390
ENSG00000007516,1350
ENSG00000007520,4480
ENSG00000007541,5962
ENSG00000007545,2096
ENSG00000007866,2116
ENSG00000007908,491
ENSG00000007923,2944
ENSG00000007933,82
ENSG00000007944,4991
ENSG00000007952,86
ENSG00000007968,1418
ENSG00000008018,12221
ENSG00000008056,19
ENSG00000008083,3363
ENSG00000008086,427
ENSG00000008118,28
ENSG00000008128,171
ENSG00000008130,4485
ENSG00000008196,1
ENSG00000008197,0
ENSG00000008226,421
ENSG00000008256,521
ENSG00000008277,100
ENSG00000008282,4820
ENSG00000008283,9077
ENSG00000008294,4926
ENSG00000008300,395
ENSG00000008311,51
ENSG00000008323,962
ENSG00000008324,873
ENSG00000008382,1027
ENSG00000008394,438
ENSG00000008405,2508
ENSG00000008438,0
ENSG00000008441,11573
ENSG00000008513,5469
ENSG00000008516,227
ENSG00000008517,1989
ENSG00000008710,4196
ENSG00000008735,6052
ENSG00000008838,5285
ENSG00000008853,597
ENSG00000008869,6064
ENSG00000008952,12482
ENSG00000008988,22851
ENSG00000009307,29371
ENSG00000009335,7840
ENSG00000009413,1710
ENSG00000009694,13
ENSG00000009709,1
ENSG00000009724,81
ENSG00000009765,44
ENSG00000009780,805
ENSG00000009790,612
ENSG00000009830,878
ENSG00000009844,4292
ENSG00000009950,27
ENSG00000009954,5365
ENSG00000010017,7305
ENSG00000010030,709
ENSG00000010072,753
ENSG00000010165,2330
ENSG00000010219,1048
ENSG00000010244,9085
ENSG00000010256,9044
ENSG00000010270,1795
ENSG00000010278,20679
ENSG00000010282,1
ENSG00000010292,5709
ENSG00000010295,442
ENSG00000010310,240
ENSG00000010318,643
ENSG00000010319,2042
