Gene stable ID,54dbdf55-a610-4967-808a-7c4e36178595
ENSG00000000003,1294
ENSG00000000005,20
ENSG00000000419,965
ENSG00000000457,1119
ENSG00000000460,336
ENSG00000000938,439
ENSG00000000971,2959
ENSG00000001036,1282
ENSG00000001084,1138
ENSG00000001167,1507
ENSG00000001460,453
ENSG00000001461,1686
ENSG00000001497,1490
ENSG00000001561,809
ENSG00000001617,3623
ENSG00000001626,20
ENSG00000001629,2336
ENSG00000001630,97
ENSG00000001631,1100
ENSG00000002016,301
ENSG00000002079,9
ENSG00000002330,1336
ENSG00000002549,4848
ENSG00000002586,9716
ENSG00000002587,233
ENSG00000002726,20
ENSG00000002745,9
ENSG00000002746,56
ENSG00000002822,1073
ENSG00000002834,22109
ENSG00000002919,1220
ENSG00000002933,1523
ENSG00000003056,2220
ENSG00000003096,520
ENSG00000003137,338
ENSG00000003147,949
ENSG00000003249,995
ENSG00000003393,1052
ENSG00000003400,511
ENSG00000003402,3337
ENSG00000003436,847
ENSG00000003509,461
ENSG00000003756,3850
ENSG00000003987,57
ENSG00000003989,8240
ENSG00000004059,4262
ENSG00000004139,360
ENSG00000004142,4242
ENSG00000004399,7269
ENSG00000004455,3180
ENSG00000004468,96
ENSG00000004478,7567
ENSG00000004487,2975
ENSG00000004534,2546
ENSG00000004660,406
ENSG00000004700,1049
ENSG00000004766,1171
ENSG00000004776,295
ENSG00000004777,393
ENSG00000004779,1521
ENSG00000004799,1497
ENSG00000004809,3
ENSG00000004838,621
ENSG00000004846,1
ENSG00000004848,727
ENSG00000004864,646
ENSG00000004866,921
ENSG00000004897,3027
ENSG00000004939,1
ENSG00000004948,94
ENSG00000004961,564
ENSG00000004975,1035
ENSG00000005001,912
ENSG00000005007,4899
ENSG00000005020,1636
ENSG00000005022,5444
ENSG00000005059,1076
ENSG00000005073,120
ENSG00000005075,876
ENSG00000005100,662
ENSG00000005102,293
ENSG00000005108,564
ENSG00000005156,1532
ENSG00000005175,1129
ENSG00000005187,160
ENSG00000005189,327
ENSG00000005194,1246
ENSG00000005206,1562
ENSG00000005238,921
ENSG00000005243,1526
ENSG00000005249,961
ENSG00000005302,1039
ENSG00000005339,6684
ENSG00000005379,523
ENSG00000005381,10
ENSG00000005421,6
ENSG00000005436,579
ENSG00000005448,501
ENSG00000005469,1093
ENSG00000005471,111
ENSG00000005483,3547
ENSG00000005486,3074
ENSG00000005513,33
ENSG00000005700,2746
ENSG00000005801,860
ENSG00000005810,2932
ENSG00000005812,2979
ENSG00000005844,1610
ENSG00000005882,1219
ENSG00000005884,5061
ENSG00000005889,1579
ENSG00000005893,6881
ENSG00000005961,28
ENSG00000005981,10
ENSG00000006007,5225
ENSG00000006015,490
ENSG00000006016,123
ENSG00000006025,578
ENSG00000006042,3073
ENSG00000006047,177
ENSG00000006059,7
ENSG00000006062,1236
ENSG00000006071,87
ENSG00000006116,0
ENSG00000006118,2251
ENSG00000006125,17896
ENSG00000006128,37
ENSG00000006194,2252
ENSG00000006210,2856
ENSG00000006282,1552
ENSG00000006283,150
ENSG00000006327,3237
ENSG00000006377,2
ENSG00000006432,381
ENSG00000006451,3293
ENSG00000006453,1439
ENSG00000006459,2006
ENSG00000006468,515
ENSG00000006530,959
ENSG00000006534,675
ENSG00000006555,208
ENSG00000006576,937
ENSG00000006606,7
ENSG00000006607,1133
ENSG00000006611,5
ENSG00000006625,3313
ENSG00000006634,295
ENSG00000006638,116
ENSG00000006652,955
ENSG00000006659,15
ENSG00000006695,426
ENSG00000006704,1012
ENSG00000006712,2596
ENSG00000006715,2492
ENSG00000006740,262
ENSG00000006744,1652
ENSG00000006747,853
ENSG00000006756,3913
ENSG00000006757,913
ENSG00000006788,48
ENSG00000006831,2934
ENSG00000006837,31
ENSG00000007001,7
ENSG00000007038,191
ENSG00000007047,1335
ENSG00000007062,615
ENSG00000007080,1535
ENSG00000007129,69
ENSG00000007168,4410
ENSG00000007171,37
ENSG00000007174,11
ENSG00000007202,6553
ENSG00000007216,85
ENSG00000007237,3916
ENSG00000007255,1012
ENSG00000007264,174
ENSG00000007306,22
ENSG00000007312,234
ENSG00000007314,63
ENSG00000007341,798
ENSG00000007350,4
ENSG00000007372,88
ENSG00000007376,956
ENSG00000007384,2780
ENSG00000007392,1912
ENSG00000007402,1064
ENSG00000007516,2081
ENSG00000007520,1465
ENSG00000007541,3399
ENSG00000007545,810
ENSG00000007866,1729
ENSG00000007908,774
ENSG00000007923,882
ENSG00000007933,371
ENSG00000007944,1627
ENSG00000007952,50
ENSG00000007968,145
ENSG00000008018,4031
ENSG00000008056,64
ENSG00000008083,1101
ENSG00000008086,1066
ENSG00000008118,10
ENSG00000008128,305
ENSG00000008130,2009
ENSG00000008196,6105
ENSG00000008197,0
ENSG00000008226,64
ENSG00000008256,3566
ENSG00000008277,413
ENSG00000008282,5118
ENSG00000008283,8091
ENSG00000008294,3631
ENSG00000008300,693
ENSG00000008311,239
ENSG00000008323,639
ENSG00000008324,517
ENSG00000008382,551
ENSG00000008394,3152
ENSG00000008405,1073
ENSG00000008438,2
ENSG00000008441,4810
ENSG00000008513,1269
ENSG00000008516,738
ENSG00000008517,2433
ENSG00000008710,2583
ENSG00000008735,374
ENSG00000008838,3951
ENSG00000008853,1203
ENSG00000008869,1390
ENSG00000008952,7122
ENSG00000008988,20368
ENSG00000009307,30757
ENSG00000009335,2753
ENSG00000009413,946
ENSG00000009694,29
ENSG00000009709,1
ENSG00000009724,40
ENSG00000009765,5
ENSG00000009780,500
ENSG00000009790,495
ENSG00000009830,944
ENSG00000009844,1626
ENSG00000009950,255
ENSG00000009954,3924
ENSG00000010017,1921
ENSG00000010030,296
ENSG00000010072,507
ENSG00000010165,2030
ENSG00000010219,654
ENSG00000010244,5381
ENSG00000010256,4718
ENSG00000010270,1244
ENSG00000010278,13932
ENSG00000010282,2
ENSG00000010292,2541
ENSG00000010295,716
ENSG00000010310,97
ENSG00000010318,161
ENSG00000010319,1417
ENSG00000010322,3403
ENSG00000010327,2954
ENSG00000010361,674
ENSG00000010379,0
ENSG00000010404,4714
ENSG00000010438,1
ENSG00000010539,401
ENSG00000010610,3101
ENSG00000010626,355
ENSG00000010671,510
ENSG00000010704,1154
ENSG00000010803,1322
ENSG00000010810,1529
ENSG00000010818,1116
ENSG00000010932,223
ENSG00000011007,1820
ENSG00000011009,2598
ENSG00000011021,796
ENSG00000011028,12265
ENSG00000011052,16
ENSG00000011083,3
ENSG00000011105,5044
ENSG00000011114,1501
ENSG00000011132,560
ENSG00000011143,855
ENSG00000011198,551
ENSG00000011201,1094
ENSG00000011243,1562
ENSG00000011258,1042
ENSG00000011260,1224
ENSG00000011275,2440
ENSG00000011295,1367
ENSG00000011304,8214
ENSG00000011332,17
ENSG00000011347,3282
ENSG00000011376,747
ENSG00000011405,2339
ENSG00000011422,2075
ENSG00000011426,611
ENSG00000011451,2007
ENSG00000011454,2752
ENSG00000011465,79542
ENSG00000011478,556
ENSG00000011485,1682
ENSG00000011523,1259
ENSG00000011566,1578
ENSG00000011590,20
ENSG00000011600,2385
ENSG00000011638,1915
ENSG00000011677,1
ENSG00000012048,486
ENSG00000012061,2300
ENSG00000012124,296
ENSG00000012171,911
ENSG00000012174,908
ENSG00000012211,337
ENSG00000012223,261662
ENSG00000012232,1720
ENSG00000012504,0
ENSG00000012660,13441
ENSG00000012779,1591
ENSG00000012817,0
ENSG00000012822,3701
ENSG00000012963,2046
ENSG00000012983,2433
ENSG00000013016,1073
ENSG00000013275,2200
ENSG00000013288,4684
ENSG00000013293,1
ENSG00000013297,399
ENSG00000013306,4896
ENSG00000013364,10234
ENSG00000013374,2833
ENSG00000013375,1544
ENSG00000013392,279
ENSG00000013441,3438
ENSG00000013503,454
ENSG00000013523,1032
ENSG00000013561,2089
ENSG00000013563,928
ENSG00000013573,730
ENSG00000013583,1388
ENSG00000013588,5714
ENSG00000013619,197
ENSG00000013725,633
ENSG00000013810,839
ENSG00000014123,1513
ENSG00000014138,720
ENSG00000014164,880
ENSG00000014216,7998
ENSG00000014257,57
ENSG00000014641,3644
ENSG00000014824,2405
ENSG00000014914,861
ENSG00000014919,1797
ENSG00000015133,1280
ENSG00000015153,439
ENSG00000015171,4455
ENSG00000015285,601
ENSG00000015413,115
ENSG00000015475,710
ENSG00000015479,203
ENSG00000015520,19
ENSG00000015532,2191
ENSG00000015568,0
ENSG00000015592,1
ENSG00000015676,5917
ENSG00000016082,16
ENSG00000016391,2267
ENSG00000016402,709
ENSG00000016490,0
ENSG00000016602,31
ENSG00000016864,2929
ENSG00000017260,3424
ENSG00000017427,226
ENSG00000017483,828
ENSG00000017797,3439
ENSG00000018189,1396
ENSG00000018236,2747
ENSG00000018280,231
ENSG00000018408,4014
ENSG00000018510,2312
ENSG00000018607,0
ENSG00000018610,898
ENSG00000018625,132
ENSG00000018699,846
ENSG00000018869,134
ENSG00000019102,1861
ENSG00000019144,4400
ENSG00000019169,19
ENSG00000019186,11
ENSG00000019485,402
ENSG00000019505,63
ENSG00000019549,1242
ENSG00000019582,119366
ENSG00000019991,426
ENSG00000019995,670
ENSG00000020129,2171
ENSG00000020181,2364
ENSG00000020219,0
ENSG00000020256,643
ENSG00000020426,522
ENSG00000020577,788
ENSG00000020633,820
ENSG00000020922,960
ENSG00000021300,457
ENSG00000021355,2755
ENSG00000021461,1
ENSG00000021488,11
ENSG00000021574,1035
ENSG00000021645,139
ENSG00000021762,2511
ENSG00000021776,2207
ENSG00000021826,155
ENSG00000021852,4
ENSG00000022267,1848
ENSG00000022277,3469
ENSG00000022355,2
ENSG00000022556,447
ENSG00000022567,678
ENSG00000022840,7153
ENSG00000022976,449
ENSG00000023041,1449
ENSG00000023171,106
ENSG00000023191,5656
ENSG00000023228,2734
ENSG00000023287,2282
ENSG00000023318,2181
ENSG00000023330,1610
ENSG00000023445,1430
ENSG00000023516,2181
ENSG00000023572,225
ENSG00000023608,267
ENSG00000023697,750
ENSG00000023734,2905
ENSG00000023839,16
ENSG00000023892,1054
ENSG00000023902,2727
ENSG00000023909,949
ENSG00000024048,2618
ENSG00000024422,6263
ENSG00000024526,135
ENSG00000024862,862
ENSG00000025039,278
ENSG00000025156,547
ENSG00000025293,2422
ENSG00000025423,466
ENSG00000025434,643
ENSG00000025708,3334
ENSG00000025770,1011
ENSG00000025772,1186
ENSG00000025796,4870
ENSG00000025800,3152
ENSG00000026025,51179
ENSG00000026036,97
ENSG00000026103,901
ENSG00000026297,2814
ENSG00000026508,13448
ENSG00000026559,15
ENSG00000026652,434
ENSG00000026751,654
ENSG00000026950,1641
ENSG00000027001,1240
ENSG00000027075,1251
ENSG00000027644,57
ENSG00000027697,3777
ENSG00000027847,1021
ENSG00000027869,176
ENSG00000028116,601
ENSG00000028137,2161
ENSG00000028203,2480
ENSG00000028277,556
ENSG00000028310,1252
ENSG00000028528,5781
ENSG00000028839,464
ENSG00000029153,368
ENSG00000029363,4725
ENSG00000029364,4676
ENSG00000029534,33
ENSG00000029559,61
ENSG00000029639,307
ENSG00000029725,4047
ENSG00000029993,595
ENSG00000030066,1633
ENSG00000030110,766
ENSG00000030304,3
ENSG00000030419,855
ENSG00000030582,17186
ENSG00000031003,1561
ENSG00000031081,2123
ENSG00000031691,206
ENSG00000031698,6366
ENSG00000031823,2160
ENSG00000032219,959
ENSG00000032389,745
ENSG00000032444,1855
ENSG00000032742,624
ENSG00000033011,1124
ENSG00000033030,879
ENSG00000033050,2026
ENSG00000033100,3324
ENSG00000033122,15
ENSG00000033170,3616
ENSG00000033178,1559
ENSG00000033327,930
ENSG00000033627,3091
ENSG00000033800,1414
ENSG00000033867,1783
ENSG00000034053,301
ENSG00000034152,1108
ENSG00000034239,16
ENSG00000034510,27649
ENSG00000034533,423
ENSG00000034677,2446
ENSG00000034693,395
ENSG00000034713,3038
ENSG00000034971,0
ENSG00000035115,896
ENSG00000035141,948
ENSG00000035403,8104
ENSG00000035499,51
ENSG00000035664,630
ENSG00000035681,919
ENSG00000035687,3296
ENSG00000035720,43
ENSG00000035862,34573
ENSG00000035928,2226
ENSG00000036054,1353
ENSG00000036257,2777
ENSG00000036448,51
ENSG00000036473,1
ENSG00000036530,41
ENSG00000036549,1772
ENSG00000036565,2
ENSG00000036672,107
ENSG00000036828,0
ENSG00000037042,574
ENSG00000037241,435
ENSG00000037280,891
ENSG00000037474,1893
ENSG00000037637,1247
ENSG00000037749,855
ENSG00000037757,729
ENSG00000037897,580
ENSG00000037965,288
ENSG00000038002,1061
ENSG00000038210,631
ENSG00000038219,2314
ENSG00000038274,2471
ENSG00000038295,813
ENSG00000038358,1228
ENSG00000038382,3724
ENSG00000038427,42019
ENSG00000038532,1875
ENSG00000038945,1561
ENSG00000039068,1544
ENSG00000039123,1873
ENSG00000039139,248
ENSG00000039319,1900
ENSG00000039523,2594
ENSG00000039537,36
ENSG00000039560,3482
ENSG00000039600,12
ENSG00000039650,1083
ENSG00000039987,1
ENSG00000040199,417
ENSG00000040275,283
ENSG00000040341,1297
ENSG00000040487,502
ENSG00000040531,598
ENSG00000040608,126
ENSG00000040633,1319
ENSG00000040731,0
ENSG00000040933,1074
ENSG00000041353,2841
ENSG00000041357,3685
ENSG00000041515,17
ENSG00000041802,1589
ENSG00000041880,983
ENSG00000041982,9131
ENSG00000041988,535
ENSG00000042062,96
ENSG00000042088,606
ENSG00000042286,431
ENSG00000042304,0
ENSG00000042317,394
ENSG00000042429,897
ENSG00000042445,3336
ENSG00000042493,6460
ENSG00000042753,2836
ENSG00000042781,14
ENSG00000042813,0
ENSG00000042832,49
ENSG00000042980,418
ENSG00000043039,302
ENSG00000043093,1108
ENSG00000043143,1968
ENSG00000043355,6
ENSG00000043462,1323
ENSG00000043514,528
ENSG00000043591,19
ENSG00000044012,0
ENSG00000044090,1831
ENSG00000044115,16299
ENSG00000044446,1297
ENSG00000044459,311
ENSG00000044524,789
ENSG00000044574,23108
ENSG00000046604,5406
ENSG00000046647,636
ENSG00000046651,1292
ENSG00000046653,457
ENSG00000046774,0
ENSG00000046889,631
ENSG00000047056,975
ENSG00000047188,1387
ENSG00000047230,1088
ENSG00000047249,1554
